post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I efel so oppres8ed.,I efel so oppres8ed.,I feel so oppressed.,nlp_ocr+ta_char_neighbor,WORTHLESSNESS,0,s_1955_1069_2
I fee1 os oppressed.,I fee1 os oppressed.,I feel so oppressed.,nlp_ocr+ta_char_neighbor,WORTHLESSNESS,0,s_1955_1069_2
"I 100% know that if 1 have to og t0 college alone without my family or any support Im gonna end up killing my8elf. .. . Im barely keeping my self alive now, 1 can ' t imagine beign all by myself and dealin9 with ym thoughts adn emotions!","I 100% know that if 1 have to og t0 college alone without my family or any support Im gonna end up killing my8elf. .. . Im barely keeping my self alive now, 1 can ' t imagine beign all by myself and dealin9 with ym thoughts adn emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_ocr+ta_char_neighbor,SUICIDAL_THOUGHTS,1,s_156_366_1
"I 100% kn0w htat if 1 haev to 9o to college alone without ym family ur any support 1m gonna end up killing myself. .. . 1m baerly keeping my se1f alive now, I can ' t imagine being all by myself and dealing with my thoughts and emotion8!","I 100% kn0w htat if 1 haev to 9o to college alone without ym family ur any support 1m gonna end up killing myself. .. . 1m baerly keeping my se1f alive now, I can ' t imagine being all by myself and dealing with my thoughts and emotion8!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_ocr+ta_char_neighbor,SUICIDAL_THOUGHTS,1,s_156_366_1
I acnt stop cryin9.,I acnt stop cryin9.,I cant stop crying.,nlp_ocr+ta_char_neighbor,DEPRESSED_MOOD,1,s_2334_738_1
I cant stpu cryin9.,I cant stpu cryin9.,I cant stop crying.,nlp_ocr+ta_char_neighbor,DEPRESSED_MOOD,1,s_2334_738_1
"It wa8 noly later aftek my second boyfriend, I reali2ed I cannot fee1 sexual attraction (if I have, it was veky etmporary ), and that I am probably asexual due to the fact that I jost get disgsuted with myself when ti comes t0 the sex part.","It wa8 noly later aftek my second boyfriend, I reali2ed I cannot fee1 sexual attraction (if I have, it was veky etmporary ), and that I am probably asexual due to the fact that I jost get disgsuted with myself when ti comes t0 the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_ocr+ta_char_neighbor,ANHEDONIA,0,s_716_26_15
"tI was olny later after my second boyfriend, I reali2ed I cannot feel sexual atrtaction (if I have, it was very tempurary ), and that 1 am probably a8exual due to the fact that I just get disgusted with myself when it cmoe8 tu the sex part.","tI was olny later after my second boyfriend, I reali2ed I cannot feel sexual atrtaction (if I have, it was very tempurary ), and that 1 am probably a8exual due to the fact that I just get disgusted with myself when it cmoe8 tu the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_ocr+ta_char_neighbor,ANHEDONIA,0,s_716_26_15
1 don ' t lkie me.,1 don ' t lkie me.,I don't like me.,nlp_ocr+ta_char_neighbor,WORTHLESSNESS,1,s_2415_816_5
1 don ' t lire em.,1 don ' t lire em.,I don't like me.,nlp_ocr+ta_char_neighbor,WORTHLESSNESS,1,s_2415_816_5
