post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I lHate shtat i am rcyinfg rn.,I lHate shtat i am rcyinfg rn.,I hate that i am crying rn.,nlp_randchar_ins+nlp_randchar_swap,DEPRESSED_MOOD,1,s_321_219_4
I vhate Dtaht i am cryiong rn.,I vhate Dtaht i am cryiong rn.,I hate that i am crying rn.,nlp_randchar_ins+nlp_randchar_swap,DEPRESSED_MOOD,1,s_321_219_4
"I ' m so inoDecisive, if I was in y! our botocs I ' d envOer be abl0e to dec0ide.","I ' m so inoDecisive, if I was in y! our botocs I ' d envOer be abl0e to dec0ide.","I'm so indecisive, if I was in your boots I'd never be able to decide.",nlp_randchar_ins+nlp_randchar_swap,COGNITIVE_ISSUES,1,s_1997_963_1
"I ' m so i7ndecsiive, if I was in 7yuor obMots I ' d neFvre be a (ble to deycied.","I ' m so i7ndecsiive, if I was in 7yuor obMots I ' d neFvre be a (ble to deycied.","I'm so indecisive, if I was in your boots I'd never be able to decide.",nlp_randchar_ins+nlp_randchar_swap,COGNITIVE_ISSUES,1,s_1997_963_1
I ' m not% interestde in aAntyhing.,I ' m not% interestde in aAntyhing.,I'm not interested in anything.,nlp_randchar_ins+nlp_randchar_swap,ANHEDONIA,1,s_1404_102_34
I ' m not int! erseted in qAnything.,I ' m not int! erseted in qAnything.,I'm not interested in anything.,nlp_randchar_ins+nlp_randchar_swap,ANHEDONIA,1,s_1404_102_34
Whlich I can ' t ebFcause my socail skiflls are wterrbile and tehNy can Fsemll it.,Whlich I can ' t ebFcause my socail skiflls are wterrbile and tehNy can Fsemll it.,Which I can't because my social skills are terrible and they can smell it.,nlp_randchar_ins+nlp_randchar_swap,WORTHLESSNESS,1,s_1404_102_62
Whihc I can ' t bec ^ ause my loscial Sxkills are teerrible and thEty can smeGll it.,Whihc I can ' t bec ^ ause my loscial Sxkills are teerrible and thEty can smeGll it.,Which I can't because my social skills are terrible and they can smell it.,nlp_randchar_ins+nlp_randchar_swap,WORTHLESSNESS,1,s_1404_102_62
I ' ve jusCt never benne htat interestted in sex or replationsihps and I don ' t thGikn I vener wbill be.,I ' ve jusCt never benne htat interestted in sex or replationsihps and I don ' t thGikn I vener wbill be.,I've just never been that interested in sex or relationships and I don't think I ever will be.,nlp_randchar_ins+nlp_randchar_swap,ANHEDONIA,1,s_205_396_1
I ' ve juts nSveer ebfen t2hat interested in sex or relnationships and I don ' t htinXk I Beevr iwlul be.,I ' ve juts nSveer ebfen t2hat interested in sex or relnationships and I don ' t htinXk I Beevr iwlul be.,I've just never been that interested in sex or relationships and I don't think I ever will be.,nlp_randchar_ins+nlp_randchar_swap,ANHEDONIA,1,s_205_396_1
"And in the caVes for ma ^ jor depressino, you ' re usuaclly experPiencing a edplYetion or a disregulation of neuro3tarnsmDitters lMike dopaimne and sreotonin and oyur 4brani jusFt isnjt wokring properly.","And in the caVes for ma ^ jor depressino, you ' re usuaclly experPiencing a edplYetion or a disregulation of neuro3tarnsmDitters lMike dopaimne and sreotonin and oyur 4brani jusFt isnjt wokring properly.","And in the case for major depression, you're usually experiencing a depletion or a disregulation of neurotransmitters like dopamine and serotonin and your brain just isnt working properly.",nlp_randchar_ins+nlp_randchar_swap,FATIGUE,1,s_2886_101_1
"And in the caVes for ma ^ jor depression, you ' re uusaclly expepRiencing a deplYetion or a disregluation of enur3otrnasmDitters lMike dopamine and serotonin and your 4barin ujsFt isnjt workign porperly.","And in the caVes for ma ^ jor depression, you ' re uusaclly expepRiencing a deplYetion or a disregluation of enur3otrnasmDitters lMike dopamine and serotonin and your 4barin ujsFt isnjt workign porperly.","And in the case for major depression, you're usually experiencing a depletion or a disregulation of neurotransmitters like dopamine and serotonin and your brain just isnt working properly.",nlp_randchar_ins+nlp_randchar_swap,FATIGUE,1,s_2886_101_1
Now I can ' t st1po crrYing.,Now I can ' t st1po crrYing.,Now I can't stop crying.,nlp_randchar_ins+nlp_randchar_swap,DEPRESSED_MOOD,1,s_2338_920_11
Now I can ' t st) op cerying.,Now I can ' t st) op cerying.,Now I can't stop crying.,nlp_randchar_ins+nlp_randchar_swap,DEPRESSED_MOOD,1,s_2338_920_11
"I 100% know thdat if I Dhave to go to ocllege alone witho (ut my family or any support Im gonna end up kilil + ng myself. .. . Im bareyl ekepling my s2elf al8ive now, I can ' t fimagine being all by myself and delaing wit3h my thuo1ghts and emotinos!","I 100% know thdat if I Dhave to go to ocllege alone witho (ut my family or any support Im gonna end up kilil + ng myself. .. . Im bareyl ekepling my s2elf al8ive now, I can ' t fimagine being all by myself and delaing wit3h my thuo1ghts and emotinos!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randchar_ins+nlp_randchar_swap,SUICIDAL_THOUGHTS,1,s_156_366_1
I nevHre get enuogh kselep u1nless I do － t h9ave to awke w5ith an laarm clo_ck.,I nevHre get enuogh kselep u1nless I do － t h9ave to awke w5ith an laarm clo_ck.,I never get enough sleep unless I do－t have to wake with an alarm clock.,nlp_randchar_ins+nlp_randchar_swap,LEEP_ISSUES,1,s_1404_1048_1
