post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I cant stoр tears.,I cant stoр tears.,I cant stop crying.,ta_wordswap_embedding+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2334_738_1
I caոt stop tears.,I caոt stop tears.,I cant stop crying.,ta_wordswap_embedding+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2334_738_1
"It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if ich have, it was very ephemeral), and tha𝚝 I am probably vege𝚝able due to the fact thɑt l just get disgusted with myself wհen it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if ich have, it was very ephemeral), and tha𝚝 I am probably vege𝚝able due to the fact thɑt l just get disgusted with myself wհen it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_wordswap_embedding+ta_wordswap_homoglyph,ANHEDONIA,0,s_716_26_15
I don't like ԁid.,I don't like ԁid.,I don't like me.,ta_wordswap_embedding+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
I don't like dіd.,I don't like dіd.,I don't like me.,ta_wordswap_embedding+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
Im uѕually tired So,Im uѕually tired So,Im generally tired So,ta_wordswap_embedding+ta_wordswap_homoglyph,FATIGUE,1,s_2007_1467_0
Im commonly tireԁ So,Im commonly tireԁ So,Im generally tired So,ta_wordswap_embedding+ta_wordswap_homoglyph,FATIGUE,1,s_2007_1467_0
I'vе mourned.,I'vе mourned.,I've cried.,ta_wordswap_embedding+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
I've ѕcreamed.,I've ѕcreamed.,I've cried.,ta_wordswap_embedding+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
I initiate to cⲅy.,I initiate to cⲅy.,I began to cry.,ta_wordswap_embedding+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2815_1660_107
I iոitiate to cry.,I iոitiate to cry.,I began to cry.,ta_wordswap_embedding+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2815_1660_107
I practically sleeр.,I practically sleeр.,I hardly sleep.,ta_wordswap_embedding+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_697_81_3
I practically sleеp.,I practically sleеp.,I hardly sleep.,ta_wordswap_embedding+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_697_81_3
I am very ⲅegretful.,I am very ⲅegretful.,I am very sad.,ta_wordswap_embedding+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_411_1189_1
yo am very sɑd.,yo am very sɑd.,I am very sad.,ta_wordswap_embedding+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_411_1189_1
"I've been like this fоr a long 𝚝ime now wherein jag sleep at around 9 or 10pm, hoping to wake arriba swift in the morning at around 7-8pm, tհen all of a sudden I wake up at 12 or 2am in the mornіnɡ feeling groggy and now I dont get reverting bed.","I've been like this fоr a long 𝚝ime now wherein jag sleep at around 9 or 10pm, hoping to wake arriba swift in the morning at around 7-8pm, tհen all of a sudden I wake up at 12 or 2am in the mornіnɡ feeling groggy and now I dont get reverting bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",ta_wordswap_embedding+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_852_229_1
"I've been like this for a long temps now wherein je sleep at around 9 or 10pm, hoping to wake up early in the morning at roughly 7-8pm, then aⅼⅼ of a suddeո I wake up at 12 or 2am in of morning feeling groggy and noԝ I cant ɡet back sleeping.","I've been like this for a long temps now wherein je sleep at around 9 or 10pm, hoping to wake up early in the morning at roughly 7-8pm, then aⅼⅼ of a suddeո I wake up at 12 or 2am in of morning feeling groggy and noԝ I cant ɡet back sleeping.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",ta_wordswap_embedding+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_852_229_1
Im ѕo knackered,Im ѕo knackered,Im so tired,ta_wordswap_embedding+ta_wordswap_homoglyph,FATIGUE,1,s_2434_365_0
Lin so tiⲅed,Lin so tiⲅed,Im so tired,ta_wordswap_embedding+ta_wordswap_homoglyph,FATIGUE,1,s_2434_365_0
This had me weepѕ,This had me weepѕ,This had me crying,ta_wordswap_embedding+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_2464_412_0
This had me wеep,This had me wеep,This had me crying,ta_wordswap_embedding+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_2464_412_0
I want pouⲅ die,I want pouⲅ die,I want to die,ta_wordswap_embedding+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_2118_413_1
I waոt of die,I waոt of die,I want to die,ta_wordswap_embedding+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_2118_413_1
I los𝚝 my hormones.,I los𝚝 my hormones.,I lost my libido.,ta_wordswap_embedding+ta_wordswap_homoglyph,ANHEDONIA,1,s_2904_522_5
es lost my libіdo.,es lost my libіdo.,I lost my libido.,ta_wordswap_embedding+ta_wordswap_homoglyph,ANHEDONIA,1,s_2904_522_5
