post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I f3le so *ppressed.,I f3le so *ppressed.,I feel so oppressed.,nlp_keyboard+ta_char_neighbor,WORTHLESSNESS,0,s_1955_1069_2
I efe. so opLressed.,I efe. so opLressed.,I feel so oppressed.,nlp_keyboard+ta_char_neighbor,WORTHLESSNESS,0,s_1955_1069_2
I Vant tsIp crying.,I Vant tsIp crying.,I cant stop crying.,nlp_keyboard+ta_char_neighbor,DEPRESSED_MOOD,1,s_2334_738_1
I Dant stop rcyjng.,I Dant stop rcyjng.,I cant stop crying.,nlp_keyboard+ta_char_neighbor,DEPRESSED_MOOD,1,s_2334_738_1
"It was onPy latee Zfter my second boyfriend, I realized I cannot feel esxual attraction (if I hWve, it was very temporar5 ), and Fhat I am probably asexuao due to the fact thwt I just gte disgusHed with ymself wmen it comes to the esx part.","It was onPy latee Zfter my second boyfriend, I realized I cannot feel esxual attraction (if I hWve, it was very temporar5 ), and Fhat I am probably asexuao due to the fact thwt I just gte disgusHed with ymself wmen it comes to the esx part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_keyboard+ta_char_neighbor,ANHEDONIA,0,s_716_26_15
I dno ' t likr me.,I dno ' t likr me.,I don't like me.,nlp_keyboard+ta_char_neighbor,WORTHLESSNESS,1,s_2415_816_5
I don ' t loke em.,I don ' t loke em.,I don't like me.,nlp_keyboard+ta_char_neighbor,WORTHLESSNESS,1,s_2415_816_5
I ' ev crier.,I ' ev crier.,I've cried.,nlp_keyboard+ta_char_neighbor,DEPRESSED_MOOD,1,s_145_86_2
I ' ve Ecied.,I ' ve Ecied.,I've cried.,nlp_keyboard+ta_char_neighbor,DEPRESSED_MOOD,1,s_145_86_2
I Hegan to rcy.,I Hegan to rcy.,I began to cry.,nlp_keyboard+ta_char_neighbor,DEPRESSED_MOOD,1,s_2815_1660_107
I beabn to cry.,I beabn to cry.,I began to cry.,nlp_keyboard+ta_char_neighbor,DEPRESSED_MOOD,1,s_2815_1660_107
I hard.y wlepe.,I hard.y wlepe.,I hardly sleep.,nlp_keyboard+ta_char_neighbor,SLEEP_ISSUES,1,s_697_81_3
I hard.y welep.,I hard.y welep.,I hardly sleep.,nlp_keyboard+ta_char_neighbor,SLEEP_ISSUES,1,s_697_81_3
I ma verG sad.,I ma verG sad.,I am very sad.,nlp_keyboard+ta_char_neighbor,DEPRESSED_MOOD,0,s_411_1189_1
I am vwyr sad.,I am vwyr sad.,I am very sad.,nlp_keyboard+ta_char_neighbor,DEPRESSED_MOOD,0,s_411_1189_1
"I ' ve beej luke this for a long ti3m now wheefin I s<eep at aroujd 9 or 10pm, hopiny to waMe pu early in the morning at around 7 - 8mp, ^hen all of a sudden I wAke up at 12 or 2am ni the morning feeling groggy and now I cant get back bed.","I ' ve beej luke this for a long ti3m now wheefin I s<eep at aroujd 9 or 10pm, hopiny to waMe pu early in the morning at around 7 - 8mp, ^hen all of a sudden I wAke up at 12 or 2am ni the morning feeling groggy and now I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_keyboard+ta_char_neighbor,SLEEP_ISSUES,1,s_852_229_1
"I ' ve beeM liek htis for a lony time now wherein I sleep ta akrund 9 or 10Lm, uoping to wake up $arly in the morning at aroumd 7 - 8pm, then all of a sudden I Dake up at 12 or 2am in the morning feeling gtoggy and now I cQnt get bcak bed.","I ' ve beeM liek htis for a lony time now wherein I sleep ta akrund 9 or 10Lm, uoping to wake up $arly in the morning at aroumd 7 - 8pm, then all of a sudden I Dake up at 12 or 2am in the morning feeling gtoggy and now I cQnt get bcak bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_keyboard+ta_char_neighbor,SLEEP_ISSUES,1,s_852_229_1
mI so tirrd,mI so tirrd,Im so tired,nlp_keyboard+ta_char_neighbor,FATIGUE,1,s_2434_365_0
Im so itrrd,Im so itrrd,Im so tired,nlp_keyboard+ta_char_neighbor,FATIGUE,1,s_2434_365_0
ThiW had me crymig,ThiW had me crymig,This had me crying,nlp_keyboard+ta_char_neighbor,DEPRESSED_MOOD,0,s_2464_412_0
Yhis had me c4iyng,Yhis had me c4iyng,This had me crying,nlp_keyboard+ta_char_neighbor,DEPRESSED_MOOD,0,s_2464_412_0
I wamt to dei,I wamt to dei,I want to die,nlp_keyboard+ta_char_neighbor,SUICIDAL_THOUGHTS,1,s_2118_413_1
I wGat to die,I wGat to die,I want to die,nlp_keyboard+ta_char_neighbor,SUICIDAL_THOUGHTS,1,s_2118_413_1
I loAt my libiKd.,I loAt my libiKd.,I lost my libido.,nlp_keyboard+ta_char_neighbor,ANHEDONIA,1,s_2904_522_5
I loCt my lbiiRo.,I loCt my lbiiRo.,I lost my libido.,nlp_keyboard+ta_char_neighbor,ANHEDONIA,1,s_2904_522_5
"My dog si trianed to ckmfort em when I have agxiety, be a physical baDrier betweeM me and people whej I egt panic>y, and prov9de an Rxcuse to leave a situation i. e. he Heeds to go pottt / eat / drink.","My dog si trianed to ckmfort em when I have agxiety, be a physical baDrier betweeM me and people whej I egt panic>y, and prov9de an Rxcuse to leave a situation i. e. he Heeds to go pottt / eat / drink.","My dog is trained to comfort me when I have anxiety, be a physical barrier between me and people when I get panicky, and provide an excuse to leave a situation i.e. he needs to go potty/eat/drink.",nlp_keyboard+ta_char_neighbor,PSYCHOMOTOR,1,s_708_315_0
I ma Heing tor6ured.,I ma Heing tor6ured.,I am being tortured.,nlp_keyboard+ta_char_neighbor,WORTHLESSNESS,0,s_1351_120_5
I am bejng tortuerC.,I am bejng tortuerC.,I am being tortured.,nlp_keyboard+ta_char_neighbor,WORTHLESSNESS,0,s_1351_120_5
"I was abKe to experieJce novelty and joy even if I did still efel lonlfy / depressed adn would sefl harm, I had the ability to enjoy and veel like the r#al me - now all thats goJe and Ive jush gotten buFied into a Sepressive hol4 wheer everyday is lived robotically or ghostly.","I was abKe to experieJce novelty and joy even if I did still efel lonlfy / depressed adn would sefl harm, I had the ability to enjoy and veel like the r#al me - now all thats goJe and Ive jush gotten buFied into a Sepressive hol4 wheer everyday is lived robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_keyboard+ta_char_neighbor,ANHEDONIA,1,s_258_546_2
"I was able to experoence npvelty and joy even fi I did stlil feel Ionely / depressed nad would self marm, I had the ability to enjoy and feel like the real me - now all taNts gone and Ive jus6 gotten buried inHo a dfpressiev hole where everyday is lifed robotically or ghpstly.","I was able to experoence npvelty and joy even fi I did stlil feel Ionely / depressed nad would self marm, I had the ability to enjoy and feel like the real me - now all taNts gone and Ive jus6 gotten buried inHo a dfpressiev hole where everyday is lifed robotically or ghpstly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_keyboard+ta_char_neighbor,ANHEDONIA,1,s_258_546_2
