post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I feet so opperssed.,I feet so opperssed.,I feel so oppressed.,nlp_spelling+ta_char_neighbor,WORTHLESSNESS,0,s_1955_1069_2
I efet so oppressed.,I efet so oppressed.,I feel so oppressed.,nlp_spelling+ta_char_neighbor,WORTHLESSNESS,0,s_1955_1069_2
"I 100% know that if I have to go to college alone without my family ro any suppport mI gonna edn up killing myself. .. . Im barely kepeing my self alive now, I can ' t emagine being alo by mi and dealing with my thougts and emotions!","I 100% know that if I have to go to college alone without my family ro any suppport mI gonna edn up killing myself. .. . Im barely kepeing my self alive now, I can ' t emagine being alo by mi and dealing with my thougts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_spelling+ta_char_neighbor,SUICIDAL_THOUGHTS,1,s_156_366_1
"I 100% know that if I have to go to clolege alone without my family ro any suppport mI gonna end up killing myself. .. . Im barely kepeing my self alive now, I can ' t emagine being alo by mi and dealing with my thougts and emotions!","I 100% know that if I have to go to clolege alone without my family ro any suppport mI gonna end up killing myself. .. . Im barely kepeing my self alive now, I can ' t emagine being alo by mi and dealing with my thougts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_spelling+ta_char_neighbor,SUICIDAL_THOUGHTS,1,s_156_366_1
"It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary ), and that I ma probably asxeual dur ot the fact that me just getn disgusted with myself when it cmes to teh six part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary ), and that I ma probably asxeual dur ot the fact that me just getn disgusted with myself when it cmes to teh six part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_spelling+ta_char_neighbor,ANHEDONIA,0,s_716_26_15
"It was only alter after ym second boyfriend, I realized in cannot feel sexual attraction (if I ahve, it was very temporary ), and that I ma probably asexual due to the fact that I junt gbet disgusted with myself whan it come to the sex part.","It was only alter after ym second boyfriend, I realized in cannot feel sexual attraction (if I ahve, it was very temporary ), and that I ma probably asexual due to the fact that I junt gbet disgusted with myself whan it come to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_spelling+ta_char_neighbor,ANHEDONIA,0,s_716_26_15
Hi dno ' t like me.,Hi dno ' t like me.,I don't like me.,nlp_spelling+ta_char_neighbor,WORTHLESSNESS,1,s_2415_816_5
Im don ' t like em.,Im don ' t like em.,I don't like me.,nlp_spelling+ta_char_neighbor,WORTHLESSNESS,1,s_2415_816_5
I ' ev cryed.,I ' ev cryed.,I've cried.,nlp_spelling+ta_char_neighbor,DEPRESSED_MOOD,1,s_145_86_2
I'm ' ve cired.,I'm ' ve cired.,I've cried.,nlp_spelling+ta_char_neighbor,DEPRESSED_MOOD,1,s_145_86_2
'Im began to cry.,'Im began to cry.,I began to cry.,nlp_spelling+ta_char_neighbor,DEPRESSED_MOOD,1,s_2815_1660_107
Im' began to cry.,Im' began to cry.,I began to cry.,nlp_spelling+ta_char_neighbor,DEPRESSED_MOOD,1,s_2815_1660_107
I herdyl sleep.,I herdyl sleep.,I hardly sleep.,nlp_spelling+ta_char_neighbor,SLEEP_ISSUES,1,s_697_81_3
I herldy sleep.,I herldy sleep.,I hardly sleep.,nlp_spelling+ta_char_neighbor,SLEEP_ISSUES,1,s_697_81_3
I p.m vrey sad.,I p.m vrey sad.,I am very sad.,nlp_spelling+ta_char_neighbor,DEPRESSED_MOOD,0,s_411_1189_1
I p.m very asd.,I p.m very asd.,I am very sad.,nlp_spelling+ta_char_neighbor,DEPRESSED_MOOD,0,s_411_1189_1
Im soon tried,Im soon tried,Im so tired,nlp_spelling+ta_char_neighbor,FATIGUE,1,s_2434_365_0
Im sono tired,Im sono tired,Im so tired,nlp_spelling+ta_char_neighbor,FATIGUE,1,s_2434_365_0
This haec me crying,This haec me crying,This had me crying,nlp_spelling+ta_char_neighbor,DEPRESSED_MOOD,0,s_2464_412_0
hTis had ma crying,hTis had ma crying,This had me crying,nlp_spelling+ta_char_neighbor,DEPRESSED_MOOD,0,s_2464_412_0
I wanna ot die,I wanna ot die,I want to die,nlp_spelling+ta_char_neighbor,SUICIDAL_THOUGHTS,1,s_2118_413_1
I want os die,I want os die,I want to die,nlp_spelling+ta_char_neighbor,SUICIDAL_THOUGHTS,1,s_2118_413_1
I lost mt lbiido.,I lost mt lbiido.,I lost my libido.,nlp_spelling+ta_char_neighbor,ANHEDONIA,1,s_2904_522_5
I lost mt liibdo.,I lost mt liibdo.,I lost my libido.,nlp_spelling+ta_char_neighbor,ANHEDONIA,1,s_2904_522_5
"yM dog is terined to comfort em when I have anxiety, be a physical barrire between me and people when I get panicky, and provide an escuse to leaves a situation i. e. he needs to go potty / eat / dring.","yM dog is terined to comfort em when I have anxiety, be a physical barrire between me and people when I get panicky, and provide an escuse to leaves a situation i. e. he needs to go potty / eat / dring.","My dog is trained to comfort me when I have anxiety, be a physical barrier between me and people when I get panicky, and provide an excuse to leave a situation i.e. he needs to go potty/eat/drink.",nlp_spelling+ta_char_neighbor,PSYCHOMOTOR,1,s_708_315_0
I em being tortrued.,I em being tortrued.,I am being tortured.,nlp_spelling+ta_char_neighbor,WORTHLESSNESS,0,s_1351_120_5
I em being torturde.,I em being torturde.,I am being tortured.,nlp_spelling+ta_char_neighbor,WORTHLESSNESS,0,s_1351_120_5
"I was able to experience novelty and joy even if I idd stilly feel lonely / despressed as would self harm, I kad the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressiev wholes where everyday is lived rbootically or ghostly.","I was able to experience novelty and joy even if I idd stilly feel lonely / despressed as would self harm, I kad the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressiev wholes where everyday is lived rbootically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_spelling+ta_char_neighbor,ANHEDONIA,1,s_258_546_2
"Masturbating right beofre and also during sleep I feel like its affecting my sleep qualitie If I wake up tired it the monning when I should go back to sleep, instead I strat matsurbating hwich also affects how muhc rest I get.","Masturbating right beofre and also during sleep I feel like its affecting my sleep qualitie If I wake up tired it the monning when I should go back to sleep, instead I strat matsurbating hwich also affects how muhc rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_spelling+ta_char_neighbor,SLEEP_ISSUES,1,s_1404_1455_0
"Masturbating right before and also during speep I feel like its affecting my sleep quality If e wake au tired ni then morning when I shuold og back to sleep, instead I start masturbating which also affects how umch rest I get.","Masturbating right before and also during speep I feel like its affecting my sleep quality If e wake au tired ni then morning when I shuold og back to sleep, instead I start masturbating which also affects how umch rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_spelling+ta_char_neighbor,SLEEP_ISSUES,1,s_1404_1455_0
i bo watn to die,i bo watn to die,i do want to die,nlp_spelling+ta_char_neighbor,SUICIDAL_THOUGHTS,1,s_141_110_0
i fo want ot die,i fo want ot die,i do want to die,nlp_spelling+ta_char_neighbor,SUICIDAL_THOUGHTS,1,s_141_110_0
A rcy erytime,A rcy erytime,I cry erytime,nlp_spelling+ta_char_neighbor,DEPRESSED_MOOD,1,s_523_60_1
A cry erytmie,A cry erytmie,I cry erytime,nlp_spelling+ta_char_neighbor,DEPRESSED_MOOD,1,s_523_60_1
i really hate mysles,i really hate mysles,i really hate myself,nlp_spelling+ta_char_neighbor,WORTHLESSNESS,1,s_1194_31_4
