post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I 100% know that if I have to cgo to colclege alone _ my family or any support Im gonna end up killing myself. .. . Im barely _ my self alive now, I can ' t _ beMing all by mqyself and dealing _ my thoughts and _!","I 100% know that if I have to cgo to colclege alone _ my family or any support Im gonna end up killing myself. .. . Im barely _ my self alive now, I can ' t _ beMing all by mqyself and dealing _ my thoughts and _!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randword_sub+ta_char_rand_ins,SUICIDAL_THOUGHTS,1,s_156_366_1
"It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very _ ), and fthat I Lam probably _ due Ato the fact thGat I just get disgusted with myself when it _ _ _ sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very _ ), and fthat I Lam probably _ due Ato the fact thGat I just get disgusted with myself when it _ _ _ sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randword_sub+ta_char_rand_ins,ANHEDONIA,0,s_716_26_15
"_ was only later after my _ boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary ), ansd that I _ probably asexual due to the fact thqat I just get disgustXed with myself wdhen it comes to _ sex _.","_ was only later after my _ boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary ), ansd that I _ probably asexual due to the fact thqat I just get disgustXed with myself wdhen it comes to _ sex _.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randword_sub+ta_char_rand_ins,ANHEDONIA,0,s_716_26_15
I lcry _,I lcry _,I cry erytime,nlp_randword_sub+ta_char_rand_ins,DEPRESSED_MOOD,1,s_523_60_1
I cnry _,I cnry _,I cry erytime,nlp_randword_sub+ta_char_rand_ins,DEPRESSED_MOOD,1,s_523_60_1
"I work from home, and I doGn ' t sleep well for the most part (I have insomnia and completely _ on sleep _, and they tend Rnot to give you a goodd night ' s rest, which results in fatigue _ few hours after waking up ), so at some point during the _, I usually xget a little tired anPd have the _ to just crawl intBo bed and finish my _ later (which _ _ do, but staying awake and doing it right then would bme better ).","I work from home, and I doGn ' t sleep well for the most part (I have insomnia and completely _ on sleep _, and they tend Rnot to give you a goodd night ' s rest, which results in fatigue _ few hours after waking up ), so at some point during the _, I usually xget a little tired anPd have the _ to just crawl intBo bed and finish my _ later (which _ _ do, but staying awake and doing it right then would bme better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_randword_sub+ta_char_rand_ins,SLEEP_ISSUES,1,s_2292_402_1
I waHs _.,I waHs _.,I was useless.,nlp_randword_sub+ta_char_rand_ins,WORTHLESSNESS,1,s_1899_440_13
I Jwas _.,I Jwas _.,I was useless.,nlp_randword_sub+ta_char_rand_ins,WORTHLESSNESS,1,s_1899_440_13
I Uhate _.,I Uhate _.,I hate myself.,nlp_randword_sub+ta_char_rand_ins,WORTHLESSNESS,1,s_1601_880_7
I haRte _.,I haRte _.,I hate myself.,nlp_randword_sub+ta_char_rand_ins,WORTHLESSNESS,1,s_1601_880_7
