post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I feel so oppresqeԁ.,I feel so oppresqeԁ.,I feel so oppressed.,ta_wordswap_homoglyph+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1955_1069_2
I fеfl so oppressed.,I fеfl so oppressed.,I feel so oppressed.,ta_wordswap_homoglyph+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1955_1069_2
I canr stoр crying.,I canr stoр crying.,I cant stop crying.,ta_wordswap_homoglyph+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2334_738_1
I cant syop crуing.,I cant syop crуing.,I cant stop crying.,ta_wordswap_homoglyph+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2334_738_1
"It waѕ only lateⲅ after my second boyfrieոd, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probqbly asexual dje to ghe fact that I just get disgustеd with myself when it comes to ghe sex part.","It waѕ only lateⲅ after my second boyfrieոd, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probqbly asexual dje to ghe fact that I just get disgustеd with myself when it comes to ghe sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_wordswap_homoglyph+ta_wordswap_qwerty,ANHEDONIA,0,s_716_26_15
I don'𝚝 liue me.,I don'𝚝 liue me.,I don't like me.,ta_wordswap_homoglyph+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_816_5
I don't li𝒌e mr.,I don't li𝒌e mr.,I don't like me.,ta_wordswap_homoglyph+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_816_5
I'fe crieԁ.,I'fe crieԁ.,I've cried.,ta_wordswap_homoglyph+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_145_86_2
O've crieԁ.,O've crieԁ.,I've cried.,ta_wordswap_homoglyph+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_145_86_2
I begwn tо cry.,I begwn tо cry.,I began to cry.,ta_wordswap_homoglyph+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2815_1660_107
I begɑn to cfy.,I begɑn to cfy.,I began to cry.,ta_wordswap_homoglyph+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2815_1660_107
I hardly xⅼeep.,I hardly xⅼeep.,I hardly sleep.,ta_wordswap_homoglyph+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_697_81_3
I hafdly slеep.,I hafdly slеep.,I hardly sleep.,ta_wordswap_homoglyph+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_697_81_3
I an vеry sad.,I an vеry sad.,I am very sad.,ta_wordswap_homoglyph+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_411_1189_1
I am vеry szd.,I am vеry szd.,I am very sad.,ta_wordswap_homoglyph+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_411_1189_1
Im do tirеd,Im do tirеd,Im so tired,ta_wordswap_homoglyph+ta_wordswap_qwerty,FATIGUE,1,s_2434_365_0
Im so gіred,Im so gіred,Im so tired,ta_wordswap_homoglyph+ta_wordswap_qwerty,FATIGUE,1,s_2434_365_0
This had ms ϲrying,This had ms ϲrying,This had me crying,ta_wordswap_homoglyph+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_2464_412_0
Yhis had me ϲrying,Yhis had me ϲrying,This had me crying,ta_wordswap_homoglyph+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_2464_412_0
I wxnt to dіe,I wxnt to dіe,I want to die,ta_wordswap_homoglyph+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_2118_413_1
I wɑbt to die,I wɑbt to die,I want to die,ta_wordswap_homoglyph+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_2118_413_1
I lost my libiԁk.,I lost my libiԁk.,I lost my libido.,ta_wordswap_homoglyph+ta_wordswap_qwerty,ANHEDONIA,1,s_2904_522_5
I poѕt my libido.,I poѕt my libido.,I lost my libido.,ta_wordswap_homoglyph+ta_wordswap_qwerty,ANHEDONIA,1,s_2904_522_5
I am beinb tor𝚝ured.,I am beinb tor𝚝ured.,I am being tortured.,ta_wordswap_homoglyph+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1351_120_5
I ak being tortuⲅed.,I ak being tortuⲅed.,I am being tortured.,ta_wordswap_homoglyph+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1351_120_5
i ԁl want to die,i ԁl want to die,i do want to die,ta_wordswap_homoglyph+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_141_110_0
i do want ti dіe,i do want ti dіe,i do want to die,ta_wordswap_homoglyph+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_141_110_0
