post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I 100% knoEw tha^t if I havfe to go to college al(one without my family or any support Im gon2na end up killing mysel)f. .. . Im barealy keeping my self _alilve now, I can ' t imagine being all by Smyself and dealing wit9h Amy thouguhts anOd emotions!","I 100% knoEw tha^t if I havfe to go to college al(one without my family or any support Im gon2na end up killing mysel)f. .. . Im barealy keeping my self _alilve now, I can ' t imagine being all by Smyself and dealing wit9h Amy thouguhts anOd emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randchar_ins+ta_char_rand_ins,SUICIDAL_THOUGHTS,1,s_156_366_1
"It was only lategr aftJer my second boyfriend, I realized I cannot feeSl 7sexual atCtraction (if I have, it was very tempo5rary ), Mand thSat I am probabkly asexual daue to the ftact thvat I just pget disgusted with myself when it comes to the sex Tpart.","It was only lategr aftJer my second boyfriend, I realized I cannot feeSl 7sexual atCtraction (if I have, it was very tempo5rary ), Mand thSat I am probabkly asexual daue to the ftact thvat I just pget disgusted with myself when it comes to the sex Tpart.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_ins+ta_char_rand_ins,ANHEDONIA,0,s_716_26_15
"It was only later after my second boyf&riend, I rGealized I ca%nnot fevel sexual attraction (ilf I h*ave, it was verLy temporary ), and that I am pCrobabl+y asexual due to the fVact that I Vjust get disgusted w^ith Vmyselaf when it comes to thCe sex part.","It was only later after my second boyf&riend, I rGealized I ca%nnot fevel sexual attraction (ilf I h*ave, it was verLy temporary ), and that I am pCrobabl+y asexual due to the fVact that I Vjust get disgusted w^ith Vmyselaf when it comes to thCe sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_ins+ta_char_rand_ins,ANHEDONIA,0,s_716_26_15
"I was jZudst Pfeeling like shit, so I didn ' t eat for a Zwhile, and ltbhen oncUe a week passed and I was feeling OK aBgain, I was waiAtin^g for the "" I ' m hungrWy "" signVal again to eat, but it nelver 7came.","I was jZudst Pfeeling like shit, so I didn ' t eat for a Zwhile, and ltbhen oncUe a week passed and I was feeling OK aBgain, I was waiAtin^g for the "" I ' m hungrWy "" signVal again to eat, but it nelver 7came.","I was just feeling like shit, so I didn't eat for a while, and then once a week passed and I was feeling OK again, I was waiting for the ""I'm hungry"" signal again to eat, but it never came.",nlp_randchar_ins+ta_char_rand_ins,APPETITE_CHANGE,1,s_1294_205_1
"I ' ve bPeen like txhis for a loDnSg timTe nonw wherein I sleep at around 9 or 10wpm, hopinrg to wake up early Pin the morning at aro+und 7 - 8pm, then all of a suGdden I qwake up at 12 or 2am in the morning feePling groggy and noWw I cant get yback bed.","I ' ve bPeen like txhis for a loDnSg timTe nonw wherein I sleep at around 9 or 10wpm, hopinrg to wake up early Pin the morning at aro+und 7 - 8pm, then all of a suGdden I qwake up at 12 or 2am in the morning feePling groggy and noWw I cant get yback bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randchar_ins+ta_char_rand_ins,SLEEP_ISSUES,1,s_852_229_1
"I was able to experience novelty and joy e8vpen if I did stil@l feel lonely / depressed and woluld self harIjm, I had the ability to enjoy and feel l^ike the Lreal me - now all thats dgone and Ive just gotten Mburied into a depressivGe hoLle wndhere everyday Qis lived robotically or ghostly.","I was able to experience novelty and joy e8vpen if I did stil@l feel lonely / depressed and woluld self harIjm, I had the ability to enjoy and feel l^ike the Lreal me - now all thats dgone and Ive just gotten Mburied into a depressivGe hoLle wndhere everyday Qis lived robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_randchar_ins+ta_char_rand_ins,ANHEDONIA,1,s_258_546_2
I ' ve actually Mastarted addtiIng a zru#le where I wo+nt sIleep past 10am on Sundays because otherwtise I can ' t get to slFeep befor5e miSdnight Sunday night which fucks my sleep befor)e work on Monday.,I ' ve actually Mastarted addtiIng a zru#le where I wo+nt sIleep past 10am on Sundays because otherwtise I can ' t get to slFeep befor5e miSdnight Sunday night which fucks my sleep befor)e work on Monday.,I've actually started adding a rule where I wont sleep past 10am on Sundays because otherwise I can't get to sleep before midnight Sunday night which fucks my sleep before work on Monday.,nlp_randchar_ins+ta_char_rand_ins,SLEEP_ISSUES,0,s_2460_874_3
"Masturbating righwt before and ualso during sleep I feel like its affect!ing nmy sle1ep quality If I wake up 5tired in the mWtorning wheen I shtould go wback to sleep, ins6tead I start masturbating whicbh Balso affects how much rest I get.","Masturbating righwt before and ualso during sleep I feel like its affect!ing nmy sle1ep quality If I wake up 5tired in the mWtorning wheen I shtould go wback to sleep, ins6tead I start masturbating whicbh Balso affects how much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_randchar_ins+ta_char_rand_ins,SLEEP_ISSUES,1,s_1404_1455_0
"I work frRom home, and I don ' t sleep well Cfor the most part (I have insomnia and completely rely on vsleep aifds, and they tend not to ggive you a gooSd night ' s rest, whcich results in fatigoue a fqew zhourqs after waking up ), so at soQmMe point during the day, I usually get a little tired and have the urge to jXusOt crawl into bed and finish my wo#rk later (which I could do, but stayin*g awake and doing it right then woulrd be better ).","I work frRom home, and I don ' t sleep well Cfor the most part (I have insomnia and completely rely on vsleep aifds, and they tend not to ggive you a gooSd night ' s rest, whcich results in fatigoue a fqew zhourqs after waking up ), so at soQmMe point during the day, I usually get a little tired and have the urge to jXusOt crawl into bed and finish my wo#rk later (which I could do, but stayin*g awake and doing it right then woulrd be better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_randchar_ins+ta_char_rand_ins,SLEEP_ISSUES,1,s_2292_402_1
"I work from home, and I don ' t sleep well for the most phart (I have insomnia and completely rely won vsleep aifds, Mand thSey tend not to ggive you a gooSd night ' s rest, which results in fatigoue a few zhours after waking up ), so at some poinRt during the day, I usually get a little tired and have the urge to jusOt crawl into bed and finish my wo#rk later (which I could do, but stayin*g awakfe and doing it rirght then woulrd Cbe better ).","I work from home, and I don ' t sleep well for the most phart (I have insomnia and completely rely won vsleep aifds, Mand thSey tend not to ggive you a gooSd night ' s rest, which results in fatigoue a few zhours after waking up ), so at some poinRt during the day, I usually get a little tired and have the urge to jusOt crawl into bed and finish my wo#rk later (which I could do, but stayin*g awakfe and doing it rirght then woulrd Cbe better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_randchar_ins+ta_char_rand_ins,SLEEP_ISSUES,1,s_2292_402_1
