post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I so opprDssed.,I so opprDssed.,I feel so oppressed.,nlp_randword_delete+ta_char_rand_swap,WORTHLESSNESS,0,s_1955_1069_2
I feeK oppressed.,I feeK oppressed.,I feel so oppressed.,nlp_randword_delete+ta_char_rand_swap,WORTHLESSNESS,0,s_1955_1069_2
I wXs filled energy.,I wXs filled energy.,I was filled with energy.,nlp_randword_delete+ta_char_rand_swap,FATIGUE,1,s_993_1060_1
I Pas filled energy.,I Pas filled energy.,I was filled with energy.,nlp_randword_delete+ta_char_rand_swap,FATIGUE,1,s_993_1060_1
I hate that i am rG.,I hate that i am rG.,I hate that i am crying rn.,nlp_randword_delete+ta_char_rand_swap,DEPRESSED_MOOD,1,s_321_219_4
I hate thaA i am rn.,I hate thaA i am rn.,I hate that i am crying rn.,nlp_randword_delete+ta_char_rand_swap,DEPRESSED_MOOD,1,s_321_219_4
Now I cbn ' t stop.,Now I cbn ' t stop.,Now I can't stop crying.,nlp_randword_delete+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2338_920_11
Fow I can ' t stop.,Fow I can ' t stop.,Now I can't stop crying.,nlp_randword_delete+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2338_920_11
"I 100% know Ohat if to go to kollege alone without my family or support Im gonna end um killing myself. .. . Im barely my self alive now, I can ' t imagine being all mysels and dealing with my thoughts and emotions!","I 100% know Ohat if to go to kollege alone without my family or support Im gonna end um killing myself. .. . Im barely my self alive now, I can ' t imagine being all mysels and dealing with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randword_delete+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_156_366_1
"I 100% know that if to go to college qlKne without my family or support Im gonna end up killing mysSlf. .. . II barely my self alive now, I can ' t imagine being all myself and dealing with my thoughts and emotions!","I 100% know that if to go to college qlKne without my family or support Im gonna end up killing mysSlf. .. . II barely my self alive now, I can ' t imagine being all myself and dealing with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randword_delete+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_156_366_1
MT life is going.,MT life is going.,My life is going nowhere.,nlp_randword_delete+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2455_114_1
My Hs going nowhere.,My Hs going nowhere.,My life is going nowhere.,nlp_randword_delete+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2455_114_1
I shop crying.,I shop crying.,I cant stop crying.,nlp_randword_delete+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2334_738_1
I stop rrying.,I stop rrying.,I cant stop crying.,nlp_randword_delete+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2334_738_1
I drn ' t like.,I drn ' t like.,I don't like me.,nlp_randword_delete+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_816_5
I dSn ' like me.,I dSn ' like me.,I don't like me.,nlp_randword_delete+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_816_5
Im generalWy tired,Im generalWy tired,Im generally tired So,nlp_randword_delete+ta_char_rand_swap,FATIGUE,1,s_2007_1467_0
IC tired So,IC tired So,Im generally tired So,nlp_randword_delete+ta_char_rand_swap,FATIGUE,1,s_2007_1467_0
' ve crieg.,' ve crieg.,I've cried.,nlp_randword_delete+ta_char_rand_swap,DEPRESSED_MOOD,1,s_145_86_2
I ' gried.,I ' gried.,I've cried.,nlp_randword_delete+ta_char_rand_swap,DEPRESSED_MOOD,1,s_145_86_2
Began to cyy.,Began to cyy.,I began to cry.,nlp_randword_delete+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2815_1660_107
Began to crP.,Began to crP.,I began to cry.,nlp_randword_delete+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2815_1660_107
Imra go kill now,Imra go kill now,Imma go kill myself now,nlp_randword_delete+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_2638_683_0
Ibma go myself now,Ibma go myself now,Imma go kill myself now,nlp_randword_delete+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_2638_683_0
Hardly sxeep.,Hardly sxeep.,I hardly sleep.,nlp_randword_delete+ta_char_rand_swap,SLEEP_ISSUES,1,s_697_81_3
Hardly sleqp.,Hardly sleqp.,I hardly sleep.,nlp_randword_delete+ta_char_rand_swap,SLEEP_ISSUES,1,s_697_81_3
I am sOd.,I am sOd.,I am very sad.,nlp_randword_delete+ta_char_rand_swap,DEPRESSED_MOOD,0,s_411_1189_1
I very saH.,I very saH.,I am very sad.,nlp_randword_delete+ta_char_rand_swap,DEPRESSED_MOOD,0,s_411_1189_1
I feKl really sad,I feKl really sad,I feel kinda really sad,nlp_randword_delete+ta_char_rand_swap,DEPRESSED_MOOD,1,s_962_142_0
I feel kinda ssd,I feel kinda ssd,I feel kinda really sad,nlp_randword_delete+ta_char_rand_swap,DEPRESSED_MOOD,1,s_962_142_0
I am very depresced.,I am very depresced.,I am very depressed also.,nlp_randword_delete+ta_char_rand_swap,DEPRESSED_MOOD,1,s_131_822_0
I am vere depressed.,I am vere depressed.,I am very depressed also.,nlp_randword_delete+ta_char_rand_swap,DEPRESSED_MOOD,1,s_131_822_0
"I ' ve been like this for a long time now wherein I sleep at around 9 or, to wake up early in the mornihg at around 7 - 8mm, then all of a wake up Kt 12 or 2am in the morning feeling and nGw I cant get back bed.","I ' ve been like this for a long time now wherein I sleep at around 9 or, to wake up early in the mornihg at around 7 - 8mm, then all of a wake up Kt 12 or 2am in the morning feeling and nGw I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randword_delete+ta_char_rand_swap,SLEEP_ISSUES,1,s_852_229_1
"I ' ve been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in morning around 7 -, then dll of a Rudden wake up at 12 or in the morping feeling groggy and now I cant get back fed.","I ' ve been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in morning around 7 -, then dll of a Rudden wake up at 12 or in the morping feeling groggy and now I cant get back fed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randword_delete+ta_char_rand_swap,SLEEP_ISSUES,1,s_852_229_1
So tpred,So tpred,Im so tired,nlp_randword_delete+ta_char_rand_swap,FATIGUE,1,s_2434_365_0
SM tired,SM tired,Im so tired,nlp_randword_delete+ta_char_rand_swap,FATIGUE,1,s_2434_365_0
This had mF,This had mF,This had me crying,nlp_randword_delete+ta_char_rand_swap,DEPRESSED_MOOD,0,s_2464_412_0
This me crling,This me crling,This had me crying,nlp_randword_delete+ta_char_rand_swap,DEPRESSED_MOOD,0,s_2464_412_0
WCnt to die,WCnt to die,I want to die,nlp_randword_delete+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_2118_413_1
Want Ro die,Want Ro die,I want to die,nlp_randword_delete+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_2118_413_1
I lort my.,I lort my.,I lost my libido.,nlp_randword_delete+ta_char_rand_swap,ANHEDONIA,1,s_2904_522_5
I lost libgdo.,I lost libgdo.,I lost my libido.,nlp_randword_delete+ta_char_rand_swap,ANHEDONIA,1,s_2904_522_5
I jxst cant enjoy.,I jxst cant enjoy.,I just cant enjoy anything.,nlp_randword_delete+ta_char_rand_swap,ANHEDONIA,1,s_1404_60_7
I just cand enjoy.,I just cand enjoy.,I just cant enjoy anything.,nlp_randword_delete+ta_char_rand_swap,ANHEDONIA,1,s_1404_60_7
"I feVl worthless,.","I feVl worthless,.","I feel  worthless, hopeless.",nlp_randword_delete+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_615_3
"I feel worIhless,.","I feel worIhless,.","I feel  worthless, hopeless.",nlp_randword_delete+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_615_3
"I feVl worthless,.","I feVl worthless,.","I feel  worthless, hopeless.",nlp_randword_delete+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_615_3
"I seel worthless,.","I seel worthless,.","I feel  worthless, hopeless.",nlp_randword_delete+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_615_3
"I feel worIhless,.","I feel worIhless,.","I feel  worthless, hopeless.",nlp_randword_delete+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_615_3
"I seel worthless,.","I seel worthless,.","I feel  worthless, hopeless.",nlp_randword_delete+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_615_3
I am tortuqed.,I am tortuqed.,I am being tortured.,nlp_randword_delete+ta_char_rand_swap,WORTHLESSNESS,0,s_1351_120_5
I Qm tortured.,I Qm tortured.,I am being tortured.,nlp_randword_delete+ta_char_rand_swap,WORTHLESSNESS,0,s_1351_120_5
I mystlf to sleep.,I mystlf to sleep.,I cried myself to sleep.,nlp_randword_delete+ta_char_rand_swap,DEPRESSED_MOOD,1,s_1692_755_113
