post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I ee1 s0 opprssed.,I ee1 s0 opprssed.,I feel so oppressed.,nlp_ocr+nlp_randchar_del,WORTHLESSNESS,0,s_1955_1069_2
I ee1 so opressed.,I ee1 so opressed.,I feel so oppressed.,nlp_ocr+nlp_randchar_del,WORTHLESSNESS,0,s_1955_1069_2
1 ate tht i am rying kn.,1 ate tht i am rying kn.,I hate that i am crying rn.,nlp_ocr+nlp_randchar_del,DEPRESSED_MOOD,1,s_321_219_4
I hte tha i am cying kn.,I hte tha i am cying kn.,I hate that i am crying rn.,nlp_ocr+nlp_randchar_del,DEPRESSED_MOOD,1,s_321_219_4
"1 100% know that if I have to go to college alone ithout my family or any support 1m gnna end up kiling my8elf. .. . 1m arely keeping my elf aliv now, I can ' t imagine 6eing all 6y yself and ealing with my thoughs and emotion!","1 100% know that if I have to go to college alone ithout my family or any support 1m gnna end up kiling my8elf. .. . 1m arely keeping my elf aliv now, I can ' t imagine 6eing all 6y yself and ealing with my thoughs and emotion!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_ocr+nlp_randchar_del,SUICIDAL_THOUGHTS,1,s_156_366_1
"1 100% know tht if I have to go to college alone ithout my amily or any support 1m gonna end up killin my8elf. .. . 1m baely keeping my self live now, I can ' t magine 6eing all 6y myself and dealin wih my toughts and emotion8!","1 100% know tht if I have to go to college alone ithout my amily or any support 1m gonna end up killin my8elf. .. . 1m baely keeping my self live now, I can ' t magine 6eing all 6y myself and dealin wih my toughts and emotion8!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_ocr+nlp_randchar_del,SUICIDAL_THOUGHTS,1,s_156_366_1
My sex drve ha8 bee in verdrive for yeas (1 ' m 2 @) I lve anythng sexul.,My sex drve ha8 bee in verdrive for yeas (1 ' m 2 @) I lve anythng sexul.,My sex drive has been in overdrive for years (I'm 28) I love anything sexual.,nlp_ocr+nlp_randchar_del,ANHEDONIA,0,s_2748_341_0
My sex dive ha8 ben in uerdrive for year (1 ' m 2 @) I lve aything sexua.,My sex dive ha8 ben in uerdrive for year (1 ' m 2 @) I lve aything sexua.,My sex drive has been in overdrive for years (I'm 28) I love anything sexual.,nlp_ocr+nlp_randchar_del,ANHEDONIA,0,s_2748_341_0
I cant top cryin.,I cant top cryin.,I cant stop crying.,nlp_ocr+nlp_randchar_del,DEPRESSED_MOOD,1,s_2334_738_1
I cant s0p cying.,I cant s0p cying.,I cant stop crying.,nlp_ocr+nlp_randchar_del,DEPRESSED_MOOD,1,s_2334_738_1
