post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I fe2l sо oppresssd.,I fe2l sо oppresssd.,I feel so oppressed.,nlp_keyboard+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1955_1069_2
I fee> so oOprеssed.,I fee> so oOprеssed.,I feel so oppressed.,nlp_keyboard+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1955_1069_2
"I 100% knos thQt if I have to go to cKllege Wlone without my famJly or any support Im gonna end up killing myself. .. . Im barely keepinT my self aⅼiv3 now, I can ' t imanine being all bу nyseⅼf and dealiMg witհ my thoughts and emotions!","I 100% knos thQt if I have to go to cKllege Wlone without my famJly or any support Im gonna end up killing myself. .. . Im barely keepinT my self aⅼiv3 now, I can ' t imanine being all bу nyseⅼf and dealiMg witհ my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_keyboard+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_156_366_1
I cant ztop c$yіng.,I cant ztop c$yіng.,I cant stop crying.,nlp_keyboard+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2334_738_1
I cqnt W𝚝op crying.,I cqnt W𝚝op crying.,I cant stop crying.,nlp_keyboard+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2334_738_1
I dоn ' t loke me.,I dоn ' t loke me.,I don't like me.,nlp_keyboard+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
I dоn ' t likF me.,I dоn ' t likF me.,I don't like me.,nlp_keyboard+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
I ' ve ϲrisd.,I ' ve ϲrisd.,I've cried.,nlp_keyboard+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
I ' ve crisԁ.,I ' ve crisԁ.,I've cried.,nlp_keyboard+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
I b@gan to ϲry.,I b@gan to ϲry.,I began to cry.,nlp_keyboard+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2815_1660_107
I begxn to cⲅy.,I begxn to cⲅy.,I began to cry.,nlp_keyboard+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2815_1660_107
I hxrdly sⅼee).,I hxrdly sⅼee).,I hardly sleep.,nlp_keyboard+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_697_81_3
I hxrdⅼy slee).,I hxrdⅼy slee).,I hardly sleep.,nlp_keyboard+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_697_81_3
I am veⲅ5 sad.,I am veⲅ5 sad.,I am very sad.,nlp_keyboard+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_411_1189_1
I am Ьery sad.,I am Ьery sad.,I am very sad.,nlp_keyboard+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_411_1189_1
