post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I detest that i'm crying rn.,I detest that i'm crying rn.,I hate that i am crying rn.,nlp_wordnet_insert+ta_contraction,DEPRESSED_MOOD,1,s_321_219_4
I've been feeling downward on and off.,I've been feeling downward on and off.,I have been feeling down on and off.,nlp_wordnet_insert+ta_contraction,DEPRESSED_MOOD,1,s_2035_91_6
I'm rattling depressed also.,I'm rattling depressed also.,I am very depressed also.,nlp_wordnet_insert+ta_contraction,DEPRESSED_MOOD,1,s_131_822_0
I'm being excruciate.,I'm being excruciate.,I am being tortured.,nlp_wordnet_insert+ta_contraction,WORTHLESSNESS,0,s_1351_120_5
I'm be tortured.,I'm be tortured.,I am being tortured.,nlp_wordnet_insert+ta_contraction,WORTHLESSNESS,0,s_1351_120_5
I've no muscularity at all.,I've no muscularity at all.,I have no energy at all.,nlp_wordnet_insert+ta_contraction,FATIGUE,1,s_1455_72_50
I am scared I won't constitute a successful man in the hereafter,I am scared I won't constitute a successful man in the hereafter,I am scared I will not be a successful man in the future,nlp_wordnet_insert+ta_contraction,DEPRESSED_MOOD,1,s_65_110_0
I am frighten away I won't be a successful man in the future,I am frighten away I won't be a successful man in the future,I am scared I will not be a successful man in the future,nlp_wordnet_insert+ta_contraction,DEPRESSED_MOOD,1,s_65_110_0
I'm. . unhappiness,I'm. . unhappiness,I am.. sadness,nlp_wordnet_insert+ta_contraction,DEPRESSED_MOOD,1,s_855_1863_0
Then I'd get really angry at prison term.,Then I'd get really angry at prison term.,Then I would get really angry at times.,nlp_wordnet_insert+ta_contraction,DEPRESSED_MOOD,1,s_84_60_2
I'm highly suicidal atm.,I'm highly suicidal atm.,I am extremely suicidal atm.,nlp_wordnet_insert+ta_contraction,SUICIDAL_THOUGHTS,1,s_2800_49_0
I've already planned my own felo de se.,I've already planned my own felo de se.,I have already planned my own suicide.,nlp_wordnet_insert+ta_contraction,SUICIDAL_THOUGHTS,1,s_1989_742_0
I've already planned my ain suicide.,I've already planned my ain suicide.,I have already planned my own suicide.,nlp_wordnet_insert+ta_contraction,SUICIDAL_THOUGHTS,1,s_1989_742_0
Simply I'm feeling miserable.,Simply I'm feeling miserable.,But I am feeling miserable.,nlp_wordnet_insert+ta_contraction,WORTHLESSNESS,1,s_2415_600_3
But I'm feel miserable.,But I'm feel miserable.,But I am feeling miserable.,nlp_wordnet_insert+ta_contraction,WORTHLESSNESS,1,s_2415_600_3
I'm sad wait.,I'm sad wait.,I am sad waiting.,nlp_wordnet_insert+ta_contraction,DEPRESSED_MOOD,0,s_577_923_1
I'm pitiful waiting.,I'm pitiful waiting.,I am sad waiting.,nlp_wordnet_insert+ta_contraction,DEPRESSED_MOOD,0,s_577_923_1
I've issues in focalise and attention.,I've issues in focalise and attention.,I have issues in focusing and attention.,nlp_wordnet_insert+ta_contraction,COGNITIVE_ISSUES,0,s_2257_110_29
I've issues in focusing and aid.,I've issues in focusing and aid.,I have issues in focusing and attention.,nlp_wordnet_insert+ta_contraction,COGNITIVE_ISSUES,0,s_2257_110_29
Iodin cant focus and i've no energy.,Iodin cant focus and i've no energy.,I cant focus and i have no energy.,nlp_wordnet_insert+ta_contraction,COGNITIVE_ISSUES,1,s_1404_729_2
I scarcely get into ' t think I'd like to live anymore.,I scarcely get into ' t think I'd like to live anymore.,I just don't think I would like to live anymore.,nlp_wordnet_insert+ta_contraction,SUICIDAL_THOUGHTS,1,s_2415_738_1
I've sleep palsy almost every night.,I've sleep palsy almost every night.,I have sleep paralysis almost every night.,nlp_wordnet_insert+ta_contraction,SLEEP_ISSUES,1,s_2008_331_0
I've always fail.,I've always fail.,I have always failed.,nlp_wordnet_insert+ta_contraction,WORTHLESSNESS,1,s_356_95_6
I've always give way.,I've always give way.,I have always failed.,nlp_wordnet_insert+ta_contraction,WORTHLESSNESS,1,s_356_95_6
I'm fucking war cry.,I'm fucking war cry.,I am fucking CRYING.,nlp_wordnet_insert+ta_contraction,DEPRESSED_MOOD,1,s_74_207_1
I'm in a constant quandary.,I'm in a constant quandary.,I am in a constant dilemma.,nlp_wordnet_insert+ta_contraction,COGNITIVE_ISSUES,0,s_2415_1014_1
I'm kinda wild all the time.,I'm kinda wild all the time.,I am kinda angry all the time.,nlp_wordnet_insert+ta_contraction,DEPRESSED_MOOD,1,s_1749_859_23
I'd very like some free energy right now.,I'd very like some free energy right now.,I would really like some free energy right now.,nlp_wordnet_insert+ta_contraction,FATIGUE,1,s_969_1077_3
I'd really care some free energy right now.,I'd really care some free energy right now.,I would really like some free energy right now.,nlp_wordnet_insert+ta_contraction,FATIGUE,1,s_969_1077_3
i've nothing to dwell for personally.,i've nothing to dwell for personally.,i have nothing to live for personally.,nlp_wordnet_insert+ta_contraction,DEPRESSED_MOOD,1,s_699_4_6
i've zilch to live for personally.,i've zilch to live for personally.,i have nothing to live for personally.,nlp_wordnet_insert+ta_contraction,DEPRESSED_MOOD,1,s_699_4_6
I'm very focalise on sex.,I'm very focalise on sex.,I am very focused on sex.,nlp_wordnet_insert+ta_contraction,SPECIAL_CASE,1,s_731_903_4
Wow it knows how sorry I'm,Wow it knows how sorry I'm,Wow it knows how sad I am,nlp_wordnet_insert+ta_contraction,DEPRESSED_MOOD,1,s_694_827_0
I'm go bad miserably.,I'm go bad miserably.,I am failing miserably.,nlp_wordnet_insert+ta_contraction,WORTHLESSNESS,1,s_993_720_4
Even my low pain days I've no zip.,Even my low pain days I've no zip.,Even my low pain days I have no energy.,nlp_wordnet_insert+ta_contraction,FATIGUE,1,s_1749_905_17
