post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I would 100% kno here that if I actually have to go go to college alone without my m family members or any support Im gonna just end up killing myself....m barely keeping my my self alive now, I can't imagine being ere all alone by myself ad dealing with my thoughts and emotions!","I would 100% kno here that if I actually have to go go to college alone without my m family members or any support Im gonna just end up killing myself....m barely keeping my my self alive now, I can't imagine being ere all alone by myself ad dealing with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_cwe_insert_roberta+ta_char_rand_del,SUICIDAL_THOUGHTS,1,s_156_366_1
"I 100% know that if I hav to ever go to junior college this alone withut my family or any other support Im probably onna literally end up killing myself....Im only barely keeping up my little self consciousness alive nw, I can't imagine being all by myself and dealing with my thoughts nd emotions!","I 100% know that if I hav to ever go to junior college this alone withut my family or any other support Im probably onna literally end up killing myself....Im only barely keeping up my little self consciousness alive nw, I can't imagine being all by myself and dealing with my thoughts nd emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_cwe_insert_roberta+ta_char_rand_del,SUICIDAL_THOUGHTS,1,s_156_366_1
"Then the the general fatigue , always always tired, Your body just feels very heavy - I have a few sudden energy peaks but gnerally fatigue by 5pm, I just want to really sleep or sometimes feel like Im wating around o seep.","Then the the general fatigue , always always tired, Your body just feels very heavy - I have a few sudden energy peaks but gnerally fatigue by 5pm, I just want to really sleep or sometimes feel like Im wating around o seep.","Then the fatigue , always always tired, body feels heavy - I have a few energy peaks but generally by 5pm, I just want to sleep or feel like Im waiting to sleep.",nlp_cwe_insert_roberta+ta_char_rand_del,FATIGUE,1,s_258_598_3
"Then the fatigu , as always , always tired, body feels heavy - I will have a nice few energy peaks ut generally by 5pm, I just want just to goto sleep – or still feel like Im still waiting or to sleep.","Then the fatigu , as always , always tired, body feels heavy - I will have a nice few energy peaks ut generally by 5pm, I just want just to goto sleep – or still feel like Im still waiting or to sleep.","Then the fatigue , always always tired, body feels heavy - I have a few energy peaks but generally by 5pm, I just want to sleep or feel like Im waiting to sleep.",nlp_cwe_insert_roberta+ta_char_rand_del,FATIGUE,1,s_258_598_3
"Then inevitably the extreme fatigue strikes , I always always tired, body feels heavy - ctually I would have a few energy peks but generally fatigue by 5pm, I really just not want o sleep or feel rstless like Im waiting to sleep.","Then inevitably the extreme fatigue strikes , I always always tired, body feels heavy - ctually I would have a few energy peks but generally fatigue by 5pm, I really just not want o sleep or feel rstless like Im waiting to sleep.","Then the fatigue , always always tired, body feels heavy - I have a few energy peaks but generally by 5pm, I just want to sleep or feel like Im waiting to sleep.",nlp_cwe_insert_roberta+ta_char_rand_del,SLEEP_ISSUES,1,s_258_598_3
"Then the the general fatigue , always always tired, Your body just fees very heavy - I have a few sudden energy peaks bt generally fatigue by 5pm, I just wan to really sleep or sometimes fel like Im waiting around to sleep.","Then the the general fatigue , always always tired, Your body just fees very heavy - I have a few sudden energy peaks bt generally fatigue by 5pm, I just wan to really sleep or sometimes fel like Im waiting around to sleep.","Then the fatigue , always always tired, body feels heavy - I have a few energy peaks but generally by 5pm, I just want to sleep or feel like Im waiting to sleep.",nlp_cwe_insert_roberta+ta_char_rand_del,SLEEP_ISSUES,1,s_258_598_3
"Then the the general fatigue , always always tired, Your body just fees very heavy - I have a few sudden energy peaks bt generally fatigue by 5pm, I just wan to really sleep or sometimes fel like Im waiting around to sleep.","Then the the general fatigue , always always tired, Your body just fees very heavy - I have a few sudden energy peaks bt generally fatigue by 5pm, I just wan to really sleep or sometimes fel like Im waiting around to sleep.","Then the fatigue , always always tired, body feels heavy - I have a few energy peaks but generally by 5pm, I just want to sleep or feel like Im waiting to sleep.",nlp_cwe_insert_roberta+ta_char_rand_del,FATIGUE,1,s_258_598_3
"Then the fatigu , as always , always tired, body feels heavy - I will have a nice few energy peaks ut generally by 5pm, I just want just to goto sleep – or still feel like Im still waiting or to sleep.","Then the fatigu , as always , always tired, body feels heavy - I will have a nice few energy peaks ut generally by 5pm, I just want just to goto sleep – or still feel like Im still waiting or to sleep.","Then the fatigue , always always tired, body feels heavy - I have a few energy peaks but generally by 5pm, I just want to sleep or feel like Im waiting to sleep.",nlp_cwe_insert_roberta+ta_char_rand_del,FATIGUE,1,s_258_598_3
"It was only laer after my second boyfriend, where I realized I definitely cannot feel sexual attraction (i when I have, it was very temporary), etc and that I am probably borderline asexual due more to the fact that that I jus get disgusted contantly with myself when honestly it eer comes to the sex part.","It was only laer after my second boyfriend, where I realized I definitely cannot feel sexual attraction (i when I have, it was very temporary), etc and that I am probably borderline asexual due more to the fact that that I jus get disgusted contantly with myself when honestly it eer comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_cwe_insert_roberta+ta_char_rand_del,ANHEDONIA,0,s_716_26_15
"It was just only later after fucking my second boyfriend, I realized I cannot actually feel sexual attraction (if only I sometimes have, it was vey quite temporary), and that I am probably actually asexua mostly due t the fact that I just cannot get disgusted with myself when i comes to the eal sex part.","It was just only later after fucking my second boyfriend, I realized I cannot actually feel sexual attraction (if only I sometimes have, it was vey quite temporary), and that I am probably actually asexua mostly due t the fact that I just cannot get disgusted with myself when i comes to the eal sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_cwe_insert_roberta+ta_char_rand_del,ANHEDONIA,0,s_716_26_15
"Am I ever really asexual base on all my current feelings about and thoughts, why or do I not inherently like the general idea of sex only because I I honestly haven't really experienced et ho good i even feels?","Am I ever really asexual base on all my current feelings about and thoughts, why or do I not inherently like the general idea of sex only because I I honestly haven't really experienced et ho good i even feels?","Am I really asexual based on my current feelings and thoughts, or do I not like the idea of sex only because I haven't experienced yet how good it feels?",nlp_cwe_insert_roberta+ta_char_rand_del,ANHEDONIA,0,s_1404_1071_7
"Am I actually really asexual and based on my current feelings and thoughts, or also do I not just like the idea of hot sex only becaue o I simply haven't experienced yet yet xactly hw unbelievably good it feels?","Am I actually really asexual and based on my current feelings and thoughts, or also do I not just like the idea of hot sex only becaue o I simply haven't experienced yet yet xactly hw unbelievably good it feels?","Am I really asexual based on my current feelings and thoughts, or do I not like the idea of sex only because I haven't experienced yet how good it feels?",nlp_cwe_insert_roberta+ta_char_rand_del,ANHEDONIA,0,s_1404_1071_7
"I was just feelng le like sht, so I really didn't eat for a long while, and then once a week passed and I was feeling OK again, I as like waiting for that the ""I'm hungry"" little signal that again like to always eat, but it never ever came.","I was just feelng le like sht, so I really didn't eat for a long while, and then once a week passed and I was feeling OK again, I as like waiting for that the ""I'm hungry"" little signal that again like to always eat, but it never ever came.","I was just feeling like shit, so I didn't eat for a while, and then once a week passed and I was feeling OK again, I was waiting for the ""I'm hungry"" signal again to eat, but it never came.",nlp_cwe_insert_roberta+ta_char_rand_del,APPETITE_CHANGE,1,s_1294_205_1
I'm scared enough of the future no okay i just still feel like i kid myself and i do love that about i myself i feel hopelessly alone like nobody eve seems to ctually undersand this might sound cliche though but yah fuck it.,I'm scared enough of the future no okay i just still feel like i kid myself and i do love that about i myself i feel hopelessly alone like nobody eve seems to ctually undersand this might sound cliche though but yah fuck it.,I'm scared of the future okay i still feel like i kid and i love that about myself i feel hopelessly alone like nobody seems to understand this might sound cliche but fuck it.,nlp_cwe_insert_roberta+ta_char_rand_del,DEPRESSED_MOOD,1,s_2024_442_7
I'm scared enough of the future no okay i just still feel like i kid myself and i do love that about i myself i feel hopelessly alone like nobody eve seems to ctually undersand this might sound cliche though but yah fuck it.,I'm scared enough of the future no okay i just still feel like i kid myself and i do love that about i myself i feel hopelessly alone like nobody eve seems to ctually undersand this might sound cliche though but yah fuck it.,I'm scared of the future okay i still feel like i kid and i love that about myself i feel hopelessly alone like nobody seems to understand this might sound cliche but fuck it.,nlp_cwe_insert_roberta+ta_char_rand_del,DEPRESSED_MOOD,1,s_2024_442_7
"I've been like this for a long ime before now wherein because I sleep out at usualy around 9 or 10pm, hoping to wake up ealy in from the morning till at usualy aund 7-8pm, then all of a sudden – I wake up at 12 or 2am high in the morning feeling groggy – and now I cant get back bed.","I've been like this for a long ime before now wherein because I sleep out at usualy around 9 or 10pm, hoping to wake up ealy in from the morning till at usualy aund 7-8pm, then all of a sudden – I wake up at 12 or 2am high in the morning feeling groggy – and now I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_cwe_insert_roberta+ta_char_rand_del,SLEEP_ISSUES,1,s_852_229_1
"I sleep late at 9 nigh like most people do, and I sleep periodically lae during the da because it's generally the only realistic way I know to reliably escape the inevitable depression crises and anxiety strikes I go through at roughly all other ties.","I sleep late at 9 nigh like most people do, and I sleep periodically lae during the da because it's generally the only realistic way I know to reliably escape the inevitable depression crises and anxiety strikes I go through at roughly all other ties.","I sleep at night like most people do, and I sleep periodically during the day because it's the only way I know to escape the inevitable depression and anxiety I go through at all times.",nlp_cwe_insert_roberta+ta_char_rand_del,SLEEP_ISSUES,1,s_2292_195_42
"I dont REALLY know how it feels to be finally happy or even finally enjoy just soething, partially because the ERY last time that I ad enjoyed anything was from so long ways ago that I dont remember it.","I dont REALLY know how it feels to be finally happy or even finally enjoy just soething, partially because the ERY last time that I ad enjoyed anything was from so long ways ago that I dont remember it.","I dont know how it feels to be happy or even enjoy something, because the last time I enjoyed anything was so long ago that I dont remember it.",nlp_cwe_insert_roberta+ta_char_rand_del,ANHEDONIA,1,s_1404_60_1
"I dont know how it feels to be genuinely happy abot or generally even enjoy getting something, because the exact lat time where I enjoyed eating anything as so fucking long ago now that I dont remember seeing it.","I dont know how it feels to be genuinely happy abot or generally even enjoy getting something, because the exact lat time where I enjoyed eating anything as so fucking long ago now that I dont remember seeing it.","I dont know how it feels to be happy or even enjoy something, because the last time I enjoyed anything was so long ago that I dont remember it.",nlp_cwe_insert_roberta+ta_char_rand_del,ANHEDONIA,1,s_1404_60_1
"I cannot enjoy visiting my favorite food, also I even cannot fully enjoy playing videogames, even I almost cannot enjoy enjoy going outside, I ate life and yet there is no feling more fun in real life for m.","I cannot enjoy visiting my favorite food, also I even cannot fully enjoy playing videogames, even I almost cannot enjoy enjoy going outside, I ate life and yet there is no feling more fun in real life for m.","I cannot enjoy my favorite food, I cannot enjoy playing videogames, I cannot enjoy going outside, I hate life and there is no more fun in life for me.",nlp_cwe_insert_roberta+ta_char_rand_del,ANHEDONIA,1,s_1404_60_8
"I cannot enjoy visiting my favorite food, also I even cannot fully enjoy playing videogames, even I almost cannot enjoy enjoy going outside, I ate life and yet there is no feling more fun in real life for m.","I cannot enjoy visiting my favorite food, also I even cannot fully enjoy playing videogames, even I almost cannot enjoy enjoy going outside, I ate life and yet there is no feling more fun in real life for m.","I cannot enjoy my favorite food, I cannot enjoy playing videogames, I cannot enjoy going outside, I hate life and there is no more fun in life for me.",nlp_cwe_insert_roberta+ta_char_rand_del,ANHEDONIA,1,s_1404_60_8
"My og is trained to bring comfort o me mentally when I have acute anxiety, also be a phyial barrier point btween me and people when I get panicky, and provide an excuse to leave a certain situation alone i.e. he needs us to go pot potty/eat/drink.","My og is trained to bring comfort o me mentally when I have acute anxiety, also be a phyial barrier point btween me and people when I get panicky, and provide an excuse to leave a certain situation alone i.e. he needs us to go pot potty/eat/drink.","My dog is trained to comfort me when I have anxiety, be a physical barrier between me and people when I get panicky, and provide an excuse to leave a situation i.e. he needs to go potty/eat/drink.",nlp_cwe_insert_roberta+ta_char_rand_del,PSYCHOMOTOR,1,s_708_315_0
In the end its all my fault i just should have tried harer for her help not to lik give her way instead by like locking up myself better n like a room with my retarded cat but my idiotic disgusting dumb stupid sel didnt so i blame him myself,In the end its all my fault i just should have tried harer for her help not to lik give her way instead by like locking up myself better n like a room with my retarded cat but my idiotic disgusting dumb stupid sel didnt so i blame him myself,In the end its all my fault i should have tried harder for her not to give her away by like locking myself in a room with my cat but my idiotic disgusting dumb self didnt so i blame myself,nlp_cwe_insert_roberta+ta_char_rand_del,WORTHLESSNESS,1,s_1194_94_1
In the end its all my fault i just should have tried harer for her help not to lik give her way instead by like locking up myself better n like a room with my retarded cat but my idiotic disgusting dumb stupid sel didnt so i blame him myself,In the end its all my fault i just should have tried harer for her help not to lik give her way instead by like locking up myself better n like a room with my retarded cat but my idiotic disgusting dumb stupid sel didnt so i blame him myself,In the end its all my fault i should have tried harder for her not to give her away by like locking myself in a room with my cat but my idiotic disgusting dumb self didnt so i blame myself,nlp_cwe_insert_roberta+ta_char_rand_del,WORTHLESSNESS,1,s_1194_94_1
"My ambition really took quite a hit to and right by ow it's incredibly difficult for any me to focus on activities that though I had such un doing before and now they really just always seem, don't know know how to say, pointless.","My ambition really took quite a hit to and right by ow it's incredibly difficult for any me to focus on activities that though I had such un doing before and now they really just always seem, don't know know how to say, pointless.","My ambition really took a hit and right now it's difficult for me to focus on activities that I had fun doing before and now they just seem, don't know how to say, pointless.",nlp_cwe_insert_roberta+ta_char_rand_del,ANHEDONIA,1,s_2578_30_7
"When I'm always feling really good and metally energized I'm am usually usally pretty quick on my horse feet nice and friendly, but just being even a little tired just makes me really dull and anxious.","When I'm always feling really good and metally energized I'm am usually usally pretty quick on my horse feet nice and friendly, but just being even a little tired just makes me really dull and anxious.","When I'm feeling good and energized I'm usually pretty quick on my feet and friendly, but being even a little tired makes me dull and anxious.",nlp_cwe_insert_roberta+ta_char_rand_del,PSYCHOMOTOR,1,s_2958_51_8
"I was able to experience novelt and joy even if i I did still constantly feel lonely/ depressed and would self harm , I had the natural ability o enjoy and feel like the real m - and now all thats just one though and Ive just kinda gotten deep buried into a depressiv shell hole where everyday s lived out robotically or ghostly.","I was able to experience novelt and joy even if i I did still constantly feel lonely/ depressed and would self harm , I had the natural ability o enjoy and feel like the real m - and now all thats just one though and Ive just kinda gotten deep buried into a depressiv shell hole where everyday s lived out robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_cwe_insert_roberta+ta_char_rand_del,ANHEDONIA,1,s_258_546_2
