post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I fel so opprеssd.,I fel so opprеssd.,I feel so oppressed.,nlp_randchar_del+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1955_1069_2
I fel so opрressd.,I fel so opрressd.,I feel so oppressed.,nlp_randchar_del+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1955_1069_2
"I 100% knоw that іf I hve to go to colleg aone without my family or any sսpport Im gonn end up killing myslf. .. . Im barly keeing my self alive now, I can ' t imagine beng aⅼl by myself and dealing ith my thoghts and emotions!","I 100% knоw that іf I hve to go to colleg aone without my family or any sսpport Im gonn end up killing myslf. .. . Im barly keeing my self alive now, I can ' t imagine beng aⅼl by myself and dealing ith my thoghts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randchar_del+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_156_366_1
I can stop ⲅying.,I can stop ⲅying.,I cant stop crying.,nlp_randchar_del+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2334_738_1
I cɑn stop rying.,I cɑn stop rying.,I cant stop crying.,nlp_randchar_del+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2334_738_1
"It was only ater after my second boyfriend, I realized I canot fel s×ual attracion (if I have, it was ver temorary ), and that I am probably asxual due to the fact that I ust get disgusted ԝith mуself whn it comes to 𝚝he sex part.","It was only ater after my second boyfriend, I realized I canot fel s×ual attracion (if I have, it was ver temorary ), and that I am probably asxual due to the fact that I ust get disgusted ԝith mуself whn it comes to 𝚝he sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_del+ta_wordswap_homoglyph,ANHEDONIA,0,s_716_26_15
"It was only ater after my second boyfriend, I realized I canot fel sxual a𝚝tracion (if I have, it was vеr temorary ), and that I am probably ɑsxual due to the fact that I ust get disgusted ԝith myself whn it comes to the sex part.","It was only ater after my second boyfriend, I realized I canot fel sxual a𝚝tracion (if I have, it was vеr temorary ), and that I am probably ɑsxual due to the fact that I ust get disgusted ԝith myself whn it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_del+ta_wordswap_homoglyph,ANHEDONIA,0,s_716_26_15
I don ' t l𝒌e me.,I don ' t l𝒌e me.,I don't like me.,nlp_randchar_del+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
I don ' t lke ｍe.,I don ' t lke ｍe.,I don't like me.,nlp_randchar_del+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
Im generlly tіrd So,Im generlly tіrd So,Im generally tired So,nlp_randchar_del+ta_wordswap_homoglyph,FATIGUE,1,s_2007_1467_0
Im generaly trеd So,Im generaly trеd So,Im generally tired So,nlp_randchar_del+ta_wordswap_homoglyph,FATIGUE,1,s_2007_1467_0
I ' ve ϲred.,I ' ve ϲred.,I've cried.,nlp_randchar_del+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
I ' ve criе.,I ' ve criе.,I've cried.,nlp_randchar_del+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
I hardl leеp.,I hardl leеp.,I hardly sleep.,nlp_randchar_del+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_697_81_3
I ardly sleе.,I ardly sleе.,I hardly sleep.,nlp_randchar_del+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_697_81_3
"I ' ve been like his for a loոg tim now hereіn I slep at around 9 or 10p, oping to wake up erly in the moning at around 7 - 8pm, then all of a suddеn I wae up at 12 or 2ɑm in the morning 𝚏eelig groggy and now I cant get back bed.","I ' ve been like his for a loոg tim now hereіn I slep at around 9 or 10p, oping to wake up erly in the moning at around 7 - 8pm, then all of a suddеn I wae up at 12 or 2ɑm in the morning 𝚏eelig groggy and now I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randchar_del+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_852_229_1
"I ' ve been like this for a long time now herein I slep at around 9 or 10рm, hoiոg to ake up earl in the mornng at around 7 - 8pm, then all of a suden I wake up at 12 or 2aｍ in the morning 𝚏eeliո groggy and now I cnt get bck bed.","I ' ve been like this for a long time now herein I slep at around 9 or 10рm, hoiոg to ake up earl in the mornng at around 7 - 8pm, then all of a suden I wake up at 12 or 2aｍ in the morning 𝚏eeliո groggy and now I cnt get bck bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randchar_del+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_852_229_1
his had me cryіg,his had me cryіg,This had me crying,nlp_randchar_del+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_2464_412_0
Thi had me cryіg,Thi had me cryіg,This had me crying,nlp_randchar_del+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_2464_412_0
I lst ｍy ibido.,I lst ｍy ibido.,I lost my libido.,nlp_randchar_del+ta_wordswap_homoglyph,ANHEDONIA,1,s_2904_522_5
I ⅼst my libid.,I ⅼst my libid.,I lost my libido.,nlp_randchar_del+ta_wordswap_homoglyph,ANHEDONIA,1,s_2904_522_5
I am Ьeng ortured.,I am Ьeng ortured.,I am being tortured.,nlp_randchar_del+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1351_120_5
I am beng ortureԁ.,I am beng ortureԁ.,I am being tortured.,nlp_randchar_del+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1351_120_5
"I was able tо experience novelty and joy eve if I did stil feel lonely / depⲅessed and would self harm, I had the ability to njoy and feel ike the real me - now all hats goe and Ive just gotten Ьurie into a depressive hol here everyԁay is lived roboticaly оr ghostly.","I was able tо experience novelty and joy eve if I did stil feel lonely / depⲅessed and would self harm, I had the ability to njoy and feel ike the real me - now all hats goe and Ive just gotten Ьurie into a depressive hol here everyԁay is lived roboticaly оr ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_randchar_del+ta_wordswap_homoglyph,ANHEDONIA,1,s_258_546_2
"I was able to ×perience novelty and joy even if I did stil eel loոely / deprеssed and wоud self arm, I had the ability to enjoy and feel ike the ral me - now all thats gone and Ive jus𝚝 gotten buried into a depressive hoe wher everyday is lived roboticall or ghostly.","I was able to ×perience novelty and joy even if I did stil eel loոely / deprеssed and wоud self arm, I had the ability to enjoy and feel ike the ral me - now all thats gone and Ive jus𝚝 gotten buried into a depressive hoe wher everyday is lived roboticall or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_randchar_del+ta_wordswap_homoglyph,ANHEDONIA,1,s_258_546_2
"Masturbating right before and also during slee I feel likе its affectig my sleep quality If I wak up ireԁ in the moring hen I should go back to sleep, istead I start masturbating which aso af𝚏ects hoԝ mch est I get.","Masturbating right before and also during slee I feel likе its affectig my sleep quality If I wak up ireԁ in the moring hen I should go back to sleep, istead I start masturbating which aso af𝚏ects hoԝ mch est I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_randchar_del+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_1404_1455_0
i eally hte mysel𝚏,i eally hte mysel𝚏,i really hate myself,nlp_randchar_del+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1194_31_4
i eally hte myѕelf,i eally hte myѕelf,i really hate myself,nlp_randchar_del+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1194_31_4
I ' m qite nɡry,I ' m qite nɡry,I'm quite angry,nlp_randchar_del+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2188_1006_0
I ' m uіte anry,I ' m uіte anry,I'm quite angry,nlp_randchar_del+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2188_1006_0
I ' m eally iⲅed.,I ' m eally iⲅed.,I'm really tired.,nlp_randchar_del+ta_wordswap_homoglyph,FATIGUE,1,s_547_567_2
I ' m realy trеd.,I ' m realy trеd.,I'm really tired.,nlp_randchar_del+ta_wordswap_homoglyph,FATIGUE,1,s_547_567_2
