post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"It was ony la0er after my second boyfwiend, I realized I cmnnot feel 9exual at*raction (if I have, it was Eery tempor6ry ), and What I am probably asexua due t the nact tat I just get disgusted with myself wh1n it comes to the sex part.","It was ony la0er after my second boyfwiend, I realized I cmnnot feel 9exual at*raction (if I have, it was Eery tempor6ry ), and What I am probably asexua due t the nact tat I just get disgusted with myself wh1n it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_sub+ta_char_rand_del,ANHEDONIA,0,s_716_26_15
"It was only la0er after my second boyfwiend, I realized I cmnnot feel 9exual at*ration (if I have, t was Eery empor6ry ), and What I am probably asexual due to te nact that I just get disgusted with myself wh1n it comes to the sex part.","It was only la0er after my second boyfwiend, I realized I cmnnot feel 9exual at*ration (if I have, t was Eery empor6ry ), and What I am probably asexual due to te nact that I just get disgusted with myself wh1n it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_sub+ta_char_rand_del,ANHEDONIA,0,s_716_26_15
"I ' ve be*n like this for a long timr now where%n I sleep at aoound 9 or 10pm, hoping to w*ke up eacly in te torning at roun0 7 - 8pm, then all f a sudden I vake up at 12 or 2am in the mornin feeling groggy and now I cani et back bed.","I ' ve be*n like this for a long timr now where%n I sleep at aoound 9 or 10pm, hoping to w*ke up eacly in te torning at roun0 7 - 8pm, then all f a sudden I vake up at 12 or 2am in the mornin feeling groggy and now I cani et back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randchar_sub+ta_char_rand_del,SLEEP_ISSUES,1,s_852_229_1
"I ' v bKen like this for a long ti&e now wherein I skeep at around 9 or 10pm, hoying to wake up early in the morning a rounx 7 - 8pm, then all of a suCden I wPke up at 12 or 2am in the morning feelung groggG an now I Pan get back bed.","I ' v bKen like this for a long ti&e now wherein I skeep at around 9 or 10pm, hoying to wake up early in the morning a rounx 7 - 8pm, then all of a suCden I wPke up at 12 or 2am in the morning feelung groggG an now I Pan get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randchar_sub+ta_char_rand_del,SLEEP_ISSUES,1,s_852_229_1
"Masturbating right before and also during sleqp I feel lGke its affecting my Kleep quality If I waM up t(d in the morning whgn I should go back to Oleep, instead I start masturbating whicl also affects how mch resc I get.","Masturbating right before and also during sleqp I feel lGke its affecting my Kleep quality If I waM up t(d in the morning whgn I should go back to Oleep, instead I start masturbating whicl also affects how mch resc I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_randchar_sub+ta_char_rand_del,SLEEP_ISSUES,1,s_1404_1455_0
"It has beeS a rTugh schNol year fr e with a lot of changes that bruught me to te point of uncontrollable cryinR for two day8 i a row, migraines, mQscle tenzion, and an inability to reall* get any work done witS my students.","It has beeS a rTugh schNol year fr e with a lot of changes that bruught me to te point of uncontrollable cryinR for two day8 i a row, migraines, mQscle tenzion, and an inability to reall* get any work done witS my students.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",nlp_randchar_sub+ta_char_rand_del,SPECIAL_CASE,1,s_1190_67_2
"It ' s basically a cSnstant knowlezge, tht I ' m worthles, I ' m stupDd, I ' m unlovaDle, nobody eveZ has or ever wil^ love me, everything I o is wrong, I ' m a bad )uman being and I need to b deaQ r*ght now.","It ' s basically a cSnstant knowlezge, tht I ' m worthles, I ' m stupDd, I ' m unlovaDle, nobody eveZ has or ever wil^ love me, everything I o is wrong, I ' m a bad )uman being and I need to b deaQ r*ght now.","It's basically a constant knowledge, that I'm worthless, I'm stupid, I'm unlovable, nobody ever has or ever will love me, everything I do is wrong, I'm a bad human being and I need to be dead right now.",nlp_randchar_sub+ta_char_rand_del,WORTHLESSNESS,1,s_1483_222_18
"I hav struXgled $ith binge ea6ing fr a decade, but I think I ' m finally recoveri$g from that because I ' ve gone from binging @500 + calories Bvery otheo day, to juV findiqg a snack hen I fe3l like I want to binge.","I hav struXgled $ith binge ea6ing fr a decade, but I think I ' m finally recoveri$g from that because I ' ve gone from binging @500 + calories Bvery otheo day, to juV findiqg a snack hen I fe3l like I want to binge.","I have struggled with binge eating for a decade, but I think I'm finally recovering from that because I've gone from binging 2500+ calories every other day, to just finding a snack when I feel like I want to binge.",nlp_randchar_sub+ta_char_rand_del,APPETITE_CHANGE,0,s_1499_1118_9
"Occasionally I ' ve taken 25 / 50mg to get to sleep at nZght but I ' ve defini3ely never experienced anything on it befire other than getting drowsy. .. so, lih twenty minutes later I ' m getting in bed, ad I turn on th(s hiNe noise ten hour youvube video I smejimes use to help me Neep.","Occasionally I ' ve taken 25 / 50mg to get to sleep at nZght but I ' ve defini3ely never experienced anything on it befire other than getting drowsy. .. so, lih twenty minutes later I ' m getting in bed, ad I turn on th(s hiNe noise ten hour youvube video I smejimes use to help me Neep.","Occasionally I've taken 25/50mg to get to sleep at night but I've definitely never experienced anything on it before other than getting drowsy...so, like twenty minutes later I'm getting in bed, and I turn on this white noise ten hour youtube video I sometimes use to help me sleep.",nlp_randchar_sub+ta_char_rand_del,SLEEP_ISSUES,1,s_1965_10_8
"Occasionally I ' ve taken 25 / 50mg to get to sleep at right but I ' ve definTtely never experienced anything n it befoie other than gettinK drowsy. .. so, (ike twentJ minAtes later I ' m geting in bed, and I turn on thPs whit noise ten hou youzube video I soetimes use to help me sle1p.","Occasionally I ' ve taken 25 / 50mg to get to sleep at right but I ' ve definTtely never experienced anything n it befoie other than gettinK drowsy. .. so, (ike twentJ minAtes later I ' m geting in bed, and I turn on thPs whit noise ten hou youzube video I soetimes use to help me sle1p.","Occasionally I've taken 25/50mg to get to sleep at night but I've definitely never experienced anything on it before other than getting drowsy...so, like twenty minutes later I'm getting in bed, and I turn on this white noise ten hour youtube video I sometimes use to help me sleep.",nlp_randchar_sub+ta_char_rand_del,SLEEP_ISSUES,1,s_1965_10_8
"S5me suicife attempts eft mw crying qfter all the pain and once, the thought of my moHher just at the other side of the door and se waking me up che0rfully the next mornihg, but agin, living fo others can only go s fqr, and this is the breaking point where the poinw f not caring anymore if I can get rid of thYs paiZ is becoming strongtr and coing cl2ser again.","S5me suicife attempts eft mw crying qfter all the pain and once, the thought of my moHher just at the other side of the door and se waking me up che0rfully the next mornihg, but agin, living fo others can only go s fqr, and this is the breaking point where the poinw f not caring anymore if I can get rid of thYs paiZ is becoming strongtr and coing cl2ser again.","Some suicide attempts left mw crying qfter all the pain and once, the thought of my mother just at the other side of the door and she waking me up cheerfully the next morning, but again, living for others can only go so fqr, and this is the breaking point where the point of not caring anymore if I can get rid of this pain is becoming stronger and coming closer again.",nlp_randchar_sub+ta_char_rand_del,SUICIDAL_THOUGHTS,1,s_782_6_12
