post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
l fYel so oppressed.,l fYel so oppressed.,I feel so oppressed.,ta_char_rand_swap+ta_wordswap_embedding,WORTHLESSNESS,0,s_1955_1069_2
es feVl so oppressed.,es feVl so oppressed.,I feel so oppressed.,ta_char_rand_swap+ta_wordswap_embedding,WORTHLESSNESS,0,s_1955_1069_2
"I 100% know that if I have to go for college alone without my family or any support Im gonna end up murder mysylf....IG barely keeping mk personality alive non, I can't imagine being all by myself y dealing with my thoughts and emotions!","I 100% know that if I have to go for college alone without my family or any support Im gonna end up murder mysylf....IG barely keeping mk personality alive non, I can't imagine being all by myself y dealing with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",ta_char_rand_swap+ta_wordswap_embedding,SUICIDAL_THOUGHTS,1,s_156_366_1
I Halen stop crying.,I Halen stop crying.,I cant stop crying.,ta_char_rand_swap+ta_wordswap_embedding,DEPRESSED_MOOD,1,s_2334_738_1
ich cant sJop crying.,ich cant sJop crying.,I cant stop crying.,ta_char_rand_swap+ta_wordswap_embedding,DEPRESSED_MOOD,1,s_2334_738_1
yo don't like mt.,yo don't like mt.,I don't like me.,ta_char_rand_swap+ta_wordswap_embedding,WORTHLESSNESS,1,s_2415_816_5
I don't yike suis.,I don't yike suis.,I don't like me.,ta_char_rand_swap+ta_wordswap_embedding,WORTHLESSNESS,1,s_2415_816_5
x've screamed.,x've screamed.,I've cried.,ta_char_rand_swap+ta_wordswap_embedding,DEPRESSED_MOOD,1,s_145_86_2
I'Oe screamed.,I'Oe screamed.,I've cried.,ta_char_rand_swap+ta_wordswap_embedding,DEPRESSED_MOOD,1,s_145_86_2
I Qegan the cry.,I Qegan the cry.,I began to cry.,ta_char_rand_swap+ta_wordswap_embedding,DEPRESSED_MOOD,1,s_2815_1660_107
I Qegan aux cry.,I Qegan aux cry.,I began to cry.,ta_char_rand_swap+ta_wordswap_embedding,DEPRESSED_MOOD,1,s_2815_1660_107
I sparsely sledp.,I sparsely sledp.,I hardly sleep.,ta_char_rand_swap+ta_wordswap_embedding,SLEEP_ISSUES,1,s_697_81_3
l hardly slAep.,l hardly slAep.,I hardly sleep.,ta_char_rand_swap+ta_wordswap_embedding,SLEEP_ISSUES,1,s_697_81_3
es au very sad.,es au very sad.,I am very sad.,ta_char_rand_swap+ta_wordswap_embedding,DEPRESSED_MOOD,0,s_411_1189_1
I dm very sad.,I dm very sad.,I am very sad.,ta_char_rand_swap+ta_wordswap_embedding,DEPRESSED_MOOD,0,s_411_1189_1
