post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I slant tsop crying.,I slant tsop crying.,I cant stop crying.,nlp_wordnet_syn+ta_char_neighbor,DEPRESSED_MOOD,1,s_2334_738_1
I slant sotp crying.,I slant sotp crying.,I cant stop crying.,nlp_wordnet_syn+ta_char_neighbor,DEPRESSED_MOOD,1,s_2334_738_1
"It was only later aftre my sceond boyfriend, I realize I cannot feel sexual attraction (if I own, it was very temporary ), and that I am probably asexual due to the fact taht I just get disgusted with mysefl when it comes to the sex part.","It was only later aftre my sceond boyfriend, I realize I cannot feel sexual attraction (if I own, it was very temporary ), and that I am probably asexual due to the fact taht I just get disgusted with mysefl when it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_wordnet_syn+ta_char_neighbor,ANHEDONIA,0,s_716_26_15
"It was only alter after my second boyfriend, I realize I cannot feel sexual attraction (if I own, it was very temporary ), adn that I am rpobably asexual due to the fact that I jsut get disgusted with myself when it comes to the sex part.","It was only alter after my second boyfriend, I realize I cannot feel sexual attraction (if I own, it was very temporary ), adn that I am rpobably asexual due to the fact that I jsut get disgusted with myself when it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_wordnet_syn+ta_char_neighbor,ANHEDONIA,0,s_716_26_15
nOe ' ve cry.,nOe ' ve cry.,I've cried.,nlp_wordnet_syn+ta_char_neighbor,DEPRESSED_MOOD,1,s_145_86_2
Oen ' ve cried.,Oen ' ve cried.,I've cried.,nlp_wordnet_syn+ta_char_neighbor,DEPRESSED_MOOD,1,s_145_86_2
1 ste out to cry.,1 ste out to cry.,I began to cry.,nlp_wordnet_syn+ta_char_neighbor,DEPRESSED_MOOD,1,s_2815_1660_107
1 set out to cyr.,1 set out to cyr.,I began to cry.,nlp_wordnet_syn+ta_char_neighbor,DEPRESSED_MOOD,1,s_2815_1660_107
Aec hardly log z's.,Aec hardly log z's.,I hardly sleep.,nlp_wordnet_syn+ta_char_neighbor,SLEEP_ISSUES,1,s_697_81_3
Ace hardly lgo z's.,Ace hardly lgo z's.,I hardly sleep.,nlp_wordnet_syn+ta_char_neighbor,SLEEP_ISSUES,1,s_697_81_3
1 be veyr sad.,1 be veyr sad.,I am very sad.,nlp_wordnet_syn+ta_char_neighbor,DEPRESSED_MOOD,0,s_411_1189_1
