post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I 100% percent know that neVt if I have anything to actually go to college alone without my eztire family or any support Im gonna end up killing mysmlf....Im already barely keepinW my self alive now, I honestly can't imagine just being all year by myself anO really dealing with my thoughts and emotions!","I 100% percent know that neVt if I have anything to actually go to college alone without my eztire family or any support Im gonna end up killing mysmlf....Im already barely keepinW my self alive now, I honestly can't imagine just being all year by myself anO really dealing with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_cwe_insert_roberta+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_156_366_1
"I do 100% knLw already that iL I am have ever to go to college alone without my family or any parental support Im gonna end up killing on myself....Im barely keeping my self alive now, as I caH't imagine being outside all night by myself everyday and dealing wiZh my thoughts and emotions!","I do 100% knLw already that iL I am have ever to go to college alone without my family or any parental support Im gonna end up killing on myself....Im barely keeping my self alive now, as I caH't imagine being outside all night by myself everyday and dealing wiZh my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_cwe_insert_roberta+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_156_366_1
"Then the fatigue , always nearly alwaAs tired, the body still feels heavy overall - I might have a few sudden energy peaks sometimes but mostly generally by 5Qm, I just want to hiy sleep or feei like Im waiting desperately to sleep.","Then the fatigue , always nearly alwaAs tired, the body still feels heavy overall - I might have a few sudden energy peaks sometimes but mostly generally by 5Qm, I just want to hiy sleep or feei like Im waiting desperately to sleep.","Then the fatigue , always always tired, body feels heavy - I have a few energy peaks but generally by 5pm, I just want to sleep or feel like Im waiting to sleep.",nlp_cwe_insert_roberta+ta_char_rand_swap,FATIGUE,1,s_258_598_3
"Then the fatigue , always nearly alwaAs tired, the body still feels heavy overall - I might have a few sudden energy peaks sometimes but mostly generally by 5Qm, I just want to hiy sleep or feei like Im waiting desperately to sleep.","Then the fatigue , always nearly alwaAs tired, the body still feels heavy overall - I might have a few sudden energy peaks sometimes but mostly generally by 5Qm, I just want to hiy sleep or feei like Im waiting desperately to sleep.","Then the fatigue , always always tired, body feels heavy - I have a few energy peaks but generally by 5pm, I just want to sleep or feel like Im waiting to sleep.",nlp_cwe_insert_roberta+ta_char_rand_swap,SLEEP_ISSUES,1,s_258_598_3
"Then the fatigue , always nearly alwaAs tired, the body still feels heavy overall - I might have a few sudden energy peaks sometimes but mostly generally by 5Qm, I just want to hiy sleep or feei like Im waiting desperately to sleep.","Then the fatigue , always nearly alwaAs tired, the body still feels heavy overall - I might have a few sudden energy peaks sometimes but mostly generally by 5Qm, I just want to hiy sleep or feei like Im waiting desperately to sleep.","Then the fatigue , always always tired, body feels heavy - I have a few energy peaks but generally by 5pm, I just want to sleep or feel like Im waiting to sleep.",nlp_cwe_insert_roberta+ta_char_rand_swap,FATIGUE,1,s_258_598_3
"It was onlh only later after my second bOd boyfriend, I realized I cannot feel sexual emotional attraction (if I have, it was very very temporary), and feel that I am probably just asexual more due to the general faMt that I do just get disgusted widh myself when it comes close to the sev part.","It was onlh only later after my second bOd boyfriend, I realized I cannot feel sexual emotional attraction (if I have, it was very very temporary), and feel that I am probably just asexual more due to the general faMt that I do just get disgusted widh myself when it comes close to the sev part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_cwe_insert_roberta+ta_char_rand_swap,ANHEDONIA,0,s_716_26_15
"wt was only only later ffter my second bad boyfriend, I realized I cannot feel sexual emotional attrartion (if I have, it was very very temporary), and feel that I am probably just asexual more due to the general gact that I do just get disgusted with myself when it comes close to the sgx part.","wt was only only later ffter my second bad boyfriend, I realized I cannot feel sexual emotional attrartion (if I have, it was very very temporary), and feel that I am probably just asexual more due to the general gact that I do just get disgusted with myself when it comes close to the sgx part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_cwe_insert_roberta+ta_char_rand_swap,ANHEDONIA,0,s_716_26_15
I've raredy cried.,I've raredy cried.,I've cried.,nlp_cwe_insert_roberta+ta_char_rand_swap,DEPRESSED_MOOD,1,s_145_86_2
I've rarely Nried.,I've rarely Nried.,I've cried.,nlp_cwe_insert_roberta+ta_char_rand_swap,DEPRESSED_MOOD,1,s_145_86_2
"Am I really asexual based primarily oh my curreXt internal feelings … and thoughts, or do I not like the idea because of anal sex onzy marginally because I haven't experienced fully yet personally how physically good it properly feels?","Am I really asexual based primarily oh my curreXt internal feelings … and thoughts, or do I not like the idea because of anal sex onzy marginally because I haven't experienced fully yet personally how physically good it properly feels?","Am I really asexual based on my current feelings and thoughts, or do I not like the idea of sex only because I haven't experienced yet how good it feels?",nlp_cwe_insert_roberta+ta_char_rand_swap,ANHEDONIA,0,s_1404_1071_7
"Am I just really just asexual male based on mZ current feelings and past thoughts, or dn now I probabdy not get like eith the idea of vaginal sex only because perhaps I haven't experienced yet how good it feels?","Am I just really just asexual male based on mZ current feelings and past thoughts, or dn now I probabdy not get like eith the idea of vaginal sex only because perhaps I haven't experienced yet how good it feels?","Am I really asexual based on my current feelings and thoughts, or do I not like the idea of sex only because I haven't experienced yet how good it feels?",nlp_cwe_insert_roberta+ta_char_rand_swap,ANHEDONIA,0,s_1404_1071_7
"I waC also just feeling apound like weird shit, so so I didn't eat for a nhile, and then another obce a week passed along and I was finally feeling OK … again, I was waiting for the ""I'm hungry"" signal again to finally eat, but it never actually came.","I waC also just feeling apound like weird shit, so so I didn't eat for a nhile, and then another obce a week passed along and I was finally feeling OK … again, I was waiting for the ""I'm hungry"" signal again to finally eat, but it never actually came.","I was just feeling like shit, so I didn't eat for a while, and then once a week passed and I was feeling OK again, I was waiting for the ""I'm hungry"" signal again to eat, but it never came.",nlp_cwe_insert_roberta+ta_char_rand_swap,APPETITE_CHANGE,1,s_1294_205_1
"I've been sleeping like this Dor rather a long time nDw wherein I sleep at around 9 or about 10pj, hoping only to wake up reasonably early in the morning at around maybe 7-8pm, then pll of a big sudden I wake up at 12 oU near 2am in like the morning feeling groggy and exhdusted now I cant get back bed.","I've been sleeping like this Dor rather a long time nDw wherein I sleep at around 9 or about 10pj, hoping only to wake up reasonably early in the morning at around maybe 7-8pm, then pll of a big sudden I wake up at 12 oU near 2am in like the morning feeling groggy and exhdusted now I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_cwe_insert_roberta+ta_char_rand_swap,SLEEP_ISSUES,1,s_852_229_1
"I've been like this for a long time someDimes noy since wherein I would sleep at around 9 pm or 10pm, hoping to wake up early in with the morning at around 7-8pm, then – all of a Hudden … I wake uY early at 12 or 2am in the morning feeling groggy and now I almost cEnt gkt back onto bed.","I've been like this for a long time someDimes noy since wherein I would sleep at around 9 pm or 10pm, hoping to wake up early in with the morning at around 7-8pm, then – all of a Hudden … I wake uY early at 12 or 2am in the morning feeling groggy and now I almost cEnt gkt back onto bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_cwe_insert_roberta+ta_char_rand_swap,SLEEP_ISSUES,1,s_852_229_1
Im so very tireQ,Im so very tireQ,Im so tired,nlp_cwe_insert_roberta+ta_char_rand_swap,FATIGUE,1,s_2434_365_0
Im so very tiren,Im so very tiren,Im so tired,nlp_cwe_insert_roberta+ta_char_rand_swap,FATIGUE,1,s_2434_365_0
"I normally sleep early at that night much like most people do, however aSd I sleep periodically during the day because it's thw knly way I know to to escape the inevitable worsening depression symptoms aad anxiety I go down through at all these times.","I normally sleep early at that night much like most people do, however aSd I sleep periodically during the day because it's thw knly way I know to to escape the inevitable worsening depression symptoms aad anxiety I go down through at all these times.","I sleep at night like most people do, and I sleep periodically during the day because it's the only way I know to escape the inevitable depression and anxiety I go through at all times.",nlp_cwe_insert_roberta+ta_char_rand_swap,SLEEP_ISSUES,1,s_2292_195_42
"I sleep briefly at work night just like most people eventually do, mnd I sleep pTriodically during the dwy because ultimately it's the only wky I also know to reliably escape the nearly inevitable depression blues and anxiety phases I go through at all times.","I sleep briefly at work night just like most people eventually do, mnd I sleep pTriodically during the dwy because ultimately it's the only wky I also know to reliably escape the nearly inevitable depression blues and anxiety phases I go through at all times.","I sleep at night like most people do, and I sleep periodically during the day because it's the only way I know to escape the inevitable depression and anxiety I go through at all times.",nlp_cwe_insert_roberta+ta_char_rand_swap,SLEEP_ISSUES,1,s_2292_195_42
"My new dog is trained to comfort me when I even have bad anxiety, be put a physical barrier between me and people when I get tok panicky, and sometimes provide an immediate excuse me to leave a dangezous situation i.e. hO nerds to gM and potty/eat/drink.","My new dog is trained to comfort me when I even have bad anxiety, be put a physical barrier between me and people when I get tok panicky, and sometimes provide an immediate excuse me to leave a dangezous situation i.e. hO nerds to gM and potty/eat/drink.","My dog is trained to comfort me when I have anxiety, be a physical barrier between me and people when I get panicky, and provide an excuse to leave a situation i.e. he needs to go potty/eat/drink.",nlp_cwe_insert_roberta+ta_char_rand_swap,PSYCHOMOTOR,1,s_708_315_0
"My ambition really took a hit now and right from now it's difficult enough fAr just me to focus on other activities that I genuinely had fun doing even before – aWd right nTw they just seem, you don't kNow how to say, pointless.","My ambition really took a hit now and right from now it's difficult enough fAr just me to focus on other activities that I genuinely had fun doing even before – aWd right nTw they just seem, you don't kNow how to say, pointless.","My ambition really took a hit and right now it's difficult for me to focus on activities that I had fun doing before and now they just seem, don't know how to say, pointless.",nlp_cwe_insert_roberta+ta_char_rand_swap,ANHEDONIA,1,s_2578_30_7
"My ambition just really toIk a severe hit recently and actually right now it's difficult for me geally to focus Un Zctivities here that I had fun doing online before and right now they just seem, people don't quite know how to say, pointless.","My ambition just really toIk a severe hit recently and actually right now it's difficult for me geally to focus Un Zctivities here that I had fun doing online before and right now they just seem, people don't quite know how to say, pointless.","My ambition really took a hit and right now it's difficult for me to focus on activities that I had fun doing before and now they just seem, don't know how to say, pointless.",nlp_cwe_insert_roberta+ta_char_rand_swap,ANHEDONIA,1,s_2578_30_7
"Jhen I'm actually feeling good and energized – I'm usually really pretty quick on findZng my feet aHd friendly, optimistic but being even that a little little tired suddenly makes inside me feeling dull and anxious.","Jhen I'm actually feeling good and energized – I'm usually really pretty quick on findZng my feet aHd friendly, optimistic but being even that a little little tired suddenly makes inside me feeling dull and anxious.","When I'm feeling good and energized I'm usually pretty quick on my feet and friendly, but being even a little tired makes me dull and anxious.",nlp_cwe_insert_roberta+ta_char_rand_swap,PSYCHOMOTOR,1,s_2958_51_8
"When I'm feeling pretty good motivated and very energized I'm sfill usually feeliwg pretty quick working on my feet and overly friendly, but being even a fair little tired makes me dull sometimes ana easily anxious.","When I'm feeling pretty good motivated and very energized I'm sfill usually feeliwg pretty quick working on my feet and overly friendly, but being even a fair little tired makes me dull sometimes ana easily anxious.","When I'm feeling good and energized I'm usually pretty quick on my feet and friendly, but being even a little tired makes me dull and anxious.",nlp_cwe_insert_roberta+ta_char_rand_swap,PSYCHOMOTOR,1,s_2958_51_8
"I was abXe to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , because I had the ability to enjoy and feel like thF once real me there - now that all thats totally gone and now Ive just gotten sucked buaied intt a depressive hole somewhere where everyday is often livjd robotbcally or ghostly.","I was abXe to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , because I had the ability to enjoy and feel like thF once real me there - now that all thats totally gone and now Ive just gotten sucked buaied intt a depressive hole somewhere where everyday is often livjd robotbcally or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_cwe_insert_roberta+ta_char_rand_swap,ANHEDONIA,1,s_258_546_2
"I was able to rPally experience novelty anx juy then even now if I did still feel lonely/ Repressed and would contemplate self harm , I had the ability once to enjoy and feel like living the real me - now wll this thats gone though end Ive just gotten buried into a depressive hole where the everyday is life lived robotically or ghostly.","I was able to rPally experience novelty anx juy then even now if I did still feel lonely/ Repressed and would contemplate self harm , I had the ability once to enjoy and feel like living the real me - now wll this thats gone though end Ive just gotten buried into a depressive hole where the everyday is life lived robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_cwe_insert_roberta+ta_char_rand_swap,ANHEDONIA,1,s_258_546_2
"Doesn't matter hIw ridiculously long I sleep, what it tricks or I may do to with my alarm, whatever, because I invariably wake up immediately groggy again afd must drag myself to consciousness slowly.","Doesn't matter hIw ridiculously long I sleep, what it tricks or I may do to with my alarm, whatever, because I invariably wake up immediately groggy again afd must drag myself to consciousness slowly.","Doesn't matter how long I sleep, what tricks I do with my alarm, whatever, I wake up groggy and drag myself to consciousness slowly.",nlp_cwe_insert_roberta+ta_char_rand_swap,SLEEP_ISSUES,1,s_144_37_1
I nevPr cry erytime,I nevPr cry erytime,I cry erytime,nlp_cwe_insert_roberta+ta_char_rand_swap,DEPRESSED_MOOD,1,s_523_60_1
I never cry ejytime,I never cry ejytime,I cry erytime,nlp_cwe_insert_roberta+ta_char_rand_swap,DEPRESSED_MOOD,1,s_523_60_1
"Though Im Got havini any anorexic thoughts, however I find it it verE sometimes difficult to properly eat like how I cant just dont really have an appetite ,get full too much fast, tired and cant eat extremely slow.","Though Im Got havini any anorexic thoughts, however I find it it verE sometimes difficult to properly eat like how I cant just dont really have an appetite ,get full too much fast, tired and cant eat extremely slow.","Though Im not having any anorexic thoughts, I find it very difficult to eat like I just dont have an appetite ,get full too fast, and eat extremely slow.",nlp_cwe_insert_roberta+ta_char_rand_swap,APPETITE_CHANGE,1,s_258_524_5
"Though physically IN not suddenly haviJg any major anorexic thoughts, yet I find it very very difficult sometimes to eat food like I normally just dont have an appetite ,get full too very fast, and eat lunch exLremely slow.","Though physically IN not suddenly haviJg any major anorexic thoughts, yet I find it very very difficult sometimes to eat food like I normally just dont have an appetite ,get full too very fast, and eat lunch exLremely slow.","Though Im not having any anorexic thoughts, I find it very difficult to eat like I just dont have an appetite ,get full too fast, and eat extremely slow.",nlp_cwe_insert_roberta+ta_char_rand_swap,APPETITE_CHANGE,1,s_258_524_5
"I work from tfe home, which and I don't sleep well for the most likely part (I have insomnia hJd completely rely on sleeX aids, and they tend not to eGen give you a good two night's of rest, which results in fatigue a few hours after waking fnlly up), sr at some point during the day, I usually get a little extra tired and have the urge to just crawl quickly into bed and finish my work later (which I could do, but staying awvke and doing it right then would be far better).","I work from tfe home, which and I don't sleep well for the most likely part (I have insomnia hJd completely rely on sleeX aids, and they tend not to eGen give you a good two night's of rest, which results in fatigue a few hours after waking fnlly up), sr at some point during the day, I usually get a little extra tired and have the urge to just crawl quickly into bed and finish my work later (which I could do, but staying awvke and doing it right then would be far better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_cwe_insert_roberta+ta_char_rand_swap,SLEEP_ISSUES,1,s_2292_402_1
"I work from the home, which and I don't sleep oell fom the most likely part (I have insomnia ank completely rely on sleep aids, and they tenF not to even give Hou a good two night's of rest, which results in fatigue a few hours after waking fully up), so at some point during the day, I usually get a little extra tired and have the urge to just crawl qVickly inbo bed and finish my work later (which I could do, but staying awake and doing it righM then would be far better).","I work from the home, which and I don't sleep oell fom the most likely part (I have insomnia ank completely rely on sleep aids, and they tenF not to even give Hou a good two night's of rest, which results in fatigue a few hours after waking fully up), so at some point during the day, I usually get a little extra tired and have the urge to just crawl qVickly inbo bed and finish my work later (which I could do, but staying awake and doing it righM then would be far better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_cwe_insert_roberta+ta_char_rand_swap,SLEEP_ISSUES,1,s_2292_402_1
"But lately, wNile i have been losing i much better interest in learning the game, feels like i open to it, play to find get buck the gems and maybe farm sdme more sttff but am not feeling excited and having no fun at all.","But lately, wNile i have been losing i much better interest in learning the game, feels like i open to it, play to find get buck the gems and maybe farm sdme more sttff but am not feeling excited and having no fun at all.","But lately, i have been losing much interest in the game, like i open it, play to get the gems and maybe farm some stuff but am not feeling excited and having fun at all.",nlp_cwe_insert_roberta+ta_char_rand_swap,ANHEDONIA,0,s_256_57_2
"Bun lately, i i have not been vtarting loving much i interest in learning the game, like i open it, i play to get the big gems and then maBbe farm some stuff but I am not feeling excited and having fun at this all.","Bun lately, i i have not been vtarting loving much i interest in learning the game, like i open it, i play to get the big gems and then maBbe farm some stuff but I am not feeling excited and having fun at this all.","But lately, i have been losing much interest in the game, like i open it, play to get the gems and maybe farm some stuff but am not feeling excited and having fun at all.",nlp_cwe_insert_roberta+ta_char_rand_swap,ANHEDONIA,0,s_256_57_2
"So far here basically is basically the extYeme Lase.. It's been nearly 4 years years, since that i really don't feel like Nyself..I am still interested in activities that interested the me before,but my emotions are so weak and i aO much less wuper sensitive just to the particular things/people.","So far here basically is basically the extYeme Lase.. It's been nearly 4 years years, since that i really don't feel like Nyself..I am still interested in activities that interested the me before,but my emotions are so weak and i aO much less wuper sensitive just to the particular things/people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_cwe_insert_roberta+ta_char_rand_swap,ANHEDONIA,1,s_1127_16_1
"So here is thZ case.. It's icyn after nearly exactly 4 years, but since i really don't still feel feel like asserting myself..I am mostly still interested Hn various activities that interested me much before,but my emotions are so weak and i am much more less sensitive to particular things/people.","So here is thZ case.. It's icyn after nearly exactly 4 years, but since i really don't still feel feel like asserting myself..I am mostly still interested Hn various activities that interested me much before,but my emotions are so weak and i am much more less sensitive to particular things/people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_cwe_insert_roberta+ta_char_rand_swap,ANHEDONIA,1,s_1127_16_1
"co far here basically is basically the extreme case.. It's been nearly 4 years years, since phat i really don't feel like myself..I am still interested in activities that interested the ma before,but my emotions are so weak and i ym much less super shnsitive just to the particular things/people.","co far here basically is basically the extreme case.. It's been nearly 4 years years, since phat i really don't feel like myself..I am still interested in activities that interested the ma before,but my emotions are so weak and i ym much less super shnsitive just to the particular things/people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_cwe_insert_roberta+ta_char_rand_swap,ANHEDONIA,1,s_1127_16_1
"So here is thZ case.. It's icyn after nearly exactly 4 years, but since i really don't still feel feel like asserting myself..I am mostly still interested Hn various activities that interested me much before,but my emotions are so weak and i am much more less sensitive to particular things/people.","So here is thZ case.. It's icyn after nearly exactly 4 years, but since i really don't still feel feel like asserting myself..I am mostly still interested Hn various activities that interested me much before,but my emotions are so weak and i am much more less sensitive to particular things/people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_cwe_insert_roberta+ta_char_rand_swap,ANHEDONIA,1,s_1127_16_1
I'm fucling useless.,I'm fucling useless.,I'm useless.,nlp_cwe_insert_roberta+ta_char_rand_swap,WORTHLESSNESS,1,s_1933_175_32
I'p fucking useless.,I'p fucking useless.,I'm useless.,nlp_cwe_insert_roberta+ta_char_rand_swap,WORTHLESSNESS,1,s_1933_175_32
"I really really don't bhat want to die, but I crave more for thk world to be a much better place, because I crave for a new sort of life where I feel fn control bor least onHe, a life place where … I don't feel felt like … I'm being led like a horse.","I really really don't bhat want to die, but I crave more for thk world to be a much better place, because I crave for a new sort of life where I feel fn control bor least onHe, a life place where … I don't feel felt like … I'm being led like a horse.","I really don't want to die, but I crave for the world to be a much better place, I crave for a sort of life where I feel in control for once, a life where I don't feel like I'm being led like a horse.",nlp_cwe_insert_roberta+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_1738_193_5
"I just really don't want tl die, but I crave for in the world xo be suddenly a much better balanced place, I crave again for a sort ob life where I actually jeel in control for once, a real life where somehow I don't feel constantly like IHm being cart led like a horse.","I just really don't want tl die, but I crave for in the world xo be suddenly a much better balanced place, I crave again for a sort ob life where I actually jeel in control for once, a real life where somehow I don't feel constantly like IHm being cart led like a horse.","I really don't want to die, but I crave for the world to be a much better place, I crave for a sort of life where I feel in control for once, a life where I don't feel like I'm being led like a horse.",nlp_cwe_insert_roberta+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_1738_193_5
"This perpetual fear thing is making poor me have suicidal thoughts (don't worry, I'm sCill not going on to do mention it no matter how much I may wisu to), because I just honestly don'k want tu even face my bleak future.","This perpetual fear thing is making poor me have suicidal thoughts (don't worry, I'm sCill not going on to do mention it no matter how much I may wisu to), because I just honestly don'k want tu even face my bleak future.","This perpetual fear is making me have suicidal thoughts (don't worry, I'm not going to do it no matter how much I wish to), I just don't want to face my future.",nlp_cwe_insert_roberta+ta_char_rand_swap,DEPRESSED_MOOD,1,s_3099_765_0
"This feeling perpetual fear is making me finally have suicidal thoughts often (don't worry, if I'm genuinely not nov goilg there tN over do it no matter how much I wish to), I just truly don't want to face knowing my fuMure.","This feeling perpetual fear is making me finally have suicidal thoughts often (don't worry, if I'm genuinely not nov goilg there tN over do it no matter how much I wish to), I just truly don't want to face knowing my fuMure.","This perpetual fear is making me have suicidal thoughts (don't worry, I'm not going to do it no matter how much I wish to), I just don't want to face my future.",nlp_cwe_insert_roberta+ta_char_rand_swap,DEPRESSED_MOOD,1,s_3099_765_0
