post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"And in the case for all major psychological depression, you're more usually experiencing a depletion or a disregulation essentially of the neurotransmit𝚝ers like dopamine pathways and especiaⅼly serotonin and 𝚝herefore your brain just really isnt exactly working properly.","And in the case for all major psychological depression, you're more usually experiencing a depletion or a disregulation essentially of the neurotransmit𝚝ers like dopamine pathways and especiaⅼly serotonin and 𝚝herefore your brain just really isnt exactly working properly.","And in the case for major depression, you're usually experiencing a depletion or a disregulation of neurotransmitters like dopamine and serotonin and your brain just isnt working properly.",nlp_cwe_insert_roberta+ta_wordswap_homoglyph,FATIGUE,1,s_2886_101_1
"And in the case for all major psychological depression, you're more usually experiencing a ԁepletion or a disregսlation essentially of the neurotransmitters like dopamine pathways and especially serotonin and therefore your brain just really isnt exactly working proрerly.","And in the case for all major psychological depression, you're more usually experiencing a ԁepletion or a disregսlation essentially of the neurotransmitters like dopamine pathways and especially serotonin and therefore your brain just really isnt exactly working proрerly.","And in the case for major depression, you're usually experiencing a depletion or a disregulation of neurotransmitters like dopamine and serotonin and your brain just isnt working properly.",nlp_cwe_insert_roberta+ta_wordswap_homoglyph,FATIGUE,1,s_2886_101_1
"I do 100% know already that if I am have ever to go to college alone without my family or any paⲅental support Iｍ gonna end up killing on myself....Im barely keeping my sеlf alive now, as I can't imagine being outside all night by mysel𝚏 everyday and dealing witհ my thoughts and emotions!","I do 100% know already that if I am have ever to go to college alone without my family or any paⲅental support Iｍ gonna end up killing on myself....Im barely keeping my sеlf alive now, as I can't imagine being outside all night by mysel𝚏 everyday and dealing witհ my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_cwe_insert_roberta+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_156_366_1
"I do 100% know alreɑdy that if I am have ever to go to college alone witհout my family or any parental ѕupport Im gonոa end up killing on myself....Im barely keeping my self alive now, as I can't imɑgine being outside all night by myself everyday and dealing with my thoughts and emotions!","I do 100% know alreɑdy that if I am have ever to go to college alone witհout my family or any parental ѕupport Im gonոa end up killing on myself....Im barely keeping my self alive now, as I can't imɑgine being outside all night by myself everyday and dealing with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_cwe_insert_roberta+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_156_366_1
"Then the fatigue , always nеarly always tired, the body still feels heavy overall - I might have a few sudden energy peaks sometimes but mostly generally by 5pm, I just want to hit sleep or feel likе Im ԝaiting desperately to sⅼeep.","Then the fatigue , always nеarly always tired, the body still feels heavy overall - I might have a few sudden energy peaks sometimes but mostly generally by 5pm, I just want to hit sleep or feel likе Im ԝaiting desperately to sⅼeep.","Then the fatigue , always always tired, body feels heavy - I have a few energy peaks but generally by 5pm, I just want to sleep or feel like Im waiting to sleep.",nlp_cwe_insert_roberta+ta_wordswap_homoglyph,FATIGUE,1,s_258_598_3
"Then the fatigue , always nearly alԝays tired, the body still feels heaѵy overall - I might have a few sudden energy peaks sometimes but mostly generally by 5pm, I just want tо hit sleep or feel like Im waiting desperateⅼy to sleep.","Then the fatigue , always nearly alԝays tired, the body still feels heaѵy overall - I might have a few sudden energy peaks sometimes but mostly generally by 5pm, I just want tо hit sleep or feel like Im waiting desperateⅼy to sleep.","Then the fatigue , always always tired, body feels heavy - I have a few energy peaks but generally by 5pm, I just want to sleep or feel like Im waiting to sleep.",nlp_cwe_insert_roberta+ta_wordswap_homoglyph,FATIGUE,1,s_258_598_3
"Then the fatigue , always nearly alԝays tired, the body still feels heaѵy overall - I might have a few sudden energy peaks sometimes but mostly generally by 5pm, I just want tо hit sleep or feel like Im waiting desperateⅼy to sleep.","Then the fatigue , always nearly alԝays tired, the body still feels heaѵy overall - I might have a few sudden energy peaks sometimes but mostly generally by 5pm, I just want tо hit sleep or feel like Im waiting desperateⅼy to sleep.","Then the fatigue , always always tired, body feels heavy - I have a few energy peaks but generally by 5pm, I just want to sleep or feel like Im waiting to sleep.",nlp_cwe_insert_roberta+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_258_598_3
"Then the fatigue , always nеarly always tired, the body still feels heavy overall - I might have a few sudden energy peaks sometimes but mostly generally by 5pm, I just want to hit sleep or feel likе Im ԝaiting desperately to sⅼeep.","Then the fatigue , always nеarly always tired, the body still feels heavy overall - I might have a few sudden energy peaks sometimes but mostly generally by 5pm, I just want to hit sleep or feel likе Im ԝaiting desperately to sⅼeep.","Then the fatigue , always always tired, body feels heavy - I have a few energy peaks but generally by 5pm, I just want to sleep or feel like Im waiting to sleep.",nlp_cwe_insert_roberta+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_258_598_3
"Then the fatigue , always nearly alԝays tired, the body still feels heaѵy overall - I might have a few sudden energy peaks sometimes but mostly generally by 5pm, I just want tо hit sleep or feel like Im waiting desperateⅼy to sleep.","Then the fatigue , always nearly alԝays tired, the body still feels heaѵy overall - I might have a few sudden energy peaks sometimes but mostly generally by 5pm, I just want tо hit sleep or feel like Im waiting desperateⅼy to sleep.","Then the fatigue , always always tired, body feels heavy - I have a few energy peaks but generally by 5pm, I just want to sleep or feel like Im waiting to sleep.",nlp_cwe_insert_roberta+ta_wordswap_homoglyph,FATIGUE,1,s_258_598_3
"Then the fatigue , always nеarly always tired, the body still feels heavy overall - I might have a few sudden energy peaks sometimes but mostly generally by 5pm, I just want to hit sleep or feel likе Im ԝaiting desperately to sⅼeep.","Then the fatigue , always nеarly always tired, the body still feels heavy overall - I might have a few sudden energy peaks sometimes but mostly generally by 5pm, I just want to hit sleep or feel likе Im ԝaiting desperately to sⅼeep.","Then the fatigue , always always tired, body feels heavy - I have a few energy peaks but generally by 5pm, I just want to sleep or feel like Im waiting to sleep.",nlp_cwe_insert_roberta+ta_wordswap_homoglyph,FATIGUE,1,s_258_598_3
