post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"It was only later after y boyfriend, I realized I cannot feel sexual (if I have, it ws very temporary), and that I am probably asexual due to the fact that I get disgusted ith myself when it to the sex part.","It was only later after y boyfriend, I realized I cannot feel sexual (if I have, it ws very temporary), and that I am probably asexual due to the fact that I get disgusted ith myself when it to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_char_rand_del+ta_word_delete,ANHEDONIA,0,s_716_26_15
"I've been lie fo a long time wherein I sleep at around 9 or 10pm, hoping o wake up early in morning at around, then all of a sudden I wake up at 12 o 2am in the morning feeling groggy and now I cant back bed.","I've been lie fo a long time wherein I sleep at around 9 or 10pm, hoping o wake up early in morning at around, then all of a sudden I wake up at 12 o 2am in the morning feeling groggy and now I cant back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",ta_char_rand_del+ta_word_delete,SLEEP_ISSUES,1,s_852_229_1
"I've been like this for a long time no wherein I sleep at around 9 or 10pm, to wake up earl the morning 7-8pm, ten all of a sudden I wake up at 12 or 2am in the morning feeling groggy and I cant et back bed.","I've been like this for a long time no wherein I sleep at around 9 or 10pm, to wake up earl the morning 7-8pm, ten all of a sudden I wake up at 12 or 2am in the morning feeling groggy and I cant et back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",ta_char_rand_del+ta_word_delete,SLEEP_ISSUES,1,s_852_229_1
"I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self arm , I ability enjoy and like the real me - n all thats gone and Ive jst gotten buried into a hole where everyday is livd robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self arm , I ability enjoy and like the real me - n all thats gone and Ive jst gotten buried into a hole where everyday is livd robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",ta_char_rand_del+ta_word_delete,ANHEDONIA,1,s_258_546_2
"I wa able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the abilty to enjoy like the real - now all thats gone and Ive just gotten buried into a depressive hole whee everyday i lived ghostly.","I wa able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the abilty to enjoy like the real - now all thats gone and Ive just gotten buried into a depressive hole whee everyday i lived ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",ta_char_rand_del+ta_word_delete,ANHEDONIA,1,s_258_546_2
"Masturbating before nd also during sleep I fe like it my sleep quality If I up tired in the morning when I should go to sleep, instead I start masturbating which also affects how much rest I get.","Masturbating before nd also during sleep I fe like it my sleep quality If I up tired in the morning when I should go to sleep, instead I start masturbating which also affects how much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_rand_del+ta_word_delete,SLEEP_ISSUES,1,s_1404_1455_0
"Masturbating right nd also during sleep I like it my quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.","Masturbating right nd also during sleep I like it my quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_rand_del+ta_word_delete,SLEEP_ISSUES,1,s_1404_1455_0
"I work home, ad don' sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend o give you a good night's, which results in fatigue a few hours after waking up), at some point durin the day, usually get a little tired and have the uge just crawl bed and finish my wrk later (which I could do, but staying awake and doing i right then would be better).","I work home, ad don' sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend o give you a good night's, which results in fatigue a few hours after waking up), at some point durin the day, usually get a little tired and have the uge just crawl bed and finish my wrk later (which I could do, but staying awake and doing i right then would be better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",ta_char_rand_del+ta_word_delete,SLEEP_ISSUES,1,s_2292_402_1
"I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, they ten not to giv you good night's rst, whch results in fatigue a few hours fter waking), so at some during the ay, I usually et a little and have the urge to just crawl into bed and finish m work later ( I could, but staying awake and doing it right then would better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, they ten not to giv you good night's rst, whch results in fatigue a few hours fter waking), so at some during the ay, I usually et a little and have the urge to just crawl into bed and finish m work later ( I could, but staying awake and doing it right then would better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",ta_char_rand_del+ta_word_delete,SLEEP_ISSUES,1,s_2292_402_1
"It has been a roug school year for me with a lot of changes that brought me to the point ucontrollable crying for tw days in row, migraines,, and an inability to really get any work done wth my students.","It has been a roug school year for me with a lot of changes that brought me to the point ucontrollable crying for tw days in row, migraines,, and an inability to really get any work done wth my students.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",ta_char_rand_del+ta_word_delete,SPECIAL_CASE,1,s_1190_67_2
