post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I've een lke thi for a long time now whrein I sleep at around 9 ro 10pm, hoping to wake up ealy in the monring at raound 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get bcak bed.","I've een lke thi for a long time now whrein I sleep at around 9 ro 10pm, hoping to wake up ealy in the monring at raound 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get bcak bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",ta_char_neighbor+ta_char_rand_del,SLEEP_ISSUES,1,s_852_229_1
"Masturbating right before and aslo during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, insetad I strt msturbating wch also affcest how much rest I get.","Masturbating right before and aslo during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, insetad I strt msturbating wch also affcest how much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_neighbor+ta_char_rand_del,SLEEP_ISSUES,1,s_1404_1455_0
"Masturbating right before and aslo during sleep I feel like its affecting my sleep quality If I wake up tired in the mornng whe I should go back to sleep, insetad I start masturbaing which also afcest how much rest I get.","Masturbating right before and aslo during sleep I feel like its affecting my sleep quality If I wake up tired in the mornng whe I should go back to sleep, insetad I start masturbaing which also afcest how much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_neighbor+ta_char_rand_del,SLEEP_ISSUES,1,s_1404_1455_0
"I work frm hom, and I don't sleep well for the most part (I have insomnia and completely rely on sleep adis, and they tend not to give you a godo night's rest, which results in fatgue a few hours aftr waking u), so at osme point uring the ady, I usually get a littel tried nad have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and donig i riht then would be better).","I work frm hom, and I don't sleep well for the most part (I have insomnia and completely rely on sleep adis, and they tend not to give you a godo night's rest, which results in fatgue a few hours aftr waking u), so at osme point uring the ady, I usually get a littel tried nad have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and donig i riht then would be better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",ta_char_neighbor+ta_char_rand_del,SLEEP_ISSUES,1,s_2292_402_1
Im' trsh.,Im' trsh.,I'm trash.,ta_char_neighbor+ta_char_rand_del,WORTHLESSNESS,1,s_2130_82_12
I'm tash.,I'm tash.,I'm trash.,ta_char_neighbor+ta_char_rand_del,WORTHLESSNESS,1,s_2130_82_12
"Occasionlaly I've taken 25/50mg ot get to sleep at night but 've definitely never experienced anything on it before other than getting drowsy...o, like twenty mnutes later 'm getting in bed, adn I turn no this white noise ten hour youtube video I sometimes use o help me selep.","Occasionlaly I've taken 25/50mg ot get to sleep at night but 've definitely never experienced anything on it before other than getting drowsy...o, like twenty mnutes later 'm getting in bed, adn I turn no this white noise ten hour youtube video I sometimes use o help me selep.","Occasionally I've taken 25/50mg to get to sleep at night but I've definitely never experienced anything on it before other than getting drowsy...so, like twenty minutes later I'm getting in bed, and I turn on this white noise ten hour youtube video I sometimes use to help me sleep.",ta_char_neighbor+ta_char_rand_del,SLEEP_ISSUES,1,s_1965_10_8
"Occasionlaly 'Ive take 25/50mg to get to sleep at night but 've dfeinitely never experienced anything o it before other than getting drowsy...so, like twenty minutes later I'm getting in bed, and I turn on this white noise etn hour youtbue veo I sometimes use to help me sleep.","Occasionlaly 'Ive take 25/50mg to get to sleep at night but 've dfeinitely never experienced anything o it before other than getting drowsy...so, like twenty minutes later I'm getting in bed, and I turn on this white noise etn hour youtbue veo I sometimes use to help me sleep.","Occasionally I've taken 25/50mg to get to sleep at night but I've definitely never experienced anything on it before other than getting drowsy...so, like twenty minutes later I'm getting in bed, and I turn on this white noise ten hour youtube video I sometimes use to help me sleep.",ta_char_neighbor+ta_char_rand_del,SLEEP_ISSUES,1,s_1965_10_8
"Some suicide attempts left mw crying qfter all the pain and once, the thought of my mother just at the ther side of teh door and she waking me pu cheerfully the next morning, but again, living for ohers can lny go so fqr, and this is eh breaking ponit were the onit of not carign anymore if I can get rid of this pain is becoming stronger and coming closer agai.","Some suicide attempts left mw crying qfter all the pain and once, the thought of my mother just at the ther side of teh door and she waking me pu cheerfully the next morning, but again, living for ohers can lny go so fqr, and this is eh breaking ponit were the onit of not carign anymore if I can get rid of this pain is becoming stronger and coming closer agai.","Some suicide attempts left mw crying qfter all the pain and once, the thought of my mother just at the other side of the door and she waking me up cheerfully the next morning, but again, living for others can only go so fqr, and this is the breaking point where the point of not caring anymore if I can get rid of this pain is becoming stronger and coming closer again.",ta_char_neighbor+ta_char_rand_del,SUICIDAL_THOUGHTS,1,s_782_6_12
"Some suicide atetmpts left mw crying qfter all he pain and once, teh thought of my mother ujst at the other side of the door and she waking me up cherfully the next morning, but again, liing for others can only go so fqr, and this is the breaikng point where the poit o not caring anmyore if I cn get id of this pain is becoming stronger and coming lcoser again.","Some suicide atetmpts left mw crying qfter all he pain and once, teh thought of my mother ujst at the other side of the door and she waking me up cherfully the next morning, but again, liing for others can only go so fqr, and this is the breaikng point where the poit o not caring anmyore if I cn get id of this pain is becoming stronger and coming lcoser again.","Some suicide attempts left mw crying qfter all the pain and once, the thought of my mother just at the other side of the door and she waking me up cheerfully the next morning, but again, living for others can only go so fqr, and this is the breaking point where the point of not caring anymore if I can get rid of this pain is becoming stronger and coming closer again.",ta_char_neighbor+ta_char_rand_del,SUICIDAL_THOUGHTS,1,s_782_6_12
"I tried to stay p longer past 3 pm yesterday ut I got way too tired and fell aslee until 11 p and nwo I cant ge any sleep sinec Im not tired and my tics want to come out, but I cant let them since my mom will be agnry.","I tried to stay p longer past 3 pm yesterday ut I got way too tired and fell aslee until 11 p and nwo I cant ge any sleep sinec Im not tired and my tics want to come out, but I cant let them since my mom will be agnry.","I tried to stay up longer past 3 pm yesterday but I got way too tired and fell asleep until 11 pm and now I cant get any sleep since Im not tired and my tics want to come out, but I cant let them since my mom will be angry.",ta_char_neighbor+ta_char_rand_del,SLEEP_ISSUES,1,s_2434_538_2
"I tried to stay up longe past 3 pm yesterday but I go way too tired and fell aseep until 11 pm and nwo I cant get any seep sinec Im not tired and my tcs want to come out, but I cant let them since my mom will be agnry.","I tried to stay up longe past 3 pm yesterday but I go way too tired and fell aseep until 11 pm and nwo I cant get any seep sinec Im not tired and my tcs want to come out, but I cant let them since my mom will be agnry.","I tried to stay up longer past 3 pm yesterday but I got way too tired and fell asleep until 11 pm and now I cant get any sleep since Im not tired and my tics want to come out, but I cant let them since my mom will be angry.",ta_char_neighbor+ta_char_rand_del,SLEEP_ISSUES,1,s_2434_538_2
"Iv'e done osme thinking as to why I may feel depressed, and one thing that stood out is the fct that I'm always looking for new thnigs in my life to fill some knd of hole o need

his as become destructive though, as I wil eat a lot ust for teh sake of eaitng becasue it feels good nad different from feeling g depressed, or Ill just by radom crap just because it is new

and the this gs I used to like to do, like programming ro reading, I just don't find as fun anymore

'Im not sure if this is jst a part of depression o if its entirely something different.","Iv'e done osme thinking as to why I may feel depressed, and one thing that stood out is the fct that I'm always looking for new thnigs in my life to fill some knd of hole o need

his as become destructive though, as I wil eat a lot ust for teh sake of eaitng becasue it feels good nad different from feeling g depressed, or Ill just by radom crap just because it is new

and the this gs I used to like to do, like programming ro reading, I just don't find as fun anymore

'Im not sure if this is jst a part of depression o if its entirely something different.","I've done some thinking as to why I may feel depressed, and one thing that stood out is the fact that I'm always looking for new things in my life to fill some kind of hole or need

this has become destructive though, as I will eat a lot just for the sake of eating because it feels good and different from feeling g depressed, or I'll just by random crap just because it is new

and the this gs I used to like to do, like programming or reading, I just don't find as fun anymore

I'm not sure if this is just a part of depression or if its entirely something different.",ta_char_neighbor+ta_char_rand_del,DEPRESSED_MOOD,1,s_1808_2_2
