post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I was able to experience novelty and joy even if I did still feel lonely/ Ldepressed and would self harm , I had the ability to enjoy and feel likw the real me - nwow all thwts gone and Ive just gotten buyvried into a Kdepressive hope wgere everyday is lived robotjcally or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ Ldepressed and would self harm , I had the ability to enjoy and feel likw the real me - nwow all thwts gone and Ive just gotten buyvried into a Kdepressive hope wgere everyday is lived robotjcally or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",ta_char_rand_ins+ta_wordswap_qwerty,ANHEDONIA,1,s_258_546_2
"Masturbating riUght before anDd also dufing sleeo I feel like itfs affecting my sleep quality IOf I wake up tired in the mkrning when I should go back to sleep, instead I start mastuebating which also affects how much rest I get.","Masturbating riUght before anDd also dufing sleeo I feel like itfs affecting my sleep quality IOf I wake up tired in the mkrning when I should go back to sleep, instead I start mastuebating which also affects how much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_rand_ins+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_1404_1455_0
"I work frkom home, and I don't sleep well for the most part (I hqve insomnia and completely rsly on sleep aids, and they tend not to pgive you a good jnight's relst, which results ih fatigue a fww hours after waking up), so at some point during thTe dqy, I usually get a little tOired and have the urgje to just crawl into bed and fonish my work later (which I could do, but staying awake ajd pdoing ir right then would be better).","I work frkom home, and I don't sleep well for the most part (I hqve insomnia and completely rsly on sleep aids, and they tend not to pgive you a good jnight's relst, which results ih fatigue a fww hours after waking up), so at some point during thTe dqy, I usually get a little tOired and have the urgje to just crawl into bed and fonish my work later (which I could do, but staying awake ajd pdoing ir right then would be better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",ta_char_rand_ins+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_2292_402_1
"I work frkom home, and I don't sleep well for yhe most part (I have insomnia and completely rely on sleep aids, xnd they tend not yo pgive yku a good jnight's relst, which results in fatigue a few hours sfter waking up), do at some point during thTe day, I usually get a little tOired and have the urgje to just crawl into bed and finish my work latef (which I cojld do, but staying awake and pdoing it right then would be better).","I work frkom home, and I don't sleep well for yhe most part (I have insomnia and completely rely on sleep aids, xnd they tend not yo pgive yku a good jnight's relst, which results in fatigue a few hours sfter waking up), do at some point during thTe day, I usually get a little tOired and have the urgje to just crawl into bed and finish my work latef (which I cojld do, but staying awake and pdoing it right then would be better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",ta_char_rand_ins+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_2292_402_1
"I really don't want to die, but I xrave for tIhe world to be a much better place, I crave for a saott of lice wrhere I feel in control for once, a life where I don't feel like I'm being Qlee like a horse.","I really don't want to die, but I xrave for tIhe world to be a much better place, I crave for a saott of lice wrhere I feel in control for once, a life where I don't feel like I'm being Qlee like a horse.","I really don't want to die, but I crave for the world to be a much better place, I crave for a sort of life where I feel in control for once, a life where I don't feel like I'm being led like a horse.",ta_char_rand_ins+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_1738_193_5
"It has been a rough school year for me with a Mlot of changes that brought me to the point gof ubcontrollable crging for two daks iAn a row, migraines, muscle tension, and aCn inability to really get any work done with my students.","It has been a rough school year for me with a Mlot of changes that brought me to the point gof ubcontrollable crging for two daks iAn a row, migraines, muscle tension, and aCn inability to really get any work done with my students.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",ta_char_rand_ins+ta_wordswap_qwerty,SPECIAL_CASE,1,s_1190_67_2
"Ih has been a rough school year for me with a Mlot of changes that brought me to the point gor uncontrollable vrying for two days iAn a row, migraines, muscle tension, and aCn inability to really get any work done with my stjdents.","Ih has been a rough school year for me with a Mlot of changes that brought me to the point gor uncontrollable vrying for two days iAn a row, migraines, muscle tension, and aCn inability to really get any work done with my stjdents.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",ta_char_rand_ins+ta_wordswap_qwerty,SPECIAL_CASE,1,s_1190_67_2
"It's basically a constant knowleWdge, that I'm worthless, I'm stupid, I'm unlovable, nobody ever has or ever will kove me, everything I do is wrong, I'pm a bwd human bfing and I need to be dead right noUw.","It's basically a constant knowleWdge, that I'm worthless, I'm stupid, I'm unlovable, nobody ever has or ever will kove me, everything I do is wrong, I'pm a bwd human bfing and I need to be dead right noUw.","It's basically a constant knowledge, that I'm worthless, I'm stupid, I'm unlovable, nobody ever has or ever will love me, everything I do is wrong, I'm a bad human being and I need to be dead right now.",ta_char_rand_ins+ta_wordswap_qwerty,WORTHLESSNESS,1,s_1483_222_18
"Occasionally I've taken T25/50mg to get to sleep at night but I've definiteXly never experienxed anything on it before other than getting drowsy...so, ljke twentg minutes later I'm getting ib bPed, Land I tuhrn on this white noise ten hour yojtube video I sometimes use to help me sleep.","Occasionally I've taken T25/50mg to get to sleep at night but I've definiteXly never experienxed anything on it before other than getting drowsy...so, ljke twentg minutes later I'm getting ib bPed, Land I tuhrn on this white noise ten hour yojtube video I sometimes use to help me sleep.","Occasionally I've taken 25/50mg to get to sleep at night but I've definitely never experienced anything on it before other than getting drowsy...so, like twenty minutes later I'm getting in bed, and I turn on this white noise ten hour youtube video I sometimes use to help me sleep.",ta_char_rand_ins+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_1965_10_8
"Occasionally I've taken T25/50mg to get to elsep at night but I've definiteXly never experienved anything on it before other than getting drowsy...so, like twenty minutes later I'm gettinb in bPed, Land I tuhrn on this white noise ten hour ykutube video I sometimes use to help me sleep.","Occasionally I've taken T25/50mg to get to elsep at night but I've definiteXly never experienved anything on it before other than getting drowsy...so, like twenty minutes later I'm gettinb in bPed, Land I tuhrn on this white noise ten hour ykutube video I sometimes use to help me sleep.","Occasionally I've taken 25/50mg to get to sleep at night but I've definitely never experienced anything on it before other than getting drowsy...so, like twenty minutes later I'm getting in bed, and I turn on this white noise ten hour youtube video I sometimes use to help me sleep.",ta_char_rand_ins+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_1965_10_8
