post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"It was only Zlater after my secjnnd boyfriend, I realized I cannot feel sexual attraction (if I haSe, it was very temtorary), and that I am probably asexual due tp the ofact that I just get disgusted with myself when it ciomes to the sex part.","It was only Zlater after my secjnnd boyfriend, I realized I cannot feel sexual attraction (if I haSe, it was very temtorary), and that I am probably asexual due tp the ofact that I just get disgusted with myself when it ciomes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_char_rand_ins+ta_char_rand_swap,ANHEDONIA,0,s_716_26_15
"It was only dlater after my seconnd boyfriend, I realized I cannot feel sexual attraction (if I haie, it was very temporary), and that I am probably asexual due to the ofact that I just get disgusted with myself when it Xiomes to tre sex part.","It was only dlater after my seconnd boyfriend, I realized I cannot feel sexual attraction (if I haie, it was very temporary), and that I am probably asexual due to the ofact that I just get disgusted with myself when it Xiomes to tre sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_char_rand_ins+ta_char_rand_swap,ANHEDONIA,0,s_716_26_15
"I Aork from Rome, and I don't sFleep well for tJhe most part (I haGve insomnia and completely reRly on sleep aids, and they tentd noEt to give you a good Qight's rest, which results in fatigue a few hours after waking up), sa at some point during the daM, I usually get a littlke tired and have the urvge to just crawl into bed and finish my work lateA (which I could do, but staying aIake Bnd doing it right then would be better).","I Aork from Rome, and I don't sFleep well for tJhe most part (I haGve insomnia and completely reRly on sleep aids, and they tentd noEt to give you a good Qight's rest, which results in fatigue a few hours after waking up), sa at some point during the daM, I usually get a littlke tired and have the urvge to just crawl into bed and finish my work lateA (which I could do, but staying aIake Bnd doing it right then would be better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",ta_char_rand_ins+ta_char_rand_swap,SLEEP_ISSUES,1,s_2292_402_1
"I work from homY, and I doo't sFleep well for tJhe most part (I haGve insoania and completely reRly on sleep aids, and they tentd noEt to give you a good night's rest, which results ii fatigue a few hours after waking ap), so at some point during the day, I usually get a liPtlke tcred and Dave the urvge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).","I work from homY, and I doo't sFleep well for tJhe most part (I haGve insoania and completely reRly on sleep aids, and they tentd noEt to give you a good night's rest, which results ii fatigue a few hours after waking ap), so at some point during the day, I usually get a liPtlke tcred and Dave the urvge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",ta_char_rand_ins+ta_char_rand_swap,SLEEP_ISSUES,1,s_2292_402_1
"I really don't want to die, but I crave for the world to ibe a much better place, I crave foI a soSt of life where I feesl in control foHr oncs, a lpife where I don't feel live I'm being led like a horse.","I really don't want to die, but I crave for the world to ibe a much better place, I crave foI a soSt of life where I feesl in control foHr oncs, a lpife where I don't feel live I'm being led like a horse.","I really don't want to die, but I crave for the world to be a much better place, I crave for a sort of life where I feel in control for once, a life where I don't feel like I'm being led like a horse.",ta_char_rand_ins+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_1738_193_5
"It has been a rough school year for me wAth a lot of changes that brought me to thV point vf uncontrollable crying for two days in a row, migraines, muscle tension, and pn inabiliLty to really get any worck done with dmry students.","It has been a rough school year for me wAth a lot of changes that brought me to thV point vf uncontrollable crying for two days in a row, migraines, muscle tension, and pn inabiliLty to really get any worck done with dmry students.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",ta_char_rand_ins+ta_char_rand_swap,SPECIAL_CASE,1,s_1190_67_2
"It has been a rough school year for oe Tith a lut of changes that brought me to the poinO of uncontrollable crying for two days in a row, migraines, muscle tension, and an inabiliLty to really get any worck done with dmry students.","It has been a rough school year for oe Tith a lut of changes that brought me to the poinO of uncontrollable crying for two days in a row, migraines, muscle tension, and an inabiliLty to really get any worck done with dmry students.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",ta_char_rand_ins+ta_char_rand_swap,SPECIAL_CASE,1,s_1190_67_2
I don't have a passiKn for aknything I lost intebest in most things about the age of 1B0 (idk what hoppened to me maybe some event or one of my cihildhood operations sSomething gone wrong) after losing it at 10; my time became occupied witJh philosophy and just wasting time mindlessly oa on intellectual things like science and math.,I don't have a passiKn for aknything I lost intebest in most things about the age of 1B0 (idk what hoppened to me maybe some event or one of my cihildhood operations sSomething gone wrong) after losing it at 10; my time became occupied witJh philosophy and just wasting time mindlessly oa on intellectual things like science and math.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,ta_char_rand_ins+ta_char_rand_swap,ANHEDONIA,1,s_212_394_1
I don't hbve a passion for aMnything I lost interest in most things about the age Sf 1B0 (idk whPt happened to me maybe somT event or one of my cihildhood operations sSomething gonN wrong) after losing it at 10; my time became occupied witJh philosophy and just wasting time mindlessly or on intellectual things like science and math.,I don't hbve a passion for aMnything I lost interest in most things about the age Sf 1B0 (idk whPt happened to me maybe somT event or one of my cihildhood operations sSomething gonN wrong) after losing it at 10; my time became occupied witJh philosophy and just wasting time mindlessly or on intellectual things like science and math.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,ta_char_rand_ins+ta_char_rand_swap,ANHEDONIA,1,s_212_394_1
I don't hbve a passion for aMnything I lost interest in most things about the age Sf 1B0 (idk whPt happened to me maybe somT event or one of my cihildhood operations sSomething gonN wrong) after losing it at 10; my time became occupied witJh philosophy and just wasting time mindlessly or on intellectual things like science and math.,I don't hbve a passion for aMnything I lost interest in most things about the age Sf 1B0 (idk whPt happened to me maybe somT event or one of my cihildhood operations sSomething gonN wrong) after losing it at 10; my time became occupied witJh philosophy and just wasting time mindlessly or on intellectual things like science and math.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,ta_char_rand_ins+ta_char_rand_swap,ANHEDONIA,1,s_212_394_1
