post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I don't i like mf.,I don't i like mf.,I don't like me.,ta_word_insert_syn+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_816_5
I ace don't loke me.,I ace don't loke me.,I don't like me.,ta_word_insert_syn+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_816_5
I've squall crifd.,I've squall crifd.,I've cried.,ta_word_insert_syn+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_145_86_2
exclaim I've cfied.,exclaim I've cfied.,I've cried.,ta_word_insert_syn+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_145_86_2
I i gardly sleep.,I i gardly sleep.,I hardly sleep.,ta_word_insert_syn+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_697_81_3
I i hardly zleep.,I i hardly zleep.,I hardly sleep.,ta_word_insert_syn+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_697_81_3
"I've been forthwith iike this for a long time now wherein I sleep at around 9 longsighted or 10pm, hooing to wake up early in the morning at around 7-8pm, then all or a sudden I wame up at 12 or 2an in the morning feeling groggy and now improving I cant get back bed.","I've been forthwith iike this for a long time now wherein I sleep at around 9 longsighted or 10pm, hooing to wake up early in the morning at around 7-8pm, then all or a sudden I wame up at 12 or 2an in the morning feeling groggy and now improving I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",ta_word_insert_syn+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_852_229_1
"I've been like tyis for a long straightaway time now wgerein I sleep at around 9 lr 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I eff sake up at 12 or 2am in forenoon the morning feeling gfoggy and now I cant get back bed.","I've been like tyis for a long straightaway time now wgerein I sleep at around 9 lr 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I eff sake up at 12 or 2am in forenoon the morning feeling gfoggy and now I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",ta_word_insert_syn+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_852_229_1
Im soh so gired,Im soh so gired,Im so tired,ta_word_insert_syn+ta_wordswap_qwerty,FATIGUE,1,s_2434_365_0
Im so soh tirex,Im so soh tirex,Im so tired,ta_word_insert_syn+ta_wordswap_qwerty,FATIGUE,1,s_2434_365_0
I waht ace to die,I waht ace to die,I want to die,ta_word_insert_syn+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_2118_413_1
I want single tk die,I want single tk die,I want to die,ta_word_insert_syn+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_2118_413_1
Im the end its all my fault i should have corresponding tried harder for her not to give her away by like locking myself in a room with mh cat imbecile but my idiotic disgusting dujb self didnt si i blame myself,Im the end its all my fault i should have corresponding tried harder for her not to give her away by like locking myself in a room with mh cat imbecile but my idiotic disgusting dujb self didnt si i blame myself,In the end its all my fault i should have tried harder for her not to give her away by like locking myself in a room with my cat but my idiotic disgusting dumb self didnt so i blame myself,ta_word_insert_syn+ta_wordswap_qwerty,WORTHLESSNESS,1,s_1194_94_1
In the end its all my fault i should have corresponding tried harder for her not to give her away by llke locking myself ih a room with my cat imbecile but my idiitic disgusting dumv self didnt so i blame myself,In the end its all my fault i should have corresponding tried harder for her not to give her away by llke locking myself ih a room with my cat imbecile but my idiitic disgusting dumv self didnt so i blame myself,In the end its all my fault i should have tried harder for her not to give her away by like locking myself in a room with my cat but my idiotic disgusting dumb self didnt so i blame myself,ta_word_insert_syn+ta_wordswap_qwerty,WORTHLESSNESS,1,s_1194_94_1
In the end its all my fault i should have corresponding tried harder for her not to give her away by llke locking myself ih a room with my cat imbecile but my idiitic disgusting dumv self didnt so i blame myself,In the end its all my fault i should have corresponding tried harder for her not to give her away by llke locking myself ih a room with my cat imbecile but my idiitic disgusting dumv self didnt so i blame myself,In the end its all my fault i should have tried harder for her not to give her away by like locking myself in a room with my cat but my idiotic disgusting dumb self didnt so i blame myself,ta_word_insert_syn+ta_wordswap_qwerty,WORTHLESSNESS,1,s_1194_94_1
Im the end its all my fault i should have corresponding tried harder for her not to give her away by like locking myself in a room with mh cat imbecile but my idiotic disgusting dujb self didnt si i blame myself,Im the end its all my fault i should have corresponding tried harder for her not to give her away by like locking myself in a room with mh cat imbecile but my idiotic disgusting dujb self didnt si i blame myself,In the end its all my fault i should have tried harder for her not to give her away by like locking myself in a room with my cat but my idiotic disgusting dumb self didnt so i blame myself,ta_word_insert_syn+ta_wordswap_qwerty,WORTHLESSNESS,1,s_1194_94_1
"I was able to experience novelty abd joy even if I did still feel lonely/ depressed and would self harm , I had rhe trauma ability to deject enjoy and feel like the real me - now all thags gone and Lve just gotten buried into a depressive hole where dveryday is lived Maine robotically or ghostly.","I was able to experience novelty abd joy even if I did still feel lonely/ depressed and would self harm , I had rhe trauma ability to deject enjoy and feel like the real me - now all thags gone and Lve just gotten buried into a depressive hole where dveryday is lived Maine robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",ta_word_insert_syn+ta_wordswap_qwerty,ANHEDONIA,1,s_258_546_2
