post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I Dhate tXhat i am cryjing atomic number 86.,I Dhate tXhat i am cryjing atomic number 86.,I hate that i am crying rn.,nlp_randchar_ins+nlp_wordnet_insert,DEPRESSED_MOOD,1,s_321_219_4
I hoate tKhat i embody xcrying rn.,I hoate tKhat i embody xcrying rn.,I hate that i am crying rn.,nlp_randchar_ins+nlp_wordnet_insert,DEPRESSED_MOOD,1,s_321_219_4
"I ' m so 9indecisive, if I was in lyour bootRs I ' ergocalciferol gnever be a & ble to) decide.","I ' m so 9indecisive, if I was in lyour bootRs I ' ergocalciferol gnever be a & ble to) decide.","I'm so indecisive, if I was in your boots I'd never be able to decide.",nlp_randchar_ins+nlp_wordnet_insert,COGNITIVE_ISSUES,1,s_1997_963_1
"I ' m indeed indeci_sive, if I was in you2r nboots I ' viosterol nexver be abl1e to deqcide.","I ' m indeed indeci_sive, if I was in you2r nboots I ' viosterol nexver be abl1e to deqcide.","I'm so indecisive, if I was in your boots I'd never be able to decide.",nlp_randchar_ins+nlp_wordnet_insert,COGNITIVE_ISSUES,1,s_1997_963_1
I ' one thousand not Minterested in anyth (ing.,I ' one thousand not Minterested in anyth (ing.,I'm not interested in anything.,nlp_randchar_ins+nlp_wordnet_insert,ANHEDONIA,1,s_1404_102_34
Ane ' m not inte2rested in anytahing.,Ane ' m not inte2rested in anytahing.,I'm not interested in anything.,nlp_randchar_ins+nlp_wordnet_insert,ANHEDONIA,1,s_1404_102_34
Whic9h I can ' t ubecause my soTcial skilvls are awful and tBhey can smelEl it.,Whic9h I can ' t ubecause my soTcial skilvls are awful and tBhey can smelEl it.,Which I can't because my social skills are terrible and they can smell it.,nlp_randchar_ins+nlp_wordnet_insert,WORTHLESSNESS,1,s_1404_102_62
Wh * ich I can ' t be% cause my social Yskills are terribmle and ithey dismiss smDell it.,Wh * ich I can ' t be% cause my social Yskills are terribmle and ithey dismiss smDell it.,Which I can't because my social skills are terrible and they can smell it.,nlp_randchar_ins+nlp_wordnet_insert,WORTHLESSNESS,1,s_1404_102_62
I ' ve jusit neve2r beeFn thaYt interested in sex beaver state relationsYhips and I don ' t 7think I ever 8will personify.,I ' ve jusit neve2r beeFn thaYt interested in sex beaver state relationsYhips and I don ' t 7think I ever 8will personify.,I've just never been that interested in sex or relationships and I don't think I ever will be.,nlp_randchar_ins+nlp_wordnet_insert,ANHEDONIA,1,s_205_396_1
"And in the Qcase for majo% r depression, you ' re usualRly expeAriencing a depletHion operating theatre a disregulation of neurotransmit * tLers like dopamine and serotonin and y0our b # rain (just isont working properly.","And in the Qcase for majo% r depression, you ' re usualRly expeAriencing a depletHion operating theatre a disregulation of neurotransmit * tLers like dopamine and serotonin and y0our b # rain (just isont working properly.","And in the case for major depression, you're usually experiencing a depletion or a disregulation of neurotransmitters like dopamine and serotonin and your brain just isnt working properly.",nlp_randchar_ins+nlp_wordnet_insert,FATIGUE,1,s_2886_101_1
Now I toilet ' t st5op crzying.,Now I toilet ' t st5op crzying.,Now I can't stop crying.,nlp_randchar_ins+nlp_wordnet_insert,DEPRESSED_MOOD,1,s_2338_920_11
Like a shot I can ' t st1op crRying.,Like a shot I can ' t st1op crRying.,Now I can't stop crying.,nlp_randchar_ins+nlp_wordnet_insert,DEPRESSED_MOOD,1,s_2338_920_11
"I 100% Uknow that if I have to go to college alone w @ ithout my fami ^ ly or any support Im gonna end up killi $ ng myself. .. . Im barely keeping my self live now, 1 can ' t i9magine beiHng all by Mmyself and dealinug wihth my thToughts and emotions!","I 100% Uknow that if I have to go to college alone w @ ithout my fami ^ ly or any support Im gonna end up killi $ ng myself. .. . Im barely keeping my self live now, 1 can ' t i9magine beiHng all by Mmyself and dealinug wihth my thToughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randchar_ins+nlp_wordnet_insert,SUICIDAL_THOUGHTS,1,s_156_366_1
I nzever get 6enough slee% p unless I get along － t havle to wak8e with an alarm ctlock.,I nzever get 6enough slee% p unless I get along － t havle to wak8e with an alarm ctlock.,I never get enough sleep unless I do－t have to wake with an alarm clock.,nlp_randchar_ins+nlp_wordnet_insert,LEEP_ISSUES,1,s_1404_1048_1
I wear ' t exGercise becauvse of my extremce Hfatigue.,I wear ' t exGercise becauvse of my extremce Hfatigue.,I don't exercise because of my extreme fatigue.,nlp_randchar_ins+nlp_wordnet_insert,FATIGUE,1,s_1404_1341_0
I wear ' t ePxercise Xbecause of my extrceme 3fatigue.,I wear ' t ePxercise Xbecause of my extrceme 3fatigue.,I don't exercise because of my extreme fatigue.,nlp_randchar_ins+nlp_wordnet_insert,FATIGUE,1,s_1404_1341_0
Ace ' m cryinGg on the floKor.,Ace ' m cryinGg on the floKor.,I'm crying on the floor.,nlp_randchar_ins+nlp_wordnet_insert,DEPRESSED_MOOD,1,s_2401_82_1
I ' thousand cryiing on the fljoor.,I ' thousand cryiing on the fljoor.,I'm crying on the floor.,nlp_randchar_ins+nlp_wordnet_insert,DEPRESSED_MOOD,1,s_2401_82_1
"There are pleNnty of timeQs I don ' t eat when I ' one thousand hubngry, but the constarnt fixa2tion on f ^ ood is Uwhat is realUly g% etting to me.","There are pleNnty of timeQs I don ' t eat when I ' one thousand hubngry, but the constarnt fixa2tion on f ^ ood is Uwhat is realUly g% etting to me.","There are plenty of times I don't eat when I'm hungry, but the constant fixation on food is what is really getting to me.",nlp_randchar_ins+nlp_wordnet_insert,APPETITE_CHANGE,0,s_2338_314_0
"TherUe be plenty of trimes I don ' t eat whein I ' m huAngry, only the constlant fixat8ion on foXod is whAat is r2eally getting to pine tree state.","TherUe be plenty of trimes I don ' t eat whein I ' m huAngry, only the constlant fixat8ion on foXod is whAat is r2eally getting to pine tree state.","There are plenty of times I don't eat when I'm hungry, but the constant fixation on food is what is really getting to me.",nlp_randchar_ins+nlp_wordnet_insert,APPETITE_CHANGE,0,s_2338_314_0
"I coulYd puniKsh myseXlf but thRere is onlyy a sh! ort timse to do so, and One don ' t control the poiPnt.","I coulYd puniKsh myseXlf but thRere is onlyy a sh! ort timse to do so, and One don ' t control the poiPnt.","I could punish myself but there is only a short time to do so, and I don't see the point.",nlp_randchar_ins+nlp_wordnet_insert,WORTHLESSNESS,0,s_835_46_219
"1 coulYd puniKsh myseXlf but thRere is onlyy a sh! ort timse to do so, and I get into ' t see the poiPnt.","1 coulYd puniKsh myseXlf but thRere is onlyy a sh! ort timse to do so, and I get into ' t see the poiPnt.","I could punish myself but there is only a short time to do so, and I don't see the point.",nlp_randchar_ins+nlp_wordnet_insert,WORTHLESSNESS,0,s_835_46_219
I ' m gl & ad Iodine ' m moTre aware of my inaUbility to Xenjoy + being socihable.,I ' m gl & ad Iodine ' m moTre aware of my inaUbility to Xenjoy + being socihable.,I'm glad I'm more aware of my inability to enjoy being sociable.,nlp_randchar_ins+nlp_wordnet_insert,ANHEDONIA,0,s_1601_124_7
I ' m gl & ad I ' thou moTre aware of my inaUbility to Xenjoy + being socihable.,I ' m gl & ad I ' thou moTre aware of my inaUbility to Xenjoy + being socihable.,I'm glad I'm more aware of my inability to enjoy being sociable.,nlp_randchar_ins+nlp_wordnet_insert,ANHEDONIA,0,s_1601_124_7
Unity Ycant sstop crying.,Unity Ycant sstop crying.,I cant stop crying.,nlp_randchar_ins+nlp_wordnet_insert,DEPRESSED_MOOD,1,s_2334_738_1
I cannt stojp yell.,I cannt stojp yell.,I cant stop crying.,nlp_randchar_ins+nlp_wordnet_insert,DEPRESSED_MOOD,1,s_2334_738_1
"It was o $ nly later apfter my seecond boyfriEend, I reallized I cannot & feel sexual attraction (if I have, it was very temporary ), and that I am prTobably asexual due to the fact _that I just incur nauseate with my8self rwhen it comes to the sex part.","It was o $ nly later apfter my seecond boyfriEend, I reallized I cannot & feel sexual attraction (if I have, it was very temporary ), and that I am prTobably asexual due to the fact _that I just incur nauseate with my8self rwhen it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_ins+nlp_wordnet_insert,ANHEDONIA,0,s_716_26_15
"It was only later af $ ter my second boyfriend, I realized I cannot feel sexual attr0action (if I h4ave, it was veRry temporary ), and tha (t I am probeably asGexual imputable to the fact that Single scarce convey dinsgusted witGh mysel ^ f when it comes to the sex part.","It was only later af $ ter my second boyfriend, I realized I cannot feel sexual attr0action (if I h4ave, it was veRry temporary ), and tha (t I am probeably asGexual imputable to the fact that Single scarce convey dinsgusted witGh mysel ^ f when it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_ins+nlp_wordnet_insert,ANHEDONIA,0,s_716_26_15
Iodine don ' t ligke me.,Iodine don ' t ligke me.,I don't like me.,nlp_randchar_ins+nlp_wordnet_insert,WORTHLESSNESS,1,s_2415_816_5
I don ' liothyronine ligke me.,I don ' liothyronine ligke me.,I don't like me.,nlp_randchar_ins+nlp_wordnet_insert,WORTHLESSNESS,1,s_2415_816_5
My life is ghell and information technology mighBt nevexr get betdter.,My life is ghell and information technology mighBt nevexr get betdter.,My life is hell and  it  might never get better.,nlp_randchar_ins+nlp_wordnet_insert,DEPRESSED_MOOD,1,s_2415_816_6
My life story is ghell and it mighBt nevexr get betdter.,My life story is ghell and it mighBt nevexr get betdter.,My life is hell and  it  might never get better.,nlp_randchar_ins+nlp_wordnet_insert,DEPRESSED_MOOD,1,s_2415_816_6
"I ' ve suBffered frHom m1ild insomrnia for age, so thi1s wastn ' t anything new to maine.","I ' ve suBffered frHom m1ild insomrnia for age, so thi1s wastn ' t anything new to maine.","I've suffered from mild insomnia for years, so this wasn't anything new to me.",nlp_randchar_ins+nlp_wordnet_insert,SLEEP_ISSUES,1,s_1673_863_17
I am deplorable and I don ' t wknow why: (,I am deplorable and I don ' t wknow why: (,I am sad and I don't know why :(,nlp_randchar_ins+nlp_wordnet_insert,DEPRESSED_MOOD,1,s_2759_135_0
I am sad and I get into ' t wknow why: (,I am sad and I get into ' t wknow why: (,I am sad and I don't know why :(,nlp_randchar_ins+nlp_wordnet_insert,DEPRESSED_MOOD,1,s_2759_135_0
I ' ve cri @ ed.,I ' ve cri @ ed.,I've cried.,nlp_randchar_ins+nlp_wordnet_insert,DEPRESSED_MOOD,1,s_145_86_2
One ' ve crTied.,One ' ve crTied.,I've cried.,nlp_randchar_ins+nlp_wordnet_insert,DEPRESSED_MOOD,1,s_145_86_2
Iodine can ' t hBelp feeli $ ng likLe a failure.,Iodine can ' t hBelp feeli $ ng likLe a failure.,I can't help feeling like a failure.,nlp_randchar_ins+nlp_wordnet_insert,WORTHLESSNESS,1,s_439_101_6
I terminate ' t heklp feeling likFe a Ufailure.,I terminate ' t heklp feeling likFe a Ufailure.,I can't help feeling like a failure.,nlp_randchar_ins+nlp_wordnet_insert,WORTHLESSNESS,1,s_439_101_6
Unity hardlYy sleeKp.,Unity hardlYy sleeKp.,I hardly sleep.,nlp_randchar_ins+nlp_wordnet_insert,SLEEP_ISSUES,1,s_697_81_3
One hardlYy sleeKp.,One hardlYy sleeKp.,I hardly sleep.,nlp_randchar_ins+nlp_wordnet_insert,SLEEP_ISSUES,1,s_697_81_3
"I was just feeling liNke shit, so I didn ' t eat for a whilqe, and tchen onhce a we @ ek pxassed and I was feeling OK again, I was Wwaiting for the "" I ' m hunfgry "" sAignal again to wipe out, but information technology ne'er cYame.","I was just feeling liNke shit, so I didn ' t eat for a whilqe, and tchen onhce a we @ ek pxassed and I was feeling OK again, I was Wwaiting for the "" I ' m hunfgry "" sAignal again to wipe out, but information technology ne'er cYame.","I was just feeling like shit, so I didn't eat for a while, and then once a week passed and I was feeling OK again, I was waiting for the ""I'm hungry"" signal again to eat, but it never came.",nlp_randchar_ins+nlp_wordnet_insert,APPETITE_CHANGE,1,s_1294_205_1
