post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I've been like this for a lPong time now wherien I Asleep at around 9 or 10pm, hoping to waek up early in hte morOning at aroudn 7-8pm, then all of a sudden I wake up at 12 or 2am idn the morning feeling groggy nwad now I cant get back bed.","I've been like this for a lPong time now wherien I Asleep at around 9 or 10pm, hoping to waek up early in hte morOning at aroudn 7-8pm, then all of a sudden I wake up at 12 or 2am idn the morning feeling groggy nwad now I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",ta_char_neighbor+ta_char_rand_ins,SLEEP_ISSUES,1,s_852_229_1
"I wkas able to experience novelty and joy even if I did still feel lonley/ depressed and would jself harm , I had hte ability txo enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive zhleo where everyday Usi lived robotically or ghostly.","I wkas able to experience novelty and joy even if I did still feel lonley/ depressed and would jself harm , I had hte ability txo enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive zhleo where everyday Usi lived robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",ta_char_neighbor+ta_char_rand_ins,ANHEDONIA,1,s_258_546_2
"Masturbating right befmore and alos during sleep I sfeel lkie its affecqting my sleep quality If I wake up tired in the morning whne I should gio back to sleep, instead I start masturbating which also affecst how much rest I get.","Masturbating right befmore and alos during sleep I sfeel lkie its affecqting my sleep quality If I wake up tired in the morning whne I should gio back to sleep, instead I start masturbating which also affecst how much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_neighbor+ta_char_rand_ins,SLEEP_ISSUES,1,s_1404_1455_0
"Masturbating right bfeore and also duirng sleeEp I feel like its affecting my sleep qualiyt If I wake up tired in the morning wxhen I should go pback to sleep, instaed I start masturbating which also affectNs how much rest I get.","Masturbating right bfeore and also duirng sleeEp I feel like its affecting my sleep qualiyt If I wake up tired in the morning wxhen I should go pback to sleep, instaed I start masturbating which also affectNs how much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_neighbor+ta_char_rand_ins,SLEEP_ISSUES,1,s_1404_1455_0
"I work from home, and I dAon't sleep well for hte most part (I hvae insomnai and completely relKy no sleep aYisd, and they tend not Yot give you a good night's rest, which results in fatigue a fwe hours after waking Uup), so at some point during the Hday, I usually get a little tired and have the urge to just crawl into bed and finish my work alter (which I could do, but staying awakue and doing it right tShen would be better).","I work from home, and I dAon't sleep well for hte most part (I hvae insomnai and completely relKy no sleep aYisd, and they tend not Yot give you a good night's rest, which results in fatigue a fwe hours after waking Uup), so at some point during the Hday, I usually get a little tired and have the urge to just crawl into bed and finish my work alter (which I could do, but staying awakue and doing it right tShen would be better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",ta_char_neighbor+ta_char_rand_ins,SLEEP_ISSUES,1,s_2292_402_1
"I work from home, and I don't sleep well foIr hte most part (I hvae insomnai and completely rely no sleep aisd, and they tend not ot give you a good night's rest, which rxesults in fatigue a fwe hours after waking up), so at some point during the lday, I usually get a little tired and haAve thxe urge dto Djust crawl into bed and finish mDy work alter (which I could do, but staying awake and doing it right then would be better).","I work from home, and I don't sleep well foIr hte most part (I hvae insomnai and completely rely no sleep aisd, and they tend not ot give you a good night's rest, which rxesults in fatigue a fwe hours after waking up), so at some point during the lday, I usually get a little tired and haAve thxe urge dto Djust crawl into bed and finish mDy work alter (which I could do, but staying awake and doing it right then would be better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",ta_char_neighbor+ta_char_rand_ins,SLEEP_ISSUES,1,s_2292_402_1
"So hree is the case.. Its' been nearly 4 years, since i reVally down't feel like myself..I am still interested in activioties that interested mwe before,but my emotions are so weak and i ma much less sensiitve to particular things/people.","So hree is the case.. Its' been nearly 4 years, since i reVally down't feel like myself..I am still interested in activioties that interested mwe before,but my emotions are so weak and i ma much less sensiitve to particular things/people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",ta_char_neighbor+ta_char_rand_ins,ANHEDONIA,1,s_1127_16_1
"So hree is the case.. Its' been nearly 4 years, since i really don't feel like myself..I am still interested in activitieps that interested kme before,but my emotions are so weak anbd i ma much less sensiitve to eparticular things/people.","So hree is the case.. Its' been nearly 4 years, since i really don't feel like myself..I am still interested in activitieps that interested kme before,but my emotions are so weak anbd i ma much less sensiitve to eparticular things/people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",ta_char_neighbor+ta_char_rand_ins,ANHEDONIA,1,s_1127_16_1
"So hree is the case.. Its' been nearly 4 years, since i really don't feel like myself..I am still interested in activitieps that interested kme before,but my emotions are so weak anbd i ma much less sensiitve to eparticular things/people.","So hree is the case.. Its' been nearly 4 years, since i really don't feel like myself..I am still interested in activitieps that interested kme before,but my emotions are so weak anbd i ma much less sensiitve to eparticular things/people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",ta_char_neighbor+ta_char_rand_ins,ANHEDONIA,1,s_1127_16_1
"NSo hree is the case.. IWts' been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i Cma mZuch less sensiitve to particular things/people.","NSo hree is the case.. IWts' been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i Cma mZuch less sensiitve to particular things/people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",ta_char_neighbor+ta_char_rand_ins,ANHEDONIA,1,s_1127_16_1
