post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I 100% nkow that if I have to go to college alone without my family or any support Im gonna end up killing myself. .. . mI barely observe my self active now, I can ' t imagine being all by myself and edaling with my thoughts and eomtions!","I 100% nkow that if I have to go to college alone without my family or any support Im gonna end up killing myself. .. . mI barely observe my self active now, I can ' t imagine being all by myself and edaling with my thoughts and eomtions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_wordnet_insert+ta_char_neighbor,SUICIDAL_THOUGHTS,1,s_156_366_1
I cant stop rcy.,I cant stop rcy.,I cant stop crying.,nlp_wordnet_insert+ta_char_neighbor,DEPRESSED_MOOD,1,s_2334_738_1
I acnt stop cry.,I acnt stop cry.,I cant stop crying.,nlp_wordnet_insert+ta_char_neighbor,DEPRESSED_MOOD,1,s_2334_738_1
"Information technology was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I take in, information technology was very temporary ), and that I ma probably asexual due to the fact that I just get disugsted with myself hwen it come ot the sex part.","Information technology was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I take in, information technology was very temporary ), and that I ma probably asexual due to the fact that I just get disugsted with myself hwen it come ot the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_wordnet_insert+ta_char_neighbor,ANHEDONIA,0,s_716_26_15
"It was entirely later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, ti was really temporary ), and that I am probably asexual due to the fact that I just set out disgusted wiht myself when it comes ot the sxe part.","It was entirely later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, ti was really temporary ), and that I am probably asexual due to the fact that I just set out disgusted wiht myself when it comes ot the sxe part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_wordnet_insert+ta_char_neighbor,ANHEDONIA,0,s_716_26_15
One don ' t like em.,One don ' t like em.,I don't like me.,nlp_wordnet_insert+ta_char_neighbor,WORTHLESSNESS,1,s_2415_816_5
One don ' t liek me.,One don ' t liek me.,I don't like me.,nlp_wordnet_insert+ta_char_neighbor,WORTHLESSNESS,1,s_2415_816_5
Im mostyl tired So,Im mostyl tired So,Im generally tired So,nlp_wordnet_insert+ta_char_neighbor,FATIGUE,1,s_2007_1467_0
Im egnerally bore So,Im egnerally bore So,Im generally tired So,nlp_wordnet_insert+ta_char_neighbor,FATIGUE,1,s_2007_1467_0
I ' ve rcy.,I ' ve rcy.,I've cried.,nlp_wordnet_insert+ta_char_neighbor,DEPRESSED_MOOD,1,s_145_86_2
I ' ve cired.,I ' ve cired.,I've cried.,nlp_wordnet_insert+ta_char_neighbor,DEPRESSED_MOOD,1,s_145_86_2
I began to call uot.,I began to call uot.,I began to cry.,nlp_wordnet_insert+ta_char_neighbor,DEPRESSED_MOOD,1,s_2815_1660_107
I began to call otu.,I began to call otu.,I began to cry.,nlp_wordnet_insert+ta_char_neighbor,DEPRESSED_MOOD,1,s_2815_1660_107
Iodin hardly selep.,Iodin hardly selep.,I hardly sleep.,nlp_wordnet_insert+ta_char_neighbor,SLEEP_ISSUES,1,s_697_81_3
I juts sleep.,I juts sleep.,I hardly sleep.,nlp_wordnet_insert+ta_char_neighbor,SLEEP_ISSUES,1,s_697_81_3
Iodine am evry sad.,Iodine am evry sad.,I am very sad.,nlp_wordnet_insert+ta_char_neighbor,DEPRESSED_MOOD,0,s_411_1189_1
Iodien am very sad.,Iodien am very sad.,I am very sad.,nlp_wordnet_insert+ta_char_neighbor,DEPRESSED_MOOD,0,s_411_1189_1
"I was just feeling like shit, so I didn ' t eat for a while, adn then once a week passed and I make pu feeilng OK again, 1 was waiting for the "" I ' m hungry "" signaling again to eat, but ti never came.","I was just feeling like shit, so I didn ' t eat for a while, adn then once a week passed and I make pu feeilng OK again, 1 was waiting for the "" I ' m hungry "" signaling again to eat, but ti never came.","I was just feeling like shit, so I didn't eat for a while, and then once a week passed and I was feeling OK again, I was waiting for the ""I'm hungry"" signal again to eat, but it never came.",nlp_wordnet_insert+ta_char_neighbor,APPETITE_CHANGE,1,s_1294_205_1
"I constitute hadrly feeling like shit, so I didn ' t eat for a while, and then once a week overstep and 1 was feeling OK again, I wsa waiting for the "" I ' m hungry "" siganl again to use pu, but it never came.","I constitute hadrly feeling like shit, so I didn ' t eat for a while, and then once a week overstep and 1 was feeling OK again, I wsa waiting for the "" I ' m hungry "" siganl again to use pu, but it never came.","I was just feeling like shit, so I didn't eat for a while, and then once a week passed and I was feeling OK again, I was waiting for the ""I'm hungry"" signal again to eat, but it never came.",nlp_wordnet_insert+ta_char_neighbor,APPETITE_CHANGE,1,s_1294_205_1
I ma very grim also.,I ma very grim also.,I am very depressed also.,nlp_wordnet_insert+ta_char_neighbor,DEPRESSED_MOOD,1,s_131_822_0
I am very grim alos.,I am very grim alos.,I am very depressed also.,nlp_wordnet_insert+ta_char_neighbor,DEPRESSED_MOOD,1,s_131_822_0
