post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I've hardly any sleep.,I've hardly any sleep.,I hardly sleep.,nlp_cwe_insert_roberta+ta_contraction,SLEEP_ISSUES,1,s_697_81_3
I'd hardly ever sleep.,I'd hardly ever sleep.,I hardly sleep.,nlp_cwe_insert_roberta+ta_contraction,SLEEP_ISSUES,1,s_697_81_3
I'm so very terribly sad.,I'm so very terribly sad.,I am very sad.,nlp_cwe_insert_roberta+ta_contraction,DEPRESSED_MOOD,0,s_411_1189_1
I'm obviously very very sad.,I'm obviously very very sad.,I am very sad.,nlp_cwe_insert_roberta+ta_contraction,DEPRESSED_MOOD,0,s_411_1189_1
That's all I'd have energy ready for after work work.,That's all I'd have energy ready for after work work.,That's all I have energy for after work.,nlp_cwe_insert_roberta+ta_contraction,FATIGUE,1,s_1483_10_2
And I'd hate myself constantly for doing it.,And I'd hate myself constantly for doing it.,And I hate myself for it.,nlp_cwe_insert_roberta+ta_contraction,WORTHLESSNESS,1,s_614_806_3
I'll cry erytime,I'll cry erytime,I cry erytime,nlp_cwe_insert_roberta+ta_contraction,DEPRESSED_MOOD,1,s_523_60_1
I'd have achieved nothing and today I have left no skills.,I'd have achieved nothing and today I have left no skills.,I have achieved nothing and I have no skills.,nlp_cwe_insert_roberta+ta_contraction,WORTHLESSNESS,1,s_1455_72_8
I've lost no energy point at it all.,I've lost no energy point at it all.,I have no energy at all.,nlp_cwe_insert_roberta+ta_contraction,FATIGUE,1,s_1455_72_50
I'm also very slightly tired.,I'm also very slightly tired.,I am very tired.,nlp_cwe_insert_roberta+ta_contraction,FATIGUE,1,s_1030_1290_8
"Plus, having a lower average sex pleasure drive would be a real good thing since eliminating it still won't allow me now to also focus more easily on other things ... but also allow me to have sex when I'll want to.","Plus, having a lower average sex pleasure drive would be a real good thing since eliminating it still won't allow me now to also focus more easily on other things ... but also allow me to have sex when I'll want to.","Plus, having a lower sex drive would be a good thing since it will allow me to focus more on other things but also allow me to have sex when I will want to.",nlp_cwe_insert_roberta+ta_contraction,ANHEDONIA,1,s_473_485_7
