post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I feel st oppresseԁ.,I feel st oppresseԁ.,I feel so oppressed.,ta_char_rand_swap+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1955_1069_2
I feel so opsresѕed.,I feel so opsresѕed.,I feel so oppressed.,ta_char_rand_swap+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1955_1069_2
I cant stop cryPոg.,I cant stop cryPոg.,I cant stop crying.,ta_char_rand_swap+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2334_738_1
I Daոt stop crying.,I Daոt stop crying.,I cant stop crying.,ta_char_rand_swap+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2334_738_1
I don'V li𝒌e me.,I don'V li𝒌e me.,I don't like me.,ta_char_rand_swap+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
I doո'V like me.,I doո'V like me.,I don't like me.,ta_char_rand_swap+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
I'vH crіed.,I'vH crіed.,I've cried.,ta_char_rand_swap+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
I'vH crieԁ.,I'vH crieԁ.,I've cried.,ta_char_rand_swap+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
I begaո tr cry.,I begaո tr cry.,I began to cry.,ta_char_rand_swap+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2815_1660_107
I beɡan tr cry.,I beɡan tr cry.,I began to cry.,ta_char_rand_swap+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2815_1660_107
I hardlg sⅼeep.,I hardlg sⅼeep.,I hardly sleep.,ta_char_rand_swap+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_697_81_3
I հardly sAeep.,I հardly sAeep.,I hardly sleep.,ta_char_rand_swap+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_697_81_3
I am ѵery nad.,I am ѵery nad.,I am very sad.,ta_char_rand_swap+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_411_1189_1
I am vеry nad.,I am vеry nad.,I am very sad.,ta_char_rand_swap+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_411_1189_1
"I've bRen like this for a long time now wherein I sleep at around 9 or 10pm, hоpiոg to wake up early in the morning at around 7-8pm, thbn all oB a sudzen I wake up at 12 or 2am in tհe moⲅning 𝚏eeling groggy ans now I cant get back bed.","I've bRen like this for a long time now wherein I sleep at around 9 or 10pm, hоpiոg to wake up early in the morning at around 7-8pm, thbn all oB a sudzen I wake up at 12 or 2am in tհe moⲅning 𝚏eeling groggy ans now I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",ta_char_rand_swap+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_852_229_1
"I've been like this for a locg time now wherein I sleep at arounԁ 9 or 10pm, hoLing to wake ui early in the morninɡ at around 𝟕-8pm, then all Of a ѕudden I wake up at 12 or 2am in the morning feeling groggy aFd now I cant ɡet back bed.","I've been like this for a locg time now wherein I sleep at arounԁ 9 or 10pm, hoLing to wake ui early in the morninɡ at around 𝟕-8pm, then all Of a ѕudden I wake up at 12 or 2am in the morning feeling groggy aFd now I cant ɡet back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",ta_char_rand_swap+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_852_229_1
Iｍ Ro tired,Iｍ Ro tired,Im so tired,ta_char_rand_swap+ta_wordswap_homoglyph,FATIGUE,1,s_2434_365_0
Io so tirеd,Io so tirеd,Im so tired,ta_char_rand_swap+ta_wordswap_homoglyph,FATIGUE,1,s_2434_365_0
This haN me cryinɡ,This haN me cryinɡ,This had me crying,ta_char_rand_swap+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_2464_412_0
This Sad me ϲrying,This Sad me ϲrying,This had me crying,ta_char_rand_swap+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_2464_412_0
I wans to diе,I wans to diе,I want to die,ta_char_rand_swap+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_2118_413_1
