post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I might stop triyng.,I might stop triyng.,I cant stop crying.,nlp_cwe_sub_roberta+ta_char_neighbor,DEPRESSED_MOOD,1,s_2334_738_1
I cant eb drinking.,I cant eb drinking.,I cant stop crying.,nlp_cwe_sub_roberta+ta_char_neighbor,DEPRESSED_MOOD,1,s_2334_738_1
"It was decades later after my new boyfriend, I realized I DO have sexual attraction (if I have, it was very temporary), and thta I ma probably asexual – from the fact that I often get disgusted with men when nothing cmoes to teh sex life.","It was decades later after my new boyfriend, I realized I DO have sexual attraction (if I have, it was very temporary), and thta I ma probably asexual – from the fact that I often get disgusted with men when nothing cmoes to teh sex life.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_cwe_sub_roberta+ta_char_neighbor,ANHEDONIA,0,s_716_26_15
I honestly ilke it.,I honestly ilke it.,I don't like me.,nlp_cwe_sub_roberta+ta_char_neighbor,WORTHLESSNESS,1,s_2415_816_5
I honetsly like it.,I honetsly like it.,I don't like me.,nlp_cwe_sub_roberta+ta_char_neighbor,WORTHLESSNESS,1,s_2415_816_5
mI generally : So,mI generally : So,Im generally tired So,nlp_cwe_sub_roberta+ta_char_neighbor,FATIGUE,1,s_2007_1467_0
Im gneerally : So,Im gneerally : So,Im generally tired So,nlp_cwe_sub_roberta+ta_char_neighbor,FATIGUE,1,s_2007_1467_0
I'ev seen.,I'ev seen.,I've cried.,nlp_cwe_sub_roberta+ta_char_neighbor,DEPRESSED_MOOD,1,s_145_86_2
I'ev listened.,I'ev listened.,I've cried.,nlp_cwe_sub_roberta+ta_char_neighbor,DEPRESSED_MOOD,1,s_145_86_2
I loevd to drink.,I loevd to drink.,I began to cry.,nlp_cwe_sub_roberta+ta_char_neighbor,DEPRESSED_MOOD,1,s_2815_1660_107
I usde to pray.,I usde to pray.,I began to cry.,nlp_cwe_sub_roberta+ta_char_neighbor,DEPRESSED_MOOD,1,s_2815_1660_107
Imma go ikll him …,Imma go ikll him …,Imma go kill myself now,nlp_cwe_sub_roberta+ta_char_neighbor,SUICIDAL_THOUGHTS,1,s_2638_683_0
Imam go kill him …,Imam go kill him …,Imma go kill myself now,nlp_cwe_sub_roberta+ta_char_neighbor,SUICIDAL_THOUGHTS,1,s_2638_683_0
I just sletp.,I just sletp.,I hardly sleep.,nlp_cwe_sub_roberta+ta_char_neighbor,SLEEP_ISSUES,1,s_697_81_3
I jsut slept.,I jsut slept.,I hardly sleep.,nlp_cwe_sub_roberta+ta_char_neighbor,SLEEP_ISSUES,1,s_697_81_3
I efel very upset.,I efel very upset.,I am very sad.,nlp_cwe_sub_roberta+ta_char_neighbor,DEPRESSED_MOOD,0,s_411_1189_1
I be omst sad.,I be omst sad.,I am very sad.,nlp_cwe_sub_roberta+ta_char_neighbor,DEPRESSED_MOOD,0,s_411_1189_1
I looked kinda … sda,I looked kinda … sda,I feel kinda really sad,nlp_cwe_sub_roberta+ta_char_neighbor,DEPRESSED_MOOD,1,s_962_142_0
I lokoed kinda … sad,I lokoed kinda … sad,I feel kinda really sad,nlp_cwe_sub_roberta+ta_char_neighbor,DEPRESSED_MOOD,1,s_962_142_0
"I've known doing this for a long time now wherein I sleep in around 9 or early, hoping would waek again early ni the morning at around 7-8pm, then all of a tmie I wake myself at 21 ot 2am in the day feeling groggy and now I cant get back bed.","I've known doing this for a long time now wherein I sleep in around 9 or early, hoping would waek again early ni the morning at around 7-8pm, then all of a tmie I wake myself at 21 ot 2am in the day feeling groggy and now I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_cwe_sub_roberta+ta_char_neighbor,SLEEP_ISSUES,1,s_852_229_1
