post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I 100% kgow hhat if I hZvVe to go to college alone without my family or aJny support Im gonja end up killing myselD. .. . IVm barely keeping imy aelf alive now, I can ' t Omagine being all by myse?f and realing with my tUoughts and emotions!","I 100% kgow hhat if I hZvVe to go to college alone without my family or aJny support Im gonja end up killing myselD. .. . IVm barely keeping imy aelf alive now, I can ' t Omagine being all by myse?f and realing with my tUoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_keyboard+ta_char_rand_ins,SUICIDAL_THOUGHTS,1,s_156_366_1
"It was only later after my second boyfdiend, I realized I canUnot Ceel sexual at5raction (if I hAve, it was very 4emYporary ), and that I am probAbly asexual due to the fact thst I just get d(sguosted with myself when it comeIX to the sex oart.","It was only later after my second boyfdiend, I realized I canUnot Ceel sexual at5raction (if I hAve, it was very 4emYporary ), and that I am probAbly asexual due to the fact thst I just get d(sguosted with myself when it comeIX to the sex oart.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_keyboard+ta_char_rand_ins,ANHEDONIA,0,s_716_26_15
"It was only latfr after my s$cond boyBfriend, I realized I cannot feel seSual akttracgion (if I have, it was very temporzry ), and that I am probably asexuXl due to the fact that I jusr get dWisgustee wigh myself wNden it comes to the sex part.","It was only latfr after my s$cond boyBfriend, I realized I cannot feel seSual akttracgion (if I have, it was very temporzry ), and that I am probably asexuXl due to the fact that I jusr get dWisgustee wigh myself wNden it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_keyboard+ta_char_rand_ins,ANHEDONIA,0,s_716_26_15
"I ' vZe b$en luke Ghis for a long timF now wTerein I sleep at around 9 or 10pm, hopinY to wake up earky in the mPrning at around 7 - 8pm, them all of a sudden I wake up at 12 or 2am oin Qthe morning feeling nroggy acnd now I cannt get back bed.","I ' vZe b$en luke Ghis for a long timF now wTerein I sleep at around 9 or 10pm, hopinY to wake up earky in the mPrning at around 7 - 8pm, them all of a sudden I wake up at 12 or 2am oin Qthe morning feeling nroggy acnd now I cannt get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_keyboard+ta_char_rand_ins,SLEEP_ISSUES,1,s_852_229_1
"I ' vYe b$en luke Ghis for a long timF now wTerein I sleep at around 9 or 10pm, hopinY to wake up earkzy in the mPrning at around 7 - 8pm, them all of a sudden I wake up at 12 or 2am in the morniVng feeling nroggy and nhow I icant get back bed.","I ' vYe b$en luke Ghis for a long timF now wTerein I sleep at around 9 or 10pm, hopinY to wake up earkzy in the mPrning at around 7 - 8pm, them all of a sudden I wake up at 12 or 2am in the morniVng feeling nroggy and nhow I icant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_keyboard+ta_char_rand_ins,SLEEP_ISSUES,1,s_852_229_1
"My doxg is trained to comif0rt me wh$n I have anxOety, be a pnysical harrier behween me and peoplge whwn I get panicky, anzd lrovide an excuse to leavd a situatiKn i. e. he needs to go potty / eat / drink.","My doxg is trained to comif0rt me wh$n I have anxOety, be a pnysical harrier behween me and peoplge whwn I get panicky, anzd lrovide an excuse to leavd a situatiKn i. e. he needs to go potty / eat / drink.","My dog is trained to comfort me when I have anxiety, be a physical barrier between me and people when I get panicky, and provide an excuse to leave a situation i.e. he needs to go potty/eat/drink.",nlp_keyboard+ta_char_rand_ins,PSYCHOMOTOR,1,s_708_315_0
"Mastaurbating right brfore and als* during Cleep I fdel l7ke its affecting my sleep quaiity If I wake up tired in the morning whDn I should go baco to sleep, instead I stxDrt masturHating which also affects slhow much rest I get.","Mastaurbating right brfore and als* during Cleep I fdel l7ke its affecting my sleep quaiity If I wake up tired in the morning whDn I should go baco to sleep, instead I stxDrt masturHating which also affects slhow much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_keyboard+ta_char_rand_ins,SLEEP_ISSUES,1,s_1404_1455_0
"Masturbating right before and also d6ring wleep I Reel like its affecting my Xleep quality If I wwke up tired in the imorxniny when I sbould go back to s/eep, isnstead I start masturnating whicG also affects how much riest I get.","Masturbating right before and also d6ring wleep I Reel like its affecting my Xleep quality If I wwke up tired in the imorxniny when I sbould go back to s/eep, isnstead I start masturnating whicG also affects how much riest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_keyboard+ta_char_rand_ins,SLEEP_ISSUES,1,s_1404_1455_0
"I Qork from home, and I don ' t zleeXp welP for the most part (I have insomnia and compnletely rrly on sleep aids, and they tend not Tto give you a good night ' s rest, which resulRs in fatigue a few hours after waking up ), so at some Loint durOng the day, I usually get a liJttle tired and have the uFge to Uust crawl into bed ancd finish my work laSter (which I could do, but stayinRg awake and doing it rigyh^ then would be better ).","I Qork from home, and I don ' t zleeXp welP for the most part (I have insomnia and compnletely rrly on sleep aids, and they tend not Tto give you a good night ' s rest, which resulRs in fatigue a few hours after waking up ), so at some Loint durOng the day, I usually get a liJttle tired and have the uFge to Uust crawl into bed ancd finish my work laSter (which I could do, but stayinRg awake and doing it rigyh^ then would be better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_keyboard+ta_char_rand_ins,SLEEP_ISSUES,1,s_2292_402_1
"I work from home, and I don ' t sleep well for the most part (I have inDomnia and covmpletely rely on sleel aiRs, and they tend not to give you a good nigYht ' s rest, which results in fatigue a few ho trs after waking up ), so at sPme ppoint during the day, I usually get a liYttle Rired and Ghave the urgr to just crawl into beLd and finish my work later (whicn I could do, ibut staying QwaSke and doimg it right then would be better ).","I work from home, and I don ' t sleep well for the most part (I have inDomnia and covmpletely rely on sleel aiRs, and they tend not to give you a good nigYht ' s rest, which results in fatigue a few ho trs after waking up ), so at sPme ppoint during the day, I usually get a liYttle Rired and Ghave the urgr to just crawl into beLd and finish my work later (whicn I could do, ibut staying QwaSke and doimg it right then would be better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_keyboard+ta_char_rand_ins,SLEEP_ISSUES,1,s_2292_402_1
"I Kreally don ' t want to die, but I sravee for the world to bde a much better Llace, I crave for a s9rt of loBfe where I fFel in control for ojce, a >ife where I don ' t feel like I ' m beibg led likD a hors3.","I Kreally don ' t want to die, but I sravee for the world to bde a much better Llace, I crave for a s9rt of loBfe where I fFel in control for ojce, a >ife where I don ' t feel like I ' m beibg led likD a hors3.","I really don't want to die, but I crave for the world to be a much better place, I crave for a sort of life where I feel in control for once, a life where I don't feel like I'm being led like a horse.",nlp_keyboard+ta_char_rand_ins,SUICIDAL_THOUGHTS,1,s_1738_193_5
I don ' t haCe a passion for anythong I lfost interest in moet thyings sbout the age of 10 (idk what happened to Kme maybe some event or one of my childhood opeeations something Tone w%ong) after losing ait at 10; my time became occupied w*th phi.osophy and jhust wasting tiNe mindlessly or on intellectual things like science and mLath.,I don ' t haCe a passion for anythong I lfost interest in moet thyings sbout the age of 10 (idk what happened to Kme maybe some event or one of my childhood opeeations something Tone w%ong) after losing ait at 10; my time became occupied w*th phi.osophy and jhust wasting tiNe mindlessly or on intellectual things like science and mLath.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,nlp_keyboard+ta_char_rand_ins,ANHEDONIA,1,s_212_394_1
