post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I Jate Hhat i'm cryiny rn.,I Jate Hhat i'm cryiny rn.,I hate that i am crying rn.,nlp_keyboard+ta_contraction,DEPRESSED_MOOD,1,s_321_219_4
I hat$ Rhat i'm cryinH rn.,I hat$ Rhat i'm cryinH rn.,I hate that i am crying rn.,nlp_keyboard+ta_contraction,DEPRESSED_MOOD,1,s_321_219_4
I'm bery sad.,I'm bery sad.,I am very sad.,nlp_keyboard+ta_contraction,DEPRESSED_MOOD,0,s_411_1189_1
I'm Dery sad.,I'm Dery sad.,I am very sad.,nlp_keyboard+ta_contraction,DEPRESSED_MOOD,0,s_411_1189_1
I've bWen feelinr Sown on and off.,I've bWen feelinr Sown on and off.,I have been feeling down on and off.,nlp_keyboard+ta_contraction,DEPRESSED_MOOD,1,s_2035_91_6
I'm gery depressed alsK.,I'm gery depressed alsK.,I am very depressed also.,nlp_keyboard+ta_contraction,DEPRESSED_MOOD,1,s_131_822_0
I'm v#ry depressed alwo.,I'm v#ry depressed alwo.,I am very depressed also.,nlp_keyboard+ta_contraction,DEPRESSED_MOOD,1,s_131_822_0
I'm beJng torfured.,I'm beJng torfured.,I am being tortured.,nlp_keyboard+ta_contraction,WORTHLESSNESS,0,s_1351_120_5
I'm b2ing tkrtured.,I'm b2ing tkrtured.,I am being tortured.,nlp_keyboard+ta_contraction,WORTHLESSNESS,0,s_1351_120_5
I'm ve4y tiree.,I'm ve4y tiree.,I am very tired.,nlp_keyboard+ta_contraction,FATIGUE,1,s_1030_1290_8
I'm verT t7red.,I'm verT t7red.,I am very tired.,nlp_keyboard+ta_contraction,FATIGUE,1,s_1030_1290_8
I'm. . safness,I'm. . safness,I am.. sadness,nlp_keyboard+ta_contraction,DEPRESSED_MOOD,1,s_855_1863_0
I'm. . sadnesz,I'm. . sadnesz,I am.. sadness,nlp_keyboard+ta_contraction,DEPRESSED_MOOD,1,s_855_1863_0
I'm mo$e tUan annoyed.,I'm mo$e tUan annoyed.,I am more than annoyed.,nlp_keyboard+ta_contraction,DEPRESSED_MOOD,1,s_1296_12_9
I'm m(re tJan annoyed.,I'm m(re tJan annoyed.,I am more than annoyed.,nlp_keyboard+ta_contraction,DEPRESSED_MOOD,1,s_1296_12_9
I'm worFhless.,I'm worFhless.,I am worthless.,nlp_keyboard+ta_contraction,WORTHLESSNESS,1,s_2415_2_3
I'm worthoess.,I'm worthoess.,I am worthless.,nlp_keyboard+ta_contraction,WORTHLESSNESS,1,s_2415_2_3
I'm hopelesx.,I'm hopelesx.,I am hopeless.,nlp_keyboard+ta_contraction,DEPRESSED_MOOD,1,s_2415_2_4
I'm hopel4ss.,I'm hopel4ss.,I am hopeless.,nlp_keyboard+ta_contraction,DEPRESSED_MOOD,1,s_2415_2_4
I'm edtremely suiciVal atm.,I'm edtremely suiciVal atm.,I am extremely suicidal atm.,nlp_keyboard+ta_contraction,SUICIDAL_THOUGHTS,1,s_2800_49_0
I'm eCtremely shicidal atm.,I'm eCtremely shicidal atm.,I am extremely suicidal atm.,nlp_keyboard+ta_contraction,SUICIDAL_THOUGHTS,1,s_2800_49_0
I've alreadJ plznned my own duicide.,I've alreadJ plznned my own duicide.,I have already planned my own suicide.,nlp_keyboard+ta_contraction,SUICIDAL_THOUGHTS,1,s_1989_742_0
But I'm feeliHg miserabOe.,But I'm feeliHg miserabOe.,But I am feeling miserable.,nlp_keyboard+ta_contraction,WORTHLESSNESS,1,s_2415_600_3
But I'm feelinR misefable.,But I'm feelinR misefable.,But I am feeling miserable.,nlp_keyboard+ta_contraction,WORTHLESSNESS,1,s_2415_600_3
I'm sad waitinn.,I'm sad waitinn.,I am sad waiting.,nlp_keyboard+ta_contraction,DEPRESSED_MOOD,0,s_577_923_1
I'm sad wait&ng.,I'm sad wait&ng.,I am sad waiting.,nlp_keyboard+ta_contraction,DEPRESSED_MOOD,0,s_577_923_1
I Dant bocus and i've no eneDgy.,I Dant bocus and i've no eneDgy.,I cant focus and i have no energy.,nlp_keyboard+ta_contraction,COGNITIVE_ISSUES,1,s_1404_729_2
I cxnt foxus and i've no rnergy.,I cxnt foxus and i've no rnergy.,I cant focus and i have no energy.,nlp_keyboard+ta_contraction,COGNITIVE_ISSUES,1,s_1404_729_2
"I jus4 don ' t thiJk I'd li,e to l(ve anymore.","I jus4 don ' t thiJk I'd li,e to l(ve anymore.",I just don't think I would like to live anymore.,nlp_keyboard+ta_contraction,SUICIDAL_THOUGHTS,1,s_2415_738_1
I j&st don ' t thunk I'd like to Kive angmore.,I j&st don ' t thunk I'd like to Kive angmore.,I just don't think I would like to live anymore.,nlp_keyboard+ta_contraction,SUICIDAL_THOUGHTS,1,s_2415_738_1
I've alSays fail2d.,I've alSays fail2d.,I have always failed.,nlp_keyboard+ta_contraction,WORTHLESSNESS,1,s_356_95_6
I'm fuck&ng CR&ING.,I'm fuck&ng CR&ING.,I am fucking CRYING.,nlp_keyboard+ta_contraction,DEPRESSED_MOOD,1,s_74_207_1
I'm fuvking sRYING.,I'm fuvking sRYING.,I am fucking CRYING.,nlp_keyboard+ta_contraction,DEPRESSED_MOOD,1,s_74_207_1
I'm in a coHstant dilemmX.,I'm in a coHstant dilemmX.,I am in a constant dilemma.,nlp_keyboard+ta_contraction,COGNITIVE_ISSUES,0,s_2415_1014_1
I'm in a cohstant cilemma.,I'm in a cohstant cilemma.,I am in a constant dilemma.,nlp_keyboard+ta_contraction,COGNITIVE_ISSUES,0,s_2415_1014_1
I'm v4ry lonFly now.,I'm v4ry lonFly now.,I am very lonely now.,nlp_keyboard+ta_contraction,DEPRESSED_MOOD,1,s_2415_1014_9
I'm verT lInely now.,I'm verT lInely now.,I am very lonely now.,nlp_keyboard+ta_contraction,DEPRESSED_MOOD,1,s_2415_1014_9
I'm kiMda sngry all the 6ime.,I'm kiMda sngry all the 6ime.,I am kinda angry all the time.,nlp_keyboard+ta_contraction,DEPRESSED_MOOD,1,s_1749_859_23
I'm kindq anRry all the tkme.,I'm kindq anRry all the tkme.,I am kinda angry all the time.,nlp_keyboard+ta_contraction,DEPRESSED_MOOD,1,s_1749_859_23
I'm tiDed.,I'm tiDed.,I am tired.,nlp_keyboard+ta_contraction,FATIGUE,1,s_681_475_2
I'm ti#ed.,I'm ti#ed.,I am tired.,nlp_keyboard+ta_contraction,FATIGUE,1,s_681_475_2
I'd really like some fre4 energ7 riVht now.,I'd really like some fre4 energ7 riVht now.,I would really like some free energy right now.,nlp_keyboard+ta_contraction,FATIGUE,1,s_969_1077_3
I'd really lJke slme free endrgy right now.,I'd really lJke slme free endrgy right now.,I would really like some free energy right now.,nlp_keyboard+ta_contraction,FATIGUE,1,s_969_1077_3
I'm ver& fodused on sex.,I'm ver& fodused on sex.,I am very focused on sex.,nlp_keyboard+ta_contraction,SPECIAL_CASE,1,s_731_903_4
I'm bery foc tsed on sex.,I'm bery foc tsed on sex.,I am very focused on sex.,nlp_keyboard+ta_contraction,SPECIAL_CASE,1,s_731_903_4
I'm fai.ing miseEably.,I'm fai.ing miseEably.,I am failing miserably.,nlp_keyboard+ta_contraction,WORTHLESSNESS,1,s_993_720_4
I'm fsiling miseTably.,I'm fsiling miseTably.,I am failing miserably.,nlp_keyboard+ta_contraction,WORTHLESSNESS,1,s_993_720_4
EDen my low pain eays I've no eneEgy.,EDen my low pain eays I've no eneEgy.,Even my low pain days I have no energy.,nlp_keyboard+ta_contraction,FATIGUE,1,s_1749_905_17
"I'm irritSted, yes.","I'm irritSted, yes.","I am irritated, yes.",nlp_keyboard+ta_contraction,DEPRESSED_MOOD,1,s_2625_148_0
"I'm irritatew, yes.","I'm irritatew, yes.","I am irritated, yes.",nlp_keyboard+ta_contraction,DEPRESSED_MOOD,1,s_2625_148_0
I've foJnd comGort in my sadneqs,I've foJnd comGort in my sadneqs,I have found comfort in my sadness,nlp_keyboard+ta_contraction,DEPRESSED_MOOD,0,s_2415_116_0
I'm so exhausteF.,I'm so exhausteF.,I am so exhausted.,nlp_keyboard+ta_contraction,FATIGUE,1,s_697_17_12
I'm so exha7sted.,I'm so exha7sted.,I am so exhausted.,nlp_keyboard+ta_contraction,FATIGUE,1,s_697_17_12
I'm Slso rest?ess.,I'm Slso rest?ess.,I am also restless.,nlp_keyboard+ta_contraction,PSYCHOMOTOR,1,s_2139_45_8
I'm aldo res^less.,I'm aldo res^less.,I am also restless.,nlp_keyboard+ta_contraction,PSYCHOMOTOR,1,s_2139_45_8
I'm feeOing suicidal aHain.,I'm feeOing suicidal aHain.,I am feeling suicidal again.,nlp_keyboard+ta_contraction,SUICIDAL_THOUGHTS,1,s_993_450_6
I'm feeliMg suicidal agaib.,I'm feeliMg suicidal agaib.,I am feeling suicidal again.,nlp_keyboard+ta_contraction,SUICIDAL_THOUGHTS,1,s_993_450_6
I've loat moRivation.,I've loat moRivation.,I have lost motivation.,nlp_keyboard+ta_contraction,ANHEDONIA,1,s_2415_566_0
Mqybe a betRer futuFe that i could've,Mqybe a betRer futuFe that i could've,Maybe a better future that i could have,nlp_keyboard+ta_contraction,DEPRESSED_MOOD,1,s_2401_24_0
Msybe a bDtter future rhat i could've,Msybe a bDtter future rhat i could've,Maybe a better future that i could have,nlp_keyboard+ta_contraction,DEPRESSED_MOOD,1,s_2401_24_0
Mqybe a betRer futuFe that i could've,Mqybe a betRer futuFe that i could've,Maybe a better future that i could have,nlp_keyboard+ta_contraction,SPECIAL_CASE,1,s_2401_24_0
Msybe a bDtter future rhat i could've,Msybe a bDtter future rhat i could've,Maybe a better future that i could have,nlp_keyboard+ta_contraction,SPECIAL_CASE,1,s_2401_24_0
I'm juwt sad.,I'm juwt sad.,I am just sad.,nlp_keyboard+ta_contraction,DEPRESSED_MOOD,1,s_1681_1030_1
I'm jus4 sad.,I'm jus4 sad.,I am just sad.,nlp_keyboard+ta_contraction,DEPRESSED_MOOD,1,s_1681_1030_1
I've moGe 3nergy.,I've moGe 3nergy.,I have more energy.,nlp_keyboard+ta_contraction,SPECIAL_CASE,1,s_2065_472_7
I'm fuck&ng AMGRY now.,I'm fuck&ng AMGRY now.,I am fucking ANGRY now.,nlp_keyboard+ta_contraction,DEPRESSED_MOOD,0,s_188_399_2
I'm f7cking xNGRY now.,I'm f7cking xNGRY now.,I am fucking ANGRY now.,nlp_keyboard+ta_contraction,DEPRESSED_MOOD,0,s_188_399_2
Yet I'm depress$d.,Yet I'm depress$d.,Yet I am depressed.,nlp_keyboard+ta_contraction,DEPRESSED_MOOD,1,s_2139_3_2
Yet I'm depress#d.,Yet I'm depress#d.,Yet I am depressed.,nlp_keyboard+ta_contraction,DEPRESSED_MOOD,1,s_2139_3_2
