post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I feeO so oppressxd.,I feeO so oppressxd.,I feel so oppressed.,nlp_randchar_sub+ta_char_rand_swap,WORTHLESSNESS,0,s_1955_1069_2
I feKT so oppressxd.,I feKT so oppressxd.,I feel so oppressed.,nlp_randchar_sub+ta_char_rand_swap,WORTHLESSNESS,0,s_1955_1069_2
I canp stFp 2rying.,I canp stFp 2rying.,I cant stop crying.,nlp_randchar_sub+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2334_738_1
I 3ant stop srwing.,I 3ant stop srwing.,I cant stop crying.,nlp_randchar_sub+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2334_738_1
I don ' t Ycke me.,I don ' t Ycke me.,I don't like me.,nlp_randchar_sub+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_816_5
I don ' t llke mG.,I don ' t llke mG.,I don't like me.,nlp_randchar_sub+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_816_5
I ' Fe c8ied.,I ' Fe c8ied.,I've cried.,nlp_randchar_sub+ta_char_rand_swap,DEPRESSED_MOOD,1,s_145_86_2
I ' ve cFieN.,I ' ve cFieN.,I've cried.,nlp_randchar_sub+ta_char_rand_swap,DEPRESSED_MOOD,1,s_145_86_2
I #egan to cru.,I #egan to cru.,I began to cry.,nlp_randchar_sub+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2815_1660_107
I Gega( to cry.,I Gega( to cry.,I began to cry.,nlp_randchar_sub+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2815_1660_107
I hardl^ sl2Jp.,I hardl^ sl2Jp.,I hardly sleep.,nlp_randchar_sub+ta_char_rand_swap,SLEEP_ISSUES,1,s_697_81_3
I hardlY sleeg.,I hardlY sleeg.,I hardly sleep.,nlp_randchar_sub+ta_char_rand_swap,SLEEP_ISSUES,1,s_697_81_3
I am vMrZ sad.,I am vMrZ sad.,I am very sad.,nlp_randchar_sub+ta_char_rand_swap,DEPRESSED_MOOD,0,s_411_1189_1
I am ver+ skd.,I am ver+ skd.,I am very sad.,nlp_randchar_sub+ta_char_rand_swap,DEPRESSED_MOOD,0,s_411_1189_1
"I ' ve #een like this for a long time now wher9in I sleep at abound 9 or 10Sm, hoCing to wwke up Early Sn the morning at around 7 - 8pm, tDen all of a sQdden I wake ep at 12 or 2am in the morning 2eeling gr6ggy Nnd now I canI get back bed.","I ' ve #een like this for a long time now wher9in I sleep at abound 9 or 10Sm, hoCing to wwke up Early Sn the morning at around 7 - 8pm, tDen all of a sQdden I wake ep at 12 or 2am in the morning 2eeling gr6ggy Nnd now I canI get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randchar_sub+ta_char_rand_swap,SLEEP_ISSUES,1,s_852_229_1
IH so mired,IH so mired,Im so tired,nlp_randchar_sub+ta_char_rand_swap,FATIGUE,1,s_2434_365_0
Im Vo tured,Im Vo tured,Im so tired,nlp_randchar_sub+ta_char_rand_swap,FATIGUE,1,s_2434_365_0
T8is had Ze cryIng,T8is had Ze cryIng,This had me crying,nlp_randchar_sub+ta_char_rand_swap,DEPRESSED_MOOD,0,s_2464_412_0
Thix had mO crking,Thix had mO crking,This had me crying,nlp_randchar_sub+ta_char_rand_swap,DEPRESSED_MOOD,0,s_2464_412_0
I wan_ mo die,I wan_ mo die,I want to die,nlp_randchar_sub+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_2118_413_1
I hazt to die,I hazt to die,I want to die,nlp_randchar_sub+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_2118_413_1
I lh2t my libid9.,I lh2t my libid9.,I lost my libido.,nlp_randchar_sub+ta_char_rand_swap,ANHEDONIA,1,s_2904_522_5
I lorO my 5ibido.,I lorO my 5ibido.,I lost my libido.,nlp_randchar_sub+ta_char_rand_swap,ANHEDONIA,1,s_2904_522_5
I am 2eing toBtIred.,I am 2eing toBtIred.,I am being tortured.,nlp_randchar_sub+ta_char_rand_swap,WORTHLESSNESS,0,s_1351_120_5
I aR belng to&tured.,I aR belng to&tured.,I am being tortured.,nlp_randchar_sub+ta_char_rand_swap,WORTHLESSNESS,0,s_1351_120_5
"Masturbatini right before and also during sleep I feel like its affecting my slLep qgality If I wKke up tire5 in the m_rning when I should go bac1 to sleep, instead I swart mzsturbating whi0h also asfects kow Fuch rmst I get.","Masturbatini right before and also during sleep I feel like its affecting my slLep qgality If I wKke up tire5 in the m_rning when I should go bac1 to sleep, instead I swart mzsturbating whi0h also asfects kow Fuch rmst I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_randchar_sub+ta_char_rand_swap,SLEEP_ISSUES,1,s_1404_1455_0
i do wanD tD die,i do wanD tD die,i do want to die,nlp_randchar_sub+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_141_110_0
i do wanD Uo die,i do wanD Uo die,i do want to die,nlp_randchar_sub+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_141_110_0
I cry Rrytiye,I cry Rrytiye,I cry erytime,nlp_randchar_sub+ta_char_rand_swap,DEPRESSED_MOOD,1,s_523_60_1
I cry Drztime,I cry Drztime,I cry erytime,nlp_randchar_sub+ta_char_rand_swap,DEPRESSED_MOOD,1,s_523_60_1
i really hyie #yself,i really hyie #yself,i really hate myself,nlp_randchar_sub+ta_char_rand_swap,WORTHLESSNESS,1,s_1194_31_4
i rFal0y hate kyself,i rFal0y hate kyself,i really hate myself,nlp_randchar_sub+ta_char_rand_swap,WORTHLESSNESS,1,s_1194_31_4
I ' m huitz angrt,I ' m huitz angrt,I'm quite angry,nlp_randchar_sub+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2188_1006_0
I ' m Puite anIry,I ' m Puite anIry,I'm quite angry,nlp_randchar_sub+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2188_1006_0
I ' m Oeallo timed.,I ' m Oeallo timed.,I'm really tired.,nlp_randchar_sub+ta_char_rand_swap,FATIGUE,1,s_547_567_2
I ' m rywlly tirez.,I ' m rywlly tirez.,I'm really tired.,nlp_randchar_sub+ta_char_rand_swap,FATIGUE,1,s_547_567_2
"I work from hodx, and I don ' t sl2ep well for the most part (I have insomYia and completely nely on sleep aids, and thwy teMd not to givT you a gHod night ' s rest, which results in fltigue a few hours after waking up ), so at some po2nt during the day, I usually get a little tiren and havX the urge to j_st crawl znto bed and finish my work later (which I could do, bYt staying awake and doing it Eight thek would be better ).","I work from hodx, and I don ' t sl2ep well for the most part (I have insomYia and completely nely on sleep aids, and thwy teMd not to givT you a gHod night ' s rest, which results in fltigue a few hours after waking up ), so at some po2nt during the day, I usually get a little tiren and havX the urge to j_st crawl znto bed and finish my work later (which I could do, bYt staying awake and doing it Eight thek would be better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_randchar_sub+ta_char_rand_swap,SLEEP_ISSUES,1,s_2292_402_1
"I work from home, and I don ' t Cleep well fob the most part (I have insomnia and completely rely on sleep aids, and they tend not to nive you a good night ' s rest, which results in fa^igue a few hours after waking up ), so ay some point during tme day, I usially get a little tired and have the urge to just crawl intM bed and finisj my work later (w1ich I could Io, but staying Iwake and dXiJo it right tIgn w7uld be better ).","I work from home, and I don ' t Cleep well fob the most part (I have insomnia and completely rely on sleep aids, and they tend not to nive you a good night ' s rest, which results in fa^igue a few hours after waking up ), so ay some point during tme day, I usially get a little tired and have the urge to just crawl intM bed and finisj my work later (w1ich I could Io, but staying Iwake and dXiJo it right tIgn w7uld be better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_randchar_sub+ta_char_rand_swap,SLEEP_ISSUES,1,s_2292_402_1
I was oseless.,I was oseless.,I was useless.,nlp_randchar_sub+ta_char_rand_swap,WORTHLESSNESS,1,s_1899_440_13
I was zseleCs.,I was zseleCs.,I was useless.,nlp_randchar_sub+ta_char_rand_swap,WORTHLESSNESS,1,s_1899_440_13
I aY ^ery tkred.,I aY ^ery tkred.,I am very tired.,nlp_randchar_sub+ta_char_rand_swap,FATIGUE,1,s_1030_1290_8
I aB ve_y tzred.,I aB ve_y tzred.,I am very tired.,nlp_randchar_sub+ta_char_rand_swap,FATIGUE,1,s_1030_1290_8
I ' m usKless.,I ' m usKless.,I'm useless.,nlp_randchar_sub+ta_char_rand_swap,WORTHLESSNESS,1,s_1933_175_32
I ' m usdlwss.,I ' m usdlwss.,I'm useless.,nlp_randchar_sub+ta_char_rand_swap,WORTHLESSNESS,1,s_1933_175_32
Hatnng my @bilure.,Hatnng my @bilure.,Hating my failure.,nlp_randchar_sub+ta_char_rand_swap,WORTHLESSNESS,1,s_2815_1585_9
HatEng my mailuru.,HatEng my mailuru.,Hating my failure.,nlp_randchar_sub+ta_char_rand_swap,WORTHLESSNESS,1,s_2815_1585_9
"Ot mak)s me sad. ""","Ot mak)s me sad. ""","It makes me sad.""",nlp_randchar_sub+ta_char_rand_swap,DEPRESSED_MOOD,0,s_1115_951_1
"It mag)s me sad. ""","It mag)s me sad. ""","It makes me sad.""",nlp_randchar_sub+ta_char_rand_swap,DEPRESSED_MOOD,0,s_1115_951_1
I &ate mysXlP.,I &ate mysXlP.,I hate myself.,nlp_randchar_sub+ta_char_rand_swap,WORTHLESSNESS,1,s_1601_880_7
I oaee 2yself.,I oaee 2yself.,I hate myself.,nlp_randchar_sub+ta_char_rand_swap,WORTHLESSNESS,1,s_1601_880_7
I aq. . sazness,I aq. . sazness,I am.. sadness,nlp_randchar_sub+ta_char_rand_swap,DEPRESSED_MOOD,1,s_855_1863_0
I aR. . sadnesD,I aR. . sadnesD,I am.. sadness,nlp_randchar_sub+ta_char_rand_swap,DEPRESSED_MOOD,1,s_855_1863_0
I &ate mysXlP.,I &ate mysXlP.,I hate myself.,nlp_randchar_sub+ta_char_rand_swap,WORTHLESSNESS,1,s_2006_107_7
