post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"_ remember after ronning uff, 1 was lying in the midd1e uf the room for _, in complete _ and not being able to muve.","_ remember after ronning uff, 1 was lying in the midd1e uf the room for _, in complete _ and not being able to muve.","I remember after running off, I was lying in the middle of the room for weeks, in complete horror and not being able to move.",nlp_ocr+nlp_randword_sub,SLEEP_ISSUES,1,s_1270_9_6
"_ remember after ronning uff, 1 was lying in the midd1e uf the room for weeks, in _ hokror and not being able to _.","_ remember after ronning uff, 1 was lying in the midd1e uf the room for weeks, in _ hokror and not being able to _.","I remember after running off, I was lying in the middle of the room for weeks, in complete horror and not being able to move.",nlp_ocr+nlp_randword_sub,SLEEP_ISSUES,1,s_1270_9_6
1 feel _ oppressed.,1 feel _ oppressed.,I feel so oppressed.,nlp_ocr+nlp_randword_sub,WORTHLESSNESS,0,s_1955_1069_2
1 feel so _.,1 feel so _.,I feel so oppressed.,nlp_ocr+nlp_randword_sub,WORTHLESSNESS,0,s_1955_1069_2
1 _ fil1ed with energy.,1 _ fil1ed with energy.,I was filled with energy.,nlp_ocr+nlp_randword_sub,FATIGUE,1,s_993_1060_1
1 was fil1ed with _.,1 was fil1ed with _.,I was filled with energy.,nlp_ocr+nlp_randword_sub,FATIGUE,1,s_993_1060_1
1 can ' t concentkate at a1l _.,1 can ' t concentkate at a1l _.,I can't concentrate at all now.,nlp_ocr+nlp_randword_sub,COGNITIVE_ISSUES,1,s_993_1060_4
1 can ' t concentrate at _ now.,1 can ' t concentrate at _ now.,I can't concentrate at all now.,nlp_ocr+nlp_randword_sub,COGNITIVE_ISSUES,1,s_993_1060_4
I have mure sleep troubles and nuw rely on _ pills.,I have mure sleep troubles and nuw rely on _ pills.,I have more sleep troubles and now rely on sleeping pills.,nlp_ocr+nlp_randword_sub,SLEEP_ISSUES,1,s_993_1060_5
I have more 8leep troobles and now rely un _ pills.,I have more 8leep troobles and now rely un _ pills.,I have more sleep troubles and now rely on sleeping pills.,nlp_ocr+nlp_randword_sub,SLEEP_ISSUES,1,s_993_1060_5
1 hate that i am _ kn.,1 hate that i am _ kn.,I hate that i am crying rn.,nlp_ocr+nlp_randword_sub,DEPRESSED_MOOD,1,s_321_219_4
Recently I gave op dairy products and now veky frequent1y sleep _ through 6 - 8 hours a _.,Recently I gave op dairy products and now veky frequent1y sleep _ through 6 - 8 hours a _.,Recently I gave up dairy products and now very frequently sleep straight through 6-8 hours a night.,nlp_ocr+nlp_randword_sub,SLEEP_ISSUES,0,s_2392_17_1
