post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I 100% pknow thact if I h$ave to go to college alone without my family or any suppro%t Im gonEan end pu killing m)yself. .. . Im abrely keeping my self alivxe now, I can ' t imagine beMing all by myself and dealing wQith my htou(ghts and emotions!","I 100% pknow thact if I h$ave to go to college alone without my family or any suppro%t Im gonEan end pu killing m)yself. .. . Im abrely keeping my self alivxe now, I can ' t imagine beMing all by myself and dealing wQith my htou(ghts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randchar_ins+ta_char_neighbor,SUICIDAL_THOUGHTS,1,s_156_366_1
"I 100% pknow thcat if I h$ave to go ot college alone without my family or any suppor%t Im gonEna end up killing m)yself. .. . Im barely keeping my self alivxe now, I can ' t imagine ebMing all by myeslf and dealing wiQth my thou(ghts and emotions!","I 100% pknow thcat if I h$ave to go ot college alone without my family or any suppor%t Im gonEna end up killing m)yself. .. . Im barely keeping my self alivxe now, I can ' t imagine ebMing all by myeslf and dealing wiQth my thou(ghts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randchar_ins+ta_char_neighbor,SUICIDAL_THOUGHTS,1,s_156_366_1
"It was only lateWr after my second boyfriend, I realized I cannot efel sexuaGl attraction (if I have, it was ver%y temporAary ), and thaRt I am probably asexual deu to the facrt thaXt I just get disgeusted wi)th myself when ti cwomes ot the sex part.","It was only lateWr after my second boyfriend, I realized I cannot efel sexuaGl attraction (if I have, it was ver%y temporAary ), and thaRt I am probably asexual deu to the facrt thaXt I just get disgeusted wi)th myself when ti cwomes ot the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_ins+ta_char_neighbor,ANHEDONIA,0,s_716_26_15
I dno ' t l%ike me.,I dno ' t l%ike me.,I don't like me.,nlp_randchar_ins+ta_char_neighbor,WORTHLESSNESS,1,s_2415_816_5
I don ' t likGe em.,I don ' t likGe em.,I don't like me.,nlp_randchar_ins+ta_char_neighbor,WORTHLESSNESS,1,s_2415_816_5
I ' ve crieUd.,I ' ve crieUd.,I've cried.,nlp_randchar_ins+ta_char_neighbor,DEPRESSED_MOOD,1,s_145_86_2
I ' ev caried.,I ' ev caried.,I've cried.,nlp_randchar_ins+ta_char_neighbor,DEPRESSED_MOOD,1,s_145_86_2
I ahrdlDy sWleep.,I ahrdlDy sWleep.,I hardly sleep.,nlp_randchar_ins+ta_char_neighbor,SLEEP_ISSUES,1,s_697_81_3
I hardlDy slWeep.,I hardlDy slWeep.,I hardly sleep.,nlp_randchar_ins+ta_char_neighbor,SLEEP_ISSUES,1,s_697_81_3
"I ' ve b$een flike tGhis for a long time now wherein I s(leep ta around 9 or 10pm, hoping to Bwake up early in hte monri&ng at around 7 - 8pm, then lal of a sudden I wake up at 12 or 2am in the mor+ning feeliFng grOoggy adn now I ca*nt get back bed.","I ' ve b$een flike tGhis for a long time now wherein I s(leep ta around 9 or 10pm, hoping to Bwake up early in hte monri&ng at around 7 - 8pm, then lal of a sudden I wake up at 12 or 2am in the mor+ning feeliFng grOoggy adn now I ca*nt get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randchar_ins+ta_char_neighbor,SLEEP_ISSUES,1,s_852_229_1
"I ' ve b$een flike tGhis for a long time now wherein I s(leep at around 9 ro 10pm, hoping ot Bwake up early in the morni&ng at around 7 - 8pm, then all of a sudden I wake up at 12 or 2am in the mor+ning feeliFng grOoggy and now I c*ant get bakc ebd.","I ' ve b$een flike tGhis for a long time now wherein I s(leep at around 9 ro 10pm, hoping ot Bwake up early in the morni&ng at around 7 - 8pm, then all of a sudden I wake up at 12 or 2am in the mor+ning feeliFng grOoggy and now I c*ant get bakc ebd.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randchar_ins+ta_char_neighbor,SLEEP_ISSUES,1,s_852_229_1
T3his hda me cryning,T3his hda me cryning,This had me crying,nlp_randchar_ins+ta_char_neighbor,DEPRESSED_MOOD,0,s_2464_412_0
Thbis had me cyrwing,Thbis had me cyrwing,This had me crying,nlp_randchar_ins+ta_char_neighbor,DEPRESSED_MOOD,0,s_2464_412_0
I Slost ym libDido.,I Slost ym libDido.,I lost my libido.,nlp_randchar_ins+ta_char_neighbor,ANHEDONIA,1,s_2904_522_5
I Solst my libDido.,I Solst my libDido.,I lost my libido.,nlp_randchar_ins+ta_char_neighbor,ANHEDONIA,1,s_2904_522_5
"My dog is trainexd to comfort em whjen I Dhave anxiety, be a pyhsicla barrMier between me and people whenn I get panickLy, nad provide an excuXse to leav@e a situBation i. e. he needs to go pottOy / eat / drink.","My dog is trainexd to comfort em whjen I Dhave anxiety, be a pyhsicla barrMier between me and people whenn I get panickLy, nad provide an excuXse to leav@e a situBation i. e. he needs to go pottOy / eat / drink.","My dog is trained to comfort me when I have anxiety, be a physical barrier between me and people when I get panicky, and provide an excuse to leave a situation i.e. he needs to go potty/eat/drink.",nlp_randchar_ins+ta_char_neighbor,PSYCHOMOTOR,1,s_708_315_0
