post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I feel so ⅼaden.,I feel so ⅼaden.,I feel so oppressed.,nlp_wordnet_insert+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1955_1069_2
I feel sо laden.,I feel sо laden.,I feel so oppressed.,nlp_wordnet_insert+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1955_1069_2
"I 100% know that if I have to go to college alone without my family or any supрort Im gonna end up vote out myself. .. . Im just keeping my еgo alive now, I can ' t iｍagine being all by myѕelf and dealing with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any supрort Im gonna end up vote out myself. .. . Im just keeping my еgo alive now, I can ' t iｍagine being all by myѕelf and dealing with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_wordnet_insert+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_156_366_1
I pi𝚝ch stop crying.,I pi𝚝ch stop crying.,I cant stop crying.,nlp_wordnet_insert+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2334_738_1
I pitcհ stop crying.,I pitcհ stop crying.,I cant stop crying.,nlp_wordnet_insert+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2334_738_1
1 ԁon ' t like me.,1 ԁon ' t like me.,I don't like me.,nlp_wordnet_insert+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
1 don ' t ⅼike me.,1 don ' t ⅼike me.,I don't like me.,nlp_wordnet_insert+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
Im loosely tіred So,Im loosely tіred So,Im generally tired So,nlp_wordnet_insert+ta_wordswap_homoglyph,FATIGUE,1,s_2007_1467_0
Im generally bоre So,Im generally bоre So,Im generally tired So,nlp_wordnet_insert+ta_wordswap_homoglyph,FATIGUE,1,s_2007_1467_0
I ' vе cried.,I ' vе cried.,I've cried.,nlp_wordnet_insert+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
I ' ve crieԁ.,I ' ve crieԁ.,I've cried.,nlp_wordnet_insert+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
I star𝚝 out to cry.,I star𝚝 out to cry.,I began to cry.,nlp_wordnet_insert+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2815_1660_107
I start out to ϲry.,I start out to ϲry.,I began to cry.,nlp_wordnet_insert+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2815_1660_107
I harԁly slumber.,I harԁly slumber.,I hardly sleep.,nlp_wordnet_insert+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_697_81_3
I hardly slumЬer.,I hardly slumЬer.,I hardly sleep.,nlp_wordnet_insert+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_697_81_3
I be vеry sad.,I be vеry sad.,I am very sad.,nlp_wordnet_insert+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_411_1189_1
I be very sɑd.,I be very sɑd.,I am very sad.,nlp_wordnet_insert+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_411_1189_1
