post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
Unity feel sо laden.,Unity feel sо laden.,I feel so oppressed.,nlp_wordnet_syn+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1955_1069_2
Unity feеl so laden.,Unity feеl so laden.,I feel so oppressed.,nlp_wordnet_syn+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1955_1069_2
I cant stop calⅼ.,I cant stop calⅼ.,I cant stop crying.,nlp_wordnet_syn+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2334_738_1
I tilt ѕtop crying.,I tilt ѕtop crying.,I cant stop crying.,nlp_wordnet_syn+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2334_738_1
Im Ьroadly wear So,Im Ьroadly wear So,Im generally tired So,nlp_wordnet_syn+ta_wordswap_homoglyph,FATIGUE,1,s_2007_1467_0
Im broadly wear Sо,Im broadly wear Sо,Im generally tired So,nlp_wordnet_syn+ta_wordswap_homoglyph,FATIGUE,1,s_2007_1467_0
l ' ve cried.,l ' ve cried.,I've cried.,nlp_wordnet_syn+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
1 ' ve cⲅied.,1 ' ve cⲅied.,I've cried.,nlp_wordnet_syn+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
I ѕtart to cry.,I ѕtart to cry.,I began to cry.,nlp_wordnet_syn+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2815_1660_107
1 beɡin to cry.,1 beɡin to cry.,I began to cry.,nlp_wordnet_syn+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2815_1660_107
Ane am ѵery sorry.,Ane am ѵery sorry.,I am very sad.,nlp_wordnet_syn+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_411_1189_1
Single be very saԁ.,Single be very saԁ.,I am very sad.,nlp_wordnet_syn+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_411_1189_1
Im so tire oսt,Im so tire oսt,Im so tired,nlp_wordnet_syn+ta_wordswap_homoglyph,FATIGUE,1,s_2434_365_0
Im and so 𝚝ired,Im and so 𝚝ired,Im so tired,nlp_wordnet_syn+ta_wordswap_homoglyph,FATIGUE,1,s_2434_365_0
This haԁ maine cry,This haԁ maine cry,This had me crying,nlp_wordnet_syn+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_2464_412_0
This had maine ϲry,This had maine ϲry,This had me crying,nlp_wordnet_syn+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_2464_412_0
Unitу want to die,Unitу want to die,I want to die,nlp_wordnet_syn+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_2118_413_1
One want to diе,One want to diе,I want to die,nlp_wordnet_syn+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_2118_413_1
I lose my libidо.,I lose my libidо.,I lost my libido.,nlp_wordnet_syn+ta_wordswap_homoglyph,ANHEDONIA,1,s_2904_522_5
I miss my ⅼibido.,I miss my ⅼibido.,I lost my libido.,nlp_wordnet_syn+ta_wordswap_homoglyph,ANHEDONIA,1,s_2904_522_5
1 am beіng torment.,1 am beіng torment.,I am being tortured.,nlp_wordnet_syn+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1351_120_5
1 am being tormen𝚝.,1 am being tormen𝚝.,I am being tortured.,nlp_wordnet_syn+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1351_120_5
