post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I that i'm crying rn.,I that i'm crying rn.,I hate that i am crying rn.,nlp_randword_delete+ta_contraction,DEPRESSED_MOOD,1,s_321_219_4
I hate i'm crying rn.,I hate i'm crying rn.,I hate that i am crying rn.,nlp_randword_delete+ta_contraction,DEPRESSED_MOOD,1,s_321_219_4
I'm sad and I ' t know why: (,I'm sad and I ' t know why: (,I am sad and I don't know why :(,nlp_randword_delete+ta_contraction,DEPRESSED_MOOD,1,s_2759_135_0
I'm and I don ' t know why: (,I'm and I don ' t know why: (,I am sad and I don't know why :(,nlp_randword_delete+ta_contraction,DEPRESSED_MOOD,1,s_2759_135_0
I've been feeling on and off.,I've been feeling on and off.,I have been feeling down on and off.,nlp_randword_delete+ta_contraction,DEPRESSED_MOOD,1,s_2035_91_6
I'm very depressed.,I'm very depressed.,I am very depressed also.,nlp_randword_delete+ta_contraction,DEPRESSED_MOOD,1,s_131_822_0
I'm being.,I'm being.,I am being tortured.,nlp_randword_delete+ta_contraction,WORTHLESSNESS,0,s_1351_120_5
I'm sleep I need help,I'm sleep I need help,I am sleep deprived I need help,nlp_randword_delete+ta_contraction,SLEEP_ISSUES,1,s_1313_32_0
I'm super depressed now.,I'm super depressed now.,I am super depressed right now.,nlp_randword_delete+ta_contraction,DEPRESSED_MOOD,1,s_993_726_1
I'm super depressed right.,I'm super depressed right.,I am super depressed right now.,nlp_randword_delete+ta_contraction,DEPRESSED_MOOD,1,s_993_726_1
I've nothing and I have no skills.,I've nothing and I have no skills.,I have achieved nothing and I have no skills.,nlp_randword_delete+ta_contraction,WORTHLESSNESS,1,s_1455_72_8
I have nothing and I've no skills.,I have nothing and I've no skills.,I have achieved nothing and I have no skills.,nlp_randword_delete+ta_contraction,WORTHLESSNESS,1,s_1455_72_8
I've no energy all.,I've no energy all.,I have no energy at all.,nlp_randword_delete+ta_contraction,FATIGUE,1,s_1455_72_50
I've energy at all.,I've energy at all.,I have no energy at all.,nlp_randword_delete+ta_contraction,FATIGUE,1,s_1455_72_50
"I'd kill myself before I helped godless trucks. ""","I'd kill myself before I helped godless trucks. ""","I would kill myself before I helped build those godless trucks. """,nlp_randword_delete+ta_contraction,SUICIDAL_THOUGHTS,0,s_1514_914_163
"I'd myself before I helped those godless trucks. ""","I'd myself before I helped those godless trucks. ""","I would kill myself before I helped build those godless trucks. """,nlp_randword_delete+ta_contraction,SUICIDAL_THOUGHTS,0,s_1514_914_163
I am scared I won't be man in the future,I am scared I won't be man in the future,I am scared I will not be a successful man in the future,nlp_randword_delete+ta_contraction,DEPRESSED_MOOD,1,s_65_110_0
I scared I won't be a man in the future,I scared I won't be a man in the future,I am scared I will not be a successful man in the future,nlp_randword_delete+ta_contraction,DEPRESSED_MOOD,1,s_65_110_0
I'm tired.,I'm tired.,I am very tired.,nlp_randword_delete+ta_contraction,FATIGUE,1,s_1030_1290_8
I'm more annoyed.,I'm more annoyed.,I am more than annoyed.,nlp_randword_delete+ta_contraction,DEPRESSED_MOOD,1,s_1296_12_9
I'm prescribed anxiety.,I'm prescribed anxiety.,I am prescribed anxiety medications.,nlp_randword_delete+ta_contraction,PSYCHOMOTOR,1,s_103_32_3
Then I'd get angry at times.,Then I'd get angry at times.,Then I would get really angry at times.,nlp_randword_delete+ta_contraction,DEPRESSED_MOOD,1,s_84_60_2
