post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I feeT so oppfesseW.,I feeT so oppfesseW.,I feel so oppressed.,nlp_randchar_sub+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1955_1069_2
I fe)l so oppeessed.,I fe)l so oppeessed.,I feel so oppressed.,nlp_randchar_sub+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1955_1069_2
"I 100% know that if I have to go to colldge alo@e without my fami8y or any support Im gonn+ end ul killi*g my_elf. .. . Im barelf keeping my seld alive now, I can ' t imhgine being all by jyself and dealing with mh thoughtp and emotions!","I 100% know that if I have to go to colldge alo@e without my fami8y or any support Im gonn+ end ul killi*g my_elf. .. . Im barelf keeping my seld alive now, I can ' t imhgine being all by jyself and dealing with mh thoughtp and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randchar_sub+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_156_366_1
I cEnt ssop crying.,I cEnt ssop crying.,I cant stop crying.,nlp_randchar_sub+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2334_738_1
I cSnt ssop frying.,I cSnt ssop frying.,I cant stop crying.,nlp_randchar_sub+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2334_738_1
I don ' t liCr me.,I don ' t liCr me.,I don't like me.,nlp_randchar_sub+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_816_5
I dom ' t lyke me.,I dom ' t lyke me.,I don't like me.,nlp_randchar_sub+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_816_5
I ' ve crlMd.,I ' ve crlMd.,I've cried.,nlp_randchar_sub+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_145_86_2
I ' ve 4risd.,I ' ve 4risd.,I've cried.,nlp_randchar_sub+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_145_86_2
I b4gan to crg.,I b4gan to crg.,I began to cry.,nlp_randchar_sub+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2815_1660_107
I 8egan tl cry.,I 8egan tl cry.,I began to cry.,nlp_randchar_sub+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2815_1660_107
I hardkK slDep.,I hardkK slDep.,I hardly sleep.,nlp_randchar_sub+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_697_81_3
I jardlc s%eep.,I jardlc s%eep.,I hardly sleep.,nlp_randchar_sub+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_697_81_3
I am lery sas.,I am lery sas.,I am very sad.,nlp_randchar_sub+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_411_1189_1
I ak veAy sad.,I ak veAy sad.,I am very sad.,nlp_randchar_sub+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_411_1189_1
