post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I feeⅼ thus oppressed.,I feeⅼ thus oppressed.,I feel so oppressed.,ta_wordswap_homoglyph+ta_wordswap_wordnet,WORTHLESSNESS,0,s_1955_1069_2
I feel hence oppresѕed.,I feel hence oppresѕed.,I feel so oppressed.,ta_wordswap_homoglyph+ta_wordswap_wordnet,WORTHLESSNESS,0,s_1955_1069_2
"I 100% know that if ane have to gо to colⅼege unparalleled without my 𝚏amily or any support Im gonna end up killing myself....Im barelу keeping my self alert now, I can't imagine being all by myself and sell with my thoughts and emotions!","I 100% know that if ane have to gо to colⅼege unparalleled without my 𝚏amily or any support Im gonna end up killing myself....Im barelу keeping my self alert now, I can't imagine being all by myself and sell with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",ta_wordswap_homoglyph+ta_wordswap_wordnet,SUICIDAL_THOUGHTS,1,s_156_366_1
I cɑnt stop holler.,I cɑnt stop holler.,I cant stop crying.,ta_wordswap_homoglyph+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_2334_738_1
I cɑnt stop call.,I cɑnt stop call.,I cant stop crying.,ta_wordswap_homoglyph+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_2334_738_1
"It was but later after my second boyfriend, I realized I cannot feel sexսal attraϲtion (if I take, it was very temporary), and that I am probably asеxual due to the fact that I jսst contract disgusted with myself when it comes to the sex divide.","It was but later after my second boyfriend, I realized I cannot feel sexսal attraϲtion (if I take, it was very temporary), and that I am probably asеxual due to the fact that I jսst contract disgusted with myself when it comes to the sex divide.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_wordswap_homoglyph+ta_wordswap_wordnet,ANHEDONIA,0,s_716_26_15
I don't wish ｍe.,I don't wish ｍe.,I don't like me.,ta_wordswap_homoglyph+ta_wordswap_wordnet,WORTHLESSNESS,1,s_2415_816_5
I don't comparable ｍe.,I don't comparable ｍe.,I don't like me.,ta_wordswap_homoglyph+ta_wordswap_wordnet,WORTHLESSNESS,1,s_2415_816_5
I`ve cry.,I`ve cry.,I've cried.,ta_wordswap_homoglyph+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_145_86_2
ane began to crу.,ane began to crу.,I began to cry.,ta_wordswap_homoglyph+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_2815_1660_107
I start to crу.,I start to crу.,I began to cry.,ta_wordswap_homoglyph+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_2815_1660_107
one hardly sleeр.,one hardly sleeр.,I hardly sleep.,ta_wordswap_homoglyph+ta_wordswap_wordnet,SLEEP_ISSUES,1,s_697_81_3
I hardⅼy rest.,I hardⅼy rest.,I hardly sleep.,ta_wordswap_homoglyph+ta_wordswap_wordnet,SLEEP_ISSUES,1,s_697_81_3
I am real ѕad.,I am real ѕad.,I am very sad.,ta_wordswap_homoglyph+ta_wordswap_wordnet,DEPRESSED_MOOD,0,s_411_1189_1
I am selfsame ѕad.,I am selfsame ѕad.,I am very sad.,ta_wordswap_homoglyph+ta_wordswap_wordnet,DEPRESSED_MOOD,0,s_411_1189_1
"I've been like this for a long time now ԝherein I sleep at around niner or 10pm, hoping to wake up early in the morning at aroսnd 7-8pm, then all of a sudden I wake up at 12 or 2ɑm in the moⲅning savour groggy and nowadays I cɑnt mystify back bed.","I've been like this for a long time now ԝherein I sleep at around niner or 10pm, hoping to wake up early in the morning at aroսnd 7-8pm, then all of a sudden I wake up at 12 or 2ɑm in the moⲅning savour groggy and nowadays I cɑnt mystify back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",ta_wordswap_homoglyph+ta_wordswap_wordnet,SLEEP_ISSUES,1,s_852_229_1
