post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I 00% knRow that if I 4have to go to college alone without my familcy or ny supporrt Im gSonna ed up killing myselyf. .. . I barely xkeeping my self alive now, I can ' t imagine Ybeing all by myself and d#ealing with my thoughts and emotionis!","I 00% knRow that if I 4have to go to college alone without my familcy or ny supporrt Im gSonna ed up killing myselyf. .. . I barely xkeeping my self alive now, I can ' t imagine Ybeing all by myself and d#ealing with my thoughts and emotionis!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randchar_ins+ta_char_rand_del,SUICIDAL_THOUGHTS,1,s_156_366_1
"It was nly l4ater affter my second boyfriHend, I realized I cannt f5eel sexual attraction (if I haBve, it was veVry temporary ), and that I am proba@bly asexuLal due to the fact that I just get disgusted ith myself when it coYmes to the sex part.","It was nly l4ater affter my second boyfriHend, I realized I cannt f5eel sexual attraction (if I haBve, it was veVry temporary ), and that I am proba@bly asexuLal due to the fact that I just get disgusted ith myself when it coYmes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_ins+ta_char_rand_del,ANHEDONIA,0,s_716_26_15
"I ' ve bfeen like tphis for a llong time now whr5ein I sleep at around 9 or 10Ypm, h$oping to wake up early i te morning at around 7 - 8pm, then all f a sudden I wyake up at 12 or 2am in the morning f_eeling groggy and now I vcant get back bed.","I ' ve bfeen like tphis for a llong time now whr5ein I sleep at around 9 or 10Ypm, h$oping to wake up early i te morning at around 7 - 8pm, then all f a sudden I wyake up at 12 or 2am in the morning f_eeling groggy and now I vcant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randchar_ins+ta_char_rand_del,SLEEP_ISSUES,1,s_852_229_1
"I ' ve been like ythis for a ^long time now wherin I sleep at arotund 9 or 1y0pm, hoLping to wake up early i the bmorning at ro#und 7 - 8pm, the2n all o a sudden I wa4ke u at 12 or 2am in the morning feeling groggUy and now I cant get back bed.","I ' ve been like ythis for a ^long time now wherin I sleep at arotund 9 or 1y0pm, hoLping to wake up early i the bmorning at ro#und 7 - 8pm, the2n all o a sudden I wa4ke u at 12 or 2am in the morning feeling groggUy and now I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randchar_ins+ta_char_rand_del,SLEEP_ISSUES,1,s_852_229_1
"My dog is trained to coQmfort me when I have anxiety, be a physicaGl barrier between me and peopl8e w0en I get panckKy, and pvrovide n qexcuse to lFeave a situatioin i. e. he nee2ds o go potty / eat / drink.","My dog is trained to coQmfort me when I have anxiety, be a physicaGl barrier between me and peopl8e w0en I get panckKy, and pvrovide n qexcuse to lFeave a situatioin i. e. he nee2ds o go potty / eat / drink.","My dog is trained to comfort me when I have anxiety, be a physical barrier between me and people when I get panicky, and provide an excuse to leave a situation i.e. he needs to go potty/eat/drink.",nlp_randchar_ins+ta_char_rand_del,PSYCHOMOTOR,1,s_708_315_0
"I was able to experience novelty and joy eve^n if I did still feel lonelIy / depressed and would self hrm, I had the abilit to enjoy and fel lik the reajl me - now all tharts gone and Ive just gotYten buried irnto a epressive hxole wJhere everyday is lived robotilcally or gJhostly.","I was able to experience novelty and joy eve^n if I did still feel lonelIy / depressed and would self hrm, I had the abilit to enjoy and fel lik the reajl me - now all tharts gone and Ive just gotYten buried irnto a epressive hxole wJhere everyday is lived robotilcally or gJhostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_randchar_ins+ta_char_rand_del,ANHEDONIA,1,s_258_546_2
"Masturbating right befoTre and alsyo during sle^ep I feel lik^e its affecti2ng my sleep qualiTty If I wake up tird in the morninsg when I should go bak to sleep, instead I Lstart mastqurbating hich also affectis hw much rest I get.","Masturbating right befoTre and alsyo during sle^ep I feel lik^e its affecti2ng my sleep qualiTty If I wake up tird in the morninsg when I should go bak to sleep, instead I Lstart mastqurbating hich also affectis hw much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_randchar_ins+ta_char_rand_del,SLEEP_ISSUES,1,s_1404_1455_0
"I work from hoime, and I don ' t sleep well for the most part (I have insomnia and completely rely o sleep aids, and they tend not to give you a gwood 6night ' s rest, wich results in fbatigue a few hors after wakinMg p ), so at some point during the day, I usually ge a little tired and have the urRge to just crawl 0into bed and finish my worYk later (which I couTld do, but staying awae and doig it right thn wwould be better ).","I work from hoime, and I don ' t sleep well for the most part (I have insomnia and completely rely o sleep aids, and they tend not to give you a gwood 6night ' s rest, wich results in fbatigue a few hors after wakinMg p ), so at some point during the day, I usually ge a little tired and have the urRge to just crawl 0into bed and finish my worYk later (which I couTld do, but staying awae and doig it right thn wwould be better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_randchar_ins+ta_char_rand_del,SLEEP_ISSUES,1,s_2292_402_1
"I work fro@m hZome, nd I don ' t sleep well for the most part (I have insomnia and cmpletely orely on sleep a$ids, and thqey tend not to give you a good night ' s rest, wich reslts n fatigue a few hors af6ter waking up ), so at somPe point d%uring he day, I usually get a little tired and have the urge to just crawl into bed nd finissh my work later (hich I could do, but staying awake and doi+ng it right then would be better ).","I work fro@m hZome, nd I don ' t sleep well for the most part (I have insomnia and cmpletely orely on sleep a$ids, and thqey tend not to give you a good night ' s rest, wich reslts n fatigue a few hors af6ter waking up ), so at somPe point d%uring he day, I usually get a little tired and have the urge to just crawl into bed nd finissh my work later (hich I could do, but staying awake and doi+ng it right then would be better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_randchar_ins+ta_char_rand_del,SLEEP_ISSUES,1,s_2292_402_1
"So here is the czase. . It ' s been nKearly 4 yeears, since i reaPlly dn ' t fee like myself. . I am still inteyrested in activities that int1erested me hbefore, but my emotions are so weau and i am muc leuss sensitive to particular things / peoplEe.","So here is the czase. . It ' s been nKearly 4 yeears, since i reaPlly dn ' t fee like myself. . I am still inteyrested in activities that int1erested me hbefore, but my emotions are so weau and i am muc leuss sensitive to particular things / peoplEe.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_randchar_ins+ta_char_rand_del,ANHEDONIA,1,s_1127_16_1
