post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
1 feel so oppryssed.,1 feel so oppryssed.,I feel so oppressed.,nlp_ocr+ta_char_rand_swap,WORTHLESSNESS,0,s_1955_1069_2
I Xeel 8o oppre8sed.,I Xeel 8o oppre8sed.,I feel so oppressed.,nlp_ocr+ta_char_rand_swap,WORTHLESSNESS,0,s_1955_1069_2
"I 100% knoj that if I havf to go to college alone without my family or any support Im g0nna end up killing myse1f. .. . Im barely keeping my self alive now, I can ' t imagine 6eing all by myself and dealin9 with my thougWts and emutioYs!","I 100% knoj that if I havf to go to college alone without my family or any support Im g0nna end up killing myse1f. .. . Im barely keeping my self alive now, I can ' t imagine 6eing all by myself and dealin9 with my thougWts and emutioYs!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_ocr+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_156_366_1
I cant 8top ckyiFg.,I cant 8top ckyiFg.,I cant stop crying.,nlp_ocr+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2334_738_1
I cant stod ckying.,I cant stod ckying.,I cant stop crying.,nlp_ocr+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2334_738_1
"It waB only 1ater after my second boyfriend, I reali2ed I cannot feel sexual attraction (if I have, it was very temporary ), and that I am probably asexua1 due Ju the fact toat 1 just get disgusted with myself when it comes to the 8ex pxrt.","It waB only 1ater after my second boyfriend, I reali2ed I cannot feel sexual attraction (if I have, it was very temporary ), and that I am probably asexua1 due Ju the fact toat 1 just get disgusted with myself when it comes to the 8ex pxrt.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_ocr+ta_char_rand_swap,ANHEDONIA,0,s_716_26_15
"1t vgs only lStar after my second boyfriend, I rea1ized I cann0t fee1 sexual attraction (if I have, it was very temporary ), and that I am probably asexual due to the fact that I just get dis9usted with myse1f when it comes to the sex pakt.","1t vgs only lStar after my second boyfriend, I rea1ized I cann0t fee1 sexual attraction (if I have, it was very temporary ), and that I am probably asexual due to the fact that I just get dis9usted with myse1f when it comes to the sex pakt.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_ocr+ta_char_rand_swap,ANHEDONIA,0,s_716_26_15
I dun ' t like de.,I dun ' t like de.,I don't like me.,nlp_ocr+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_816_5
I d0n ' t like mk.,I d0n ' t like mk.,I don't like me.,nlp_ocr+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_816_5
1 ' De ckied.,1 ' De ckied.,I've cried.,nlp_ocr+ta_char_rand_swap,DEPRESSED_MOOD,1,s_145_86_2
I ' Be ckied.,I ' Be ckied.,I've cried.,nlp_ocr+ta_char_rand_swap,DEPRESSED_MOOD,1,s_145_86_2
1 began to crD.,1 began to crD.,I began to cry.,nlp_ocr+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2815_1660_107
I 6egan to Hry.,I 6egan to Hry.,I began to cry.,nlp_ocr+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2815_1660_107
1 hakdlZ sleep.,1 hakdlZ sleep.,I hardly sleep.,nlp_ocr+ta_char_rand_swap,SLEEP_ISSUES,1,s_697_81_3
1 hardly s1iep.,1 hardly s1iep.,I hardly sleep.,nlp_ocr+ta_char_rand_swap,SLEEP_ISSUES,1,s_697_81_3
I am veky Tad.,I am veky Tad.,I am very sad.,nlp_ocr+ta_char_rand_swap,DEPRESSED_MOOD,0,s_411_1189_1
I am Reky sad.,I am Reky sad.,I am very sad.,nlp_ocr+ta_char_rand_swap,DEPRESSED_MOOD,0,s_411_1189_1
"I ' ve been like this for a 1ong time now wherein I sleep at around 9 ok 10pm, hoptng tu ware ui eakly in the morning at around 7 - 8pm, theE al1 of a sudden I wake op at 12 or 2am in the mhrning feeling 9roggy and now I cant get back ped.","I ' ve been like this for a 1ong time now wherein I sleep at around 9 ok 10pm, hoptng tu ware ui eakly in the morning at around 7 - 8pm, theE al1 of a sudden I wake op at 12 or 2am in the mhrning feeling 9roggy and now I cant get back ped.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_ocr+ta_char_rand_swap,SLEEP_ISSUES,1,s_852_229_1
"I ' ve been like thi8 for a long time now wherein I sleep aa around 9 oU 1opm, hopin9 to wake oa ear1y in tFe morning at around 7 - 8pm, then all of a sudden I wake up at 12 or 2am in the mornin9 feeliPg groggy and now I cant 9et back bed.","I ' ve been like thi8 for a long time now wherein I sleep aa around 9 oU 1opm, hopin9 to wake oa ear1y in tFe morning at around 7 - 8pm, then all of a sudden I wake up at 12 or 2am in the mornin9 feeliPg groggy and now I cant 9et back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_ocr+ta_char_rand_swap,SLEEP_ISSUES,1,s_852_229_1
1F so tired,1F so tired,Im so tired,nlp_ocr+ta_char_rand_swap,FATIGUE,1,s_2434_365_0
Im do tired,Im do tired,Im so tired,nlp_ocr+ta_char_rand_swap,FATIGUE,1,s_2434_365_0
Thi8 had me cxying,Thi8 had me cxying,This had me crying,nlp_ocr+ta_char_rand_swap,DEPRESSED_MOOD,0,s_2464_412_0
This had me crydn9,This had me crydn9,This had me crying,nlp_ocr+ta_char_rand_swap,DEPRESSED_MOOD,0,s_2464_412_0
1 rant to die,1 rant to die,I want to die,nlp_ocr+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_2118_413_1
1 want tV die,1 want tV die,I want to die,nlp_ocr+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_2118_413_1
I aust my libido.,I aust my libido.,I lost my libido.,nlp_ocr+ta_char_rand_swap,ANHEDONIA,1,s_2904_522_5
I lL8t my libido.,I lL8t my libido.,I lost my libido.,nlp_ocr+ta_char_rand_swap,ANHEDONIA,1,s_2904_522_5
I am bting turtured.,I am bting turtured.,I am being tortured.,nlp_ocr+ta_char_rand_swap,WORTHLESSNESS,0,s_1351_120_5
I aI being turtured.,I aI being turtured.,I am being tortured.,nlp_ocr+ta_char_rand_swap,WORTHLESSNESS,0,s_1351_120_5
"I was abFe to experience novelty and joy even if I did still meel lonely / depres8ed and wou1d se1f harm, I hYd the ability to enjoy and feel like the real me - now all that8 9one and Ive just gotten buried into a depressive hole wheke everyday is Bived robotieal1y or ghostly.","I was abFe to experience novelty and joy even if I did still meel lonely / depres8ed and wou1d se1f harm, I hYd the ability to enjoy and feel like the real me - now all that8 9one and Ive just gotten buried into a depressive hole wheke everyday is Bived robotieal1y or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_ocr+ta_char_rand_swap,ANHEDONIA,1,s_258_546_2
"Masturbating right before and also during 8leep 1 feel 1ike its affecting my s1eep quality 1f I wake fO tikmd in the morning when 1 should go back j0 sleep, instead 1 start masturbating which also affects how much rest I get.","Masturbating right before and also during 8leep 1 feel 1ike its affecting my s1eep quality 1f I wake fO tikmd in the morning when 1 should go back j0 sleep, instead 1 start masturbating which also affects how much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_ocr+ta_char_rand_swap,SLEEP_ISSUES,1,s_1404_1455_0
i do want tu diJ,i do want tu diJ,i do want to die,nlp_ocr+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_141_110_0
i du want tf die,i du want tf die,i do want to die,nlp_ocr+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_141_110_0
1 crG erytime,1 crG erytime,I cry erytime,nlp_ocr+ta_char_rand_swap,DEPRESSED_MOOD,1,s_523_60_1
1 crp erytime,1 crp erytime,I cry erytime,nlp_ocr+ta_char_rand_swap,DEPRESSED_MOOD,1,s_523_60_1
i rea1ly hate mysjlf,i rea1ly hate mysjlf,i really hate myself,nlp_ocr+ta_char_rand_swap,WORTHLESSNESS,1,s_1194_31_4
i real1y hate mysedf,i real1y hate mysedf,i really hate myself,nlp_ocr+ta_char_rand_swap,WORTHLESSNESS,1,s_1194_31_4
I ' m qoite aSgry,I ' m qoite aSgry,I'm quite angry,nlp_ocr+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2188_1006_0
I ' m quite aw9ry,I ' m quite aw9ry,I'm quite angry,nlp_ocr+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2188_1006_0
1 ' m really timed.,1 ' m really timed.,I'm really tired.,nlp_ocr+ta_char_rand_swap,FATIGUE,1,s_547_567_2
1 ' m rjally tiked.,1 ' m rjally tiked.,I'm really tired.,nlp_ocr+ta_char_rand_swap,FATIGUE,1,s_547_567_2
"I wokk from home, and I don ' t sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good nigha ' s kest, which results iH fatigue a few QouR8 after waking up ), sY aI some point during the day, I usual1y 9et a little tired and have Lhe urge to just crawl into bed and finish my work later (which I could do, but staying awake and d0ing it ri9ht then wouJd be better ).","I wokk from home, and I don ' t sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good nigha ' s kest, which results iH fatigue a few QouR8 after waking up ), sY aI some point during the day, I usual1y 9et a little tired and have Lhe urge to just crawl into bed and finish my work later (which I could do, but staying awake and d0ing it ri9ht then wouJd be better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_ocr+ta_char_rand_swap,SLEEP_ISSUES,1,s_2292_402_1
1 was useAess.,1 was useAess.,I was useless.,nlp_ocr+ta_char_rand_swap,WORTHLESSNESS,1,s_1899_440_13
I wa8 usRless.,I wa8 usRless.,I was useless.,nlp_ocr+ta_char_rand_swap,WORTHLESSNESS,1,s_1899_440_13
I am veky tirKd.,I am veky tirKd.,I am very tired.,nlp_ocr+ta_char_rand_swap,FATIGUE,1,s_1030_1290_8
1 am very tored.,1 am very tored.,I am very tired.,nlp_ocr+ta_char_rand_swap,FATIGUE,1,s_1030_1290_8
1 ' m usmless.,1 ' m usmless.,I'm useless.,nlp_ocr+ta_char_rand_swap,WORTHLESSNESS,1,s_1933_175_32
I ' m usetess.,I ' m usetess.,I'm useless.,nlp_ocr+ta_char_rand_swap,WORTHLESSNESS,1,s_1933_175_32
Hatin9 mu failure.,Hatin9 mu failure.,Hating my failure.,nlp_ocr+ta_char_rand_swap,WORTHLESSNESS,1,s_2815_1585_9
Hatin9 mI failuke.,Hatin9 mI failuke.,Hating my failure.,nlp_ocr+ta_char_rand_swap,WORTHLESSNESS,1,s_2815_1585_9
"It makes me 8am. ""","It makes me 8am. ""","It makes me sad.""",nlp_ocr+ta_char_rand_swap,DEPRESSED_MOOD,0,s_1115_951_1
"It makes mp 8ad. ""","It makes mp 8ad. ""","It makes me sad.""",nlp_ocr+ta_char_rand_swap,DEPRESSED_MOOD,0,s_1115_951_1
1 hate myDelf.,1 hate myDelf.,I hate myself.,nlp_ocr+ta_char_rand_swap,WORTHLESSNESS,1,s_1601_880_7
1 hate myselS.,1 hate myselS.,I hate myself.,nlp_ocr+ta_char_rand_swap,WORTHLESSNESS,1,s_1601_880_7
