post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I feEl os opprejsed.,I feEl os opprejsed.,I feel so oppressed.,nlp_randchar_sub+ta_char_neighbor,WORTHLESSNESS,0,s_1955_1069_2
I efe+ so oppr4ssed.,I efe+ so oppr4ssed.,I feel so oppressed.,nlp_randchar_sub+ta_char_neighbor,WORTHLESSNESS,0,s_1955_1069_2
"I 100% know shat if I have to go to college alone without my fa8ily or ayn fupport Im gonna end up killing myselY. .. . Im barely kenping my sel4 alive now, I can ' t imgaine b!ing all yb myself and daelin@ wi7h my rhoughts and emotions!","I 100% know shat if I have to go to college alone without my fa8ily or ayn fupport Im gonna end up killing myselY. .. . Im barely kenping my sel4 alive now, I can ' t imgaine b!ing all yb myself and daelin@ wi7h my rhoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randchar_sub+ta_char_neighbor,SUICIDAL_THOUGHTS,1,s_156_366_1
I cent sAop cryign.,I cent sAop cryign.,I cant stop crying.,nlp_randchar_sub+ta_char_neighbor,DEPRESSED_MOOD,1,s_2334_738_1
I xant tso^ crying.,I xant tso^ crying.,I cant stop crying.,nlp_randchar_sub+ta_char_neighbor,DEPRESSED_MOOD,1,s_2334_738_1
"It was olny la0er after my second boyfwiend, I realized I cmnnot feel 9exual at*raction (if I have, it aws Eery tempor6ry ), and What I am probably asexual deu to the nact taht I just get disgusted with myself wh1n it comes to the sex part.","It was olny la0er after my second boyfwiend, I realized I cmnnot feel 9exual at*raction (if I have, it aws Eery tempor6ry ), and What I am probably asexual deu to the nact taht I just get disgusted with myself wh1n it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_sub+ta_char_neighbor,ANHEDONIA,0,s_716_26_15
"It was onyl la0er aftre my second boyfwiend, I realized I cmnnot feel 9exual at*raction (if I have, it wsa Eery tmepor6ry ), and What I am probably asexual due to the nact that I just get disgusted with myself wh1n it comes to the sex part.","It was onyl la0er aftre my second boyfwiend, I realized I cmnnot feel 9exual at*raction (if I have, it wsa Eery tmepor6ry ), and What I am probably asexual due to the nact that I just get disgusted with myself wh1n it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_sub+ta_char_neighbor,ANHEDONIA,0,s_716_26_15
I don ' t lkiy me.,I don ' t lkiy me.,I don't like me.,nlp_randchar_sub+ta_char_neighbor,WORTHLESSNESS,1,s_2415_816_5
I don ' t lkiV me.,I don ' t lkiV me.,I don't like me.,nlp_randchar_sub+ta_char_neighbor,WORTHLESSNESS,1,s_2415_816_5
I ' ve cnred.,I ' ve cnred.,I've cried.,nlp_randchar_sub+ta_char_neighbor,DEPRESSED_MOOD,1,s_145_86_2
I ' ev crieT.,I ' ev crieT.,I've cried.,nlp_randchar_sub+ta_char_neighbor,DEPRESSED_MOOD,1,s_145_86_2
I bega+ ot cry.,I bega+ ot cry.,I began to cry.,nlp_randchar_sub+ta_char_neighbor,DEPRESSED_MOOD,1,s_2815_1660_107
I beEan ot cry.,I beEan ot cry.,I began to cry.,nlp_randchar_sub+ta_char_neighbor,DEPRESSED_MOOD,1,s_2815_1660_107
I hmrdyl vleep.,I hmrdyl vleep.,I hardly sleep.,nlp_randchar_sub+ta_char_neighbor,SLEEP_ISSUES,1,s_697_81_3
I hradlV sleEp.,I hradlV sleEp.,I hardly sleep.,nlp_randchar_sub+ta_char_neighbor,SLEEP_ISSUES,1,s_697_81_3
I am vgry sda.,I am vgry sda.,I am very sad.,nlp_randchar_sub+ta_char_neighbor,DEPRESSED_MOOD,0,s_411_1189_1
I ma Kery sad.,I ma Kery sad.,I am very sad.,nlp_randchar_sub+ta_char_neighbor,DEPRESSED_MOOD,0,s_411_1189_1
"I ' ev been like this for a wong timJ nwo wh#rein I sleep at around 9 ro 10pm, htping ot wake pu early in the morning at mround 7 - 8pm, thjn all of a sudden I wake up at 12 or 2am in the morni^g feeliHg groggy and now I cant get bagk bed.","I ' ev been like this for a wong timJ nwo wh#rein I sleep at around 9 ro 10pm, htping ot wake pu early in the morning at mround 7 - 8pm, thjn all of a sudden I wake up at 12 or 2am in the morni^g feeliHg groggy and now I cant get bagk bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randchar_sub+ta_char_neighbor,SLEEP_ISSUES,1,s_852_229_1
"I ' ve bKne like this for a long ti&e now wherein I skeep at around 9 or 10pm, hoying to wake up early ni teh morning at arounx 7 - 8pm, tehn all of a suCden I wPke up at 12 or 2am in the morinng feelung groggG and now I Pant get back bed.","I ' ve bKne like this for a long ti&e now wherein I skeep at around 9 or 10pm, hoying to wake up early ni teh morning at arounx 7 - 8pm, tehn all of a suCden I wPke up at 12 or 2am in the morinng feelung groggG and now I Pant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randchar_sub+ta_char_neighbor,SLEEP_ISSUES,1,s_852_229_1
mI so tireq,mI so tireq,Im so tired,nlp_randchar_sub+ta_char_neighbor,FATIGUE,1,s_2434_365_0
Im os tiAed,Im os tiAed,Im so tired,nlp_randchar_sub+ta_char_neighbor,FATIGUE,1,s_2434_365_0
TNis ahd me crUing,TNis ahd me crUing,This had me crying,nlp_randchar_sub+ta_char_neighbor,DEPRESSED_MOOD,0,s_2464_412_0
Thi2 hda me Brying,Thi2 hda me Brying,This had me crying,nlp_randchar_sub+ta_char_neighbor,DEPRESSED_MOOD,0,s_2464_412_0
I w+tn to die,I w+tn to die,I want to die,nlp_randchar_sub+ta_char_neighbor,SUICIDAL_THOUGHTS,1,s_2118_413_1
