post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"MPasturbating right bfore and also during sleep I feel like its affecting my sleep quality If I wake up tired in he morning when I should go back tYo sleep, instead I tart masturbZatin which aldso affects how much rest I get.","MPasturbating right bfore and also during sleep I feel like its affecting my sleep quality If I wake up tired in he morning when I should go back tYo sleep, instead I tart masturbZatin which aldso affects how much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_rand_del+ta_char_rand_ins,SLEEP_ISSUES,1,s_1404_1455_0
"I wrk from home, and I don't slMeeNp well for the moDst part (I have insomnia and completely rely on sleep aids, ad they tend not to give you a gmoosd night's rest, which results i fatigue a few hours after wking up), so at some point durinjg the day, I usually get a little tired nd have th urge to just crawl int bed nd finish my work later (which I could do, but stXaying awake and doAing it right then would be better).","I wrk from home, and I don't slMeeNp well for the moDst part (I have insomnia and completely rely on sleep aids, ad they tend not to give you a gmoosd night's rest, which results i fatigue a few hours after wking up), so at some point durinjg the day, I usually get a little tired nd have th urge to just crawl int bed nd finish my work later (which I could do, but stXaying awake and doAing it right then would be better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",ta_char_rand_del+ta_char_rand_ins,SLEEP_ISSUES,1,s_2292_402_1
"I wrk from home, and I don't sleep well kfor the most part (I have insomnia and completely rely on sleep aids, ad they tend not to give you a good night's rest, which results i fatigue a few hours after wking up), fso at some point during the daPy, I usually get a little tired nd haEve th urge to juGst crawl int Vbepd nd finish my work later (which I could do, bjut staying awake and doing it right then would be better).","I wrk from home, and I don't sleep well kfor the most part (I have insomnia and completely rely on sleep aids, ad they tend not to give you a good night's rest, which results i fatigue a few hours after wking up), fso at some point during the daPy, I usually get a little tired nd haEve th urge to juGst crawl int Vbepd nd finish my work later (which I could do, bjut staying awake and doing it right then would be better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",ta_char_rand_del+ta_char_rand_ins,SLEEP_ISSUES,1,s_2292_402_1
"It has fbeen a rough school ar for me with a lot off changes that brought me to te poinYt of uncontrollable crying for two days in a row, migraines, muscle tension, and Aan inability t really get any work done with my students.","It has fbeen a rough school ar for me with a lot off changes that brought me to te poinYt of uncontrollable crying for two days in a row, migraines, muscle tension, and Aan inability t really get any work done with my students.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",ta_char_rand_del+ta_char_rand_ins,SPECIAL_CASE,1,s_1190_67_2
UI'm trsh.,UI'm trsh.,I'm trash.,ta_char_rand_del+ta_char_rand_ins,WORTHLESSNESS,1,s_2130_82_12
I'm trgah.,I'm trgah.,I'm trash.,ta_char_rand_del+ta_char_rand_ins,WORTHLESSNESS,1,s_2130_82_12
"I have NAS(NarcissisticAbuseSyndrome), severe depression wipth CONSTANT suicidal ideation...I've attempted suicie 4 time, actually being successful on the second but ived ultimately, and tha's where I had a near/porst death experience that will shJape the rest oqf my life, for however long that may be.","I have NAS(NarcissisticAbuseSyndrome), severe depression wipth CONSTANT suicidal ideation...I've attempted suicie 4 time, actually being successful on the second but ived ultimately, and tha's where I had a near/porst death experience that will shJape the rest oqf my life, for however long that may be.","I have NAS(NarcissisticAbuseSyndrome), severe depression with CONSTANT suicidal ideation...I've attempted suicide 4 times, actually being successful on the second but lived ultimately, and that's where I had a near/post death experience that will shape the rest of my life, for however long that may be.",ta_char_rand_del+ta_char_rand_ins,SUICIDAL_THOUGHTS,1,s_552_263_41
"Occasionalily I've taken 25/50mg Hto get to sleep at night buJt I've definitely never experienced anything on it before other than getting drowsy...so, ilike twent minutes later I'm getting in bed, and I urn on ths white noie ten hour youtube vide I sometimes use to help mre sleep.","Occasionalily I've taken 25/50mg Hto get to sleep at night buJt I've definitely never experienced anything on it before other than getting drowsy...so, ilike twent minutes later I'm getting in bed, and I urn on ths white noie ten hour youtube vide I sometimes use to help mre sleep.","Occasionally I've taken 25/50mg to get to sleep at night but I've definitely never experienced anything on it before other than getting drowsy...so, like twenty minutes later I'm getting in bed, and I turn on this white noise ten hour youtube video I sometimes use to help me sleep.",ta_char_rand_del+ta_char_rand_ins,SLEEP_ISSUES,1,s_1965_10_8
"Occasionally I've taken 25/50mg to get o sleep t night but I've definitely never experienced ranything on it before other han getting drowsy...so, like twenty minutes later I'm getting i bed, aUnd I turn ocn this Iwhite noise ten hour yutube video I asometimes use to help me sleep.","Occasionally I've taken 25/50mg to get o sleep t night but I've definitely never experienced ranything on it before other han getting drowsy...so, like twenty minutes later I'm getting i bed, aUnd I turn ocn this Iwhite noise ten hour yutube video I asometimes use to help me sleep.","Occasionally I've taken 25/50mg to get to sleep at night but I've definitely never experienced anything on it before other than getting drowsy...so, like twenty minutes later I'm getting in bed, and I turn on this white noise ten hour youtube video I sometimes use to help me sleep.",ta_char_rand_del+ta_char_rand_ins,SLEEP_ISSUES,1,s_1965_10_8
"Some suicide attempts left mw crying qfter all the pain and once, the thought of lmry mother just at th other side o the door and she fwaking me up cheerflly the next morning, but agan, living for others can only go so qr, and this is the breaking point where the poinft of not caring anyTmore if I can get rYid f this pain is becoming stronger and coming closer again.","Some suicide attempts left mw crying qfter all the pain and once, the thought of lmry mother just at th other side o the door and she fwaking me up cheerflly the next morning, but agan, living for others can only go so qr, and this is the breaking point where the poinft of not caring anyTmore if I can get rYid f this pain is becoming stronger and coming closer again.","Some suicide attempts left mw crying qfter all the pain and once, the thought of my mother just at the other side of the door and she waking me up cheerfully the next morning, but again, living for others can only go so fqr, and this is the breaking point where the point of not caring anymore if I can get rid of this pain is becoming stronger and coming closer again.",ta_char_rand_del+ta_char_rand_ins,SUICIDAL_THOUGHTS,1,s_782_6_12
"Some suicide attempts left mw crying qfter all the pain and once, the thought of my mother just at th other side o the door and she waking mNe up cheerflly the next morning, but agan, living for othXers can only glo so qr, and this is the breaking point Rwhere te point of not caring anymore if I can get rid f this pain is beXcoming stronger antd coming closner again.","Some suicide attempts left mw crying qfter all the pain and once, the thought of my mother just at th other side o the door and she waking mNe up cheerflly the next morning, but agan, living for othXers can only glo so qr, and this is the breaking point Rwhere te point of not caring anymore if I can get rid f this pain is beXcoming stronger antd coming closner again.","Some suicide attempts left mw crying qfter all the pain and once, the thought of my mother just at the other side of the door and she waking me up cheerfully the next morning, but again, living for others can only go so fqr, and this is the breaking point where the point of not caring anymore if I can get rid of this pain is becoming stronger and coming closer again.",ta_char_rand_del+ta_char_rand_ins,SUICIDAL_THOUGHTS,1,s_782_6_12
"I tried to stay up longer past 3 p yesterday bu I got way too tired and fell asleep until 1 pm and noJw I cant get any slXeep snce m not tired and nmy tics want to come out, but I cant let them since my mom will bGe aCngry.","I tried to stay up longer past 3 p yesterday bu I got way too tired and fell asleep until 1 pm and noJw I cant get any slXeep snce m not tired and nmy tics want to come out, but I cant let them since my mom will bGe aCngry.","I tried to stay up longer past 3 pm yesterday but I got way too tired and fell asleep until 11 pm and now I cant get any sleep since Im not tired and my tics want to come out, but I cant let them since my mom will be angry.",ta_char_rand_del+ta_char_rand_ins,SLEEP_ISSUES,1,s_2434_538_2
"I tried to stay up longer Hpast 3 p yesterday bu I got way too tired and fell aslevep until 1 ypm and now I cant get any sleep snce m not tMired and my tics want to come out, but I cant let them soince my mom will be angry.","I tried to stay up longer Hpast 3 p yesterday bu I got way too tired and fell aslevep until 1 ypm and now I cant get any sleep snce m not tMired and my tics want to come out, but I cant let them soince my mom will be angry.","I tried to stay up longer past 3 pm yesterday but I got way too tired and fell asleep until 11 pm and now I cant get any sleep since Im not tired and my tics want to come out, but I cant let them since my mom will be angry.",ta_char_rand_del+ta_char_rand_ins,SLEEP_ISSUES,1,s_2434_538_2
"I've doEne some thinking aHs to why I may fe dveprssed, and on thing that stod out is the fagct that I'm always looking for new things in my life to fill some kind of hole r need

this has become destructive though, as I wll eat a lot just for the sake of eataiung because it feels good and different from feeling g depressed, or I'll just by random crap just because it is new

and the thi gs I used o like tqo d, like provgramming or reading, I just don't find as fun anymore

Im not sure if this is just a part of depression or itf its entirely sometwhing diwfferent.","I've doEne some thinking aHs to why I may fe dveprssed, and on thing that stod out is the fagct that I'm always looking for new things in my life to fill some kind of hole r need

this has become destructive though, as I wll eat a lot just for the sake of eataiung because it feels good and different from feeling g depressed, or I'll just by random crap just because it is new

and the thi gs I used o like tqo d, like provgramming or reading, I just don't find as fun anymore

Im not sure if this is just a part of depression or itf its entirely sometwhing diwfferent.","I've done some thinking as to why I may feel depressed, and one thing that stood out is the fact that I'm always looking for new things in my life to fill some kind of hole or need

this has become destructive though, as I will eat a lot just for the sake of eating because it feels good and different from feeling g depressed, or I'll just by random crap just because it is new

and the this gs I used to like to do, like programming or reading, I just don't find as fun anymore

I'm not sure if this is just a part of depression or if its entirely something different.",ta_char_rand_del+ta_char_rand_ins,DEPRESSED_MOOD,1,s_1808_2_2
"I've done some thIinking as to wh I ma feel depressed, and Sone thing that stod oYt is the fact that I'm always looking for new hings in my life to fill some kind of hole or nee

this a become destructive tqhough, as I will eat a lot just fo tuhe swake oNf eating because it feels good and different from feeling g depressed, or I'll just by randm crap just because it is new

and the this gs I usekd to like tVo do, like progriammin or reading, I just don't find as fun anymore

I'm not sure if this is just a part of depression or if iHts entirely something different.","I've done some thIinking as to wh I ma feel depressed, and Sone thing that stod oYt is the fact that I'm always looking for new hings in my life to fill some kind of hole or nee

this a become destructive tqhough, as I will eat a lot just fo tuhe swake oNf eating because it feels good and different from feeling g depressed, or I'll just by randm crap just because it is new

and the this gs I usekd to like tVo do, like progriammin or reading, I just don't find as fun anymore

I'm not sure if this is just a part of depression or if iHts entirely something different.","I've done some thinking as to why I may feel depressed, and one thing that stood out is the fact that I'm always looking for new things in my life to fill some kind of hole or need

this has become destructive though, as I will eat a lot just for the sake of eating because it feels good and different from feeling g depressed, or I'll just by random crap just because it is new

and the this gs I used to like to do, like programming or reading, I just don't find as fun anymore

I'm not sure if this is just a part of depression or if its entirely something different.",ta_char_rand_del+ta_char_rand_ins,DEPRESSED_MOOD,1,s_1808_2_2
"But now I feel like Im hittiAng a wall, it becomes so Hfrustrating I feel like I get bRurnt out, and then Aend up feelKng like I neOed to force myself into oing somethng however I just end up thinking bout it all day and maybe do it last minute if that, and if I dont do it i rally beat yself uYp over it the next day and t becomes harder.","But now I feel like Im hittiAng a wall, it becomes so Hfrustrating I feel like I get bRurnt out, and then Aend up feelKng like I neOed to force myself into oing somethng however I just end up thinking bout it all day and maybe do it last minute if that, and if I dont do it i rally beat yself uYp over it the next day and t becomes harder.","But now I feel like Im hitting a wall, it becomes so frustrating I feel like I get burnt out, and then end up feeling like I need to force myself into doing something however I just end up thinking about it all day and maybe do it last minute if that, and if I dont do it i really beat myself up over it the next day and it becomes harder.",ta_char_rand_del+ta_char_rand_ins,ANHEDONIA,1,s_1551_7_5
