post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I fee1 a0 oppressed.,I fee1 a0 oppressed.,I feel so oppressed.,nlp_ocr+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1955_1069_2
I feel zu oppkessed.,I feel zu oppkessed.,I feel so oppressed.,nlp_ocr+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1955_1069_2
"1 100% know that if I havs ti go to college alone without my family or any support 1m gonna end up killing my8elf. .. . 1m barely kweping my eelf alive now, I can ' t imagine 6eing all 6y myself and dealing with my thoughts and emotion8!","1 100% know that if I havs ti go to college alone without my family or any support 1m gonna end up killing my8elf. .. . 1m barely kweping my eelf alive now, I can ' t imagine 6eing all 6y myself and dealing with my thoughts and emotion8!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_ocr+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_156_366_1
I cajt st0p crying.,I cajt st0p crying.,I cant stop crying.,nlp_ocr+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2334_738_1
1 cant xtop cryin9.,1 cant xtop cryin9.,I cant stop crying.,nlp_ocr+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2334_738_1
"It was only latek after my second 6oyfriend, I realized 1 cann0t feel sexual attraction (if 1 have, it was very temporary ), anc that I qm probably asfxual due tp the fact that I ju8t get disgusted with myself when it comes to the sex part.","It was only latek after my second 6oyfriend, I realized 1 cann0t feel sexual attraction (if 1 have, it was very temporary ), anc that I qm probably asfxual due tp the fact that I ju8t get disgusted with myself when it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_ocr+ta_wordswap_qwerty,ANHEDONIA,0,s_716_26_15
"It was 0nly later after mh 8econd boyfriend, I realized I cannut fee1 sexual attraction (if I have, it was very temporaky ), abd that I am probably asexual doe to the fact that I just get disgusted with myself ahen it comez to the sex part.","It was 0nly later after mh 8econd boyfriend, I realized I cannut fee1 sexual attraction (if I have, it was very temporaky ), abd that I am probably asexual doe to the fact that I just get disgusted with myself ahen it comez to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_ocr+ta_wordswap_qwerty,ANHEDONIA,0,s_716_26_15
I don ' t lire mw.,I don ' t lire mw.,I don't like me.,nlp_ocr+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_816_5
I don ' t lige me.,I don ' t lige me.,I don't like me.,nlp_ocr+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_816_5
I ' ve ckidd.,I ' ve ckidd.,I've cried.,nlp_ocr+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_145_86_2
