post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I 100% kow hat if I hafve to go to coollege aln&e ithout my family or any suNpport Im gonna end up kiellng my)self. .. . Im barely keeping my sel_f aliqve now, I can ' t vmagine bing all by mself and daligng ith my thoughts and emotions!","I 100% kow hat if I hafve to go to coollege aln&e ithout my family or any suNpport Im gonna end up kiellng my)self. .. . Im barely keeping my sel_f aliqve now, I can ' t vmagine bing all by mself and daligng ith my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randchar_del+nlp_randchar_ins,SUICIDAL_THOUGHTS,1,s_156_366_1
I _cant sop crBing.,I _cant sop crBing.,I cant stop crying.,nlp_randchar_del+nlp_randchar_ins,DEPRESSED_MOOD,1,s_2334_738_1
I can stFop crryng.,I can stFop crryng.,I cant stop crying.,nlp_randchar_del+nlp_randchar_ins,DEPRESSED_MOOD,1,s_2334_738_1
"It was only later aft0er my sconnd boyfriend, I realizeud I can9not eel exual attraction (if I hae, it was very emp9orary ), and hat I am pro7baby asxua%l due to the fact that I jut get disgusted with Emyself whein it cOomes to the sex pat.","It was only later aft0er my sconnd boyfriend, I realizeud I can9not eel exual attraction (if I hae, it was very emp9orary ), and hat I am pro7baby asxua%l due to the fact that I jut get disgusted with Emyself whein it cOomes to the sex pat.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_del+nlp_randchar_ins,ANHEDONIA,0,s_716_26_15
"It was only later after my scond boyfriend, I reali#zed I !cannot eel exual attraction (if I hae, it was very emporarcy ), and hat I am probaKby asxuaml due to the faIct th)at I jut get disgIusted with mysFelf when it cLomes to the sex pat.","It was only later after my scond boyfriend, I reali#zed I !cannot eel exual attraction (if I hae, it was very emporarcy ), and hat I am probaKby asxuaml due to the faIct th)at I jut get disgIusted with mysFelf when it cLomes to the sex pat.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_del+nlp_randchar_ins,ANHEDONIA,0,s_716_26_15
Im geer5ally tirFe So,Im geer5ally tirFe So,Im generally tired So,nlp_randchar_del+nlp_randchar_ins,FATIGUE,1,s_2007_1467_0
Im gecneally Ltred So,Im gecneally Ltred So,Im generally tired So,nlp_randchar_del+nlp_randchar_ins,FATIGUE,1,s_2007_1467_0
I hcardy le0ep.,I hcardy le0ep.,I hardly sleep.,nlp_randchar_del+nlp_randchar_ins,SLEEP_ISSUES,1,s_697_81_3
I 4hardy Gleep.,I 4hardy Gleep.,I hardly sleep.,nlp_randchar_del+nlp_randchar_ins,SLEEP_ISSUES,1,s_697_81_3
"I ' ve bee li9ke thi for a Along tme now wGherein I sleep at )arond 9 or 10p, hping to wake up early in the mornMin at arousnd 7 - 8pm, the4n all of a suddeMn I wake up at 12 or 2am in the amoning Bfeeling groggy and now I cat get bac bed.","I ' ve bee li9ke thi for a Along tme now wGherein I sleep at )arond 9 or 10p, hping to wake up early in the mornMin at arousnd 7 - 8pm, the4n all of a suddeMn I wake up at 12 or 2am in the amoning Bfeeling groggy and now I cat get bac bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randchar_del+nlp_randchar_ins,SLEEP_ISSUES,1,s_852_229_1
"I ' ve ben lie ths for a long 9time now whe(rein I seep at aound 9 or 1pm, hopiZng to wKake up earlky in the morVning at rounOd 7 - 8pm, ethen all of a sudden I wake up at 12 or 2am in the moning feelifng groggly and now I cat get bac bed.","I ' ve ben lie ths for a long 9time now whe(rein I seep at aound 9 or 1pm, hopiZng to wKake up earlky in the morVning at rounOd 7 - 8pm, ethen all of a sudden I wake up at 12 or 2am in the moning feelifng groggly and now I cat get bac bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randchar_del+nlp_randchar_ins,SLEEP_ISSUES,1,s_852_229_1
I am bei!n toruredd.,I am bei!n toruredd.,I am being tortured.,nlp_randchar_del+nlp_randchar_ins,WORTHLESSNESS,0,s_1351_120_5
I am beqin Wtorured.,I am beqin Wtorured.,I am being tortured.,nlp_randchar_del+nlp_randchar_ins,WORTHLESSNESS,0,s_1351_120_5
I asn!t sad or cAryin anymo6r.,I asn!t sad or cAryin anymo6r.,I wasnt sad or crying anymore.,nlp_randchar_del+nlp_randchar_ins,DEPRESSED_MOOD,1,s_1897_77_60
I asnkt sad or @cryin anmfore.,I asnkt sad or @cryin anmfore.,I wasnt sad or crying anymore.,nlp_randchar_del+nlp_randchar_ins,DEPRESSED_MOOD,1,s_1897_77_60
"I was abl@e to experience novVelty and joy evn if I did still !feel lonely / deressed and would self ham, I had the abTiliy to enjoy and feel like the rea me - now all Jthats gone and Ive just goten buriCed minto a deressive hol+e wher eveyday is Vlied roboticaqlly or ghostly.","I was abl@e to experience novVelty and joy evn if I did still !feel lonely / deressed and would self ham, I had the abTiliy to enjoy and feel like the rea me - now all Jthats gone and Ive just goten buriCed minto a deressive hol+e wher eveyday is Vlied roboticaqlly or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_randchar_del+nlp_randchar_ins,ANHEDONIA,1,s_258_546_2
"I was abe to experience novelty and joy even if I did sti!ll feel lonel)y / depressLed and woul+d sel harm, I had the ability to njoy and feel ike the re7al me - now all thats gon and Ive jut gotten buried into a dereQssive hol hGere eveyday is liFved robotiUcally or ghostfly.","I was abe to experience novelty and joy even if I did sti!ll feel lonel)y / depressLed and woul+d sel harm, I had the ability to njoy and feel ike the re7al me - now all thats gon and Ive jut gotten buried into a dereQssive hol hGere eveyday is liFved robotiUcally or ghostfly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_randchar_del+nlp_randchar_ins,ANHEDONIA,1,s_258_546_2
I get 2solid slep ee5ry gnght.,I get 2solid slep ee5ry gnght.,I get solid sleep every night.,nlp_randchar_del+nlp_randchar_ins,SLEEP_ISSUES,0,s_2460_674_3
I get solid sljep eerpy nghwt.,I get solid sljep eerpy nghwt.,I get solid sleep every night.,nlp_randchar_del+nlp_randchar_ins,SLEEP_ISSUES,0,s_2460_674_3
i nreally hae myoelf,i nreally hae myoelf,i really hate myself,nlp_randchar_del+nlp_randchar_ins,WORTHLESSNESS,1,s_1194_31_4
i Hrealy hat mys8elf,i Hrealy hat mys8elf,i really hate myself,nlp_randchar_del+nlp_randchar_ins,WORTHLESSNESS,1,s_1194_31_4
I ' m uivte pngry,I ' m uivte pngry,I'm quite angry,nlp_randchar_del+nlp_randchar_ins,DEPRESSED_MOOD,1,s_2188_1006_0
I ' m qui4e 1angr,I ' m qui4e 1angr,I'm quite angry,nlp_randchar_del+nlp_randchar_ins,DEPRESSED_MOOD,1,s_2188_1006_0
I am s4eep dpwrived I Cneed hlp,I am s4eep dpwrived I Cneed hlp,I am sleep deprived I need help,nlp_randchar_del+nlp_randchar_ins,SLEEP_ISSUES,1,s_1313_32_0
I am qseep eprrived I nee_d elp,I am qseep eprrived I nee_d elp,I am sleep deprived I need help,nlp_randchar_del+nlp_randchar_ins,SLEEP_ISSUES,1,s_1313_32_0
I ' m rell%y kired.,I ' m rell%y kired.,I'm really tired.,nlp_randchar_del+nlp_randchar_ins,FATIGUE,1,s_547_567_2
I ' m rPealy tregd.,I ' m rPealy tregd.,I'm really tired.,nlp_randchar_del+nlp_randchar_ins,FATIGUE,1,s_547_567_2
"I Kwork from hme, and I don ' t slep ell for the most part (I have insomnia and coampletely rIely on sleep aids, and Nthey tKend not to give you a goo night ' s rest, wyhich results in faPtigue a few hours after waking up ), so at some point during the day, I usualy get a littl7e tired and hve the rge to just crawl int3o bed and fiEnish my work later (whch I ould do, but staying awke and doing it right then would be better ).","I Kwork from hme, and I don ' t slep ell for the most part (I have insomnia and coampletely rIely on sleep aids, and Nthey tKend not to give you a goo night ' s rest, wyhich results in faPtigue a few hours after waking up ), so at some point during the day, I usualy get a littl7e tired and hve the rge to just crawl int3o bed and fiEnish my work later (whch I ould do, but staying awke and doing it right then would be better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_randchar_del+nlp_randchar_ins,SLEEP_ISSUES,1,s_2292_402_1
"I work from homUe, and I don ' t leep well for the most pat (I hve insomnia and completely rely on slenep ids, and they Ntend not to give you a good 0night ' s rest, which results in fatigue a few hours after waking up ), so at somYe pzont durng the day, I usually get a littlVe tirehd and have the urUge to just crawl into bed and finish my work lakter (hich I could do, but staying awae and doing it right thn wold be better ).","I work from homUe, and I don ' t leep well for the most pat (I hve insomnia and completely rely on slenep ids, and they Ntend not to give you a good 0night ' s rest, which results in fatigue a few hours after waking up ), so at somYe pzont durng the day, I usually get a littlVe tirehd and have the urUge to just crawl into bed and finish my work lakter (hich I could do, but staying awae and doing it right thn wold be better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_randchar_del+nlp_randchar_ins,SLEEP_ISSUES,1,s_2292_402_1
I am srupr depes%sed %righ now.,I am srupr depes%sed %righ now.,I am super depressed right now.,nlp_randchar_del+nlp_randchar_ins,DEPRESSED_MOOD,1,s_993_726_1
I am isper epressbed riget now.,I am isper epressbed riget now.,I am super depressed right now.,nlp_randchar_del+nlp_randchar_ins,DEPRESSED_MOOD,1,s_993_726_1
