post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I feel so oppreѕesd.,I feel so oppreѕesd.,I feel so oppressed.,ta_char_neighbor+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1955_1069_2
I feel so opⲅpessed.,I feel so opⲅpessed.,I feel so oppressed.,ta_char_neighbor+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1955_1069_2
I cant stоp criyng.,I cant stоp criyng.,I cant stop crying.,ta_char_neighbor+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2334_738_1
I cant stop criуng.,I cant stop criуng.,I cant stop crying.,ta_char_neighbor+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2334_738_1
"It aws onyl later after my second boyfrieոd, I realized I cannot feel sexual attraction (if I have, it was very temporary), nad that I am probably asexual due to the fact that I just ɡet disgusted with mysеlf when it cоmes ot the sex part.","It aws onyl later after my second boyfrieոd, I realized I cannot feel sexual attraction (if I have, it was very temporary), nad that I am probably asexual due to the fact that I just ɡet disgusted with mysеlf when it cоmes ot the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_char_neighbor+ta_wordswap_homoglyph,ANHEDONIA,0,s_716_26_15
"It aws onyl later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), nad that I am probably aѕеxսal due to the fact that I just get disgusted ԝith myself when it comes ot the sex part.","It aws onyl later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), nad that I am probably aѕеxսal due to the fact that I just get disgusted ԝith myself when it comes ot the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_char_neighbor+ta_wordswap_homoglyph,ANHEDONIA,0,s_716_26_15
I ԁon't lkie me.,I ԁon't lkie me.,I don't like me.,ta_char_neighbor+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
I don'𝚝 liek me.,I don'𝚝 liek me.,I don't like me.,ta_char_neighbor+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
I'ev criеd.,I'ev criеd.,I've cried.,ta_char_neighbor+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
I've cⲅide.,I've cⲅide.,I've cried.,ta_char_neighbor+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
I beagn to cⲅy.,I beagn to cⲅy.,I began to cry.,ta_char_neighbor+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2815_1660_107
I begaո ot cry.,I begaո ot cry.,I began to cry.,ta_char_neighbor+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2815_1660_107
I hardly ѕlepe.,I hardly ѕlepe.,I hardly sleep.,ta_char_neighbor+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_697_81_3
I hrɑdly sleep.,I hrɑdly sleep.,I hardly sleep.,ta_char_neighbor+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_697_81_3
I am evry sɑd.,I am evry sɑd.,I am very sad.,ta_char_neighbor+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_411_1189_1
I ma verу sad.,I ma verу sad.,I am very sad.,ta_char_neighbor+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_411_1189_1
"I've been liek this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up aelry in the morning ta aorund 7-8рm, 𝚝heո all of a sudden I wake up at 12 or ᒿam in the mornіng feeling groggy and now I cant get back bed.","I've been liek this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up aelry in the morning ta aorund 7-8рm, 𝚝heո all of a sudden I wake up at 12 or ᒿam in the mornіng feeling groggy and now I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",ta_char_neighbor+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_852_229_1
"I've been lіke this for a olng time nwo wherein I sleep at around 9 or 10pm, hoping to wkɑe up early ni the morning at around 7-8pm, then all of a sudden I awke up at 12 or 2am iո the morning feеling groggy and now I ϲant get back bed.","I've been lіke this for a olng time nwo wherein I sleep at around 9 or 10pm, hoping to wkɑe up early ni the morning at around 7-8pm, then all of a sudden I awke up at 12 or 2am iո the morning feеling groggy and now I ϲant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",ta_char_neighbor+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_852_229_1
Im os tіred,Im os tіred,Im so tired,ta_char_neighbor+ta_wordswap_homoglyph,FATIGUE,1,s_2434_365_0
Im so tⲅied,Im so tⲅied,Im so tired,ta_char_neighbor+ta_wordswap_homoglyph,FATIGUE,1,s_2434_365_0
This ahd me cryiոg,This ahd me cryiոg,This had me crying,ta_char_neighbor+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_2464_412_0
Thsi had me crуing,Thsi had me crуing,This had me crying,ta_char_neighbor+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_2464_412_0
I awոt to die,I awոt to die,I want to die,ta_char_neighbor+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_2118_413_1
I want to ԁei,I want to ԁei,I want to die,ta_char_neighbor+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_2118_413_1
I ⅼost my liibdo.,I ⅼost my liibdo.,I lost my libido.,ta_char_neighbor+ta_wordswap_homoglyph,ANHEDONIA,1,s_2904_522_5
I lоst my liibdo.,I lоst my liibdo.,I lost my libido.,ta_char_neighbor+ta_wordswap_homoglyph,ANHEDONIA,1,s_2904_522_5
I ma being 𝚝ortured.,I ma being 𝚝ortured.,I am being tortured.,ta_char_neighbor+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1351_120_5
I ma beinɡ tortured.,I ma beinɡ tortured.,I am being tortured.,ta_char_neighbor+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1351_120_5
"Masturbatinɡ right before and also during sleep I feel like its affecitng my sleep qulaity If I wake up tried in the morning when I should og back to sleep, instead I star𝚝 masturbating which also a𝚏fects how much rеst I get.","Masturbatinɡ right before and also during sleep I feel like its affecitng my sleep qulaity If I wake up tried in the morning when I should og back to sleep, instead I star𝚝 masturbating which also a𝚏fects how much rеst I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_neighbor+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_1404_1455_0
"Masturbating rigհt before and also dսring sleep I feel like its affecitng my sleep ԛulaity If I wake up tried in the morning when I should og back to sleep, instead I start masturbating which also affects հow much rest I get.","Masturbating rigհt before and also dսring sleep I feel like its affecitng my sleep ԛulaity If I wake up tried in the morning when I should og back to sleep, instead I start masturbating which also affects հow much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_neighbor+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_1404_1455_0
i do want 𝚝o ide,i do want 𝚝o ide,i do want to die,ta_char_neighbor+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_141_110_0
