post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I caht stop cry.,I caht stop cry.,I cant stop crying.,nlp_wordnet_syn+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2334_738_1
I cant stop cru.,I cant stop cru.,I cant stop crying.,nlp_wordnet_syn+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2334_738_1
"If was only subsequently after my second boyfriend, Single realized I cannot feel sexual attraction (if I have, it was very temporary ), and that I am probably asexual due to the fact that I just get disgusged with mysdlf whem it comes to the sex part.","If was only subsequently after my second boyfriend, Single realized I cannot feel sexual attraction (if I have, it was very temporary ), and that I am probably asexual due to the fact that I just get disgusged with mysdlf whem it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_wordnet_syn+ta_wordswap_qwerty,ANHEDONIA,0,s_716_26_15
One ' ve criew.,One ' ve criew.,I've cried.,nlp_wordnet_syn+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_145_86_2
Lne ' ve cried.,Lne ' ve cried.,I've cried.,nlp_wordnet_syn+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_145_86_2
I began go shout.,I began go shout.,I began to cry.,nlp_wordnet_syn+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2815_1660_107
I bdgin to weep.,I bdgin to weep.,I began to cry.,nlp_wordnet_syn+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2815_1660_107
Ane scqrce sleep.,Ane scqrce sleep.,I hardly sleep.,nlp_wordnet_syn+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_697_81_3
Ane sdarce sleep.,Ane sdarce sleep.,I hardly sleep.,nlp_wordnet_syn+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_697_81_3
1 bs very sad.,1 bs very sad.,I am very sad.,nlp_wordnet_syn+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_411_1189_1
1 be very sae.,1 be very sae.,I am very sad.,nlp_wordnet_syn+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_411_1189_1
"I ' vs bsen like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up ahead of time kn the morning at arohnd 7 - 8pm, then all of a sudden I wale upwardly at 12 or 2am in the morning feeling groggy and now I cant get back bed.","I ' vs bsen like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up ahead of time kn the morning at arohnd 7 - 8pm, then all of a sudden I wale upwardly at 12 or 2am in the morning feeling groggy and now I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_wordnet_syn+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_852_229_1
"I ' ve been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake uo early ij the morning zt around 7 - 8pm, then all of a sudden I wakr yp at 12 or 2am in the break of day feeling groggy and now I cant get back bed.","I ' ve been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake uo early ij the morning zt around 7 - 8pm, then all of a sudden I wakr yp at 12 or 2am in the break of day feeling groggy and now I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_wordnet_syn+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_852_229_1
Im so jadr,Im so jadr,Im so tired,nlp_wordnet_syn+ta_wordswap_qwerty,FATIGUE,1,s_2434_365_0
Im tgusly tired,Im tgusly tired,Im so tired,nlp_wordnet_syn+ta_wordswap_qwerty,FATIGUE,1,s_2434_365_0
This have me sgout,This have me sgout,This had me crying,nlp_wordnet_syn+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_2464_412_0
Tyis had maine yell,Tyis had maine yell,This had me crying,nlp_wordnet_syn+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_2464_412_0
One need to rie,One need to rie,I want to die,nlp_wordnet_syn+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_2118_413_1
One need ti die,One need ti die,I want to die,nlp_wordnet_syn+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_2118_413_1
I recede ky libido.,I recede ky libido.,I lost my libido.,nlp_wordnet_syn+ta_wordswap_qwerty,ANHEDONIA,1,s_2904_522_5
Ace lost my libifo.,Ace lost my libifo.,I lost my libido.,nlp_wordnet_syn+ta_wordswap_qwerty,ANHEDONIA,1,s_2904_522_5
"Atomic number 53 sleep at night like most people do, and I sleep periodically during the day because it ' s the only way I know to escape the inevitagle depression znd anxiety I go through ah all metre.","Atomic number 53 sleep at night like most people do, and I sleep periodically during the day because it ' s the only way I know to escape the inevitagle depression znd anxiety I go through ah all metre.","I sleep at night like most people do, and I sleep periodically during the day because it's the only way I know to escape the inevitable depression and anxiety I go through at all times.",nlp_wordnet_syn+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_2292_195_42
"Mg dog is trained yk comfort me when I have anxiousness, be a physical barrier between me and people when I get panicky, and provide an excuse to leave a situation i. e. he needs to go potyy / eat / drink.","Mg dog is trained yk comfort me when I have anxiousness, be a physical barrier between me and people when I get panicky, and provide an excuse to leave a situation i. e. he needs to go potyy / eat / drink.","My dog is trained to comfort me when I have anxiety, be a physical barrier between me and people when I get panicky, and provide an excuse to leave a situation i.e. he needs to go potty/eat/drink.",nlp_wordnet_syn+ta_wordswap_qwerty,PSYCHOMOTOR,1,s_708_315_0
"Mg dog is trained to comfort me when I have anxiousness, be a physicai barrier between me and people when I get panicky, and provide an excuse to leave a sitiation i. e. he needs to go potty / fat / drink.","Mg dog is trained to comfort me when I have anxiousness, be a physicai barrier between me and people when I get panicky, and provide an excuse to leave a sitiation i. e. he needs to go potty / fat / drink.","My dog is trained to comfort me when I have anxiety, be a physical barrier between me and people when I get panicky, and provide an excuse to leave a situation i.e. he needs to go potty/eat/drink.",nlp_wordnet_syn+ta_wordswap_qwerty,PSYCHOMOTOR,1,s_708_315_0
Ace am bs tortured.,Ace am bs tortured.,I am being tortured.,nlp_wordnet_syn+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1351_120_5
I am bs excruciate.,I am bs excruciate.,I am being tortured.,nlp_wordnet_syn+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1351_120_5
"I was able to experience novelty and jou even if I did stlll feel lonely / depressed and would sekf harm, I had the ability to enjoy and feel like the rfal me - now all thats gone and Ive just gotten inter jnto a depressive hole where everyday is live robotically or ghostly.","I was able to experience novelty and jou even if I did stlll feel lonely / depressed and would sekf harm, I had the ability to enjoy and feel like the rfal me - now all thats gone and Ive just gotten inter jnto a depressive hole where everyday is live robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_wordnet_syn+ta_wordswap_qwerty,ANHEDONIA,1,s_258_546_2
ace dl want to die,ace dl want to die,i do want to die,nlp_wordnet_syn+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_141_110_0
ade do want to die,ade do want to die,i do want to die,nlp_wordnet_syn+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_141_110_0
Iodine cry rrytime,Iodine cry rrytime,I cry erytime,nlp_wordnet_syn+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_523_60_1
Iodinr cry erytime,Iodinr cry erytime,I cry erytime,nlp_wordnet_syn+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_523_60_1
i real detesr myself,i real detesr myself,i really hate myself,nlp_wordnet_syn+ta_wordswap_qwerty,WORTHLESSNESS,1,s_1194_31_4
i real detest mysepf,i real detest mysepf,i really hate myself,nlp_wordnet_syn+ta_wordswap_qwerty,WORTHLESSNESS,1,s_1194_31_4
1 ' m quute an angry,1 ' m quute an angry,I'm quite angry,nlp_wordnet_syn+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2188_1006_0
I ' m quite a wkld,I ' m quite a wkld,I'm quite angry,nlp_wordnet_syn+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2188_1006_0
Iodin sas useless.,Iodin sas useless.,I was useless.,nlp_wordnet_syn+ta_wordswap_qwerty,WORTHLESSNESS,1,s_1899_440_13
Iodin was ueeless.,Iodin was ueeless.,I was useless.,nlp_wordnet_syn+ta_wordswap_qwerty,WORTHLESSNESS,1,s_1899_440_13
"So here is the case. . It ' s been nearly 4 years, since i really don ' t feel like myself. . I am stikl interested in activities that interested pine tree state before, but ky emotions are sk weak and i am much less sensitive to particulad things / people.","So here is the case. . It ' s been nearly 4 years, since i really don ' t feel like myself. . I am stikl interested in activities that interested pine tree state before, but ky emotions are sk weak and i am much less sensitive to particulad things / people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_wordnet_syn+ta_wordswap_qwerty,ANHEDONIA,1,s_1127_16_1
"So here is the case. . It ' s been nearly 4 years, since i really don ' t feel like myself. . I am stilk interested in acgivities that interested pine tree state before, but my emotions are so wexk and i am much less sensitive to particular things / peoole.","So here is the case. . It ' s been nearly 4 years, since i really don ' t feel like myself. . I am stilk interested in acgivities that interested pine tree state before, but my emotions are so wexk and i am much less sensitive to particular things / peoole.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_wordnet_syn+ta_wordswap_qwerty,ANHEDONIA,1,s_1127_16_1
