post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I 100% know thbat if I hgave to go to college aleone without may family or any support Im gonna end up killing myself. .. . Im barely keeping my sefl alive now, I cane ' t imagine being all by myself and dealing qwith my toGughts and emotions!","I 100% know thbat if I hgave to go to college aleone without may family or any support Im gonna end up killing myself. .. . Im barely keeping my sefl alive now, I cane ' t imagine being all by myself and dealing qwith my toGughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_spelling+ta_char_rand_ins,SUICIDAL_THOUGHTS,1,s_156_366_1
"I 100% nkow thaVt if I have to go Cto colloge alone without Muy afamily or any support Im gonna end unp killing myself. .. . I barely keeping my self alive now, I can ' t imagine being all by myself and dealing with my thoughts and emotionss!","I 100% nkow thaVt if I have to go Cto colloge alone without Muy afamily or any support Im gonna end unp killing myself. .. . I barely keeping my self alive now, I can ' t imagine being all by myself and dealing with my thoughts and emotionss!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_spelling+ta_char_rand_ins,SUICIDAL_THOUGHTS,1,s_156_366_1
"It was only leater after mz secrond boyfrienbd, I realized I cannot feel sexual attraction (if I have, it was vesy temporary ), anda that I am probably asexual due to thXe fact that I just get disogusted with myself when it comes to the sex par.","It was only leater after mz secrond boyfrienbd, I realized I cannot feel sexual attraction (if I have, it was vesy temporary ), anda that I am probably asexual due to thXe fact that I just get disogusted with myself when it comes to the sex par.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_spelling+ta_char_rand_ins,ANHEDONIA,0,s_716_26_15
"It wat onley lZater after mLVy second boyfriend, I realized I cannot feel sexual atractions (if I have, it was very temporary ), and that I am probably asexual due cto the fact that I just gets disgusted witn myself when it comes to the sex part.","It wat onley lZater after mLVy second boyfriend, I realized I cannot feel sexual atractions (if I have, it was very temporary ), and that I am probably asexual due cto the fact that I just gets disgusted witn myself when it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_spelling+ta_char_rand_ins,ANHEDONIA,0,s_716_26_15
"I was just feeling likKe shit, so I didn ' t eat fgor a whyle, and then once a week passed e I with bfeeling OK ahgain, I was waiting for the "" I ' m hungry "" signal again to Geat, but it's. never came.","I was just feeling likKe shit, so I didn ' t eat fgor a whyle, and then once a week passed e I with bfeeling OK ahgain, I was waiting for the "" I ' m hungry "" signal again to Geat, but it's. never came.","I was just feeling like shit, so I didn't eat for a while, and then once a week passed and I was feeling OK again, I was waiting for the ""I'm hungry"" signal again to eat, but it never came.",nlp_spelling+ta_char_rand_ins,APPETITE_CHANGE,1,s_1294_205_1
"I ' ve been like this for a long time now wherein I sleep at around 9 or 10, hoping to wake up Uearly in bthe morninsg kat around 7 - 8pm, then all of a sudden l weck kup at twelve or 2am in the morning feeling groggy and now I cant get back be.","I ' ve been like this for a long time now wherein I sleep at around 9 or 10, hoping to wake up Uearly in bthe morninsg kat around 7 - 8pm, then all of a sudden l weck kup at twelve or 2am in the morning feeling groggy and now I cant get back be.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_spelling+ta_char_rand_ins,SLEEP_ISSUES,1,s_852_229_1
"I was able to experience novelty and joy even if I did still feel lonely / deppresivCe ENDE would self harm, I had the abilDity to enjoy and feel like the real me - now all thats gon aunnd Ive just goYtten buried into a deprescsive hole where everyday is lived robotically on ghostly.","I was able to experience novelty and joy even if I did still feel lonely / deppresivCe ENDE would self harm, I had the abilDity to enjoy and feel like the real me - now all thats gon aunnd Ive just goYtten buried into a deprescsive hole where everyday is lived robotically on ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_spelling+ta_char_rand_ins,ANHEDONIA,1,s_258_546_2
"I was able to experience novelty and joy even if I did Estill feel lonely / deppresive ENDE would self harm, I hJad the abiliBty tXo enjoy aDnd feel like the real me - now all thats gon aund Ive just gotten buried into a depressive hole where everyday is lived robotically on ghostly.","I was able to experience novelty and joy even if I did Estill feel lonely / deppresive ENDE would self harm, I hJad the abiliBty tXo enjoy aDnd feel like the real me - now all thats gon aund Ive just gotten buried into a depressive hole where everyday is lived robotically on ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_spelling+ta_char_rand_ins,ANHEDONIA,1,s_258_546_2
"Masturbating right bLefore and also during sleep I feel ilke its affecting my sleep quality Iaf I wake up tired em the mornPing Whend iwf should go back to sleep, instead I start masturbating which also affects how much rest I get.","Masturbating right bLefore and also during sleep I feel ilke its affecting my sleep quality Iaf I wake up tired em the mornPing Whend iwf should go back to sleep, instead I start masturbating which also affects how much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_spelling+ta_char_rand_ins,SLEEP_ISSUES,1,s_1404_1455_0
"Masturbating right before and also during sleep I feel ilke igts affecting my sleep quality If I wake up tired em the Fmorning Whend if should go back to sleep, insntead I start masturbating which also affects how much resQt I get.","Masturbating right before and also during sleep I feel ilke igts affecting my sleep quality If I wake up tired em the Fmorning Whend if should go back to sleep, insntead I start masturbating which also affects how much resQt I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_spelling+ta_char_rand_ins,SLEEP_ISSUES,1,s_1404_1455_0
"I work from home, and I don ' t sRleep well for the most placfe (I have insomnia and completely rely on svleep aids, and they tend not to give you a good niht ' s rest, which sresults oin fatisgue a few haurs after waking up ), son an some ponint during the day, I usually get a little tired and have the urge to just crawl ixnto bed and finish my work later (which I could do, but staying awake and doidng it right then would Cbe better ).","I work from home, and I don ' t sRleep well for the most placfe (I have insomnia and completely rely on svleep aids, and they tend not to give you a good niht ' s rest, which sresults oin fatisgue a few haurs after waking up ), son an some ponint during the day, I usually get a little tired and have the urge to just crawl ixnto bed and finish my work later (which I could do, but staying awake and doidng it right then would Cbe better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_spelling+ta_char_rand_ins,SLEEP_ISSUES,1,s_2292_402_1
"I work from home, and I dog ' t sleep well for pthe most part (I have insomnia and compTletely relUy on sleep aids, and they tend not to give you a good nihgt ' s rest, which rusults in fatigue a few hours after walking ump ), so at some poinEt during the day, I usually get a little tired Fand have the urge to jast crawl into bed and finish my iwormk later (which if could do, bus staying awake and doing it right then would be bettter ).","I work from home, and I dog ' t sleep well for pthe most part (I have insomnia and compTletely relUy on sleep aids, and they tend not to give you a good nihgt ' s rest, which rusults in fatigue a few hours after walking ump ), so at some poinEt during the day, I usually get a little tired Fand have the urge to jast crawl into bed and finish my iwormk later (which if could do, bus staying awake and doing it right then would be bettter ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_spelling+ta_char_rand_ins,SLEEP_ISSUES,1,s_2292_402_1
"I reQally do ' t wante to die, but I crave for the world tYo be a much better place, I crave for a sort oMf life where I feel in cVontrol for once, a life wo I don ' t feel liku I ' am being led like a horse.","I reQally do ' t wante to die, but I crave for the world tYo be a much better place, I crave for a sort oMf life where I feel in cVontrol for once, a life wo I don ' t feel liku I ' am being led like a horse.","I really don't want to die, but I crave for the world to be a much better place, I crave for a sort of life where I feel in control for once, a life where I don't feel like I'm being led like a horse.",nlp_spelling+ta_char_rand_ins,SUICIDAL_THOUGHTS,1,s_1738_193_5
"I really dHon ' t want to de, but I crave for the world to be a much beter place, I crave afor a sKort of life where I feel in control foor once, a life where I do ' t feell like I ' m being led like a rorse.","I really dHon ' t want to de, but I crave for the world to be a much beter place, I crave afor a sKort of life where I feel in control foor once, a life where I do ' t feell like I ' m being led like a rorse.","I really don't want to die, but I crave for the world to be a much better place, I crave for a sort of life where I feel in control for once, a life where I don't feel like I'm being led like a horse.",nlp_spelling+ta_char_rand_ins,SUICIDAL_THOUGHTS,1,s_1738_193_5
"It has been a rough school year for me with I lott oef changes that brought mge to thye point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get hany work dane with umy students.","It has been a rough school year for me with I lott oef changes that brought mge to thye point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get hany work dane with umy students.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",nlp_spelling+ta_char_rand_ins,SPECIAL_CASE,1,s_1190_67_2
"It has been a rough school year fokr me with I lott of changes that hbroWught me to thye point of uncontrollable crying for two days Ain a row, migraines, muscle tension, and an inability to really get any work dane with my students.","It has been a rough school year fokr me with I lott of changes that hbroWught me to thye point of uncontrollable crying for two days Ain a row, migraines, muscle tension, and an inability to really get any work dane with my students.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",nlp_spelling+ta_char_rand_ins,SPECIAL_CASE,1,s_1190_67_2
"I have atrocious self - esteem (it ' s getten better, and I ' ll tell yuo why ), and frequently wuld go out with my frienOds and return hoCme fealing like shoit because of all the stupid things I ' ve said or donie.","I have atrocious self - esteem (it ' s getten better, and I ' ll tell yuo why ), and frequently wuld go out with my frienOds and return hoCme fealing like shoit because of all the stupid things I ' ve said or donie.","I have atrocious self-esteem (it's getting better, and I'll tell you why), and frequently would go out with my friends and return home feeling like shit because of all the stupid things I've said or done.",nlp_spelling+ta_char_rand_ins,WORTHLESSNESS,1,s_2986_448_1
"I have atrocious self - esteem (it ' s getten better, and I ' ll tell yuo why ), and frequently wuld go out with my frienOds and return hoCme fealing like shoit because of all the stupid things I ' ve said or donie.","I have atrocious self - esteem (it ' s getten better, and I ' ll tell yuo why ), and frequently wuld go out with my frienOds and return hoCme fealing like shoit because of all the stupid things I ' ve said or donie.","I have atrocious self-esteem (it's getting better, and I'll tell you why), and frequently would go out with my friends and return home feeling like shit because of all the stupid things I've said or done.",nlp_spelling+ta_char_rand_ins,WORTHLESSNESS,1,s_2986_448_1
I don ' t ihave a passion for anything I lost interest im most thank's about sKhe age aof 10 (idk what happened to me maybSe some event or one of my childhoCod operations somfething gone rong) after losing it at 10; my time became occupied with Filosofy and just wasting time Dmindlessly or on intellectual things like science and math.,I don ' t ihave a passion for anything I lost interest im most thank's about sKhe age aof 10 (idk what happened to me maybSe some event or one of my childhoCod operations somfething gone rong) after losing it at 10; my time became occupied with Filosofy and just wasting time Dmindlessly or on intellectual things like science and math.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,nlp_spelling+ta_char_rand_ins,ANHEDONIA,1,s_212_394_1
I don ' t have a passion for anything I lost interest im hmoyst thank's about she age aof 10 (pidk what happened to me maybe some event or one of my childhood opxerations somethuing gone rong) after losing it zat 10; my time became occupied with Filosofy and just wasting time mindlessly or on intellectual things like science and math.,I don ' t have a passion for anything I lost interest im hmoyst thank's about she age aof 10 (pidk what happened to me maybe some event or one of my childhood opxerations somethuing gone rong) after losing it zat 10; my time became occupied with Filosofy and just wasting time mindlessly or on intellectual things like science and math.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,nlp_spelling+ta_char_rand_ins,ANHEDONIA,1,s_212_394_1
I don ' t ihave a passion for anything I lost interest im most thank's about sKhe age aof 10 (idk what happened to me maybSe some event or one of my childhoCod operations somfething gone rong) after losing it at 10; my time became occupied with Filosofy and just wasting time Dmindlessly or on intellectual things like science and math.,I don ' t ihave a passion for anything I lost interest im most thank's about sKhe age aof 10 (idk what happened to me maybSe some event or one of my childhoCod operations somfething gone rong) after losing it at 10; my time became occupied with Filosofy and just wasting time Dmindlessly or on intellectual things like science and math.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,nlp_spelling+ta_char_rand_ins,ANHEDONIA,1,s_212_394_1
I don ' t have a passion for anything I lost interest im hmoyst thank's about she age aof 10 (pidk what happened to me maybe some event or one of my childhood opxerations somethuing gone rong) after losing it zat 10; my time became occupied with Filosofy and just wasting time mindlessly or on intellectual things like science and math.,I don ' t have a passion for anything I lost interest im hmoyst thank's about she age aof 10 (pidk what happened to me maybe some event or one of my childhood opxerations somethuing gone rong) after losing it zat 10; my time became occupied with Filosofy and just wasting time mindlessly or on intellectual things like science and math.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,nlp_spelling+ta_char_rand_ins,ANHEDONIA,1,s_212_394_1
