post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I 100% know that if I have to go to college alone without my family fr any support I'm)] gonna end up killing myself. .. . I barely keeping my self alive now, I can ' t imagin being always by myself and dealinc with my thoughts are eGotiCns!","I 100% know that if I have to go to college alone without my family fr any support I'm)] gonna end up killing myself. .. . I barely keeping my self alive now, I can ' t imagin being always by myself and dealinc with my thoughts are eGotiCns!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_spelling+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_156_366_1
I cant sJep crying.,I cant sJep crying.,I cant stop crying.,nlp_spelling+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2334_738_1
I cajt step crying.,I cajt step crying.,I cant stop crying.,nlp_spelling+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2334_738_1
I don ' it like mZ.,I don ' it like mZ.,I don't like me.,nlp_spelling+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_816_5
I don ' t like bK.,I don ' t like bK.,I don't like me.,nlp_spelling+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_816_5
I'm ' ve yried.,I'm ' ve yried.,I've cried.,nlp_spelling+ta_char_rand_swap,DEPRESSED_MOOD,1,s_145_86_2
I ' Le crie.,I ' Le crie.,I've cried.,nlp_spelling+ta_char_rand_swap,DEPRESSED_MOOD,1,s_145_86_2
I began ta Zry.,I began ta Zry.,I began to cry.,nlp_spelling+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2815_1660_107
I began ra cry.,I began ra cry.,I began to cry.,nlp_spelling+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2815_1660_107
I hardyy Sheep.,I hardyy Sheep.,I hardly sleep.,nlp_spelling+ta_char_rand_swap,SLEEP_ISSUES,1,s_697_81_3
I hardlO sleping.,I hardlO sleping.,I hardly sleep.,nlp_spelling+ta_char_rand_swap,SLEEP_ISSUES,1,s_697_81_3
"I'd wass just Feelling like shit, so I didn ' t eat for a while, and then bnce a week passed and I was feeling OK again, mi Gas watiting for the "" I ' m hungBy "" signal again to eat, bet it never came.","I'd wass just Feelling like shit, so I didn ' t eat for a while, and then bnce a week passed and I was feeling OK again, mi Gas watiting for the "" I ' m hungBy "" signal again to eat, bet it never came.","I was just feeling like shit, so I didn't eat for a while, and then once a week passed and I was feeling OK again, I was waiting for the ""I'm hungry"" signal again to eat, but it never came.",nlp_spelling+ta_char_rand_swap,APPETITE_CHANGE,1,s_1294_205_1
"I'd wass just Feelling like sGit, so I diGn ' t eat for a while, and then once a wUek passed and I was feeling OK again, mi was watiting for the "" I ' m hungry "" signal again Bo eat, but it never came.","I'd wass just Feelling like sGit, so I diGn ' t eat for a while, and then once a wUek passed and I was feeling OK again, mi was watiting for the "" I ' m hungry "" signal again Bo eat, but it never came.","I was just feeling like shit, so I didn't eat for a while, and then once a week passed and I was feeling OK again, I was waiting for the ""I'm hungry"" signal again to eat, but it never came.",nlp_spelling+ta_char_rand_swap,APPETITE_CHANGE,1,s_1294_205_1
km soooo tired,km soooo tired,Im so tired,nlp_spelling+ta_char_rand_swap,FATIGUE,1,s_2434_365_0
Im ro tirgit,Im ro tirgit,Im so tired,nlp_spelling+ta_char_rand_swap,FATIGUE,1,s_2434_365_0
This have we crying,This have we crying,This had me crying,nlp_spelling+ta_char_rand_swap,DEPRESSED_MOOD,0,s_2464_412_0
This have me cryink,This have me cryink,This had me crying,nlp_spelling+ta_char_rand_swap,DEPRESSED_MOOD,0,s_2464_412_0
I waLt for die,I waLt for die,I want to die,nlp_spelling+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_2118_413_1
I waMt for die,I waMt for die,I want to die,nlp_spelling+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_2118_413_1
O Aost my libido.,O Aost my libido.,I lost my libido.,nlp_spelling+ta_char_rand_swap,ANHEDONIA,1,s_2904_522_5
I lost vy libHdo.,I lost vy libHdo.,I lost my libido.,nlp_spelling+ta_char_rand_swap,ANHEDONIA,1,s_2904_522_5
"My dog iR trained to comfort me when I have anxiety, be a physical barrier between me ENDE people when a get paRicky, aand proHide an escuse to leave a situation i. e. he needs to go potzy / eat / drink.","My dog iR trained to comfort me when I have anxiety, be a physical barrier between me ENDE people when a get paRicky, aand proHide an escuse to leave a situation i. e. he needs to go potzy / eat / drink.","My dog is trained to comfort me when I have anxiety, be a physical barrier between me and people when I get panicky, and provide an excuse to leave a situation i.e. he needs to go potty/eat/drink.",nlp_spelling+ta_char_rand_swap,PSYCHOMOTOR,1,s_708_315_0
"I was able to experience novelty and joy evea if I did stiil feel lonelF / depressed and would self harm, iI had athe abbility to enjooy and feel like the real me - noB all thats gone and Rve just gotten buried into a depressive hole where everyday is lived Robotically or ghostly.","I was able to experience novelty and joy evea if I did stiil feel lonelF / depressed and would self harm, iI had athe abbility to enjooy and feel like the real me - noB all thats gone and Rve just gotten buried into a depressive hole where everyday is lived Robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_spelling+ta_char_rand_swap,ANHEDONIA,1,s_258_546_2
"I was able to experience novelty and joy eves if I did stiil feel lonely / depressed and would self harm, iI had atMe abbility to enjooy and feel like the reac me - now all thats gone and Ive just gotten buried into a depressive wole where everyday is lived roNotically or ghostly.","I was able to experience novelty and joy eves if I did stiil feel lonely / depressed and would self harm, iI had atMe abbility to enjooy and feel like the reac me - now all thats gone and Ive just gotten buried into a depressive wole where everyday is lived roNotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_spelling+ta_char_rand_swap,ANHEDONIA,1,s_258_546_2
