post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I feel sp laden.,I feel sp laden.,I feel so oppressed.,nlp_wordnet_insert+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1955_1069_2
I feel qo laden.,I feel qo laden.,I feel so oppressed.,nlp_wordnet_insert+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1955_1069_2
"I 100% know that if I have to expire to college alone witnout mg family operating room any support Im gonna end ul killing nyself. .. . Im barely keeping my ego alive now, I can ' t imagine being all by myself and dealing with my thoughts and emotions!","I 100% know that if I have to expire to college alone witnout mg family operating room any support Im gonna end ul killing nyself. .. . Im barely keeping my ego alive now, I can ' t imagine being all by myself and dealing with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_wordnet_insert+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_156_366_1
I slant dtop crying.,I slant dtop crying.,I cant stop crying.,nlp_wordnet_insert+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2334_738_1
I slant etop crying.,I slant etop crying.,I cant stop crying.,nlp_wordnet_insert+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2334_738_1
"Information technology was only later after my 2nd boyfriend, I realized I cannot feel sexual attraction (if 1 hafe, ot was very temporary ), and that I am probably asexual due to the fact that 1 just get disgusted wity myself when it comes to the sez part.","Information technology was only later after my 2nd boyfriend, I realized I cannot feel sexual attraction (if 1 hafe, ot was very temporary ), and that I am probably asexual due to the fact that 1 just get disgusted wity myself when it comes to the sez part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_wordnet_insert+ta_wordswap_qwerty,ANHEDONIA,0,s_716_26_15
"It was onlt later after mu second boyfriend, I realise I cannot sense sexual attraftion (if I have, it was very irregular ), and that I am probably asexual due to the fact thar I just get disgusted with myself when it comes to the sex part.","It was onlt later after mu second boyfriend, I realise I cannot sense sexual attraftion (if I have, it was very irregular ), and that I am probably asexual due to the fact thar I just get disgusted with myself when it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_wordnet_insert+ta_wordswap_qwerty,ANHEDONIA,0,s_716_26_15
Ane ' ve ceied.,Ane ' ve ceied.,I've cried.,nlp_wordnet_insert+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_145_86_2
I ' ve crg out.,I ' ve crg out.,I've cried.,nlp_wordnet_insert+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_145_86_2
I start tl cry.,I start tl cry.,I began to cry.,nlp_wordnet_insert+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2815_1660_107
1 began to crg.,1 began to crg.,I began to cry.,nlp_wordnet_insert+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2815_1660_107
I iust sleep.,I iust sleep.,I hardly sleep.,nlp_wordnet_insert+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_697_81_3
I scarcely sleel.,I scarcely sleel.,I hardly sleep.,nlp_wordnet_insert+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_697_81_3
I follow very aad.,I follow very aad.,I am very sad.,nlp_wordnet_insert+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_411_1189_1
I follow very swd.,I follow very swd.,I am very sad.,nlp_wordnet_insert+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_411_1189_1
"I was just feeling like shit, so I didn ' t eat for a while, and then once a week passed and Ipdine was feeling OK again, I was waiting for fue "" I ' m athirst "" skgnal again to eat, but it ne'er came.","I was just feeling like shit, so I didn ' t eat for a while, and then once a week passed and Ipdine was feeling OK again, I was waiting for fue "" I ' m athirst "" skgnal again to eat, but it ne'er came.","I was just feeling like shit, so I didn't eat for a while, and then once a week passed and I was feeling OK again, I was waiting for the ""I'm hungry"" signal again to eat, but it never came.",nlp_wordnet_insert+ta_wordswap_qwerty,APPETITE_CHANGE,1,s_1294_205_1
