post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I feel practice oppressed.,I feel practice oppressed.,I feel so oppressed.,ta_wordswap_qwerty+ta_wordswap_wordnet,WORTHLESSNESS,0,s_1955_1069_2
single feeo so oppressed.,single feeo so oppressed.,I feel so oppressed.,ta_wordswap_qwerty+ta_wordswap_wordnet,WORTHLESSNESS,0,s_1955_1069_2
"I 100% knoe that if I have to conk to college alone without my famkly or ant support Im gonna end up killing myself....Im bardly keeping my self alive now, 1 can't imagine exist all by myself and dealing with my thoughts and emotions!","I 100% knoe that if I have to conk to college alone without my famkly or ant support Im gonna end up killing myself....Im bardly keeping my self alive now, 1 can't imagine exist all by myself and dealing with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",ta_wordswap_qwerty+ta_wordswap_wordnet,SUICIDAL_THOUGHTS,1,s_156_366_1
"1 100% knoe that if I have to run to college alone without my famkly or ant support Im gonna end up killing myself....Im bardly retention my self alive now, one can't imagine being all by myself and dealing with my thoughts and emotions!","1 100% knoe that if I have to run to college alone without my famkly or ant support Im gonna end up killing myself....Im bardly retention my self alive now, one can't imagine being all by myself and dealing with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",ta_wordswap_qwerty+ta_wordswap_wordnet,SUICIDAL_THOUGHTS,1,s_156_366_1
I vernacular dtop crying.,I vernacular dtop crying.,I cant stop crying.,ta_wordswap_qwerty+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_2334_738_1
I vant stop call.,I vant stop call.,I cant stop crying.,ta_wordswap_qwerty+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_2334_738_1
one don't like ne.,one don't like ne.,I don't like me.,ta_wordswap_qwerty+ta_wordswap_wordnet,WORTHLESSNESS,1,s_2415_816_5
I don't ilk md.,I don't ilk md.,I don't like me.,ta_wordswap_qwerty+ta_wordswap_wordnet,WORTHLESSNESS,1,s_2415_816_5
I'be scream.,I'be scream.,I've cried.,ta_wordswap_qwerty+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_145_86_2
I'be cry.,I'be cry.,I've cried.,ta_wordswap_qwerty+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_145_86_2
I get yo cry.,I get yo cry.,I began to cry.,ta_wordswap_qwerty+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_2815_1660_107
I begab to holler.,I begab to holler.,I began to cry.,ta_wordswap_qwerty+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_2815_1660_107
single hardly skeep.,single hardly skeep.,I hardly sleep.,ta_wordswap_qwerty+ta_wordswap_wordnet,SLEEP_ISSUES,1,s_697_81_3
I just sleeo.,I just sleeo.,I hardly sleep.,ta_wordswap_qwerty+ta_wordswap_wordnet,SLEEP_ISSUES,1,s_697_81_3
ane am very xad.,ane am very xad.,I am very sad.,ta_wordswap_qwerty+ta_wordswap_wordnet,DEPRESSED_MOOD,0,s_411_1189_1
I cost very xad.,I cost very xad.,I am very sad.,ta_wordswap_qwerty+ta_wordswap_wordnet,DEPRESSED_MOOD,0,s_411_1189_1
Km so bore,Km so bore,Im so tired,ta_wordswap_qwerty+ta_wordswap_wordnet,FATIGUE,1,s_2434_365_0
Im thusly tirsd,Im thusly tirsd,Im so tired,ta_wordswap_qwerty+ta_wordswap_wordnet,FATIGUE,1,s_2434_365_0
This har me tears,This har me tears,This had me crying,ta_wordswap_qwerty+ta_wordswap_wordnet,DEPRESSED_MOOD,0,s_2464_412_0
This har me exclaim,This har me exclaim,This had me crying,ta_wordswap_qwerty+ta_wordswap_wordnet,DEPRESSED_MOOD,0,s_2464_412_0
iodin wanf to die,iodin wanf to die,I want to die,ta_wordswap_qwerty+ta_wordswap_wordnet,SUICIDAL_THOUGHTS,1,s_2118_413_1
I neediness to dif,I neediness to dif,I want to die,ta_wordswap_qwerty+ta_wordswap_wordnet,SUICIDAL_THOUGHTS,1,s_2118_413_1
iodine lost my libodo.,iodine lost my libodo.,I lost my libido.,ta_wordswap_qwerty+ta_wordswap_wordnet,ANHEDONIA,1,s_2904_522_5
I disoriented my libodo.,I disoriented my libodo.,I lost my libido.,ta_wordswap_qwerty+ta_wordswap_wordnet,ANHEDONIA,1,s_2904_522_5
unity am bding tortured.,unity am bding tortured.,I am being tortured.,ta_wordswap_qwerty+ta_wordswap_wordnet,WORTHLESSNESS,0,s_1351_120_5
I exist beibg tortured.,I exist beibg tortured.,I am being tortured.,ta_wordswap_qwerty+ta_wordswap_wordnet,WORTHLESSNESS,0,s_1351_120_5
"I was able to experience novelty and joy flush if I did distillery look lonely/ depressed ahd would self harm , I had the ability to enjoy ahd feel like the real me - now all thats gonr and Ive good mystify buried into a depressive hole where fveryday is loved robotically or ghostly.","I was able to experience novelty and joy flush if I did distillery look lonely/ depressed ahd would self harm , I had the ability to enjoy ahd feel like the real me - now all thats gonr and Ive good mystify buried into a depressive hole where fveryday is loved robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",ta_wordswap_qwerty+ta_wordswap_wordnet,ANHEDONIA,1,s_258_546_2
