post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I fеBl so $ppressed.,I fеBl so $ppressed.,I feel so oppressed.,nlp_randchar_sub+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1955_1069_2
I fvel sо oppressed.,I fvel sо oppressed.,I feel so oppressed.,nlp_randchar_sub+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1955_1069_2
I c7nt ѕtop Krying.,I c7nt ѕtop Krying.,I cant stop crying.,nlp_randchar_sub+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2334_738_1
I Oant stop crуiVg.,I Oant stop crуiVg.,I cant stop crying.,nlp_randchar_sub+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2334_738_1
"It was o$ly $ater after my second boyfriend, I reaⅼ!zed I cannot feel sexuml attraction (if I h2ve, it was very temporary ), and that I am pr*bablу asexuaG due to the fact that I j9st get disgusted wBtհ mycelf wհen it comes to the sex part.","It was o$ly $ater after my second boyfriend, I reaⅼ!zed I cannot feel sexuml attraction (if I h2ve, it was very temporary ), and that I am pr*bablу asexuaG due to the fact that I j9st get disgusted wBtհ mycelf wհen it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_sub+ta_wordswap_homoglyph,ANHEDONIA,0,s_716_26_15
I don ' t lIke mе.,I don ' t lIke mе.,I don't like me.,nlp_randchar_sub+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
I don ' 𝚝 lIke me.,I don ' 𝚝 lIke me.,I don't like me.,nlp_randchar_sub+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
I ' ve cDieԁ.,I ' ve cDieԁ.,I've cried.,nlp_randchar_sub+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
I ' ѵe c!ied.,I ' ѵe c!ied.,I've cried.,nlp_randchar_sub+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
I b!gaո to cry.,I b!gaո to cry.,I began to cry.,nlp_randchar_sub+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2815_1660_107
I b!gan to ϲry.,I b!gan to ϲry.,I began to cry.,nlp_randchar_sub+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2815_1660_107
