post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I've been like this 𝚏or a long time now wherein I sleep at aroսnd 9 or 10pm, hsoping to wake up early in the morning at around 7-8pｍ, thеn all of a sudden I wake սp at 12 or 2am Xiwn the morOning feeling groggy and noIw I cant get back bed.","I've been like this 𝚏or a long time now wherein I sleep at aroսnd 9 or 10pm, hsoping to wake up early in the morning at around 7-8pｍ, thеn all of a sudden I wake սp at 12 or 2am Xiwn the morOning feeling groggy and noIw I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",ta_char_rand_ins+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_852_229_1
"I've been likе this for a long time now wherein I slеep at around 9 or 10pm, hsoping tо wake up eaⲅly in the morning at around 7-8pm, then all of a sudden I wake up at 12 or ᒿam Xiwn the morOning feeling groggy and noIw I cant get back bed.","I've been likе this for a long time now wherein I slеep at around 9 or 10pm, hsoping tо wake up eaⲅly in the morning at around 7-8pm, then all of a sudden I wake up at 12 or ᒿam Xiwn the morOning feeling groggy and noIw I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",ta_char_rand_ins+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_852_229_1
"MastBurbating right before aQnd also during sleep I feel like іts a𝚏fecting my sleep quality If I wake up tired in sthe morning when I should go back to sleep, instead I start madsturbatiոg which alsо affects how much rest I get.","MastBurbating right before aQnd also during sleep I feel like іts a𝚏fecting my sleep quality If I wake up tired in sthe morning when I should go back to sleep, instead I start madsturbatiոg which alsо affects how much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_rand_ins+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_1404_1455_0
"MastBurbating right before aQnd also during sleep I feel like its affecting my sleep ԛuality If I wake up 𝚝ired in sthe morning when I should go back to sleep, instеad I start madsturbating which alѕo affects how much rest I get.","MastBurbating right before aQnd also during sleep I feel like its affecting my sleep ԛuality If I wake up 𝚝ired in sthe morning when I should go back to sleep, instеad I start madsturbating which alѕo affects how much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_rand_ins+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_1404_1455_0
"I Wwork from home, and I mԁonH't sleGep well for the most part (I have insomVnia and completely rely on sⅼeep aids, and tհey tend not to give you a good night's rest, which resսlts in fatіgue a few hours after wakіng up), so at some point duriոg the day, I usually get a little tired Cand have the urge to just crawl into bed and finish my work later (which I could do, bu𝚝 stayhing awake jand doing it right then would be better).","I Wwork from home, and I mԁonH't sleGep well for the most part (I have insomVnia and completely rely on sⅼeep aids, and tհey tend not to give you a good night's rest, which resսlts in fatіgue a few hours after wakіng up), so at some point duriոg the day, I usually get a little tired Cand have the urge to just crawl into bed and finish my work later (which I could do, bu𝚝 stayhing awake jand doing it right then would be better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",ta_char_rand_ins+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_2292_402_1
"It has been a roսgh school year 𝚏or me with a lot oAf changes that brоught qｍe to the point of uncontrollable crying for two days in a row, migraines, muscle tensioPn, anfd an inability to really get any work done with my students.","It has been a roսgh school year 𝚏or me with a lot oAf changes that brоught qｍe to the point of uncontrollable crying for two days in a row, migraines, muscle tensioPn, anfd an inability to really get any work done with my students.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",ta_char_rand_ins+ta_wordswap_homoglyph,SPECIAL_CASE,1,s_1190_67_2
"It has been a rough school year for me with a lot of changes that brought me to the point Mof uncontrollable cryinɡ for two days iDn ɑ ryow, migraines, muscle tension, and an inability to really get aոy work done with mUy studеnts.","It has been a rough school year for me with a lot of changes that brought me to the point Mof uncontrollable cryinɡ for two days iDn ɑ ryow, migraines, muscle tension, and an inability to really get aոy work done with mUy studеnts.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",ta_char_rand_ins+ta_wordswap_homoglyph,SPECIAL_CASE,1,s_1190_67_2
"Occasіonally I've takeGn 25/50mg to get to sleep at night but I've definitely never experienced anything on it before other than getting drowѕy...lso, like twenty minutes latPer I'm getting in bеd, and I turn on tchis white noise 𝚝en houⲅ youtube video I sometimes use tdo help me sleep.","Occasіonally I've takeGn 25/50mg to get to sleep at night but I've definitely never experienced anything on it before other than getting drowѕy...lso, like twenty minutes latPer I'm getting in bеd, and I turn on tchis white noise 𝚝en houⲅ youtube video I sometimes use tdo help me sleep.","Occasionally I've taken 25/50mg to get to sleep at night but I've definitely never experienced anything on it before other than getting drowsy...so, like twenty minutes later I'm getting in bed, and I turn on this white noise ten hour youtube video I sometimes use to help me sleep.",ta_char_rand_ins+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_1965_10_8
"Occasionally I've taken 25/50mg to get to sleep at night but I've definitely ոever enxperienced anythsing on it before other than ge𝚝ting drowsy...so, like twenty ｍinu𝚝es slater I'm getting in bed, and I turn on this whіte noise ten heour youtube video I sometimes use to help mTe sleep.","Occasionally I've taken 25/50mg to get to sleep at night but I've definitely ոever enxperienced anythsing on it before other than ge𝚝ting drowsy...so, like twenty ｍinu𝚝es slater I'm getting in bed, and I turn on this whіte noise ten heour youtube video I sometimes use to help mTe sleep.","Occasionally I've taken 25/50mg to get to sleep at night but I've definitely never experienced anything on it before other than getting drowsy...so, like twenty minutes later I'm getting in bed, and I turn on this white noise ten hour youtube video I sometimes use to help me sleep.",ta_char_rand_ins+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_1965_10_8
"Some suicide attemp𝚝s left mbw cryіng qfter all the paicn and оncUe, the thought of my mvother just at the other side of thе door and she waking me up ϲheerfully the nеxt morning, but again, living fbor others can only go so foQqr, and tհis is the breaking point where the point of not caring anymore if I can get rid of this pain is becoming stronger and coming closer again.","Some suicide attemp𝚝s left mbw cryіng qfter all the paicn and оncUe, the thought of my mvother just at the other side of thе door and she waking me up ϲheerfully the nеxt morning, but again, living fbor others can only go so foQqr, and tհis is the breaking point where the point of not caring anymore if I can get rid of this pain is becoming stronger and coming closer again.","Some suicide attempts left mw crying qfter all the pain and once, the thought of my mother just at the other side of the door and she waking me up cheerfully the next morning, but again, living for others can only go so fqr, and this is the breaking point where the point of not caring anymore if I can get rid of this pain is becoming stronger and coming closer again.",ta_char_rand_ins+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_782_6_12
