post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I efel so.,I efel so.,I feel so oppressed.,nlp_randword_delete+ta_char_neighbor,WORTHLESSNESS,0,s_1955_1069_2
I feel oprpessed.,I feel oprpessed.,I feel so oppressed.,nlp_randword_delete+ta_char_neighbor,WORTHLESSNESS,0,s_1955_1069_2
I was filled neergy.,I was filled neergy.,I was filled with energy.,nlp_randword_delete+ta_char_neighbor,FATIGUE,1,s_993_1060_1
I wsa filled energy.,I wsa filled energy.,I was filled with energy.,nlp_randword_delete+ta_char_neighbor,FATIGUE,1,s_993_1060_1
"I 100% know that if I have to go to colglee alnoe my family or any support gonna end up killnig. .. . Im keeping my self alive now, I can ' imagine being all by myself and dealing with my thoughts and emotions!","I 100% know that if I have to go to colglee alnoe my family or any support gonna end up killnig. .. . Im keeping my self alive now, I can ' imagine being all by myself and dealing with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randword_delete+ta_char_neighbor,SUICIDAL_THOUGHTS,1,s_156_366_1
"I% know that if ahve to go to college without my family or any support Im gonna end up killing myself. .. . Im barely keeping my self now, I cna ' imagine being all by myeslf and dealing with my thougths and emotions!","I% know that if ahve to go to college without my family or any support Im gonna end up killing myself. .. . Im barely keeping my self now, I cna ' imagine being all by myeslf and dealing with my thougths and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randword_delete+ta_char_neighbor,SUICIDAL_THOUGHTS,1,s_156_366_1
I ' m crying on teh.,I ' m crying on teh.,I'm crying on the floor.,nlp_randword_delete+ta_char_neighbor,DEPRESSED_MOOD,1,s_2401_82_1
I ' m criyng on the.,I ' m criyng on the.,I'm crying on the floor.,nlp_randword_delete+ta_char_neighbor,DEPRESSED_MOOD,1,s_2401_82_1
My ilfe is going.,My ilfe is going.,My life is going nowhere.,nlp_randword_delete+ta_char_neighbor,DEPRESSED_MOOD,1,s_2455_114_1
My is going nowheer.,My is going nowheer.,My life is going nowhere.,nlp_randword_delete+ta_char_neighbor,DEPRESSED_MOOD,1,s_2455_114_1
I stpo crying.,I stpo crying.,I cant stop crying.,nlp_randword_delete+ta_char_neighbor,DEPRESSED_MOOD,1,s_2334_738_1
I cant sotp.,I cant sotp.,I cant stop crying.,nlp_randword_delete+ta_char_neighbor,DEPRESSED_MOOD,1,s_2334_738_1
"It was after ym second, I realized I cannot feel sexual attraction (if I, it was very temporary ), and that I am probably asxeual due to the fatc that I just get disgusted with myself when it ot the sex part.","It was after ym second, I realized I cannot feel sexual attraction (if I, it was very temporary ), and that I am probably asxeual due to the fatc that I just get disgusted with myself when it ot the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randword_delete+ta_char_neighbor,ANHEDONIA,0,s_716_26_15
"It was only later after escond boyfriend, I realized I cannot sexual attraction (if I, it was very temporary ), and that I am rpobably asexual due to the fact that I just disgusted wtih myself it comes to teh sex part.","It was only later after escond boyfriend, I realized I cannot sexual attraction (if I, it was very temporary ), and that I am rpobably asexual due to the fact that I just disgusted wtih myself it comes to teh sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randword_delete+ta_char_neighbor,ANHEDONIA,0,s_716_26_15
I odn ' t like.,I odn ' t like.,I don't like me.,nlp_randword_delete+ta_char_neighbor,WORTHLESSNESS,1,s_2415_816_5
I don ' t lkie.,I don ' t lkie.,I don't like me.,nlp_randword_delete+ta_char_neighbor,WORTHLESSNESS,1,s_2415_816_5
mI tired So,mI tired So,Im generally tired So,nlp_randword_delete+ta_char_neighbor,FATIGUE,1,s_2007_1467_0
Im generally tierd,Im generally tierd,Im generally tired So,nlp_randword_delete+ta_char_neighbor,FATIGUE,1,s_2007_1467_0
I ' cired.,I ' cired.,I've cried.,nlp_randword_delete+ta_char_neighbor,DEPRESSED_MOOD,1,s_145_86_2
I ' rcied.,I ' rcied.,I've cried.,nlp_randword_delete+ta_char_neighbor,DEPRESSED_MOOD,1,s_145_86_2
I begna to.,I begna to.,I began to cry.,nlp_randword_delete+ta_char_neighbor,DEPRESSED_MOOD,1,s_2815_1660_107
I began rcy.,I began rcy.,I began to cry.,nlp_randword_delete+ta_char_neighbor,DEPRESSED_MOOD,1,s_2815_1660_107
Imma kill myself nwo,Imma kill myself nwo,Imma go kill myself now,nlp_randword_delete+ta_char_neighbor,SUICIDAL_THOUGHTS,1,s_2638_683_0
Imma kill ymself now,Imma kill ymself now,Imma go kill myself now,nlp_randword_delete+ta_char_neighbor,SUICIDAL_THOUGHTS,1,s_2638_683_0
I lseep.,I lseep.,I hardly sleep.,nlp_randword_delete+ta_char_neighbor,SLEEP_ISSUES,1,s_697_81_3
Harldy sleep.,Harldy sleep.,I hardly sleep.,nlp_randword_delete+ta_char_neighbor,SLEEP_ISSUES,1,s_697_81_3
I am sda.,I am sda.,I am very sad.,nlp_randword_delete+ta_char_neighbor,DEPRESSED_MOOD,0,s_411_1189_1
I veyr sad.,I veyr sad.,I am very sad.,nlp_randword_delete+ta_char_neighbor,DEPRESSED_MOOD,0,s_411_1189_1
I kinda really asd,I kinda really asd,I feel kinda really sad,nlp_randword_delete+ta_char_neighbor,DEPRESSED_MOOD,1,s_962_142_0
I kinda relaly sad,I kinda relaly sad,I feel kinda really sad,nlp_randword_delete+ta_char_neighbor,DEPRESSED_MOOD,1,s_962_142_0
I cry more for oen.,I cry more for oen.,I cry more easily for one.,nlp_randword_delete+ta_char_neighbor,DEPRESSED_MOOD,1,s_2035_91_1
I cry more fro one.,I cry more fro one.,I cry more easily for one.,nlp_randword_delete+ta_char_neighbor,DEPRESSED_MOOD,1,s_2035_91_1
I ma very depressed.,I ma very depressed.,I am very depressed also.,nlp_randword_delete+ta_char_neighbor,DEPRESSED_MOOD,1,s_131_822_0
I am very deperssed.,I am very deperssed.,I am very depressed also.,nlp_randword_delete+ta_char_neighbor,DEPRESSED_MOOD,1,s_131_822_0
So tried,So tried,Im so tired,nlp_randword_delete+ta_char_neighbor,FATIGUE,1,s_2434_365_0
This had crynig,This had crynig,This had me crying,nlp_randword_delete+ta_char_neighbor,DEPRESSED_MOOD,0,s_2464_412_0
This had em,This had em,This had me crying,nlp_randword_delete+ta_char_neighbor,DEPRESSED_MOOD,0,s_2464_412_0
Wnat to die,Wnat to die,I want to die,nlp_randword_delete+ta_char_neighbor,SUICIDAL_THOUGHTS,1,s_2118_413_1
I ot die,I ot die,I want to die,nlp_randword_delete+ta_char_neighbor,SUICIDAL_THOUGHTS,1,s_2118_413_1
I my liibdo.,I my liibdo.,I lost my libido.,nlp_randword_delete+ta_char_neighbor,ANHEDONIA,1,s_2904_522_5
I lots my.,I lots my.,I lost my libido.,nlp_randword_delete+ta_char_neighbor,ANHEDONIA,1,s_2904_522_5
