post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I feel so ladeB.,I feel so ladeB.,I feel so oppressed.,nlp_wordnet_insert+ta_char_rand_swap,WORTHLESSNESS,0,s_1955_1069_2
I feel so ladeH.,I feel so ladeH.,I feel so oppressed.,nlp_wordnet_insert+ta_char_rand_swap,WORTHLESSNESS,0,s_1955_1069_2
I cant Ttop shout.,I cant Ttop shout.,I cant stop crying.,nlp_wordnet_insert+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2334_738_1
I canl stop cry.,I canl stop cry.,I cant stop crying.,nlp_wordnet_insert+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2334_738_1
"It was only later after my second boyfriend, I realized Ane cannot feel sexual attraction (if I haVe, it was real temporary ), and that I al probably asexual due tp the fact yhat I just get down disgusted with myself when it comes to the gender part.","It was only later after my second boyfriend, I realized Ane cannot feel sexual attraction (if I haVe, it was real temporary ), and that I al probably asexual due tp the fact yhat I just get down disgusted with myself when it comes to the gender part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_wordnet_insert+ta_char_rand_swap,ANHEDONIA,0,s_716_26_15
"It was only later after my second bPyoriend, I realized I cannot feel sexual attraction (if I have, it was very temporary ), and that I am probably asexual due to the fact that I just set about disgusted with mysAlf when it comes to the seV component.","It was only later after my second bPyoriend, I realized I cannot feel sexual attraction (if I have, it was very temporary ), and that I am probably asexual due to the fact that I just set about disgusted with mysAlf when it comes to the seV component.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_wordnet_insert+ta_char_rand_swap,ANHEDONIA,0,s_716_26_15
1 don ' t like mn.,1 don ' t like mn.,I don't like me.,nlp_wordnet_insert+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_816_5
1 don ' t like mJ.,1 don ' t like mJ.,I don't like me.,nlp_wordnet_insert+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_816_5
Im geZerally jade So,Im geZerally jade So,Im generally tired So,nlp_wordnet_insert+ta_char_rand_swap,FATIGUE,1,s_2007_1467_0
Im generally jade SI,Im generally jade SI,Im generally tired So,nlp_wordnet_insert+ta_char_rand_swap,FATIGUE,1,s_2007_1467_0
I ' ve criYd.,I ' ve criYd.,I've cried.,nlp_wordnet_insert+ta_char_rand_swap,DEPRESSED_MOOD,1,s_145_86_2
I ' ve crieT.,I ' ve crieT.,I've cried.,nlp_wordnet_insert+ta_char_rand_swap,DEPRESSED_MOOD,1,s_145_86_2
I began Co yell.,I began Co yell.,I began to cry.,nlp_wordnet_insert+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2815_1660_107
