post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I feel _ oppdessed.,I feel _ oppdessed.,I feel so oppressed.,nlp_randword_sub+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1955_1069_2
_ geel so oppressed.,_ geel so oppressed.,I feel so oppressed.,nlp_randword_sub+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1955_1069_2
"_ 100% know that if I have to go to college alone _ my famkly or any _ Km gonna end _ killing myself. .. . Im garely keeping my self alive now, I _ ' t imagine being all by myself and dealint with my thoughts and emotions!","_ 100% know that if I have to go to college alone _ my famkly or any _ Km gonna end _ killing myself. .. . Im garely keeping my self alive now, I _ ' t imagine being all by myself and dealint with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randword_sub+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_156_366_1
I _ stol crying.,I _ stol crying.,I cant stop crying.,nlp_randword_sub+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2334_738_1
_ cant stop cryjng.,_ cant stop cryjng.,I cant stop crying.,nlp_randword_sub+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2334_738_1
"It was only later after my _ _, I realized I cannot feel sexual attraction (if I have, _ was verj temporary ), and that I am probably asexual due to _ fact that I just _ disgusted with kyself when iy comes to ths sex part.","It was only later after my _ _, I realized I cannot feel sexual attraction (if I have, _ was verj temporary ), and that I am probably asexual due to _ fact that I just _ disgusted with kyself when iy comes to ths sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randword_sub+ta_wordswap_qwerty,ANHEDONIA,0,s_716_26_15
_ don ' t like mw.,_ don ' t like mw.,I don't like me.,nlp_randword_sub+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_816_5
_ dln ' t like me.,_ dln ' t like me.,I don't like me.,nlp_randword_sub+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_816_5
_ generally fired So,_ generally fired So,Im generally tired So,nlp_randword_sub+ta_wordswap_qwerty,FATIGUE,1,s_2007_1467_0
Im _ tieed So,Im _ tieed So,Im generally tired So,nlp_randword_sub+ta_wordswap_qwerty,FATIGUE,1,s_2007_1467_0
I ' _ cdied.,I ' _ cdied.,I've cried.,nlp_randword_sub+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_145_86_2
I negan _ cry.,I negan _ cry.,I began to cry.,nlp_randword_sub+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2815_1660_107
I began yo _.,I began yo _.,I began to cry.,nlp_randword_sub+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2815_1660_107
Imma go kilk _ now,Imma go kilk _ now,Imma go kill myself now,nlp_randword_sub+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_2638_683_0
Imma gp kill _ now,Imma gp kill _ now,Imma go kill myself now,nlp_randword_sub+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_2638_683_0
