post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I efel so persecute.,I efel so persecute.,I feel so oppressed.,ta_char_neighbor+ta_wordswap_wordnet,WORTHLESSNESS,0,s_1955_1069_2
I experience os oppressed.,I experience os oppressed.,I feel so oppressed.,ta_char_neighbor+ta_wordswap_wordnet,WORTHLESSNESS,0,s_1955_1069_2
"I 100% jazz that if I have to pass to colelge alone withotu my family or any tolerate Im gonna end astir killing myself....Im barely keeping my self alive now, I can't imgaine benig all by myself and dealing with my thoughts and emotions!","I 100% jazz that if I have to pass to colelge alone withotu my family or any tolerate Im gonna end astir killing myself....Im barely keeping my self alive now, I can't imgaine benig all by myself and dealing with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",ta_char_neighbor+ta_wordswap_wordnet,SUICIDAL_THOUGHTS,1,s_156_366_1
"I 100% know that if I sustain to live to colelge solitary withotu my family or whatsoever support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imgaine benig all by myself and dealing with my thoughts and emotions!","I 100% know that if I sustain to live to colelge solitary withotu my family or whatsoever support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imgaine benig all by myself and dealing with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",ta_char_neighbor+ta_wordswap_wordnet,SUICIDAL_THOUGHTS,1,s_156_366_1
I cant block rcying.,I cant block rcying.,I cant stop crying.,ta_char_neighbor+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_2334_738_1
I cant quit cyring.,I cant quit cyring.,I cant stop crying.,ta_char_neighbor+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_2334_738_1
"It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, ti was really temporary), and that I am probably asexual due ot the fcat that I scarcely fetch disgusted with myself whne it fall to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, ti was really temporary), and that I am probably asexual due ot the fcat that I scarcely fetch disgusted with myself whne it fall to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_char_neighbor+ta_wordswap_wordnet,ANHEDONIA,0,s_716_26_15
single don't ilke me.,single don't ilke me.,I don't like me.,ta_char_neighbor+ta_wordswap_wordnet,WORTHLESSNESS,1,s_2415_816_5
I dno't wish me.,I dno't wish me.,I don't like me.,ta_char_neighbor+ta_wordswap_wordnet,WORTHLESSNESS,1,s_2415_816_5
I'ev call.,I'ev call.,I've cried.,ta_char_neighbor+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_145_86_2
