post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I 100% know that if I haev to Pgo to college laone without my fmaily or any supoprt Im gonna end up kliling ymself. .. . Im abrely keeping my sefl alive now, I can ' t imaygine being all by myself aSnd deailng wTith my thouhgts and emotions!","I 100% know that if I haev to Pgo to college laone without my fmaily or any supoprt Im gonna end up kliling ymself. .. . Im abrely keeping my sefl alive now, I can ' t imaygine being all by myself aSnd deailng wTith my thouhgts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randchar_swap+ta_char_rand_ins,SUICIDAL_THOUGHTS,1,s_156_366_1
"I 100% know that if I have to go Eto collgee aloen witlhout my faimiyl or any support Im gonan end up killnig myself. .. . Im barely keepign my slef mailve now, I can ' t imagine beign all by ymself and dealing with my thoughts and emotions!","I 100% know that if I have to go Eto collgee aloen witlhout my faimiyl or any support Im gonan end up killnig myself. .. . Im barely keepign my slef mailve now, I can ' t imagine beign all by ymself and dealing with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randchar_swap+ta_char_rand_ins,SUICIDAL_THOUGHTS,1,s_156_366_1
"I ' ve behen like this for a olng time now wehrein I slepe at around 9 or 1pV0m, Xhoping to awke mup early in the morinng at aorund 7 - 8Qpm, then all of a sudden I wake up at 12 or 2am in the omrning feelign groggy and now I cant get back bed.","I ' ve behen like this for a olng time now wehrein I slepe at around 9 or 1pV0m, Xhoping to awke mup early in the morinng at aorund 7 - 8Qpm, then all of a sudden I wake up at 12 or 2am in the omrning feelign groggy and now I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randchar_swap+ta_char_rand_ins,SLEEP_ISSUES,1,s_852_229_1
"My dog ips rtained Fto ocmfort Hme when I have anxiety, be a physicael barrier bteween me and peolpe when I get panicyk, and porvide an excsue to levae a istuation i. e. he needs to go potyt / eat / drink.","My dog ips rtained Fto ocmfort Hme when I have anxiety, be a physicael barrier bteween me and peolpe when I get panicyk, and porvide an excsue to levae a istuation i. e. he needs to go potyt / eat / drink.","My dog is trained to comfort me when I have anxiety, be a physical barrier between me and people when I get panicky, and provide an excuse to leave a situation i.e. he needs to go potty/eat/drink.",nlp_randchar_swap+ta_char_rand_ins,PSYCHOMOTOR,1,s_708_315_0
"I was able to experiecne novelty and joy even if I did still feel oljnely / depressed and would self harm, I had the abilitIy to enjoy and feel like the reawl me - now all thatvs goen and Ive just gotetn buried nito a depressCive hloe wehre everyady is livde robotically or ghsotly.","I was able to experiecne novelty and joy even if I did still feel oljnely / depressed and would self harm, I had the abilitIy to enjoy and feel like the reawl me - now all thatvs goen and Ive just gotetn buried nito a depressCive hloe wehre everyady is livde robotically or ghsotly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_randchar_swap+ta_char_rand_ins,ANHEDONIA,1,s_258_546_2
"Masturbating riDhgt before and alsmo during sleep I feel like its affectnig my sleep quality IJf I waek up tirde in the morning whne I shoudl go abck to sleep, instead I sQtart masturbatnig which also affects how much rest I get.","Masturbating riDhgt before and alsmo during sleep I feel like its affectnig my sleep quality IJf I waek up tirde in the morning whne I shoudl go abck to sleep, instead I sQtart masturbatnig which also affects how much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_randchar_swap+ta_char_rand_ins,SLEEP_ISSUES,1,s_1404_1455_0
"I work from hoem, and I don ' t shleep well for the most pVart (I have insomnia and completelxy rNely on sleep aids, and they tedn not to give yowu a godo night ' s rets, which results in fatgiue a few ohurs after waking up ), so at some point druing the day, I usually get a little tired eand have the urge to just crawl itno bed and finish my work latser (wFhich I could do, but stayign awake and doing it right thne would be better ).","I work from hoem, and I don ' t shleep well for the most pVart (I have insomnia and completelxy rNely on sleep aids, and they tedn not to give yowu a godo night ' s rets, which results in fatgiue a few ohurs after waking up ), so at some point druing the day, I usually get a little tired eand have the urge to just crawl itno bed and finish my work latser (wFhich I could do, but stayign awake and doing it right thne would be better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_randchar_swap+ta_char_rand_ins,SLEEP_ISSUES,1,s_2292_402_1
"I work from hmoe, and I dnotn ' t lseep well for the most part (I have nisomnia and complteelmy mrely on sleep aids, and they tend not to give you a goSod night ' s rest, which results in fatigue a few hours after waking up ), so at some Lponit during the day, I usually get a little ttierd and have the urge to just crawl into bed and finsih my work later (hwich I cuold do, but staying aawke and doinDg it right then would be better ).","I work from hmoe, and I dnotn ' t lseep well for the most part (I have nisomnia and complteelmy mrely on sleep aids, and they tend not to give you a goSod night ' s rest, which results in fatigue a few hours after waking up ), so at some Lponit during the day, I usually get a little ttierd and have the urge to just crawl into bed and finsih my work later (hwich I cuold do, but staying aawke and doinDg it right then would be better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_randchar_swap+ta_char_rand_ins,SLEEP_ISSUES,1,s_2292_402_1
"I erally don ' t watn to Qdie, but I crave fwor the owrld to be a dmuch better place, I craev for a osrt of life wherHe I efel in contorl for once, a life where I don ' t fele like I ' m beign led like a horse.","I erally don ' t watn to Qdie, but I crave fwor the owrld to be a dmuch better place, I craev for a osrt of life wherHe I efel in contorl for once, a life where I don ' t fele like I ' m beign led like a horse.","I really don't want to die, but I crave for the world to be a much better place, I crave for a sort of life where I feel in control for once, a life where I don't feel like I'm being led like a horse.",nlp_randchar_swap+ta_char_rand_ins,SUICIDAL_THOUGHTS,1,s_1738_193_5
"I Xerally don ' t watn to die, but I crave for the owrld to be a much better place, I craev for a osrRt bof life where I efel in contorl afor once, a life where I don ' t fele like I ' m beign led like a horse.","I Xerally don ' t watn to die, but I crave for the owrld to be a much better place, I craev for a osrRt bof life where I efel in contorl afor once, a life where I don ' t fele like I ' m beign led like a horse.","I really don't want to die, but I crave for the world to be a much better place, I crave for a sort of life where I feel in control for once, a life where I don't feel like I'm being led like a horse.",nlp_randchar_swap+ta_char_rand_ins,SUICIDAL_THOUGHTS,1,s_1738_193_5
"It has been a rough school year for me wtih a lot of changes htat bruoght me to the poitn oUf uncontrollabel crying for twXo dasy in a rzow, imgraines, muscle tenison, anOd an inabliity to really get any work done with my studnets.","It has been a rough school year for me wtih a lot of changes htat bruoght me to the poitn oUf uncontrollabel crying for twXo dasy in a rzow, imgraines, muscle tenison, anOd an inabliity to really get any work done with my studnets.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",nlp_randchar_swap+ta_char_rand_ins,SPECIAL_CASE,1,s_1190_67_2
"It has Xbeen a ruoIgh school yera for me wtih a lot of hcanges taht brought me to the point of uncontrollable cyring for two dasy in a row, migraines, muscle tension, and an inability to relaly cget sany owrk done with my stuednts.","It has Xbeen a ruoIgh school yera for me wtih a lot of hcanges taht brought me to the point of uncontrollable cyring for two dasy in a row, migraines, muscle tension, and an inability to relaly cget sany owrk done with my stuednts.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",nlp_randchar_swap+ta_char_rand_ins,SPECIAL_CASE,1,s_1190_67_2
"I haev atrocious self - seteem (it ' s gettnig bteter, and I ' lkl tell you Zwhy ), and frequnetly would go out wiBth my friends and retrun hmoe feelnig liek hsit because of all the stupid things I ' ve said Ior done.","I haev atrocious self - seteem (it ' s gettnig bteter, and I ' lkl tell you Zwhy ), and frequnetly would go out wiBth my friends and retrun hmoe feelnig liek hsit because of all the stupid things I ' ve said Ior done.","I have atrocious self-esteem (it's getting better, and I'll tell you why), and frequently would go out with my friends and return home feeling like shit because of all the stupid things I've said or done.",nlp_randchar_swap+ta_char_rand_ins,WORTHLESSNESS,1,s_2986_448_1
"I have tarocious self - etseem (it ' s egtting bteter, and I ' fll tell you Hwhy ), and frequently would go out iwth my friedns and return home feeling like shti beccuase of aall the stupid thigns I ' ve sadi or done.","I have tarocious self - etseem (it ' s egtting bteter, and I ' fll tell you Hwhy ), and frequently would go out iwth my friedns and return home feeling like shti beccuase of aall the stupid thigns I ' ve sadi or done.","I have atrocious self-esteem (it's getting better, and I'll tell you why), and frequently would go out with my friends and return home feeling like shit because of all the stupid things I've said or done.",nlp_randchar_swap+ta_char_rand_ins,WORTHLESSNESS,1,s_2986_448_1
"I have tarocious self - etseem (it ' s egtting bteter, and I ' fll tell you Hwhy ), and frequently would go out iwth my friedns and return home feeling like shti beccuase of aall the stupid thigns I ' ve sadi or done.","I have tarocious self - etseem (it ' s egtting bteter, and I ' fll tell you Hwhy ), and frequently would go out iwth my friedns and return home feeling like shti beccuase of aall the stupid thigns I ' ve sadi or done.","I have atrocious self-esteem (it's getting better, and I'll tell you why), and frequently would go out with my friends and return home feeling like shit because of all the stupid things I've said or done.",nlp_randchar_swap+ta_char_rand_ins,WORTHLESSNESS,1,s_2986_448_1
"I haev atrocious self - seteem (it ' s gettnig bteter, and I ' lkl tell you Zwhy ), and frequnetly would go out wiBth my friends and retrun hmoe feelnig liek hsit because of all the stupid things I ' ve said Ior done.","I haev atrocious self - seteem (it ' s gettnig bteter, and I ' lkl tell you Zwhy ), and frequnetly would go out wiBth my friends and retrun hmoe feelnig liek hsit because of all the stupid things I ' ve said Ior done.","I have atrocious self-esteem (it's getting better, and I'll tell you why), and frequently would go out with my friends and return home feeling like shit because of all the stupid things I've said or done.",nlp_randchar_swap+ta_char_rand_ins,WORTHLESSNESS,1,s_2986_448_1
I don ' t ahve a passion for anything I Zlost interest in omst things about the age otf 10 (idk what happened to me mayeb some eavent or one of my childhood operations something gone wrogn) atfer losing it aMt 10; my tiem became occupied wiht phiolsophy and just awsgting tiem mindlessly or Jon intellectual things like science and math.,I don ' t ahve a passion for anything I Zlost interest in omst things about the age otf 10 (idk what happened to me mayeb some eavent or one of my childhood operations something gone wrogn) atfer losing it aMt 10; my tiem became occupied wiht phiolsophy and just awsgting tiem mindlessly or Jon intellectual things like science and math.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,nlp_randchar_swap+ta_char_rand_ins,ANHEDONIA,1,s_212_394_1
I don ' t ahve a passion for anything I Zlost interest in omst things about the age otf 10 (idk what happened to me mayeb some eavent or one of my childhood operations something gone wrogn) atfer losing it aMt 10; my tiem became occupied wiht phiolsophy and just awsgting tiem mindlessly or Jon intellectual things like science and math.,I don ' t ahve a passion for anything I Zlost interest in omst things about the age otf 10 (idk what happened to me mayeb some eavent or one of my childhood operations something gone wrogn) atfer losing it aMt 10; my tiem became occupied wiht phiolsophy and just awsgting tiem mindlessly or Jon intellectual things like science and math.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,nlp_randchar_swap+ta_char_rand_ins,ANHEDONIA,1,s_212_394_1
"I haev struggled wNith binge peatign for a decade, but I htink I ' m finally reocvering frmo that ebcause I ' ve goVne from binging 2500 + calories every ohter day, to juts finding a snack hwen I feel like I watn Bto binge.","I haev struggled wNith binge peatign for a decade, but I htink I ' m finally reocvering frmo that ebcause I ' ve goVne from binging 2500 + calories every ohter day, to juts finding a snack hwen I feel like I watn Bto binge.","I have struggled with binge eating for a decade, but I think I'm finally recovering from that because I've gone from binging 2500+ calories every other day, to just finding a snack when I feel like I want to binge.",nlp_randchar_swap+ta_char_rand_ins,APPETITE_CHANGE,0,s_1499_1118_9
"Occasionally I ' ve taken 25 / 50mg to get to sleep at night but I ' ve dBefinitely nveer experienced anything on it before toher than getting drowsy. .. so, likTe twenty minutes later I ' m getting in bed, and I turn on thiTks white Onoies ten ohur youtueb viedo I sometimse use to hlep me sleep.","Occasionally I ' ve taken 25 / 50mg to get to sleep at night but I ' ve dBefinitely nveer experienced anything on it before toher than getting drowsy. .. so, likTe twenty minutes later I ' m getting in bed, and I turn on thiTks white Onoies ten ohur youtueb viedo I sometimse use to hlep me sleep.","Occasionally I've taken 25/50mg to get to sleep at night but I've definitely never experienced anything on it before other than getting drowsy...so, like twenty minutes later I'm getting in bed, and I turn on this white noise ten hour youtube video I sometimes use to help me sleep.",nlp_randchar_swap+ta_char_rand_ins,SLEEP_ISSUES,1,s_1965_10_8
"Occasionally I ' ve atken 25 / 50mg to get to sleep at night but I ' ve definitely nveer experienced aynthing on it before other than gettiqng drowsy. .. so, ilke twenty mintues later I ' m getting in bed, and I trun on this whitYe noiFes pten horu Hyoutube vdieo I sometimes use to help me lseep.","Occasionally I ' ve atken 25 / 50mg to get to sleep at night but I ' ve definitely nveer experienced aynthing on it before other than gettiqng drowsy. .. so, ilke twenty mintues later I ' m getting in bed, and I trun on this whitYe noiFes pten horu Hyoutube vdieo I sometimes use to help me lseep.","Occasionally I've taken 25/50mg to get to sleep at night but I've definitely never experienced anything on it before other than getting drowsy...so, like twenty minutes later I'm getting in bed, and I turn on this white noise ten hour youtube video I sometimes use to help me sleep.",nlp_randchar_swap+ta_char_rand_ins,SLEEP_ISSUES,1,s_1965_10_8
