post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"It was only later after my secon boyfriend, I realized I cannot feel intimate attraction (if I have, it was very temporary ), and that I am probably asexual due to the fact that I just gt sicken wit myself whe it comes to the sex part.","It was only later after my secon boyfriend, I realized I cannot feel intimate attraction (if I have, it was very temporary ), and that I am probably asexual due to the fact that I just gt sicken wit myself whe it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_wordnet_syn+ta_char_rand_del,ANHEDONIA,0,s_716_26_15
"I was able o experience novelty and joy even if I did still feel lnely / depressed and would self harm, I had the ability to enjoy and feel like the real me - now all thats goe and Ive just catch uried into a depressive hole where everyday i lived robotically or ghostly.","I was able o experience novelty and joy even if I did still feel lnely / depressed and would self harm, I had the ability to enjoy and feel like the real me - now all thats goe and Ive just catch uried into a depressive hole where everyday i lived robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_wordnet_syn+ta_char_rand_del,ANHEDONIA,1,s_258_546_2
"I work from home, and I don ' t sleep well for the most parting (I have insomnia and completely rely n slep aids, and hey tend not to give you a good night ' s rest, which results in fatgue a few hous after waking astir ), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing t right then wold be btter ).","I work from home, and I don ' t sleep well for the most parting (I have insomnia and completely rely n slep aids, and hey tend not to give you a good night ' s rest, which results in fatgue a few hous after waking astir ), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing t right then wold be btter ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_wordnet_syn+ta_char_rand_del,SLEEP_ISSUES,1,s_2292_402_1
"So hither is the case. . It ' s been nearly 4 year, since i really don ' t feel like mysel. . I m still inteested in activities that interested me before, but my emotions are so weak ad i am much less sensitive to particular things / people.","So hither is the case. . It ' s been nearly 4 year, since i really don ' t feel like mysel. . I m still inteested in activities that interested me before, but my emotions are so weak ad i am much less sensitive to particular things / people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_wordnet_syn+ta_char_rand_del,ANHEDONIA,1,s_1127_16_1
"So here is the case. . It ' s been nigh 4 years, since i really don ' t flavor like myself. . I am still interested in activities that iterested me before, t my emotions are so weak and i am much less sensitve to particular things / people.","So here is the case. . It ' s been nigh 4 years, since i really don ' t flavor like myself. . I am still interested in activities that iterested me before, t my emotions are so weak and i am much less sensitve to particular things / people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_wordnet_syn+ta_char_rand_del,ANHEDONIA,1,s_1127_16_1
"So hither is the case. . It ' s been nearly 4 year, since i really don ' t feel like mysel. . I m still inteested in activities that interested me before, but my emotions are so weak ad i am much less sensitive to particular things / people.","So hither is the case. . It ' s been nearly 4 year, since i really don ' t feel like mysel. . I m still inteested in activities that interested me before, but my emotions are so weak ad i am much less sensitive to particular things / people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_wordnet_syn+ta_char_rand_del,ANHEDONIA,1,s_1127_16_1
"So here is the case. . It ' s been nigh 4 years, since i really don ' t flavor like myself. . I am still interested in activities that iterested me before, t my emotions are so weak and i am much less sensitve to particular things / people.","So here is the case. . It ' s been nigh 4 years, since i really don ' t flavor like myself. . I am still interested in activities that iterested me before, t my emotions are so weak and i am much less sensitve to particular things / people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_wordnet_syn+ta_char_rand_del,ANHEDONIA,1,s_1127_16_1
"I really assume ' t ant to die, but I crave for he world to b a much better place, I crave for a sort of life where I feel in control for once, a ife where I don ' t feel like I ' megabyte being led like a horse.","I really assume ' t ant to die, but I crave for he world to b a much better place, I crave for a sort of life where I feel in control for once, a ife where I don ' t feel like I ' megabyte being led like a horse.","I really don't want to die, but I crave for the world to be a much better place, I crave for a sort of life where I feel in control for once, a life where I don't feel like I'm being led like a horse.",nlp_wordnet_syn+ta_char_rand_del,SUICIDAL_THOUGHTS,1,s_1738_193_5
"I really asume ' t want to die, but I crae for the world to be a much better place, I crave for a sort of life where I feel in control for once, a life where I on ' t feel lik I ' megabyte being led like a horse.","I really asume ' t want to die, but I crae for the world to be a much better place, I crave for a sort of life where I feel in control for once, a life where I on ' t feel lik I ' megabyte being led like a horse.","I really don't want to die, but I crave for the world to be a much better place, I crave for a sort of life where I feel in control for once, a life where I don't feel like I'm being led like a horse.",nlp_wordnet_syn+ta_char_rand_del,SUICIDAL_THOUGHTS,1,s_1738_193_5
"I have atrocious self - eseem (i ' s get better, and I ' ll tell you why ), and frequentl ould go out with my friends and yield home feeling like shit because of all the stupid things I ' ve said or done.","I have atrocious self - eseem (i ' s get better, and I ' ll tell you why ), and frequentl ould go out with my friends and yield home feeling like shit because of all the stupid things I ' ve said or done.","I have atrocious self-esteem (it's getting better, and I'll tell you why), and frequently would go out with my friends and return home feeling like shit because of all the stupid things I've said or done.",nlp_wordnet_syn+ta_char_rand_del,WORTHLESSNESS,1,s_2986_448_1
"I have atrocious self - respect (i ' s getting better, and I ' ll tell you why ), and frequently would go out with my friends nd reurn household feelig like shit because of all the stupid things I ' ve said or done.","I have atrocious self - respect (i ' s getting better, and I ' ll tell you why ), and frequently would go out with my friends nd reurn household feelig like shit because of all the stupid things I ' ve said or done.","I have atrocious self-esteem (it's getting better, and I'll tell you why), and frequently would go out with my friends and return home feeling like shit because of all the stupid things I've said or done.",nlp_wordnet_syn+ta_char_rand_del,WORTHLESSNESS,1,s_2986_448_1
"I have atrocious self - respect (i ' s getting better, and I ' ll tell you why ), and frequently would go out with my friends nd reurn household feelig like shit because of all the stupid things I ' ve said or done.","I have atrocious self - respect (i ' s getting better, and I ' ll tell you why ), and frequently would go out with my friends nd reurn household feelig like shit because of all the stupid things I ' ve said or done.","I have atrocious self-esteem (it's getting better, and I'll tell you why), and frequently would go out with my friends and return home feeling like shit because of all the stupid things I've said or done.",nlp_wordnet_syn+ta_char_rand_del,WORTHLESSNESS,1,s_2986_448_1
"I have atrocious self - eseem (i ' s get better, and I ' ll tell you why ), and frequentl ould go out with my friends and yield home feeling like shit because of all the stupid things I ' ve said or done.","I have atrocious self - eseem (i ' s get better, and I ' ll tell you why ), and frequentl ould go out with my friends and yield home feeling like shit because of all the stupid things I ' ve said or done.","I have atrocious self-esteem (it's getting better, and I'll tell you why), and frequently would go out with my friends and return home feeling like shit because of all the stupid things I've said or done.",nlp_wordnet_syn+ta_char_rand_del,WORTHLESSNESS,1,s_2986_448_1
"It ' s basically a constnt knowledge, that I ' m worthless, I ' m stunned, I ' m unlovable, nobody ever has or always will loe me, everything I do s wrong, I ' m a bad human being and I need to b dead right now.","It ' s basically a constnt knowledge, that I ' m worthless, I ' m stunned, I ' m unlovable, nobody ever has or always will loe me, everything I do s wrong, I ' m a bad human being and I need to b dead right now.","It's basically a constant knowledge, that I'm worthless, I'm stupid, I'm unlovable, nobody ever has or ever will love me, everything I do is wrong, I'm a bad human being and I need to be dead right now.",nlp_wordnet_syn+ta_char_rand_del,WORTHLESSNESS,1,s_1483_222_18
"I have struggled with binge eating for a decade, bt I think I ' thousand finally recovering from that becaue I ' ve gone from binging 2500 + calories every othr day, to precisely finding a snack when I eel like I want to binge.","I have struggled with binge eating for a decade, bt I think I ' thousand finally recovering from that becaue I ' ve gone from binging 2500 + calories every othr day, to precisely finding a snack when I eel like I want to binge.","I have struggled with binge eating for a decade, but I think I'm finally recovering from that because I've gone from binging 2500+ calories every other day, to just finding a snack when I feel like I want to binge.",nlp_wordnet_syn+ta_char_rand_del,APPETITE_CHANGE,0,s_1499_1118_9
"Occasionally I ' ve taken 25 / 50mg to get to sleep at nght but I ' v definitely never experienced anything on it before other han getting drowsy. .. so, like twenty minutes later I ' m getting in bed, and I turn on this white oise ten minute youtube video I sometimes use to elp me sleep.","Occasionally I ' ve taken 25 / 50mg to get to sleep at nght but I ' v definitely never experienced anything on it before other han getting drowsy. .. so, like twenty minutes later I ' m getting in bed, and I turn on this white oise ten minute youtube video I sometimes use to elp me sleep.","Occasionally I've taken 25/50mg to get to sleep at night but I've definitely never experienced anything on it before other than getting drowsy...so, like twenty minutes later I'm getting in bed, and I turn on this white noise ten hour youtube video I sometimes use to help me sleep.",nlp_wordnet_syn+ta_char_rand_del,SLEEP_ISSUES,1,s_1965_10_8
