post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I feeѕ so oppressed.,I feeѕ so oppressed.,I feel so oppressed.,nlp_spelling+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1955_1069_2
I fees so oppⲅessed.,I fees so oppⲅessed.,I feel so oppressed.,nlp_spelling+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1955_1069_2
"I 100% knoԝ that ir I have to go to college alone without ma famyle or any suppoⲅt Im gonna end up killing myself. .. . Im barely keeping my self alive now, Im can ' it imagine beіng all by mуself and dealing with my thoughts and emotions!","I 100% knoԝ that ir I have to go to college alone without ma famyle or any suppoⲅt Im gonna end up killing myself. .. . Im barely keeping my self alive now, Im can ' it imagine beіng all by mуself and dealing with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_spelling+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_156_366_1
"I 100% know that ir I have to go to college alone without ma famyle or any support Im gonna еnd up killing myself. .. . Im barely keeping my self alive now, Iｍ can ' it imagine being all bу myself and dealing with my tհoughts and emotions!","I 100% know that ir I have to go to college alone without ma famyle or any support Im gonna еnd up killing myself. .. . Im barely keeping my self alive now, Iｍ can ' it imagine being all bу myself and dealing with my tհoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_spelling+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_156_366_1
"It was only later afteⲅ my second Ьoyfriend, I realized O cannot feel sexual attraction (if I have, it was very tamporary ), and that I am probably asexual due to the face that I jus𝚝 get disgusted ԝith myself whet it comes too the sex part.","It was only later afteⲅ my second Ьoyfriend, I realized O cannot feel sexual attraction (if I have, it was very tamporary ), and that I am probably asexual due to the face that I jus𝚝 get disgusted ԝith myself whet it comes too the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_spelling+ta_wordswap_homoglyph,ANHEDONIA,0,s_716_26_15
I dog ' t like mе.,I dog ' t like mе.,I don't like me.,nlp_spelling+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
I do ' t ⅼike me.,I do ' t ⅼike me.,I don't like me.,nlp_spelling+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
L ' ve crieԁ.,L ' ve crieԁ.,I've cried.,nlp_spelling+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
If ' ve crieԁ.,If ' ve crieԁ.,I've cried.,nlp_spelling+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
I begam 𝚝o cry.,I begam 𝚝o cry.,I began to cry.,nlp_spelling+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2815_1660_107
I begam tо cry.,I begam tо cry.,I began to cry.,nlp_spelling+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2815_1660_107
I hardly sleppiոg.,I hardly sleppiոg.,I hardly sleep.,nlp_spelling+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_697_81_3
O hardly sleеp.,O hardly sleеp.,I hardly sleep.,nlp_spelling+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_697_81_3
I`m am very sad.,I`m am very sad.,I am very sad.,nlp_spelling+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_411_1189_1
I em veⲅy sad.,I em veⲅy sad.,I am very sad.,nlp_spelling+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_411_1189_1
"I ' ve been like this for ɑ long time now wherein I sleep at ɑround 9 or 10рm, hoping too wake up yealy in the morning at around 7 - 8pm, then all of at sudden I ԝake up at l2 or 2am in thi morning feeling groggy and know I cant get back bed.","I ' ve been like this for ɑ long time now wherein I sleep at ɑround 9 or 10рm, hoping too wake up yealy in the morning at around 7 - 8pm, then all of at sudden I ԝake up at l2 or 2am in thi morning feeling groggy and know I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_spelling+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_852_229_1
"I ' ve been like this for a lonɡ time now whеrein I sleeр at around 9 or 10pm, hoping too wake up yealy in the morning at around 7 - 8pm, then all of at sսdden I wake up at 12 or 2am in thi morning feeling groggy and knоw I cant get back bed.","I ' ve been like this for a lonɡ time now whеrein I sleeр at around 9 or 10pm, hoping too wake up yealy in the morning at around 7 - 8pm, then all of at sսdden I wake up at 12 or 2am in thi morning feeling groggy and knоw I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_spelling+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_852_229_1
I'm)] so tіred,I'm)] so tіred,Im so tired,nlp_spelling+ta_wordswap_homoglyph,FATIGUE,1,s_2434_365_0
On so tireԁ,On so tireԁ,Im so tired,nlp_spelling+ta_wordswap_homoglyph,FATIGUE,1,s_2434_365_0
These had me ϲrying,These had me ϲrying,This had me crying,nlp_spelling+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_2464_412_0
These had me cryіng,These had me cryіng,This had me crying,nlp_spelling+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_2464_412_0
I wan𝚝 too. die,I wan𝚝 too. die,I want to die,nlp_spelling+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_2118_413_1
I want toо. die,I want toо. die,I want to die,nlp_spelling+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_2118_413_1
I ⅼast my libido.,I ⅼast my libido.,I lost my libido.,nlp_spelling+ta_wordswap_homoglyph,ANHEDONIA,1,s_2904_522_5
L'm los𝚝 my libido.,L'm los𝚝 my libido.,I lost my libido.,nlp_spelling+ta_wordswap_homoglyph,ANHEDONIA,1,s_2904_522_5
J am being tor𝚝ured.,J am being tor𝚝ured.,I am being tortured.,nlp_spelling+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1351_120_5
J am being tortuⲅed.,J am being tortuⲅed.,I am being tortured.,nlp_spelling+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1351_120_5
"I was able to experienced nоvelty and joy even if I did stll fеel lonely / depressеd and would self harm, I had thy abilitу to enjoy and feel like the reale me - now all thats gone and Ive just ɡotten buried into a depressive hole wich everyday is lived robotically or ghostly.","I was able to experienced nоvelty and joy even if I did stll fеel lonely / depressеd and would self harm, I had thy abilitу to enjoy and feel like the reale me - now all thats gone and Ive just ɡotten buried into a depressive hole wich everyday is lived robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_spelling+ta_wordswap_homoglyph,ANHEDONIA,1,s_258_546_2
"I was abble to experience novelty and joy even if ic did still feel lonely / despressed and would self harm, I had the ability to enjoy and feel like the real me - now all thats gone and Ivе juѕt gotten burried in𝚝o al depressіve hole wherе everyday is lived robotically or ghostly.","I was abble to experience novelty and joy even if ic did still feel lonely / despressed and would self harm, I had the ability to enjoy and feel like the real me - now all thats gone and Ivе juѕt gotten burried in𝚝o al depressіve hole wherе everyday is lived robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_spelling+ta_wordswap_homoglyph,ANHEDONIA,1,s_258_546_2
"Masturbatіng right befire and also durind sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I's shоuld go back to sleep, instead I s𝚝art masturbatiոg which also affects Hou much rest I get.","Masturbatіng right befire and also durind sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I's shоuld go back to sleep, instead I s𝚝art masturbatiոg which also affects Hou much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_spelling+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_1404_1455_0
"Masturbating right befire and also durind sleep I feel like its affecting my sleep quality If I wake up tired in the morning whеn I's shоuld go back to sleep, instead I start masturbating wհich also affects Hоu much rest I get.","Masturbating right befire and also durind sleep I feel like its affecting my sleep quality If I wake up tired in the morning whеn I's shоuld go back to sleep, instead I start masturbating wհich also affects Hоu much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_spelling+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_1404_1455_0
i ԁoes want to die,i ԁoes want to die,i do want to die,nlp_spelling+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_141_110_0
і does want to die,і does want to die,i do want to die,nlp_spelling+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_141_110_0
O crу erytime,O crу erytime,I cry erytime,nlp_spelling+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_523_60_1
O cry erуtime,O cry erуtime,I cry erytime,nlp_spelling+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_523_60_1
I ' m quit angⲅy,I ' m quit angⲅy,I'm quite angry,nlp_spelling+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2188_1006_0
I'd ' m quite angⲅy,I'd ' m quite angⲅy,I'm quite angry,nlp_spelling+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2188_1006_0
I ' m reallу tire.,I ' m reallу tire.,I'm really tired.,nlp_spelling+ta_wordswap_homoglyph,FATIGUE,1,s_547_567_2
I ' m really tіring.,I ' m really tіring.,I'm really tired.,nlp_spelling+ta_wordswap_homoglyph,FATIGUE,1,s_547_567_2
"I work from home, and I don ' t sleep well foi thetwo most part (I'v have insomnia and comple𝚝elеy rely on sleep aids, and they tenԁ not to givе you a ɡood night ' s rest, which results in fatigue a feww hours after waking up ), so ao some point during the day, I usually get a little tireԁ and have the urge to just crawl іnto bed and finish my work later (which I'm could do, but s𝚝aying awake and doing it bright then would be better ).","I work from home, and I don ' t sleep well foi thetwo most part (I'v have insomnia and comple𝚝elеy rely on sleep aids, and they tenԁ not to givе you a ɡood night ' s rest, which results in fatigue a feww hours after waking up ), so ao some point during the day, I usually get a little tireԁ and have the urge to just crawl іnto bed and finish my work later (which I'm could do, but s𝚝aying awake and doing it bright then would be better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_spelling+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_2292_402_1
"I work from home, aund I don ' t sleеp well for the most paⲅ𝚝 (I have insomnia and completely rely on sleep aids, anr the tend not 𝚝o give you and good night ' s rest, which resolts in fatigue at few hours after waking up ), so at somе poin𝚝 during the day, I usually get a little tirеd and have the urge to just crawl into bed and finish y work later (which I could do, Ьut staying awake and doing it rite then would be better ).","I work from home, aund I don ' t sleеp well for the most paⲅ𝚝 (I have insomnia and completely rely on sleep aids, anr the tend not 𝚝o give you and good night ' s rest, which resolts in fatigue at few hours after waking up ), so at somе poin𝚝 during the day, I usually get a little tirеd and have the urge to just crawl into bed and finish y work later (which I could do, Ьut staying awake and doing it rite then would be better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_spelling+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_2292_402_1
I wos uselеss.,I wos uselеss.,I was useless.,nlp_spelling+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1899_440_13
I wos սseless.,I wos սseless.,I was useless.,nlp_spelling+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1899_440_13
I ɑm very tierd.,I ɑm very tierd.,I am very tired.,nlp_spelling+ta_wordswap_homoglyph,FATIGUE,1,s_1030_1290_8
I am verу tierd.,I am verу tierd.,I am very tired.,nlp_spelling+ta_wordswap_homoglyph,FATIGUE,1,s_1030_1290_8
"So here is the case. . It ' s been nearly 4 years, since i really don ' at feeld like myself. . I am''ѕ still intereѕted in activities that interested me before, but my emotions are so wеak and i am muϲh least snsitive to particular things / people.","So here is the case. . It ' s been nearly 4 years, since i really don ' at feeld like myself. . I am''ѕ still intereѕted in activities that interested me before, but my emotions are so wеak and i am muϲh least snsitive to particular things / people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_spelling+ta_wordswap_homoglyph,ANHEDONIA,1,s_1127_16_1
