post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I fel os oppresed.,I fel os oppresed.,I feel so oppressed.,nlp_randchar_del+ta_char_neighbor,WORTHLESSNESS,0,s_1955_1069_2
I efl so oppresed.,I efl so oppresed.,I feel so oppressed.,nlp_randchar_del+ta_char_neighbor,WORTHLESSNESS,0,s_1955_1069_2
I ctn stop cying.,I ctn stop cying.,I cant stop crying.,nlp_randchar_del+ta_char_neighbor,DEPRESSED_MOOD,1,s_2334_738_1
I cnt sotp cying.,I cnt sotp cying.,I cant stop crying.,nlp_randchar_del+ta_char_neighbor,DEPRESSED_MOOD,1,s_2334_738_1
"It was onl later aftr my seond boyfriend, I realized I acnnot feel esxua attracion (if I hav, it was very temporary ), and that I ma probaly asexal due to teh fact that I jut get disgusted with myself when it comes to the sex par.","It was onl later aftr my seond boyfriend, I realized I acnnot feel esxua attracion (if I hav, it was very temporary ), and that I ma probaly asexal due to teh fact that I jut get disgusted with myself when it comes to the sex par.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_del+ta_char_neighbor,ANHEDONIA,0,s_716_26_15
I dno ' t lie me.,I dno ' t lie me.,I don't like me.,nlp_randchar_del+ta_char_neighbor,WORTHLESSNESS,1,s_2415_816_5
I don ' t ike em.,I don ' t ike em.,I don't like me.,nlp_randchar_del+ta_char_neighbor,WORTHLESSNESS,1,s_2415_816_5
Im geerally tire oS,Im geerally tire oS,Im generally tired So,nlp_randchar_del+ta_char_neighbor,FATIGUE,1,s_2007_1467_0
Im enearlly tied So,Im enearlly tied So,Im generally tired So,nlp_randchar_del+ta_char_neighbor,FATIGUE,1,s_2007_1467_0
I ' ev cred.,I ' ev cred.,I've cried.,nlp_randchar_del+ta_char_neighbor,DEPRESSED_MOOD,1,s_145_86_2
I ' ve rced.,I ' ve rced.,I've cried.,nlp_randchar_del+ta_char_neighbor,DEPRESSED_MOOD,1,s_145_86_2
I haryd slep.,I haryd slep.,I hardly sleep.,nlp_randchar_del+ta_char_neighbor,SLEEP_ISSUES,1,s_697_81_3
I rhdly slep.,I rhdly slep.,I hardly sleep.,nlp_randchar_del+ta_char_neighbor,SLEEP_ISSUES,1,s_697_81_3
"I ' ev een like this for a log time now wheren I sleep at round 9 or 10m, hoping ot wake up eraly in the mrning at arund 7 - 8mp, then all of a sudden I wak pu at 12 or 2am in the orning feeling goggy and now I cant get back bed.","I ' ev een like this for a log time now wheren I sleep at round 9 or 10m, hoping ot wake up eraly in the mrning at arund 7 - 8mp, then all of a sudden I wak pu at 12 or 2am in the orning feeling goggy and now I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randchar_del+ta_char_neighbor,SLEEP_ISSUES,1,s_852_229_1
Tis had me cynig,Tis had me cynig,This had me crying,nlp_randchar_del+ta_char_neighbor,DEPRESSED_MOOD,0,s_2464_412_0
hTi had me cryig,hTi had me cryig,This had me crying,nlp_randchar_del+ta_char_neighbor,DEPRESSED_MOOD,0,s_2464_412_0
I lto my liido.,I lto my liido.,I lost my libido.,nlp_randchar_del+ta_char_neighbor,ANHEDONIA,1,s_2904_522_5
I lot my lidio.,I lot my lidio.,I lost my libido.,nlp_randchar_del+ta_char_neighbor,ANHEDONIA,1,s_2904_522_5
I am beig troturd.,I am beig troturd.,I am being tortured.,nlp_randchar_del+ta_char_neighbor,WORTHLESSNESS,0,s_1351_120_5
I am beig otrtred.,I am beig otrtred.,I am being tortured.,nlp_randchar_del+ta_char_neighbor,WORTHLESSNESS,0,s_1351_120_5
"I was albe to experience ovelty and joy even if I did stil feel lonely / depressed and would self harm, I had the ability to enjoy and fel lke the rea em - now all thats gne adn Ive jst gotten buried ito a depressive hole whee everdyay is lived rbootically or ghstly.","I was albe to experience ovelty and joy even if I did stil feel lonely / depressed and would self harm, I had the ability to enjoy and fel lke the rea em - now all thats gne adn Ive jst gotten buried ito a depressive hole whee everdyay is lived rbootically or ghstly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_randchar_del+ta_char_neighbor,ANHEDONIA,1,s_258_546_2
"Masturabting rght before and aso dring sleep I feel like its affecing my slep quality If I wake up itred ni the morning when I should go back to slee, instead I srat masturbating whic lso afects how much rest I get.","Masturabting rght before and aso dring sleep I feel like its affecing my slep quality If I wake up itred ni the morning when I should go back to slee, instead I srat masturbating whic lso afects how much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_randchar_del+ta_char_neighbor,SLEEP_ISSUES,1,s_1404_1455_0
i really hea myslf,i really hea myslf,i really hate myself,nlp_randchar_del+ta_char_neighbor,WORTHLESSNESS,1,s_1194_31_4
i relly hate yeslf,i relly hate yeslf,i really hate myself,nlp_randchar_del+ta_char_neighbor,WORTHLESSNESS,1,s_1194_31_4
I ' m qute ngyr,I ' m qute ngyr,I'm quite angry,nlp_randchar_del+ta_char_neighbor,DEPRESSED_MOOD,1,s_2188_1006_0
I ' m uqte ngry,I ' m uqte ngry,I'm quite angry,nlp_randchar_del+ta_char_neighbor,DEPRESSED_MOOD,1,s_2188_1006_0
I ' m elaly ired.,I ' m elaly ired.,I'm really tired.,nlp_randchar_del+ta_char_neighbor,FATIGUE,1,s_547_567_2
I ' m rally tier.,I ' m rally tier.,I'm really tired.,nlp_randchar_del+ta_char_neighbor,FATIGUE,1,s_547_567_2
"I work from home, and I don ' t selep well for hte most part (I ave insomnia and completely rley on sleep aids, and they tend nto to give you a good night ' s ret, which results in fatigue a fwe hors after wakin up ), so at ome point during the day, I usully get a lttle tired and hve the rge to just crawl into bed and finsh my wrok alter (which I could do, but staying awake and doing it right then wuold be better ).","I work from home, and I don ' t selep well for hte most part (I ave insomnia and completely rley on sleep aids, and they tend nto to give you a good night ' s ret, which results in fatigue a fwe hors after wakin up ), so at ome point during the day, I usully get a lttle tired and hve the rge to just crawl into bed and finsh my wrok alter (which I could do, but staying awake and doing it right then wuold be better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_randchar_del+ta_char_neighbor,SLEEP_ISSUES,1,s_2292_402_1
I am ery ierd.,I am ery ierd.,I am very tired.,nlp_randchar_del+ta_char_neighbor,FATIGUE,1,s_1030_1290_8
I ma ery tred.,I ma ery tred.,I am very tired.,nlp_randchar_del+ta_char_neighbor,FATIGUE,1,s_1030_1290_8
