post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I 100% kno that iff I have t go to college alone without my family or any support Im gonna end up killing myelf. .. . I barely keeping my self alive now, I can ' at imagine being always by myslf and dealing wihh my thoughts and emotions!","I 100% kno that iff I have t go to college alone without my family or any support Im gonna end up killing myelf. .. . I barely keeping my self alive now, I can ' at imagine being always by myslf and dealing wihh my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_spelling+ta_char_rand_del,SUICIDAL_THOUGHTS,1,s_156_366_1
"I'v 100% know that f I have to go to coledge aloon without m family or any support Im gonna endding up killing mysef. .. . Im barely keeping my self alive no, I can ' t imagine being all by myself and dealing with y thoughts and emotions!","I'v 100% know that f I have to go to coledge aloon without m family or any support Im gonna endding up killing mysef. .. . Im barely keeping my self alive no, I can ' t imagine being all by myself and dealing with y thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_spelling+ta_char_rand_del,SUICIDAL_THOUGHTS,1,s_156_366_1
"I ws able to experience novelty and joy even f I did still feel loney / depressed and would self harm, I hace the ability ro enjoy and feel like the rally me - now all That one and Ive jut gotten buried into a depressive hole where evryday is lived robotically or ghostly.","I ws able to experience novelty and joy even f I did still feel loney / depressed and would self harm, I hace the ability ro enjoy and feel like the rally me - now all That one and Ive jut gotten buried into a depressive hole where evryday is lived robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_spelling+ta_char_rand_del,ANHEDONIA,1,s_258_546_2
"I as able to experience novelty and jy even if I di still feel lonely / depressed and would self hm, I had the ability to enjoy and feel like the rally me - now all thats gon and Ive just gotten burried into a depressiv hole whrere everyday is lived robotically or ghostly.","I as able to experience novelty and jy even if I di still feel lonely / depressed and would self hm, I had the ability to enjoy and feel like the rally me - now all thats gon and Ive just gotten burried into a depressiv hole whrere everyday is lived robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_spelling+ta_char_rand_del,ANHEDONIA,1,s_258_546_2
"Masturbating rgt before and alo during spleep I feel like its affecting mt sleep quality If I wake up tired in the morning when I should go back to sleep, instead I sart masturbating witch also affects how uch rest I get.","Masturbating rgt before and alo during spleep I feel like its affecting mt sleep quality If I wake up tired in the morning when I should go back to sleep, instead I sart masturbating witch also affects how uch rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_spelling+ta_char_rand_del,SLEEP_ISSUES,1,s_1404_1455_0
"Masturbatin right before and also during sleep I eel like its affecting my sleep quality If I weak up tired in the morning when I should go back to sleep, instead I sat masturbating which also affects how much ret ai get.","Masturbatin right before and also during sleep I eel like its affecting my sleep quality If I weak up tired in the morning when I should go back to sleep, instead I sat masturbating which also affects how much ret ai get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_spelling+ta_char_rand_del,SLEEP_ISSUES,1,s_1404_1455_0
"I work from home, and f don ' t sleep well fo the most part (i''m have insomnia and completely rely on sepp aids, and they tend not o give you a good night ' s rest, which results in fatigue an few houre after waking up ), o at some pint during the day, I usually get a little tired and have the ure the just cral into bed and finish my work later (which I clould do, but staying awake and going it right then would be better ).","I work from home, and f don ' t sleep well fo the most part (i''m have insomnia and completely rely on sepp aids, and they tend not o give you a good night ' s rest, which results in fatigue an few houre after waking up ), o at some pint during the day, I usually get a little tired and have the ure the just cral into bed and finish my work later (which I clould do, but staying awake and going it right then would be better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_spelling+ta_char_rand_del,SLEEP_ISSUES,1,s_2292_402_1
"I work from home, and If don ' t sleep well for the most part (i''m have insomnia and completely rely on slepp aids, and they tend not to give you a good night ' s rest, which results in fatigue an few houre after waking up ), so at some point during th day, I usually get a little tired ad have the urge the jst crawl into ed an finish m work later (which I clould do, but staying awake and going i right then would b better ).","I work from home, and If don ' t sleep well for the most part (i''m have insomnia and completely rely on slepp aids, and they tend not to give you a good night ' s rest, which results in fatigue an few houre after waking up ), so at some point during th day, I usually get a little tired ad have the urge the jst crawl into ed an finish m work later (which I clould do, but staying awake and going i right then would b better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_spelling+ta_char_rand_del,SLEEP_ISSUES,1,s_2292_402_1
"So here is the case. . It ' s been nearly 4 years, since i really don ' t feel like myself. . I am still interested in acitity that interested me before, but y enmotion ae so weak ando i am muc less sensitive fo partcular things / people.","So here is the case. . It ' s been nearly 4 years, since i really don ' t feel like myself. . I am still interested in acitity that interested me before, but y enmotion ae so weak ando i am muc less sensitive fo partcular things / people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_spelling+ta_char_rand_del,ANHEDONIA,1,s_1127_16_1
"So here is the case. . It ' s been nearly 4 years, since i really don ' t feel like myself. . I am still interested in acitity that interested me before, but y enmotion ae so weak ando i am muc less sensitive fo partcular things / people.","So here is the case. . It ' s been nearly 4 years, since i really don ' t feel like myself. . I am still interested in acitity that interested me before, but y enmotion ae so weak ando i am muc less sensitive fo partcular things / people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_spelling+ta_char_rand_del,ANHEDONIA,1,s_1127_16_1
