post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I feel so bldd.,I feel so bldd.,I feel so oppressed.,ta_wordswap_embedding+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1955_1069_2
I feel qo bled.,I feel qo bled.,I feel so oppressed.,ta_wordswap_embedding+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1955_1069_2
I thats stol crying.,I thats stol crying.,I cant stop crying.,ta_wordswap_embedding+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2334_738_1
I thats stop vrying.,I thats stop vrying.,I cant stop crying.,ta_wordswap_embedding+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2334_738_1
"Ot was only later afterward my secknd boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), thereby that I am probably asexual due to the fact that I must get disgusted with myself when it originates to the dex part.","Ot was only later afterward my secknd boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), thereby that I am probably asexual due to the fact that I must get disgusted with myself when it originates to the dex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_wordswap_embedding+ta_wordswap_qwerty,ANHEDONIA,0,s_716_26_15
"If was only oater afterward my second boyfriend, I realized I cannot feel sexual attraction (if I have, ir was very temporary), thereby that I am probably asexual dye to the fact that I just get disgusted with myself when it originates to the sex part.","If was only oater afterward my second boyfriend, I realized I cannot feel sexual attraction (if I have, ir was very temporary), thereby that I am probably asexual dye to the fact that I just get disgusted with myself when it originates to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_wordswap_embedding+ta_wordswap_qwerty,ANHEDONIA,0,s_716_26_15
I din't like am.,I din't like am.,I don't like me.,ta_wordswap_embedding+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_816_5
I won't like am.,I won't like am.,I don't like me.,ta_wordswap_embedding+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_816_5
I've ahrieked.,I've ahrieked.,I've cried.,ta_wordswap_embedding+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_145_86_2
I've wdpt.,I've wdpt.,I've cried.,ta_wordswap_embedding+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_145_86_2
I begwn de cry.,I begwn de cry.,I began to cry.,ta_wordswap_embedding+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2815_1660_107
I began ti weep.,I began ti weep.,I began to cry.,ta_wordswap_embedding+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2815_1660_107
jsg hardly sleep.,jsg hardly sleep.,I hardly sleep.,ta_wordswap_embedding+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_697_81_3
